WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.647573 -8.197275 0.0006541605,-3.347126 -8.085218 0.2799714,-3.988163 -7.55168 0.4225999,-4.45475 -6.915298 0.5484588,-4.838379 -6.586009 0.6686441,-3.657973 -5.781348 0.1946851,-3.951653 -4.689764 0.3699497,-4.076126 -4.029583 0.5147744,-4.162708 -3.409573 0.6607225,-3.29772 -5.452817 0.2222289,-3.547491 -4.170461 0.4206302,-3.547491 -4.170461 0.4206302,-3.755112 -2.647418 0.7934418,-2.925276 -5.386864 0.3060926,-3.108313 -4.175108 0.498069,-3.226268 -3.407219 0.6680236,-3.322557 -2.756033 0.8138381,-2.515586 -5.549959 0.4206191,-2.519866 -4.577247 0.5932458,-2.532079 -3.972734 0.751917,-2.54709 -3.402172 0.8929605,-9.80125 -8.788235 0.001099537,-9.006423 -8.343708 0.1791888,-8.351509 -7.516492 0.355536,-7.892694 -6.71059 0.6139683,-7.501797 -6.165336 0.8962339,-8.873205 -5.54254 -0.03400939,-8.7175 -4.278181 0.08276739,-8.645606 -3.505608 0.2800873,-8.582961 -2.843009 0.4335031,-9.293628 -5.32578 0.09481405,-9.152786 -3.851534 0.14037,-9.05817 -2.944112 0.3782011,-8.988708 -2.185301 0.5828101,-9.714908 -5.407078 0.264531,-9.618963 -4.037702 0.3223605,-9.516795 -3.206232 0.5044373,-9.410569 -2.531409 0.6486819,-10.15487 -5.730834 0.4655399,-10.22706 -4.656347 0.5875217,-10.21109 -3.953353 0.7199728,-10.15633 -3.305077 0.8123915,0.010, 24 
-2.682948 -8.22756 -0.06365629,-3.385084 -8.08993 0.2135887,-4.019392 -7.551227 0.3568477,-4.48349 -6.914514 0.4773799,-4.862961 -6.587839 0.5979301,-3.68539 -5.816736 0.1287151,-3.977339 -4.711036 0.2974701,-4.102388 -4.036497 0.4337457,-4.189079 -3.420366 0.5729425,-3.321981 -5.498155 0.1418972,-3.567782 -4.20738 0.3380424,-3.567782 -4.20738 0.3380424,-3.765985 -2.674335 0.6903751,-2.946826 -5.434827 0.2124617,-3.122938 -4.226781 0.3979104,-3.237627 -3.459495 0.5655423,-3.330009 -2.810392 0.7034776,-2.540806 -5.593008 0.3105857,-2.546995 -4.630971 0.4812882,-2.560035 -4.028171 0.6427445,-2.573099 -3.456509 0.7804792,-9.774767 -8.809647 0.001796832,-8.980475 -8.35099 0.1852895,-8.324064 -7.517995 0.3370095,-7.856957 -6.704754 0.5645581,-7.468683 -6.186794 0.80897,-8.856532 -5.550437 -0.0495278,-8.703356 -4.275108 0.04350888,-8.628159 -3.492592 0.2228976,-8.561087 -2.824974 0.3728179,-9.275432 -5.344867 0.0530131,-9.129284 -3.864445 0.08321929,-9.030677 -2.947636 0.3213588,-8.960409 -2.17682 0.5354994,-9.695136 -5.434565 0.195082,-9.584898 -4.065015 0.2299172,-9.477139 -3.22432 0.399626,-9.370293 -2.540798 0.5449069,-10.13473 -5.769099 0.3697909,-10.20173 -4.704301 0.4669114,-10.18453 -4.002035 0.6015521,-10.13244 -3.351154 0.7044382,0.110, 24 
-2.715392 -8.275219 -0.02412769,-3.401866 -8.154787 0.240667,-4.037564 -7.609185 0.3746262,-4.512601 -6.975671 0.4989895,-4.902733 -6.656148 0.6328947,-3.722591 -5.857797 0.1111629,-4.013429 -4.76927 0.2734111,-4.137281 -4.103645 0.4128412,-4.225146 -3.486278 0.5559576,-3.368935 -5.534992 0.1432027,-3.614714 -4.262528 0.3152483,-3.614714 -4.262528 0.3152483,-3.818209 -2.733556 0.6654871,-2.999778 -5.468755 0.2326479,-3.151971 -4.249895 0.4666727,-3.265599 -3.49207 0.6334707,-3.357708 -2.846849 0.7761336,-2.576401 -5.611008 0.3942354,-2.574475 -4.653472 0.5677481,-2.586599 -4.054908 0.7270209,-2.602151 -3.482987 0.8656581,-9.796032 -8.835325 0.005765554,-8.996436 -8.366325 0.1716589,-8.332537 -7.54109 0.3270088,-7.863863 -6.733196 0.5640134,-7.484348 -6.197822 0.8219894,-8.856808 -5.58524 -0.05617156,-8.692292 -4.307907 0.04498082,-8.617313 -3.525445 0.2325683,-8.550312 -2.855231 0.3843285,-9.275742 -5.372705 0.06908115,-9.128187 -3.881314 0.1135204,-9.02731 -2.954383 0.3486972,-8.954134 -2.178164 0.5512275,-9.697262 -5.459117 0.2359179,-9.5937 -4.082948 0.2879556,-9.483185 -3.24053 0.4640662,-9.374614 -2.55936 0.6032619,-10.14033 -5.793663 0.433902,-10.20994 -4.714162 0.5482856,-10.19199 -4.002648 0.6809803,-10.13997 -3.353631 0.7748049,0.210, 24 
-2.726377 -8.302938 -0.01436047,-3.411564 -8.178217 0.2177093,-4.047333 -7.619129 0.3394048,-4.516756 -6.980073 0.4560401,-4.901352 -6.681234 0.5732301,-3.727295 -5.879785 0.1081039,-4.01895 -4.785676 0.2649067,-4.141837 -4.114971 0.3958075,-4.224284 -3.502154 0.5275319,-3.378681 -5.559433 0.1506234,-3.630869 -4.270666 0.3328781,-3.630869 -4.270666 0.3328781,-3.830638 -2.727207 0.6797904,-3.012928 -5.49344 0.2472965,-3.188349 -4.274494 0.4248409,-3.304992 -3.496116 0.5769382,-3.399527 -2.835243 0.7080427,-2.612264 -5.64892 0.3719105,-2.613866 -4.679574 0.5308244,-2.626841 -4.07837 0.674049,-2.641575 -3.503395 0.7972393,-9.807112 -8.863667 0.09604408,-9.00481 -8.40291 0.2857112,-8.342829 -7.556461 0.4603337,-7.87135 -6.727767 0.713653,-7.473705 -6.182632 0.9876571,-8.867662 -5.59925 0.05756512,-8.706512 -4.309608 0.1696824,-8.629491 -3.52893 0.3636747,-8.5585 -2.856915 0.5224123,-9.287228 -5.375219 0.1757906,-9.136396 -3.886511 0.2259982,-9.030238 -2.957277 0.4585032,-8.95062 -2.171557 0.6659253,-9.711083 -5.456172 0.3365395,-9.599641 -4.071264 0.3978513,-9.487286 -3.21547 0.5689639,-9.380065 -2.516776 0.7069506,-10.15854 -5.791827 0.5284547,-10.21751 -4.699783 0.649022,-10.19552 -3.984264 0.7842601,-10.14697 -3.326109 0.8798028,0.310, 24 
-2.743294 -8.351473 0.09689585,-3.436991 -8.191797 0.3000358,-4.07152 -7.584109 0.3832285,-4.534072 -6.939453 0.4650727,-4.91597 -6.673622 0.5386256,-3.725476 -5.881153 0.1348383,-4.009357 -4.799631 0.2686135,-4.134923 -4.138068 0.3878308,-4.225979 -3.527277 0.5128899,-3.37499 -5.566881 0.1818084,-3.61735 -4.293844 0.3381362,-3.61735 -4.293844 0.3381362,-3.823175 -2.759696 0.6820771,-3.012367 -5.502582 0.2842669,-3.189465 -4.296656 0.4464345,-3.306229 -3.531238 0.5892005,-3.401608 -2.877698 0.7127835,-2.615815 -5.655492 0.4168277,-2.610256 -4.70469 0.5605094,-2.617266 -4.107847 0.6910613,-2.624741 -3.529588 0.8074075,-9.829455 -8.882799 0.2602934,-9.022363 -8.415983 0.4671647,-8.342447 -7.567744 0.6392639,-7.862473 -6.743452 0.8888258,-7.472304 -6.194889 1.157028,-8.873468 -5.568498 0.213042,-8.710216 -4.279344 0.3140326,-8.63764 -3.49077 0.5123109,-8.571157 -2.815566 0.6787134,-9.295477 -5.348688 0.3235501,-9.143273 -3.863271 0.3589903,-9.046633 -2.938299 0.5981596,-8.970628 -2.155702 0.8114886,-9.721317 -5.428663 0.4791766,-9.60644 -4.045976 0.5284741,-9.498805 -3.196273 0.7040662,-9.386997 -2.499446 0.8465098,-10.17048 -5.761799 0.669961,-10.23288 -4.683985 0.7783722,-10.21662 -3.972548 0.9095998,-10.16618 -3.308064 1.007545,0.410, 24 
-2.743331 -8.354319 0.09706764,-3.432049 -8.200998 0.3206477,-4.063359 -7.608238 0.422698,-4.526311 -6.96318 0.5149006,-4.910136 -6.69108 0.6018578,-3.72155 -5.884897 0.1826447,-4.008295 -4.807704 0.3258091,-4.137806 -4.14956 0.451319,-4.228435 -3.542253 0.5833567,-3.371485 -5.570245 0.2188657,-3.618769 -4.30274 0.3829103,-3.618769 -4.30274 0.3829103,-3.81979 -2.777821 0.7220401,-3.008703 -5.513198 0.3087061,-3.183372 -4.310428 0.4742189,-3.297958 -3.544982 0.6184137,-3.389078 -2.895471 0.7433472,-2.611553 -5.67514 0.4303704,-2.607659 -4.731535 0.5756078,-2.615431 -4.134593 0.7092333,-2.621682 -3.561141 0.8295479,-9.813345 -8.885357 0.2924207,-9.020207 -8.422611 0.5026587,-8.348339 -7.569076 0.6786748,-7.878057 -6.743736 0.9293032,-7.475476 -6.228479 1.198636,-8.871984 -5.56706 0.2666406,-8.711138 -4.273916 0.3756435,-8.640176 -3.483741 0.567744,-8.57628 -2.804991 0.7324095,-9.297919 -5.339485 0.3709641,-9.136079 -3.852128 0.4158756,-9.031792 -2.921922 0.6472842,-8.953094 -2.135412 0.8602244,-9.728131 -5.419174 0.5184314,-9.604698 -4.034383 0.5706422,-9.494642 -3.18777 0.7320977,-9.3871 -2.492834 0.8652995,-10.18233 -5.753311 0.7027565,-10.23435 -4.66909 0.805568,-10.21296 -3.967493 0.9214357,-10.16347 -3.317467 1.007729,0.510, 24 
-2.735691 -8.355352 0.1010931,-3.42852 -8.199297 0.3273453,-4.06064 -7.607002 0.4290934,-4.516689 -6.958286 0.5215441,-4.900226 -6.686766 0.6055807,-3.722235 -5.886102 0.2048446,-4.003996 -4.805994 0.3452489,-4.126687 -4.147472 0.4627999,-4.214143 -3.538044 0.5878637,-3.36801 -5.571809 0.2397187,-3.608577 -4.305278 0.4039727,-3.608577 -4.305278 0.4039727,-3.812988 -2.788316 0.7365993,-3.001629 -5.513908 0.3261563,-3.172892 -4.315204 0.4910562,-3.286612 -3.553084 0.6316296,-3.377121 -2.905485 0.753961,-2.600849 -5.675167 0.4444741,-2.599326 -4.73129 0.593473,-2.608729 -4.132478 0.7317524,-2.617637 -3.556582 0.8522136,-9.81425 -8.888851 0.1992892,-9.014177 -8.40432 0.3924901,-8.341777 -7.560574 0.5641153,-7.862082 -6.733078 0.8078889,-7.472197 -6.191341 1.062716,-8.873013 -5.593336 0.1839546,-8.700672 -4.299264 0.2995465,-8.619214 -3.517071 0.4971634,-8.546773 -2.841504 0.6629099,-9.288705 -5.371896 0.2977757,-9.12857 -3.859884 0.3577686,-9.026016 -2.928681 0.6019334,-8.948264 -2.133565 0.8170704,-9.710845 -5.448257 0.4515459,-9.589641 -4.035934 0.5147966,-9.480238 -3.182704 0.6886211,-9.370923 -2.477353 0.8325481,-10.15748 -5.77563 0.6374097,-10.21397 -4.673885 0.7546985,-10.1912 -3.958284 0.890293,-10.13617 -3.301754 0.9868901,0.610, 24 
-2.723308 -8.359304 0.0506164,-3.41807 -8.213669 0.2919172,-4.05511 -7.629957 0.3985615,-4.520498 -6.983804 0.4895928,-4.90064 -6.684371 0.5744172,-3.715746 -5.903193 0.1549454,-4.001261 -4.798067 0.2931042,-4.12744 -4.120011 0.4147187,-4.211702 -3.503347 0.5449669,-3.361111 -5.591164 0.1749564,-3.603479 -4.304424 0.3298243,-3.603479 -4.304424 0.3298243,-3.803053 -2.770307 0.6600476,-2.997177 -5.526437 0.2494864,-3.170107 -4.322076 0.4087807,-3.286288 -3.550905 0.5536869,-3.378475 -2.899812 0.6789963,-2.603412 -5.676218 0.3550153,-2.598163 -4.734222 0.4958819,-2.604909 -4.137514 0.6321203,-2.608499 -3.5652 0.7513162,-9.829662 -8.900866 0.2646722,-9.026047 -8.446569 0.492094,-8.346722 -7.57949 0.6804962,-7.872902 -6.737794 0.9382201,-7.471499 -6.201265 1.214597,-8.86372 -5.596992 0.2801229,-8.697463 -4.299552 0.4063631,-8.621821 -3.510931 0.6054764,-8.556407 -2.829685 0.7695792,-9.290119 -5.367692 0.3809675,-9.12666 -3.872254 0.4490063,-9.024708 -2.939147 0.6897617,-8.947042 -2.139692 0.9050331,-9.717197 -5.442834 0.5247173,-9.598564 -4.05086 0.5975562,-9.488894 -3.198729 0.7695807,-9.378499 -2.495845 0.9087412,-10.1688 -5.765899 0.704332,-10.21938 -4.665034 0.8293269,-10.19204 -3.948939 0.9593783,-10.1316 -3.283689 1.054944,0.710, 24 
-2.727888 -8.401739 0.06475721,-3.4289 -8.236105 0.2855252,-4.056204 -7.648439 0.3920423,-4.510668 -6.998565 0.4930273,-4.891868 -6.701826 0.5949382,-3.718682 -5.937879 0.1584892,-4.005974 -4.850509 0.2992217,-4.134302 -4.187496 0.4190796,-4.224253 -3.573628 0.5492133,-3.365309 -5.629842 0.1989212,-3.610493 -4.367191 0.3657714,-3.610493 -4.367191 0.3657714,-3.818974 -2.856164 0.707329,-3.001112 -5.567052 0.2957563,-3.175743 -4.373836 0.4642833,-3.297287 -3.613721 0.6127205,-3.393269 -2.961764 0.7442156,-2.605542 -5.717636 0.4187058,-2.606194 -4.765615 0.5725656,-2.620857 -4.166856 0.7187079,-2.635159 -3.591486 0.8486798,-9.804154 -8.913311 0.2163694,-9.001991 -8.440649 0.4315117,-8.332407 -7.603403 0.6178733,-7.852608 -6.775033 0.876856,-7.461111 -6.223773 1.151701,-8.857597 -5.618032 0.1980487,-8.691541 -4.330093 0.3167476,-8.613232 -3.543869 0.5203108,-8.541595 -2.866703 0.6887077,-9.278866 -5.391019 0.3009464,-9.124201 -3.894197 0.3598854,-9.022522 -2.96079 0.6022652,-8.944117 -2.162467 0.819235,-9.703079 -5.471225 0.4477329,-9.589749 -4.073644 0.5086817,-9.478396 -3.222766 0.6804336,-9.366812 -2.516271 0.8224127,-10.15212 -5.8055 0.6294283,-10.21224 -4.716524 0.7490986,-10.18797 -4.00151 0.8837257,-10.13264 -3.334129 0.9803784,0.810, 24 
-2.725464 -8.426363 0.01350737,-3.42124 -8.268461 0.2362697,-4.05223 -7.689159 0.3398514,-4.505018 -7.040752 0.4414335,-4.881794 -6.73135 0.5480624,-3.733488 -5.975214 0.08925758,-4.019295 -4.874176 0.2283123,-4.149773 -4.202632 0.3513553,-4.237081 -3.58778 0.4828943,-3.383594 -5.673425 0.1253652,-3.625078 -4.395992 0.278997,-3.625078 -4.395992 0.278997,-3.827322 -2.885319 0.6164504,-3.021987 -5.606757 0.2198916,-3.193363 -4.402759 0.3768857,-3.311474 -3.641376 0.5247785,-3.409325 -2.985643 0.6577117,-2.628271 -5.74915 0.3396081,-2.627172 -4.797908 0.4886879,-2.638601 -4.201955 0.6354919,-2.652124 -3.630238 0.7634283,-9.818648 -8.942364 0.2899621,-9.013297 -8.497911 0.5064888,-8.341625 -7.626965 0.6790631,-7.871386 -6.784606 0.9262912,-7.4714 -6.246635 1.190109,-8.856759 -5.6313 0.2518809,-8.691097 -4.351111 0.3689295,-8.610331 -3.560087 0.5685627,-8.540413 -2.87697 0.7327006,-9.278749 -5.400695 0.358323,-9.12217 -3.916478 0.4033905,-9.01529 -2.980308 0.6466837,-8.935295 -2.183807 0.8603005,-9.703951 -5.482273 0.5121329,-9.589332 -4.095848 0.5728004,-9.474788 -3.245428 0.75035,-9.358165 -2.542722 0.8951559,-10.15143 -5.820758 0.7008108,-10.21015 -4.732269 0.8236803,-10.18741 -4.018517 0.9627502,-10.12903 -3.351034 1.061906,0.910, 24 
