WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-5.589079 -4.020721 0.0002123545,-5.408799 -3.937734 -0.09947138,-5.285357 -4.00518 -0.1549542,-5.205238 -4.130159 -0.2153793,-5.165353 -4.232749 -0.2621071,-5.193222 -4.311244 -0.09246655,-5.127316 -4.31365 -0.2444759,-5.15222 -4.21781 -0.2999969,-5.18429 -4.136737 -0.301284,-5.242977 -4.446806 -0.08617837,-5.179895 -4.423938 -0.281982,-5.179895 -4.423938 -0.281982,-5.25247 -4.255796 -0.3059358,-5.310844 -4.518758 -0.1037112,-5.250957 -4.493728 -0.2821378,-5.26815 -4.390878 -0.3023699,-5.307949 -4.330722 -0.2591415,-5.389189 -4.544713 -0.1242199,-5.333356 -4.548139 -0.2754349,-5.341082 -4.460327 -0.322989,-5.373915 -4.399292 -0.3217037,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,0.010, 1 0
-5.589079 -4.020721 0.0002123545,-5.408799 -3.937734 -0.09947138,-5.285357 -4.00518 -0.1549542,-5.205238 -4.130159 -0.2153793,-5.165353 -4.232749 -0.2621071,-5.193222 -4.311244 -0.09246655,-5.127316 -4.31365 -0.2444759,-5.15222 -4.21781 -0.2999969,-5.18429 -4.136737 -0.301284,-5.242977 -4.446806 -0.08617837,-5.179895 -4.423938 -0.281982,-5.179895 -4.423938 -0.281982,-5.25247 -4.255796 -0.3059358,-5.310844 -4.518758 -0.1037112,-5.250957 -4.493728 -0.2821378,-5.26815 -4.390878 -0.3023699,-5.307949 -4.330722 -0.2591415,-5.389189 -4.544713 -0.1242199,-5.333356 -4.548139 -0.2754349,-5.341082 -4.460327 -0.322989,-5.373915 -4.399292 -0.3217037,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,0.110, 1 0
-5.589079 -4.020721 0.0002123545,-5.408799 -3.937734 -0.09947138,-5.285357 -4.00518 -0.1549542,-5.205238 -4.130159 -0.2153793,-5.165353 -4.232749 -0.2621071,-5.193222 -4.311244 -0.09246655,-5.127316 -4.31365 -0.2444759,-5.15222 -4.21781 -0.2999969,-5.18429 -4.136737 -0.301284,-5.242977 -4.446806 -0.08617837,-5.179895 -4.423938 -0.281982,-5.179895 -4.423938 -0.281982,-5.25247 -4.255796 -0.3059358,-5.310844 -4.518758 -0.1037112,-5.250957 -4.493728 -0.2821378,-5.26815 -4.390878 -0.3023699,-5.307949 -4.330722 -0.2591415,-5.389189 -4.544713 -0.1242199,-5.333356 -4.548139 -0.2754349,-5.341082 -4.460327 -0.322989,-5.373915 -4.399292 -0.3217037,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,0.210, 1 0
-5.589079 -4.020721 0.0002123545,-5.408799 -3.937734 -0.09947138,-5.285357 -4.00518 -0.1549542,-5.205238 -4.130159 -0.2153793,-5.165353 -4.232749 -0.2621071,-5.193222 -4.311244 -0.09246655,-5.127316 -4.31365 -0.2444759,-5.15222 -4.21781 -0.2999969,-5.18429 -4.136737 -0.301284,-5.242977 -4.446806 -0.08617837,-5.179895 -4.423938 -0.281982,-5.179895 -4.423938 -0.281982,-5.25247 -4.255796 -0.3059358,-5.310844 -4.518758 -0.1037112,-5.250957 -4.493728 -0.2821378,-5.26815 -4.390878 -0.3023699,-5.307949 -4.330722 -0.2591415,-5.389189 -4.544713 -0.1242199,-5.333356 -4.548139 -0.2754349,-5.341082 -4.460327 -0.322989,-5.373915 -4.399292 -0.3217037,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,0.310, 1 0
-5.589079 -4.020721 0.0002123545,-5.408799 -3.937734 -0.09947138,-5.285357 -4.00518 -0.1549542,-5.205238 -4.130159 -0.2153793,-5.165353 -4.232749 -0.2621071,-5.193222 -4.311244 -0.09246655,-5.127316 -4.31365 -0.2444759,-5.15222 -4.21781 -0.2999969,-5.18429 -4.136737 -0.301284,-5.242977 -4.446806 -0.08617837,-5.179895 -4.423938 -0.281982,-5.179895 -4.423938 -0.281982,-5.25247 -4.255796 -0.3059358,-5.310844 -4.518758 -0.1037112,-5.250957 -4.493728 -0.2821378,-5.26815 -4.390878 -0.3023699,-5.307949 -4.330722 -0.2591415,-5.389189 -4.544713 -0.1242199,-5.333356 -4.548139 -0.2754349,-5.341082 -4.460327 -0.322989,-5.373915 -4.399292 -0.3217037,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,0.410, 1 0
-5.589079 -4.020721 0.0002123545,-5.408799 -3.937734 -0.09947138,-5.285357 -4.00518 -0.1549542,-5.205238 -4.130159 -0.2153793,-5.165353 -4.232749 -0.2621071,-5.193222 -4.311244 -0.09246655,-5.127316 -4.31365 -0.2444759,-5.15222 -4.21781 -0.2999969,-5.18429 -4.136737 -0.301284,-5.242977 -4.446806 -0.08617837,-5.179895 -4.423938 -0.281982,-5.179895 -4.423938 -0.281982,-5.25247 -4.255796 -0.3059358,-5.310844 -4.518758 -0.1037112,-5.250957 -4.493728 -0.2821378,-5.26815 -4.390878 -0.3023699,-5.307949 -4.330722 -0.2591415,-5.389189 -4.544713 -0.1242199,-5.333356 -4.548139 -0.2754349,-5.341082 -4.460327 -0.322989,-5.373915 -4.399292 -0.3217037,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,0.510, 1 0
-5.589079 -4.020721 0.0002123545,-5.408799 -3.937734 -0.09947138,-5.285357 -4.00518 -0.1549542,-5.205238 -4.130159 -0.2153793,-5.165353 -4.232749 -0.2621071,-5.193222 -4.311244 -0.09246655,-5.127316 -4.31365 -0.2444759,-5.15222 -4.21781 -0.2999969,-5.18429 -4.136737 -0.301284,-5.242977 -4.446806 -0.08617837,-5.179895 -4.423938 -0.281982,-5.179895 -4.423938 -0.281982,-5.25247 -4.255796 -0.3059358,-5.310844 -4.518758 -0.1037112,-5.250957 -4.493728 -0.2821378,-5.26815 -4.390878 -0.3023699,-5.307949 -4.330722 -0.2591415,-5.389189 -4.544713 -0.1242199,-5.333356 -4.548139 -0.2754349,-5.341082 -4.460327 -0.322989,-5.373915 -4.399292 -0.3217037,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,0.610, 1 0
-5.589079 -4.020721 0.0002123545,-5.408799 -3.937734 -0.09947138,-5.285357 -4.00518 -0.1549542,-5.205238 -4.130159 -0.2153793,-5.165353 -4.232749 -0.2621071,-5.193222 -4.311244 -0.09246655,-5.127316 -4.31365 -0.2444759,-5.15222 -4.21781 -0.2999969,-5.18429 -4.136737 -0.301284,-5.242977 -4.446806 -0.08617837,-5.179895 -4.423938 -0.281982,-5.179895 -4.423938 -0.281982,-5.25247 -4.255796 -0.3059358,-5.310844 -4.518758 -0.1037112,-5.250957 -4.493728 -0.2821378,-5.26815 -4.390878 -0.3023699,-5.307949 -4.330722 -0.2591415,-5.389189 -4.544713 -0.1242199,-5.333356 -4.548139 -0.2754349,-5.341082 -4.460327 -0.322989,-5.373915 -4.399292 -0.3217037,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,0.710, 1 0
-5.589079 -4.020721 0.0002123545,-5.408799 -3.937734 -0.09947138,-5.285357 -4.00518 -0.1549542,-5.205238 -4.130159 -0.2153793,-5.165353 -4.232749 -0.2621071,-5.193222 -4.311244 -0.09246655,-5.127316 -4.31365 -0.2444759,-5.15222 -4.21781 -0.2999969,-5.18429 -4.136737 -0.301284,-5.242977 -4.446806 -0.08617837,-5.179895 -4.423938 -0.281982,-5.179895 -4.423938 -0.281982,-5.25247 -4.255796 -0.3059358,-5.310844 -4.518758 -0.1037112,-5.250957 -4.493728 -0.2821378,-5.26815 -4.390878 -0.3023699,-5.307949 -4.330722 -0.2591415,-5.389189 -4.544713 -0.1242199,-5.333356 -4.548139 -0.2754349,-5.341082 -4.460327 -0.322989,-5.373915 -4.399292 -0.3217037,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,0.810, 1 0
-5.589079 -4.020721 0.0002123545,-5.408799 -3.937734 -0.09947138,-5.285357 -4.00518 -0.1549542,-5.205238 -4.130159 -0.2153793,-5.165353 -4.232749 -0.2621071,-5.193222 -4.311244 -0.09246655,-5.127316 -4.31365 -0.2444759,-5.15222 -4.21781 -0.2999969,-5.18429 -4.136737 -0.301284,-5.242977 -4.446806 -0.08617837,-5.179895 -4.423938 -0.281982,-5.179895 -4.423938 -0.281982,-5.25247 -4.255796 -0.3059358,-5.310844 -4.518758 -0.1037112,-5.250957 -4.493728 -0.2821378,-5.26815 -4.390878 -0.3023699,-5.307949 -4.330722 -0.2591415,-5.389189 -4.544713 -0.1242199,-5.333356 -4.548139 -0.2754349,-5.341082 -4.460327 -0.322989,-5.373915 -4.399292 -0.3217037,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,0.910, 1 0
