WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.013864 -7.383462 0.001136915,-2.680065 -7.16752 0.2435533,-3.288851 -6.465917 0.3762455,-3.757288 -5.77602 0.4758976,-4.175282 -5.448967 0.6017308,-2.913303 -4.730623 0.2531875,-3.264261 -3.568269 0.3289896,-3.443457 -2.853336 0.3712915,-3.556283 -2.225959 0.4311928,-2.555784 -4.415307 0.214009,-2.865652 -3.065835 0.3401341,-2.865652 -3.065835 0.3401341,-3.151359 -1.539967 0.5562509,-2.210881 -4.349285 0.2100424,-2.42162 -3.06564 0.3376988,-2.572878 -2.254735 0.4764939,-2.69508 -1.585251 0.6035809,-1.863426 -4.507581 0.2229631,-1.882478 -3.49595 0.3458357,-1.922776 -2.874012 0.4876308,-1.962934 -2.314685 0.6164241,-8.651265 -7.190518 0.0006193708,-7.920896 -6.898604 0.2119255,-7.252699 -6.172498 0.3834684,-6.806301 -5.458013 0.6169819,-6.405009 -5.103481 0.8648136,-7.665134 -4.106265 0.05742379,-7.483198 -2.886541 0.1947527,-7.385894 -2.12919 0.3625989,-7.297003 -1.482145 0.497533,-8.057823 -3.823766 0.1576287,-7.864672 -2.40558 0.2527164,-7.736538 -1.503923 0.503333,-7.632384 -0.7180047 0.7223748,-8.454774 -3.836376 0.2955694,-8.324985 -2.541781 0.3818817,-8.215897 -1.739612 0.5458808,-8.10219 -1.042004 0.6954452,-8.875712 -4.094285 0.4571539,-8.932441 -3.079656 0.5718868,-8.927525 -2.433009 0.7077554,-8.886259 -1.813277 0.8171659,0.010, 1 0
-2.033148 -7.392377 0.07761944,-2.685887 -7.162727 0.3405395,-3.288183 -6.450794 0.4729372,-3.756698 -5.774078 0.5791174,-4.180339 -5.471174 0.717325,-2.92532 -4.70716 0.2870812,-3.269449 -3.574303 0.3736099,-3.446158 -2.873542 0.4175743,-3.559765 -2.250862 0.4798992,-2.571597 -4.399498 0.2630276,-2.86698 -3.062376 0.3946167,-2.86698 -3.062376 0.3946167,-3.149094 -1.547915 0.6171001,-2.227294 -4.343111 0.2863645,-2.417445 -3.060037 0.4266205,-2.565219 -2.258701 0.5802792,-2.688444 -1.583848 0.7171831,-1.875583 -4.513148 0.3302083,-1.878808 -3.501458 0.471813,-1.916803 -2.871969 0.6311306,-1.959635 -2.301965 0.7742101,-8.662447 -7.154109 -0.03317145,-7.928801 -6.876007 0.161869,-7.256573 -6.162445 0.3272708,-6.805763 -5.460523 0.5589046,-6.40102 -5.111213 0.8042209,-7.661854 -4.078893 -0.01979989,-7.48033 -2.857243 0.1000991,-7.384314 -2.095941 0.2566812,-7.295815 -1.455459 0.3842702,-8.054299 -3.798169 0.08381187,-7.859311 -2.377838 0.1585003,-7.734164 -1.477 0.3955427,-7.633367 -0.6972537 0.6093726,-8.452403 -3.808817 0.2263048,-8.320033 -2.520719 0.2944474,-8.212654 -1.721586 0.4430481,-8.099884 -1.024661 0.5847258,-8.873196 -4.062702 0.3950345,-8.93327 -3.048398 0.4890281,-8.931058 -2.413377 0.6128435,-8.891446 -1.803857 0.7152247,0.110, 1 0
-1.999798 -7.392445 0.006123019,-2.665725 -7.173872 0.2396799,-3.277414 -6.458035 0.3708103,-3.754835 -5.766595 0.4723696,-4.18125 -5.453573 0.6132563,-2.920072 -4.743722 0.2448566,-3.269286 -3.582224 0.3294866,-3.446901 -2.870003 0.3604517,-3.562825 -2.244837 0.4082052,-2.560549 -4.426244 0.2176927,-2.865824 -3.066455 0.3542357,-2.865824 -3.066455 0.3542357,-3.160067 -1.54528 0.5526333,-2.212849 -4.360962 0.2305567,-2.416958 -3.055159 0.3730458,-2.573858 -2.241191 0.5180308,-2.706047 -1.565008 0.647863,-1.862226 -4.522666 0.2549052,-1.878611 -3.487571 0.3950891,-1.925538 -2.854969 0.5491074,-1.980011 -2.285726 0.6862473,-8.648252 -7.21557 0.09960429,-7.936455 -6.906396 0.3429676,-7.274063 -6.174037 0.5458459,-6.821552 -5.461591 0.8085588,-6.399053 -5.113343 1.088931,-7.672399 -4.102654 0.2208113,-7.48839 -2.872427 0.3784276,-7.393028 -2.109375 0.5552894,-7.305914 -1.44939 0.6889676,-8.06144 -3.822296 0.3175656,-7.875103 -2.39832 0.4343794,-7.750795 -1.490174 0.6825385,-7.650376 -0.7008491 0.8906435,-8.45663 -3.843965 0.4543123,-8.333529 -2.534964 0.5564808,-8.227798 -1.719587 0.7187054,-8.117923 -1.015489 0.8591819,-8.878663 -4.116786 0.6150873,-8.930747 -3.086017 0.7540667,-8.926092 -2.422464 0.8966058,-8.889585 -1.787796 0.9985699,0.210, 1 0
-2.008342 -7.37108 -0.08601128,-2.685508 -7.168817 0.1174208,-3.300411 -6.473298 0.2320903,-3.773684 -5.774408 0.3082405,-4.189834 -5.450346 0.4103245,-2.924709 -4.757591 0.1757748,-3.276105 -3.567226 0.2468094,-3.454829 -2.846817 0.2774979,-3.567578 -2.223249 0.3253037,-2.559462 -4.430223 0.1300325,-2.877164 -3.046511 0.2523475,-2.877164 -3.046511 0.2523475,-3.171791 -1.510698 0.437289,-2.206987 -4.351852 0.1091478,-2.42924 -3.043968 0.2303868,-2.587038 -2.228746 0.3497778,-2.714533 -1.568087 0.4581429,-1.856543 -4.494882 0.09844667,-1.889125 -3.465903 0.2071368,-1.940192 -2.847108 0.3273305,-1.99378 -2.297589 0.4382024,-8.645297 -7.182062 0.01592031,-7.919221 -6.901411 0.2628539,-7.254032 -6.182704 0.4563777,-6.808846 -5.464633 0.709356,-6.401516 -5.094891 0.9755208,-7.652116 -4.100676 0.1214125,-7.465391 -2.864915 0.2774369,-7.368349 -2.097158 0.4541844,-7.279767 -1.435361 0.5885792,-8.048693 -3.813699 0.215603,-7.862202 -2.392998 0.3199534,-7.739902 -1.48383 0.5670891,-7.641123 -0.6967797 0.7793393,-8.451767 -3.825405 0.3494024,-8.321861 -2.515699 0.4431502,-8.21552 -1.708757 0.6058191,-8.105723 -1.010356 0.7477857,-8.883502 -4.079498 0.5126979,-8.934121 -3.051304 0.6369394,-8.926379 -2.395393 0.770493,-8.885759 -1.767711 0.8722733,0.310, 1 0
-2.021742 -7.373331 -0.04986501,-2.693684 -7.158664 0.1471417,-3.304787 -6.469786 0.2602677,-3.772191 -5.779249 0.3355689,-4.181894 -5.460845 0.4309587,-2.932903 -4.746789 0.1889037,-3.281527 -3.571108 0.2672304,-3.453297 -2.853601 0.306861,-3.560978 -2.2327 0.3589883,-2.569129 -4.420276 0.1523323,-2.880763 -3.047932 0.2835295,-2.880763 -3.047932 0.2835295,-3.168774 -1.513311 0.4876751,-2.217977 -4.343354 0.1441078,-2.433803 -3.043118 0.2756153,-2.587301 -2.229721 0.4016026,-2.714303 -1.567161 0.5153843,-1.86505 -4.487666 0.1449648,-1.886774 -3.465506 0.2638008,-1.927067 -2.844429 0.3919607,-1.972256 -2.290025 0.5087717,-8.645929 -7.194361 0.01186804,-7.924909 -6.899045 0.2611955,-7.2596 -6.175458 0.4592565,-6.809937 -5.455709 0.7157649,-6.398946 -5.091558 0.9889191,-7.666426 -4.112468 0.1356841,-7.47693 -2.881741 0.2885492,-7.374467 -2.120368 0.4612904,-7.281453 -1.461787 0.5959305,-8.057157 -3.826852 0.2286713,-7.866332 -2.404406 0.3356917,-7.738751 -1.496781 0.5777075,-7.636289 -0.7009835 0.7881422,-8.455304 -3.839633 0.3621843,-8.32127 -2.525362 0.4577056,-8.209641 -1.710969 0.6229172,-8.094168 -1.003926 0.7664287,-8.882137 -4.095712 0.5219038,-8.930374 -3.063622 0.6479301,-8.922969 -2.403242 0.7877823,-8.881808 -1.769204 0.8908039,0.410, 1 0
-1.996333 -7.375406 0.139141,-2.662172 -7.176271 0.4057965,-3.282242 -6.467388 0.542199,-3.756306 -5.775518 0.6484403,-4.183922 -5.459583 0.7892014,-2.939676 -4.699522 0.3608815,-3.282012 -3.561716 0.4607286,-3.453541 -2.858463 0.5198234,-3.564639 -2.224687 0.5968512,-2.580114 -4.373933 0.3377495,-2.883659 -3.042688 0.4761229,-2.883659 -3.042688 0.4761229,-3.162785 -1.518569 0.7194739,-2.226815 -4.31115 0.362065,-2.431322 -3.035158 0.5185127,-2.578854 -2.234745 0.6778054,-2.706109 -1.560407 0.815219,-1.862325 -4.483461 0.4064869,-1.871074 -3.482884 0.5582609,-1.909087 -2.862052 0.7188212,-1.95672 -2.298427 0.8566102,-8.666711 -7.162835 0.06220744,-7.928335 -6.906971 0.321072,-7.253643 -6.184459 0.5175445,-6.806854 -5.447631 0.7684094,-6.399998 -5.077026 1.030454,-7.651572 -4.087058 0.1713033,-7.460343 -2.855775 0.3229633,-7.364142 -2.090692 0.4896716,-7.279387 -1.436727 0.612781,-8.049838 -3.783979 0.2497518,-7.855993 -2.359998 0.3432531,-7.736241 -1.458047 0.5661599,-7.639628 -0.6794963 0.7603129,-8.454524 -3.791868 0.372032,-8.321527 -2.477888 0.460303,-8.2196 -1.665249 0.6221011,-8.11322 -0.9621453 0.7633237,-8.885183 -4.05031 0.5237473,-8.932345 -3.032467 0.6389166,-8.927674 -2.384196 0.775387,-8.885831 -1.764338 0.8832886,0.510, 1 0
-1.993586 -7.38709 0.0206344,-2.662715 -7.165838 0.260162,-3.277295 -6.466453 0.4003482,-3.757437 -5.768025 0.4982554,-4.182032 -5.449955 0.6309952,-2.913253 -4.740352 0.2981077,-3.272503 -3.563888 0.3875133,-3.448383 -2.845022 0.4269814,-3.557804 -2.214947 0.4800616,-2.553882 -4.417821 0.2492088,-2.872379 -3.043006 0.3888096,-2.872379 -3.043006 0.3888096,-3.152803 -1.507789 0.5899901,-2.203537 -4.346727 0.2335312,-2.425127 -3.043113 0.3669448,-2.578168 -2.230713 0.5045835,-2.703818 -1.561739 0.6287443,-1.849715 -4.500801 0.2294009,-1.86954 -3.472349 0.3595319,-1.909084 -2.846162 0.5055726,-1.952286 -2.284035 0.635722,-8.640382 -7.164132 0.08922834,-7.919749 -6.862708 0.3318416,-7.25104 -6.1503 0.5283024,-6.799877 -5.443487 0.7821979,-6.391157 -5.08176 1.049151,-7.643114 -4.061687 0.1985037,-7.453851 -2.837152 0.3537559,-7.355732 -2.080511 0.52858,-7.265264 -1.425792 0.6607426,-8.03576 -3.776203 0.2941493,-7.854715 -2.356767 0.3988017,-7.735864 -1.458201 0.6404519,-7.637045 -0.681459 0.8442802,-8.435894 -3.791814 0.4279357,-8.312701 -2.48981 0.5232744,-8.209369 -1.688749 0.6867297,-8.099666 -0.9976611 0.8285602,-8.862591 -4.05038 0.5897304,-8.914644 -3.030554 0.7111276,-8.91042 -2.382371 0.841584,-8.871302 -1.764928 0.937888,0.610, 1 0
-2.003571 -7.403467 -0.008782585,-2.679251 -7.179431 0.1591822,-3.29175 -6.475042 0.2703024,-3.765808 -5.764766 0.3385561,-4.187175 -5.445896 0.4382782,-2.912549 -4.79998 0.2894779,-3.273407 -3.56859 0.2900504,-3.450282 -2.853874 0.3167793,-3.564053 -2.233237 0.3574888,-2.564054 -4.4414 0.2006843,-2.874807 -3.065746 0.3371701,-2.874807 -3.065746 0.3371701,-3.161114 -1.536038 0.5393543,-2.213833 -4.369499 0.2182254,-2.430327 -3.057708 0.349434,-2.585186 -2.245232 0.4804381,-2.71206 -1.576561 0.6007715,-1.860105 -4.517892 0.2390218,-1.878719 -3.472364 0.3627298,-1.91982 -2.843533 0.5005494,-1.9652 -2.277426 0.625307,-8.625703 -7.160173 0.05300947,-7.897497 -6.872535 0.3232883,-7.224987 -6.143979 0.5299851,-6.77249 -5.421305 0.7820939,-6.354694 -5.048003 1.046128,-7.617394 -4.083344 0.2303448,-7.419065 -2.852502 0.4062411,-7.316016 -2.091178 0.5859925,-7.223321 -1.426672 0.7148034,-8.012617 -3.788522 0.3186056,-7.832348 -2.366588 0.4438505,-7.710757 -1.474742 0.6828184,-7.606018 -0.6956239 0.8790234,-8.414541 -3.792875 0.4425537,-8.28829 -2.480583 0.5650231,-8.183717 -1.676032 0.7456115,-8.068698 -0.9756331 0.8932806,-8.842499 -4.03433 0.5928947,-8.89647 -3.011024 0.7386146,-8.891802 -2.354883 0.8805365,-8.849955 -1.731285 0.9790571,0.710, 1 0
-2.017426 -7.396577 -0.1064693,-2.6952 -7.173069 0.05972576,-3.312042 -6.475824 0.1687099,-3.787197 -5.775547 0.2404197,-4.199409 -5.442013 0.3390228,-2.927722 -4.783825 0.1685019,-3.283121 -3.570909 0.2278637,-3.458364 -2.849398 0.2301953,-3.56687 -2.239974 0.2494133,-2.560716 -4.46179 0.1296528,-2.883757 -3.063913 0.2483853,-2.883757 -3.063913 0.2483853,-3.17155 -1.536636 0.4053462,-2.208557 -4.379242 0.1096273,-2.438254 -3.057548 0.2228143,-2.59735 -2.235961 0.3349755,-2.722408 -1.575587 0.439463,-1.859712 -4.514511 0.08952516,-1.893694 -3.468005 0.1941395,-1.938455 -2.840722 0.3153825,-1.983541 -2.282417 0.4268311,-8.470725 -7.173864 0.001342336,-7.740499 -6.89359 0.3353235,-7.075892 -6.20383 0.5597965,-6.632791 -5.489511 0.8176332,-6.204612 -5.105222 1.083724,-7.444363 -4.14681 0.2650451,-7.222478 -2.928596 0.4823686,-7.117598 -2.166269 0.6877725,-7.030792 -1.489589 0.8300755,-7.842222 -3.825283 0.326324,-7.633102 -2.420211 0.4899631,-7.510191 -1.542739 0.7503793,-7.398688 -0.7719579 0.9613375,-8.246462 -3.810569 0.4233559,-8.098423 -2.486874 0.5913773,-8.003044 -1.680713 0.8004984,-7.891108 -0.9714141 0.9611229,-8.681906 -4.034463 0.5512046,-8.723626 -3.024719 0.7300457,-8.717854 -2.371051 0.8775711,-8.673587 -1.747873 0.9842393,0.810, 1 0
-2.006714 -7.394493 0.1018494,-2.669239 -7.175735 0.3619812,-3.282604 -6.464178 0.4971101,-3.76026 -5.775579 0.5948606,-4.187548 -5.469324 0.7209081,-2.931513 -4.723861 0.3529401,-3.28245 -3.572757 0.4532635,-3.454645 -2.861155 0.5063363,-3.561897 -2.226992 0.5763115,-2.571504 -4.400928 0.3101651,-2.880177 -3.052585 0.4518795,-2.880177 -3.052585 0.4518795,-3.159994 -1.524988 0.6768351,-2.221029 -4.334489 0.3088248,-2.432627 -3.044702 0.4582887,-2.582787 -2.236076 0.6061426,-2.709536 -1.562927 0.7342609,-1.864085 -4.494792 0.3245258,-1.878132 -3.482269 0.4642435,-1.915751 -2.856681 0.6157659,-1.95932 -2.290485 0.7470791,-8.324901 -7.106539 -0.05243905,-7.604539 -6.862279 0.2896302,-6.932468 -6.151699 0.5086743,-6.479872 -5.445553 0.7590861,-6.034786 -5.083827 1.029587,-7.285593 -4.096111 0.2085693,-7.052463 -2.919398 0.4088481,-6.940799 -2.172973 0.5994534,-6.851526 -1.504137 0.7448424,-7.681366 -3.77634 0.2704927,-7.449196 -2.417318 0.4081193,-7.315092 -1.554651 0.6652673,-7.202793 -0.8000884 0.8758464,-8.083992 -3.753326 0.3694785,-7.920437 -2.457572 0.5144793,-7.817699 -1.662412 0.7138258,-7.701381 -0.9674211 0.8702263,-8.521787 -3.963174 0.5039967,-8.539533 -2.93969 0.6719403,-8.517905 -2.295955 0.8088675,-8.460722 -1.687464 0.9132926,0.910, 1 0
