WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.921724 -7.704479 0.0005678287,-3.507227 -7.515126 0.2878188,-4.098553 -6.996492 0.4540601,-4.579696 -6.518339 0.6345319,-4.965343 -6.348904 0.8575301,-3.8585 -5.28317 0.153552,-4.157296 -4.293059 0.308881,-4.30402 -3.677118 0.4508927,-4.413254 -3.105531 0.6147379,-3.560909 -5.000453 0.1830871,-3.818831 -3.869424 0.3164076,-3.818831 -3.869424 0.3164076,-4.060236 -2.569151 0.6480702,-3.235535 -4.961154 0.2637849,-3.417908 -3.868696 0.4178785,-3.539575 -3.212437 0.5463367,-3.660969 -2.639403 0.6617536,-2.868929 -5.154172 0.3878204,-2.798801 -4.296928 0.5581875,-2.761684 -3.743577 0.6845609,-2.732553 -3.229668 0.7913238,-8.90624 -8.072447 0.0009509148,-8.177833 -7.896386 0.2635879,-7.496254 -7.187726 0.5129935,-6.996271 -6.622024 0.8316224,-6.507026 -6.445301 1.215441,-7.947108 -4.867797 0.08201546,-7.745108 -3.635732 0.2132354,-7.654617 -2.854874 0.3971866,-7.567548 -2.175207 0.5458368,-8.358367 -4.58387 0.2415656,-8.196722 -3.111804 0.3085594,-8.09713 -2.15862 0.5449137,-8.004508 -1.338392 0.7371241,-8.782103 -4.612829 0.4521981,-8.672252 -3.180473 0.5619301,-8.59573 -2.268516 0.8127842,-8.510166 -1.484283 0.9968501,-9.228374 -4.909387 0.7025236,-9.344591 -3.787669 0.8638126,-9.403955 -3.044 1.042207,-9.426443 -2.332426 1.172695,0.010, 1 0
-2.939246 -7.693981 -0.05112445,-3.515228 -7.505922 0.2677369,-4.098375 -6.999523 0.4499417,-4.572201 -6.517155 0.6420327,-4.95038 -6.34736 0.8761156,-3.851203 -5.278612 0.1487866,-4.14766 -4.28593 0.313109,-4.294645 -3.667946 0.4640383,-4.403919 -3.089036 0.6366192,-3.553474 -5.0018 0.1647348,-3.813353 -3.87245 0.3074581,-3.813353 -3.87245 0.3074581,-4.051277 -2.547542 0.6655143,-3.227594 -4.969636 0.2291352,-3.412469 -3.882179 0.3881629,-3.53406 -3.22311 0.5256753,-3.653152 -2.645491 0.6465993,-2.861864 -5.163839 0.3377868,-2.796515 -4.30727 0.5142084,-2.757323 -3.751448 0.6435618,-2.724281 -3.231447 0.7500402,-8.902958 -8.102146 0.0508872,-8.180905 -7.903003 0.3098769,-7.504896 -7.195866 0.5669935,-7.007768 -6.627904 0.8926283,-6.521163 -6.455202 1.29091,-7.954729 -4.882104 0.147452,-7.752156 -3.660665 0.2810374,-7.661852 -2.877414 0.468256,-7.577557 -2.194704 0.6244153,-8.365813 -4.598438 0.3056294,-8.203895 -3.130144 0.371606,-8.100449 -2.166528 0.612964,-8.007693 -1.333614 0.8124648,-8.788816 -4.628215 0.5116695,-8.685286 -3.199375 0.6144661,-8.609344 -2.282827 0.8572882,-8.523243 -1.494182 1.036163,-9.234013 -4.924949 0.7581323,-9.353737 -3.795753 0.909542,-9.411464 -3.043575 1.081117,-9.431585 -2.324416 1.205613,0.110, 1 0
-2.931362 -7.671773 -0.07564954,-3.501168 -7.479841 0.2870117,-4.07901 -7.004211 0.5045657,-4.544206 -6.540691 0.7195622,-4.92943 -6.369987 0.9773997,-3.841599 -5.270051 0.1900765,-4.141983 -4.280215 0.3618708,-4.291099 -3.664682 0.5168875,-4.402837 -3.092023 0.6936588,-3.544428 -4.990028 0.1798625,-3.808638 -3.865448 0.3273584,-3.808638 -3.865448 0.3273584,-4.05475 -2.559683 0.6854848,-3.220463 -4.956224 0.221864,-3.406533 -3.871222 0.3768864,-3.527483 -3.212026 0.5186283,-3.648729 -2.638044 0.6475469,-2.855584 -5.155459 0.3091297,-2.789347 -4.314569 0.4853882,-2.753546 -3.765937 0.6205808,-2.724998 -3.261183 0.735132,-8.903496 -8.083683 -0.02091719,-8.179812 -7.878749 0.2285133,-7.506454 -7.177639 0.4817612,-7.007019 -6.619006 0.8060271,-6.523098 -6.454854 1.202046,-7.953291 -4.87878 0.044945,-7.751674 -3.644909 0.1729775,-7.661754 -2.864445 0.356705,-7.581141 -2.190894 0.5077704,-8.364006 -4.599405 0.2089549,-8.201124 -3.11962 0.2699587,-8.098636 -2.160781 0.5141976,-8.00733 -1.32858 0.7155994,-8.783959 -4.623878 0.4200199,-8.68565 -3.193502 0.5187909,-8.610213 -2.284708 0.7636255,-8.522651 -1.498659 0.9486494,-9.224695 -4.913864 0.6724694,-9.353723 -3.791845 0.815305,-9.41318 -3.057889 0.9846408,-9.43257 -2.352588 1.110565,0.210, 1 0
-2.929676 -7.632212 -0.317331,-3.509064 -7.48269 -0.005995423,-4.089396 -7.03387 0.1770312,-4.556355 -6.57204 0.3639613,-4.920179 -6.377494 0.5829341,-3.846769 -5.303303 -0.1220803,-4.142408 -4.299932 0.0503909,-4.287539 -3.676666 0.2048593,-4.39075 -3.097097 0.3707096,-3.548074 -5.018947 -0.1059791,-3.809868 -3.864428 0.04030114,-3.809868 -3.864428 0.04030114,-4.050131 -2.554548 0.3900272,-3.221947 -4.972279 -0.03833929,-3.409658 -3.870748 0.1247278,-3.531843 -3.204987 0.2754515,-3.650463 -2.631814 0.4026046,-2.852509 -5.150539 0.06840619,-2.787646 -4.28078 0.2477621,-2.753913 -3.734126 0.384855,-2.730685 -3.233433 0.4988,-8.89449 -8.130648 -0.04574066,-8.164083 -7.938623 0.199331,-7.492184 -7.235284 0.4391511,-6.993529 -6.667009 0.7492113,-6.515744 -6.493798 1.116949,-7.951047 -4.933769 0.009045672,-7.754364 -3.694191 0.1308529,-7.663045 -2.904932 0.3184773,-7.584661 -2.217893 0.4804371,-8.360575 -4.651311 0.162579,-8.196165 -3.158266 0.2074365,-8.089566 -2.171923 0.444886,-7.999842 -1.339382 0.6486209,-8.780679 -4.678278 0.3652198,-8.681096 -3.241039 0.451682,-8.602873 -2.307632 0.6705857,-8.515583 -1.524145 0.8395329,-9.222733 -4.971503 0.6098518,-9.351226 -3.828275 0.7555915,-9.41159 -3.066778 0.914463,-9.431903 -2.363827 1.025081,0.310, 1 0
-2.941569 -7.65138 -0.4108432,-3.522619 -7.503229 -0.1238602,-4.099749 -7.048193 0.03564629,-4.565515 -6.584985 0.1968017,-4.925131 -6.401762 0.3858024,-3.854237 -5.34387 -0.2404213,-4.145056 -4.337059 -0.07570565,-4.292542 -3.706748 0.0763762,-4.395471 -3.122901 0.244093,-3.554866 -5.063196 -0.215654,-3.817082 -3.89748 -0.06951505,-3.817082 -3.89748 -0.06951505,-4.059326 -2.566456 0.281978,-3.227657 -5.012368 -0.1413432,-3.412502 -3.903971 0.02241492,-3.534435 -3.23244 0.1723731,-3.650171 -2.655801 0.2984821,-2.858994 -5.178838 -0.03055555,-2.794521 -4.302734 0.1482369,-2.762089 -3.745821 0.2878762,-2.739994 -3.232192 0.4048218,-8.919888 -8.129831 -0.01518705,-8.183869 -7.946739 0.242091,-7.511909 -7.252138 0.499584,-7.011215 -6.684713 0.8211444,-6.526223 -6.510752 1.214515,-7.955996 -4.933385 0.05975424,-7.752943 -3.679203 0.1916001,-7.659773 -2.880356 0.3774989,-7.579577 -2.191915 0.5267261,-8.367931 -4.64595 0.215583,-8.208494 -3.153344 0.2778516,-8.100767 -2.175894 0.5126425,-8.006299 -1.341203 0.7036646,-8.791903 -4.671839 0.4224766,-8.691277 -3.234474 0.5233716,-8.608384 -2.312359 0.7533395,-8.513233 -1.529876 0.9256281,-9.237867 -4.965099 0.6708696,-9.369222 -3.830364 0.8252872,-9.428594 -3.079202 0.9968284,-9.448896 -2.374527 1.113831,0.410, 1 0
-2.939604 -7.656011 -0.4817845,-3.513466 -7.528696 -0.1590562,-4.089869 -7.104232 0.01844668,-4.552568 -6.653984 0.1868166,-4.910219 -6.476772 0.374867,-3.850758 -5.376255 -0.2509011,-4.141714 -4.37173 -0.07222259,-4.281914 -3.739588 0.09342313,-4.375872 -3.146839 0.2697139,-3.551345 -5.092478 -0.2381135,-3.814566 -3.930335 -0.0752483,-3.814566 -3.930335 -0.0752483,-4.048537 -2.591262 0.2986226,-3.223881 -5.045269 -0.1765531,-3.407362 -3.935131 0.003552377,-3.524464 -3.268692 0.1636626,-3.636097 -2.687111 0.2985142,-2.852258 -5.21524 -0.07442448,-2.78898 -4.34156 0.1171457,-2.752541 -3.787201 0.262273,-2.726344 -3.26366 0.3836839,-8.926022 -8.164309 0.1039606,-8.19567 -7.973184 0.3517306,-7.519082 -7.262245 0.6092418,-7.017131 -6.697 0.9381676,-6.530387 -6.505348 1.338872,-7.972879 -4.923492 0.1670099,-7.778443 -3.654775 0.3130231,-7.686205 -2.846511 0.5162537,-7.604356 -2.143758 0.6760163,-8.388663 -4.64413 0.3426298,-8.232226 -3.142261 0.4155991,-8.1237 -2.159875 0.6615073,-8.027676 -1.318315 0.8614322,-8.817165 -4.680968 0.5701264,-8.709759 -3.224809 0.6867525,-8.624518 -2.289173 0.9322402,-8.529205 -1.49009 1.108607,-9.269244 -4.989566 0.8373754,-9.39505 -3.829575 1.00579,-9.452289 -3.060577 1.177955,-9.471871 -2.334424 1.29561,0.510, 1 0
-2.954527 -7.66607 -0.4058009,-3.520058 -7.530923 -0.04959804,-4.088161 -7.09074 0.1482745,-4.547836 -6.637794 0.3348878,-4.912445 -6.456251 0.5533336,-3.839011 -5.361026 -0.1261559,-4.136324 -4.368112 0.06562376,-4.281431 -3.739404 0.2340677,-4.38216 -3.149969 0.4140394,-3.541321 -5.077256 -0.1328297,-3.805312 -3.927354 0.03345317,-3.805312 -3.927354 0.03345317,-4.041044 -2.589989 0.4033448,-3.215078 -5.035064 -0.09055158,-3.400198 -3.934847 0.08841008,-3.517029 -3.266664 0.2454975,-3.629934 -2.682171 0.3852005,-2.847679 -5.215234 -0.004619509,-2.780474 -4.351556 0.1866833,-2.738268 -3.78572 0.3366565,-2.706645 -3.24608 0.4671351,-8.943501 -8.140818 0.05189742,-8.20574 -7.947457 0.3336791,-7.519758 -7.245435 0.6001166,-7.014284 -6.674154 0.9305793,-6.530789 -6.481079 1.325712,-7.975464 -4.921584 0.1579039,-7.772661 -3.669207 0.2998465,-7.683645 -2.872319 0.4970248,-7.608699 -2.17925 0.6588281,-8.392645 -4.638671 0.3028663,-8.223769 -3.139825 0.3673241,-8.117493 -2.159032 0.6166079,-8.028994 -1.308814 0.8298522,-8.819351 -4.668615 0.4974416,-8.719493 -3.232121 0.6044463,-8.63908 -2.308465 0.8392746,-8.547307 -1.515028 1.022844,-9.269054 -4.963922 0.7370502,-9.401913 -3.825271 0.8925561,-9.461006 -3.072512 1.061878,-9.47835 -2.361425 1.180399,0.610, 1 0
-2.945394 -7.639957 -0.5263214,-3.517164 -7.521013 -0.1821112,-4.088968 -7.097974 0.01444423,-4.546425 -6.644851 0.197065,-4.907709 -6.450705 0.4085046,-3.857277 -5.377523 -0.246493,-4.149889 -4.366575 -0.06903386,-4.294312 -3.732307 0.08818519,-4.393175 -3.148685 0.2601342,-3.554344 -5.091868 -0.2533877,-3.815445 -3.921987 -0.09064448,-3.815445 -3.921987 -0.09064448,-4.05172 -2.59122 0.2771158,-3.226339 -5.04096 -0.2088028,-3.413646 -3.930542 -0.02994955,-3.536333 -3.254699 0.1351174,-3.654513 -2.666618 0.2787104,-2.858348 -5.207469 -0.1286711,-2.795522 -4.333597 0.06666255,-2.760263 -3.776777 0.221141,-2.735838 -3.259126 0.3529289,-8.921289 -8.148766 0.07328332,-8.196162 -7.948183 0.3046196,-7.526725 -7.23447 0.5418528,-7.027794 -6.658082 0.8491026,-6.541087 -6.488805 1.222337,-7.972575 -4.920318 0.1154736,-7.773482 -3.663794 0.2386737,-7.680241 -2.858101 0.4248981,-7.600763 -2.161035 0.579502,-8.385909 -4.635536 0.2863362,-8.224548 -3.132253 0.3396454,-8.115784 -2.142032 0.5849159,-8.022457 -1.305289 0.788272,-8.810148 -4.669764 0.5046921,-8.706452 -3.224761 0.6003882,-8.624043 -2.287895 0.8362607,-8.530142 -1.494874 1.014747,-9.254637 -4.975088 0.7625987,-9.386663 -3.827123 0.92119,-9.442647 -3.071231 1.094044,-9.458355 -2.369056 1.212247,0.710, 1 0
-2.951579 -7.643493 -0.5273359,-3.522223 -7.510748 -0.1997353,-4.093717 -7.07246 -0.01556402,-4.557499 -6.621559 0.1568784,-4.923687 -6.441419 0.3585433,-3.855675 -5.379709 -0.2697104,-4.148267 -4.369838 -0.09438574,-4.290044 -3.728984 0.06404066,-4.383139 -3.136406 0.2385056,-3.555576 -5.092711 -0.2718688,-3.817635 -3.926264 -0.1114717,-3.817635 -3.926264 -0.1114717,-4.048141 -2.583833 0.2532456,-3.228446 -5.0407 -0.2275022,-3.413513 -3.929175 -0.05033246,-3.531849 -3.254934 0.1096442,-3.645983 -2.665962 0.2503278,-2.861326 -5.207231 -0.1465538,-2.792892 -4.337776 0.04804289,-2.74925 -3.779703 0.1979386,-2.716084 -3.251953 0.3265314,-8.929282 -8.160704 0.05449683,-8.19533 -7.955831 0.3022195,-7.522351 -7.242855 0.5484623,-7.025325 -6.650516 0.8638147,-6.545379 -6.450922 1.242467,-7.974427 -4.933556 0.1135626,-7.781843 -3.668936 0.2392065,-7.690621 -2.869494 0.4259152,-7.613721 -2.180912 0.5822195,-8.384052 -4.654703 0.2721319,-8.222742 -3.14195 0.3249521,-8.114801 -2.155136 0.5646647,-8.026381 -1.315674 0.7652199,-8.806861 -4.687213 0.4798663,-8.704281 -3.228698 0.5761237,-8.622337 -2.296158 0.8009542,-8.534128 -1.505652 0.9718887,-9.252236 -4.983525 0.7289823,-9.386797 -3.824584 0.8806375,-9.443464 -3.060571 1.047014,-9.463172 -2.351339 1.159597,0.810, 1 0
-2.953634 -7.700975 -0.5549926,-3.520031 -7.552026 -0.2235708,-4.080918 -7.106909 -0.03589851,-4.53612 -6.645435 0.1450756,-4.893967 -6.44904 0.3533829,-3.842947 -5.425904 -0.313797,-4.125223 -4.40706 -0.1202777,-4.259321 -3.762598 0.05630684,-4.34837 -3.169143 0.2396986,-3.54204 -5.154348 -0.3030552,-3.793663 -3.971781 -0.1336013,-3.793663 -3.971781 -0.1336013,-4.009838 -2.612616 0.2547969,-3.214777 -5.10753 -0.2393719,-3.40032 -3.985021 -0.06048679,-3.517887 -3.301299 0.1070029,-3.630103 -2.704912 0.255968,-2.847097 -5.267047 -0.1378499,-2.788682 -4.386209 0.05205536,-2.756042 -3.826025 0.1983979,-2.733005 -3.292608 0.323249,-8.943057 -8.156935 0.0959699,-8.214984 -7.961208 0.3592345,-7.530841 -7.238169 0.6158438,-7.023521 -6.659271 0.9376518,-6.544356 -6.464276 1.324244,-7.981902 -4.923341 0.1693772,-7.779832 -3.660881 0.3093511,-7.69095 -2.857236 0.5005426,-7.612189 -2.155994 0.6527674,-8.398558 -4.639346 0.3221523,-8.232515 -3.13565 0.3901975,-8.125982 -2.156059 0.626608,-8.031641 -1.312497 0.8201223,-8.826967 -4.668572 0.5260796,-8.716284 -3.229795 0.6313995,-8.632332 -2.301744 0.8594434,-8.535047 -1.507699 1.03059,-9.276561 -4.966896 0.7728159,-9.392702 -3.839731 0.9305905,-9.444834 -3.092235 1.10079,-9.456387 -2.391555 1.217962,0.910, 1 0
