WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-1.717092 -8.435665 0.0003517718,-2.443111 -8.195543 0.3379517,-3.124458 -7.692082 0.5523573,-3.657623 -7.168369 0.7547362,-4.058133 -6.848684 0.9799547,-2.691269 -5.693803 0.207123,-2.992914 -4.538328 0.4164559,-3.142208 -3.813543 0.5896625,-3.245655 -3.163833 0.7470316,-2.284154 -5.398803 0.2482255,-2.49171 -4.001741 0.4490588,-2.49171 -4.001741 0.4490588,-2.667448 -2.358819 0.8350513,-1.863277 -5.377757 0.3574769,-1.947284 -4.039108 0.5524237,-2.001772 -3.192986 0.7673439,-2.050875 -2.513114 0.9410325,-1.414514 -5.616205 0.5040786,-1.313709 -4.555139 0.6912039,-1.248609 -3.879273 0.8776523,-1.201751 -3.266243 1.032127,-9.082013 -8.578224 0.00125581,-8.34896 -8.35124 0.4082961,-7.660032 -7.662723 0.8079422,-7.132626 -7.108213 1.220116,-6.637781 -6.845647 1.718315,-8.061441 -5.563102 0.6185624,-7.857897 -4.284429 0.9717606,-7.768879 -3.514974 1.263894,-7.696876 -2.822884 1.4574,-8.505926 -5.299189 0.7290116,-8.302307 -3.821951 1.042553,-8.167114 -2.897141 1.344037,-8.061046 -2.076446 1.588096,-8.97606 -5.373802 0.8687275,-8.807379 -3.980489 1.171662,-8.663938 -3.120563 1.415105,-8.533751 -2.381118 1.593872,-9.472606 -5.715814 1.051407,-9.463236 -4.619275 1.343016,-9.419485 -3.890483 1.520783,-9.345534 -3.199022 1.665615,0.010, 1 0
-1.73254 -8.406683 -0.06409346,-2.442765 -8.178684 0.3046157,-3.114969 -7.683998 0.550702,-3.651733 -7.165499 0.7870267,-4.065062 -6.848005 1.049302,-2.68391 -5.687344 0.1866808,-2.991619 -4.539293 0.4063321,-3.142569 -3.815189 0.5917099,-3.249466 -3.155284 0.7592085,-2.284263 -5.388897 0.2190077,-2.496417 -4.001687 0.4353108,-2.496417 -4.001687 0.4353108,-2.668585 -2.358322 0.8473518,-1.870614 -5.367454 0.3195521,-1.960753 -4.035074 0.5261045,-2.010172 -3.189504 0.7560258,-2.055783 -2.501394 0.9416299,-1.430432 -5.614904 0.4571295,-1.324494 -4.560501 0.6500794,-1.248874 -3.881232 0.8437479,-1.191313 -3.255244 1.007967,-9.098946 -8.5383 0.07160342,-8.362188 -8.327259 0.5061323,-7.669265 -7.632946 0.9033895,-7.139669 -7.06867 1.305254,-6.64656 -6.805797 1.786733,-8.067218 -5.5167 0.6939622,-7.860718 -4.262735 1.037762,-7.775638 -3.493461 1.324922,-7.713392 -2.797456 1.519597,-8.512553 -5.237109 0.7852702,-8.301455 -3.789542 1.094741,-8.17322 -2.863907 1.398313,-8.074197 -2.039629 1.651698,-8.983599 -5.297264 0.9074447,-8.805433 -3.93629 1.202508,-8.667579 -3.081231 1.444868,-8.545773 -2.347575 1.62631,-9.48332 -5.624277 1.074995,-9.465613 -4.55226 1.359465,-9.420213 -3.836349 1.53338,-9.347998 -3.163134 1.6794,0.110, 1 0
-1.728883 -8.437473 -0.02630335,-2.447537 -8.202875 0.3103333,-3.121799 -7.680557 0.5177303,-3.655144 -7.140838 0.7141282,-4.048555 -6.822019 0.9336678,-2.6875 -5.700251 0.1699856,-2.997322 -4.556518 0.3737086,-3.150502 -3.827119 0.5433981,-3.256577 -3.165373 0.7035909,-2.285447 -5.405391 0.2083668,-2.49515 -4.010679 0.3991034,-2.49515 -4.010679 0.3991034,-2.672617 -2.355504 0.7775286,-1.869913 -5.381601 0.3146878,-1.963963 -4.0365 0.501205,-2.019129 -3.175523 0.723559,-2.067602 -2.479937 0.9027809,-1.42757 -5.62097 0.4550717,-1.325546 -4.555851 0.6338291,-1.254349 -3.874219 0.8186341,-1.196524 -3.256738 0.9769139,-9.078013 -8.509604 0.08791982,-8.35234 -8.275316 0.5286768,-7.670877 -7.597194 0.9362196,-7.146139 -7.041769 1.3541,-6.652847 -6.772952 1.848492,-8.071686 -5.467404 0.6902958,-7.870632 -4.220147 1.014219,-7.781318 -3.453583 1.296274,-7.710712 -2.761705 1.49343,-8.511146 -5.196214 0.782953,-8.300322 -3.75168 1.07114,-8.165723 -2.829206 1.37331,-8.060369 -2.010105 1.632554,-8.974063 -5.257637 0.9084449,-8.799301 -3.907119 1.18205,-8.657511 -3.065114 1.414739,-8.527163 -2.345764 1.592882,-9.466992 -5.585744 1.084627,-9.451458 -4.522766 1.354116,-9.399602 -3.810441 1.518551,-9.318732 -3.137781 1.656382,0.210, 1 0
-1.686643 -8.467964 0.2044015,-2.398971 -8.244427 0.5153025,-3.092024 -7.694807 0.7025453,-3.637764 -7.134172 0.8897825,-4.051102 -6.812559 1.10959,-2.699643 -5.685594 0.3126709,-3.013448 -4.526042 0.4922908,-3.173184 -3.804609 0.6624647,-3.285288 -3.150309 0.8272511,-2.293755 -5.373032 0.3566247,-2.513897 -3.986396 0.5132168,-2.513897 -3.986396 0.5132168,-2.69574 -2.340169 0.8921368,-1.873587 -5.346654 0.4674733,-1.978763 -4.02522 0.6334914,-2.043168 -3.184326 0.85099,-2.100215 -2.498825 1.025969,-1.426816 -5.593545 0.6150202,-1.332454 -4.544597 0.7769244,-1.271645 -3.882022 0.9579891,-1.224833 -3.26937 1.109172,-9.109217 -8.529081 0.2297466,-8.392078 -8.309164 0.6975754,-7.698176 -7.627525 1.109331,-7.163957 -7.047711 1.520054,-6.66118 -6.773374 2.006345,-8.087243 -5.478956 0.8869106,-7.877954 -4.229506 1.233711,-7.792373 -3.45479 1.51878,-7.725933 -2.762182 1.715518,-8.533832 -5.182109 0.9574296,-8.31969 -3.739698 1.269979,-8.188711 -2.805789 1.577377,-8.084302 -1.984389 1.83657,-9.006149 -5.238042 1.058871,-8.828822 -3.883081 1.354143,-8.690088 -3.031177 1.581982,-8.560216 -2.317783 1.753969,-9.506589 -5.564685 1.211031,-9.481833 -4.501764 1.488497,-9.430407 -3.792242 1.648572,-9.348153 -3.139486 1.782111,0.310, 1 0
-1.699281 -8.444185 0.09358435,-2.420673 -8.218903 0.4097982,-3.116049 -7.658024 0.5912043,-3.664047 -7.083211 0.7676301,-4.065574 -6.765823 1.014502,-2.702729 -5.685802 0.231873,-3.012628 -4.522628 0.4132378,-3.172516 -3.801445 0.5810333,-3.288692 -3.14816 0.7414644,-2.294803 -5.380138 0.2622645,-2.51215 -4.008174 0.4254115,-2.51215 -4.008174 0.4254115,-2.703001 -2.370957 0.8079338,-1.873875 -5.354556 0.3636118,-1.978959 -4.047447 0.5345333,-2.049024 -3.213476 0.7484587,-2.113526 -2.529537 0.9235738,-1.426372 -5.594532 0.4990447,-1.334354 -4.545158 0.6681914,-1.275783 -3.881616 0.8519768,-1.231563 -3.265962 1.007133,-9.123158 -8.500154 0.1294227,-8.399857 -8.282021 0.6215526,-7.702316 -7.619166 1.03392,-7.158046 -7.056762 1.443245,-6.656985 -6.772995 1.929191,-8.090593 -5.462389 0.7497546,-7.875227 -4.192632 1.089266,-7.78506 -3.401967 1.37815,-7.716986 -2.694614 1.574973,-8.534586 -5.176348 0.8153758,-8.316013 -3.718292 1.108842,-8.18252 -2.78215 1.405412,-8.084615 -1.969032 1.653524,-9.004737 -5.239734 0.9207553,-8.829457 -3.877793 1.217961,-8.690105 -3.014728 1.455276,-8.564477 -2.2947 1.629454,-9.507028 -5.571739 1.085224,-9.484771 -4.51954 1.380409,-9.432846 -3.810501 1.559278,-9.351943 -3.162255 1.694624,0.410, 1 0
-1.710632 -8.450006 0.08528657,-2.429797 -8.220564 0.3828699,-3.119713 -7.649293 0.5554261,-3.666855 -7.071342 0.7251572,-4.074753 -6.750094 0.9226213,-2.710622 -5.692911 0.1978248,-3.021591 -4.53769 0.3754728,-3.180084 -3.817033 0.5415512,-3.2945 -3.159824 0.698329,-2.306828 -5.387804 0.2397572,-2.524525 -4.003421 0.4057085,-2.524525 -4.003421 0.4057085,-2.703783 -2.372504 0.7826692,-1.89011 -5.354585 0.3496671,-2.00014 -4.029897 0.5282325,-2.070273 -3.194583 0.7428789,-2.133817 -2.509827 0.9149389,-1.446338 -5.583489 0.490836,-1.356181 -4.532365 0.6613294,-1.295461 -3.868494 0.842751,-1.247527 -3.253261 0.9959691,-9.119925 -8.530964 0.1537318,-8.396109 -8.31963 0.6026478,-7.694934 -7.631572 1.009287,-7.153354 -7.05463 1.42004,-6.644031 -6.777374 1.911282,-8.089067 -5.498022 0.7901412,-7.880117 -4.222496 1.13578,-7.788729 -3.440868 1.416825,-7.715192 -2.739599 1.609707,-8.53385 -5.207368 0.8767667,-8.310304 -3.737327 1.197368,-8.174034 -2.798034 1.502925,-8.06879 -1.972911 1.756985,-9.005761 -5.270499 0.9946077,-8.812259 -3.891328 1.301491,-8.663863 -3.014996 1.543464,-8.528039 -2.27523 1.723716,-9.5093 -5.607711 1.161403,-9.477457 -4.523659 1.457641,-9.419171 -3.804056 1.639653,-9.333292 -3.144437 1.786147,0.510, 1 0
-1.790594 -8.459955 -0.1707571,-2.503319 -8.218779 0.1329969,-3.174543 -7.694557 0.3354446,-3.706046 -7.142709 0.5347175,-4.097741 -6.817623 0.7628384,-2.758881 -5.748461 -0.03077278,-3.061919 -4.592873 0.1724206,-3.217936 -3.866212 0.3324561,-3.322863 -3.221234 0.4789001,-2.370033 -5.470674 0.01080686,-2.594607 -4.084056 0.1958669,-2.594607 -4.084056 0.1958669,-2.766103 -2.473355 0.5442645,-1.966966 -5.451837 0.1289492,-2.086948 -4.120152 0.3039322,-2.168404 -3.269673 0.4951776,-2.23617 -2.568415 0.6475555,-1.538884 -5.677324 0.274408,-1.443961 -4.632407 0.4347965,-1.391417 -3.968109 0.5985975,-1.346923 -3.356177 0.7315739,-9.182623 -8.598097 0.1467631,-8.460431 -8.405849 0.5855978,-7.77467 -7.701925 0.9673946,-7.259118 -7.097486 1.351498,-6.748578 -6.836782 1.811253,-8.152915 -5.564186 0.7679995,-7.952518 -4.27853 1.088244,-7.883509 -3.487003 1.33929,-7.83585 -2.779182 1.51307,-8.592811 -5.269729 0.8341278,-8.378496 -3.787202 1.121049,-8.246225 -2.845747 1.392695,-8.140862 -2.034381 1.607388,-9.053834 -5.323925 0.9300824,-8.892715 -3.920303 1.209038,-8.760685 -3.041421 1.452736,-8.624295 -2.308579 1.638243,-9.538015 -5.654964 1.066825,-9.527426 -4.570028 1.346298,-9.480193 -3.849641 1.557134,-9.397652 -3.19945 1.725724,0.610, 1 0
-1.886006 -8.506016 -0.2650424,-2.571047 -8.2827 0.06029046,-3.211636 -7.763266 0.2672773,-3.703842 -7.213402 0.4665598,-4.067833 -6.882301 0.6846586,-2.794635 -5.809936 -0.04102413,-3.095765 -4.691782 0.1612067,-3.248651 -3.982049 0.3074623,-3.352957 -3.343275 0.443507,-2.405171 -5.537446 -0.02188787,-2.616423 -4.196553 0.1622669,-2.616423 -4.196553 0.1622669,-2.789191 -2.634734 0.4820533,-2.006284 -5.515717 0.06783822,-2.121595 -4.221988 0.2342167,-2.210061 -3.401454 0.4148998,-2.284938 -2.737928 0.5558072,-1.580751 -5.729984 0.1829715,-1.47992 -4.678024 0.3445399,-1.425982 -4.013235 0.507425,-1.386933 -3.407572 0.6446277,-9.30685 -8.697596 0.1326048,-8.569489 -8.491508 0.5818955,-7.873424 -7.776155 0.9407954,-7.355186 -7.164705 1.303506,-6.848242 -6.900616 1.740833,-8.243228 -5.671859 0.740977,-8.039191 -4.401458 1.050647,-7.963902 -3.61103 1.305302,-7.911826 -2.902835 1.486699,-8.677548 -5.376127 0.7976255,-8.475255 -3.90257 1.079281,-8.345737 -2.965906 1.351564,-8.24148 -2.149449 1.569258,-9.127541 -5.422321 0.8852984,-8.994081 -4.034847 1.163591,-8.859581 -3.162979 1.407464,-8.716615 -2.44654 1.59028,-9.597349 -5.737587 1.010707,-9.609248 -4.675774 1.304892,-9.561001 -3.964653 1.512417,-9.483624 -3.339843 1.667229,0.710, 1 0
-1.992605 -8.786499 -0.4829341,-2.637653 -8.536831 -0.0982483,-3.224512 -8.047695 0.1319206,-3.684874 -7.486679 0.3330651,-4.045578 -7.153116 0.5712526,-2.829351 -6.155548 -0.1798086,-3.119877 -5.071561 0.0001029372,-3.26378 -4.380971 0.1358908,-3.355346 -3.751194 0.2738753,-2.453258 -5.872175 -0.2318689,-2.667043 -4.584054 -0.0809519,-2.667043 -4.584054 -0.0809519,-2.840906 -3.049913 0.2329586,-2.079632 -5.864447 -0.2153271,-2.179164 -4.634754 -0.08787394,-2.261354 -3.85019 0.1060363,-2.32605 -3.198776 0.2613659,-1.691294 -6.089002 -0.1761339,-1.581339 -5.086294 -0.03284219,-1.527225 -4.446359 0.1481819,-1.487485 -3.85464 0.3074988,-9.380923 -8.901016 0.05402754,-8.670337 -8.63846 0.4672409,-7.998123 -7.860748 0.7938462,-7.503987 -7.202554 1.131621,-7.01666 -6.916816 1.521713,-8.403201 -5.847611 0.6045114,-8.206569 -4.529872 0.8814393,-8.118796 -3.744612 1.098055,-8.051011 -3.04834 1.270502,-8.824247 -5.581336 0.6750425,-8.634451 -4.077754 0.9377292,-8.511449 -3.152253 1.214195,-8.406517 -2.342813 1.44266,-9.250339 -5.628238 0.7819273,-9.116783 -4.213122 1.038184,-8.99306 -3.33571 1.282571,-8.854042 -2.612428 1.484897,-9.698305 -5.937477 0.9132658,-9.708589 -4.839883 1.168451,-9.66808 -4.132837 1.363158,-9.611388 -3.521863 1.514632,0.810, 1 0
-2.057167 -9.009462 -0.8463892,-2.685903 -8.787142 -0.3972845,-3.243025 -8.31834 -0.1417917,-3.688761 -7.765506 0.05438226,-4.024691 -7.442523 0.2656857,-2.848111 -6.482288 -0.4610428,-3.137383 -5.39429 -0.279703,-3.272882 -4.694546 -0.1474239,-3.353436 -4.092597 -0.02607298,-2.48491 -6.197549 -0.5734135,-2.705984 -4.893217 -0.430279,-2.705984 -4.893217 -0.430279,-2.865385 -3.363014 -0.1505677,-2.127196 -6.185064 -0.6150525,-2.224802 -4.954839 -0.5312568,-2.304874 -4.193273 -0.3796679,-2.372157 -3.576859 -0.2592632,-1.764326 -6.397398 -0.6292275,-1.659449 -5.413883 -0.5250732,-1.60714 -4.793121 -0.3856919,-1.569104 -4.244952 -0.2626853,-9.675332 -9.526991 -0.6530076,-8.986517 -9.293644 -0.1580396,-8.318514 -8.479782 0.1976193,-7.81945 -7.84422 0.5625352,-7.327489 -7.534748 0.949358,-8.780301 -6.556148 -0.1550012,-8.586512 -5.134246 0.1448032,-8.477465 -4.341518 0.34963,-8.37904 -3.660003 0.4972606,-9.199177 -6.3869 -0.1170459,-9.006609 -4.785444 0.1429752,-8.871128 -3.863851 0.3935827,-8.758562 -3.04503 0.5588863,-9.606162 -6.509421 -0.02885014,-9.504195 -5.001583 0.2587274,-9.382852 -4.127679 0.4800164,-9.244206 -3.399363 0.6305103,-10.0228 -6.893667 0.09499186,-10.06752 -5.747333 0.3917384,-10.01843 -5.085906 0.5881519,-9.939541 -4.516733 0.7012043,0.910, 1 0
