WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.867682 -6.875513 -0.09804311,-3.544479 -6.597355 0.1448082,-4.136343 -6.006613 0.281386,-4.58964 -5.418041 0.4271857,-4.908609 -5.115797 0.5968487,-3.721191 -4.220459 -0.01862086,-4.035986 -3.105053 0.1562352,-4.204344 -2.433195 0.3108801,-4.333786 -1.795208 0.4554277,-3.381347 -3.955516 0.05470192,-3.608474 -2.630879 0.2047863,-3.608474 -2.630879 0.2047863,-3.834434 -1.092776 0.5883649,-3.031906 -3.942173 0.2003806,-3.15533 -2.645719 0.3815647,-3.256065 -1.838554 0.5742647,-3.370489 -1.146649 0.7435298,-2.657852 -4.16587 0.378129,-2.541096 -3.186633 0.5466444,-2.491179 -2.553729 0.7048528,-2.461569 -1.9473 0.8305154,-9.6101 -7.085269 -0.05076795,-8.939678 -6.730722 0.2302036,-8.319403 -6.007028 0.4775284,-7.86418 -5.39137 0.7713649,-7.451584 -5.104227 1.074785,-8.853044 -3.937388 0.1330679,-8.732681 -2.662493 0.3082503,-8.68344 -1.869546 0.5197683,-8.642241 -1.187844 0.6884397,-9.269381 -3.766777 0.2027782,-9.192351 -2.281353 0.3687808,-9.139323 -1.334853 0.6241763,-9.108562 -0.5433469 0.8411164,-9.666357 -3.873118 0.3039865,-9.638947 -2.518692 0.4481227,-9.593769 -1.656051 0.6327115,-9.533392 -0.9282832 0.7646163,-10.06139 -4.237572 0.437449,-10.18709 -3.254224 0.5739834,-10.22892 -2.631558 0.699973,-10.24049 -2.022062 0.7948835,0.010, 1 0
-2.879089 -6.864992 -0.0304827,-3.542765 -6.608072 0.1560905,-4.123556 -5.990724 0.270045,-4.574073 -5.402389 0.4142804,-4.902276 -5.099364 0.5871701,-3.718246 -4.181249 -0.03932558,-4.026312 -3.079246 0.1056808,-4.189892 -2.437633 0.2312477,-4.317244 -1.820011 0.3545638,-3.393561 -3.923864 0.08939782,-3.60881 -2.606337 0.2157538,-3.60881 -2.606337 0.2157538,-3.837278 -1.083752 0.5677891,-3.050933 -3.922016 0.2769884,-3.162968 -2.595187 0.4571205,-3.269446 -1.773994 0.6227027,-3.38365 -1.077674 0.773759,-2.672185 -4.176157 0.5065705,-2.521924 -3.177015 0.667972,-2.446522 -2.525638 0.8112907,-2.389713 -1.902256 0.9416106,-9.59036 -7.083645 -0.0677857,-8.936059 -6.713085 0.2080355,-8.327269 -5.979854 0.4449447,-7.88826 -5.358175 0.7245475,-7.481756 -5.09144 1.014627,-8.855187 -3.941553 0.1228633,-8.733847 -2.686253 0.2866756,-8.685314 -1.908469 0.4883762,-8.647971 -1.234632 0.6599072,-9.271192 -3.768312 0.1907228,-9.186626 -2.282802 0.3448029,-9.126382 -1.333709 0.5949353,-9.090025 -0.545917 0.8054552,-9.665379 -3.874531 0.2891176,-9.635078 -2.516877 0.4208409,-9.587699 -1.648681 0.5934169,-9.525328 -0.9213138 0.7207063,-10.05045 -4.241968 0.4206673,-10.17804 -3.260757 0.5497478,-10.21969 -2.634918 0.6730552,-10.23093 -2.031204 0.7637203,0.110, 1 0
-2.874084 -6.878826 -0.02257461,-3.544676 -6.620347 0.1908548,-4.125125 -6.037794 0.3196093,-4.572505 -5.447271 0.4698725,-4.901484 -5.138896 0.6597195,-3.722322 -4.201712 0.0008797608,-4.032825 -3.102425 0.1398251,-4.198739 -2.456888 0.2571509,-4.323944 -1.83402 0.3769313,-3.38766 -3.935521 0.1030761,-3.612577 -2.618191 0.2264717,-3.612577 -2.618191 0.2264717,-3.839146 -1.100708 0.5673413,-3.0414 -3.923547 0.2654167,-3.155102 -2.620281 0.4236008,-3.262696 -1.817746 0.5860868,-3.376362 -1.130244 0.7406915,-2.663992 -4.168294 0.467658,-2.515351 -3.187536 0.6257215,-2.442868 -2.542369 0.7768404,-2.389944 -1.91924 0.9134594,-9.642317 -7.073257 -0.06898063,-8.969245 -6.744648 0.2751804,-8.331394 -6.004087 0.5381759,-7.8822 -5.365757 0.8289414,-7.463062 -5.104646 1.118815,-8.865744 -3.953481 0.2115228,-8.738734 -2.694271 0.4014747,-8.693872 -1.923441 0.6061064,-8.660748 -1.260291 0.7653752,-9.289974 -3.766753 0.2483632,-9.194908 -2.269964 0.4249092,-9.140835 -1.326798 0.6674631,-9.113585 -0.5365853 0.879921,-9.691092 -3.865591 0.318655,-9.642841 -2.489314 0.4772206,-9.601911 -1.60923 0.6647872,-9.549834 -0.8639684 0.8079095,-10.08955 -4.233169 0.4274212,-10.19316 -3.24183 0.5628033,-10.23474 -2.63025 0.6885651,-10.24951 -2.040883 0.798597,0.210, 1 0
-2.855946 -6.876955 -0.09493653,-3.528606 -6.595987 0.1521719,-4.113666 -6.031435 0.3106019,-4.566124 -5.450634 0.4808376,-4.895088 -5.144922 0.6836188,-3.729662 -4.225723 0.004857972,-4.032306 -3.106739 0.1827486,-4.191855 -2.448586 0.3187366,-4.307777 -1.819903 0.4483168,-3.388139 -3.961041 0.0885129,-3.614559 -2.636344 0.235502,-3.614559 -2.636344 0.235502,-3.828136 -1.102909 0.5888723,-3.035743 -3.952955 0.2347583,-3.153891 -2.651648 0.3992562,-3.256774 -1.861471 0.5636942,-3.367317 -1.179764 0.7166794,-2.651582 -4.195914 0.4195808,-2.515449 -3.21227 0.5812134,-2.449421 -2.574941 0.7344363,-2.404964 -1.95672 0.8632532,-9.661593 -7.095827 0.01269626,-8.988957 -6.750398 0.3254181,-8.350121 -6.005285 0.5791186,-7.89588 -5.369226 0.8720917,-7.476218 -5.098663 1.178387,-8.866755 -3.950542 0.2352627,-8.739957 -2.703603 0.4094045,-8.690323 -1.934414 0.6009031,-8.650539 -1.273898 0.7515008,-9.283347 -3.765163 0.2914532,-9.189081 -2.292151 0.4509091,-9.123294 -1.358883 0.6892686,-9.084536 -0.5719466 0.8966499,-9.682891 -3.867228 0.385701,-9.636164 -2.52598 0.5239056,-9.579486 -1.671526 0.6972189,-9.514406 -0.9495301 0.8244326,-10.08309 -4.232288 0.5149673,-10.20049 -3.253898 0.6523322,-10.23966 -2.634745 0.7796436,-10.25317 -2.039593 0.8832793,0.310, 1 0
-2.860951 -6.882437 -0.09310005,-3.522629 -6.633726 0.1431774,-4.107664 -6.052269 0.2929001,-4.567492 -5.458492 0.466785,-4.899712 -5.123441 0.6822265,-3.719284 -4.235035 -0.04760249,-4.02511 -3.120842 0.107045,-4.183935 -2.468531 0.2359257,-4.303776 -1.836401 0.3632209,-3.382708 -3.961728 0.04843618,-3.602087 -2.651014 0.1774698,-3.602087 -2.651014 0.1774698,-3.822464 -1.127159 0.5245833,-3.033655 -3.947889 0.2090606,-3.142709 -2.646366 0.3795542,-3.253361 -1.842709 0.5477817,-3.370478 -1.160818 0.7025971,-2.653401 -4.195644 0.4097372,-2.487163 -3.21466 0.5708897,-2.407232 -2.567849 0.721507,-2.344164 -1.949174 0.8526465,-9.651822 -7.129198 0.04170372,-8.977499 -6.77567 0.3588552,-8.335558 -6.026084 0.6129847,-7.875997 -5.386266 0.9039651,-7.463943 -5.10989 1.19218,-8.862866 -3.973672 0.2783383,-8.72481 -2.711851 0.4553416,-8.669676 -1.935345 0.6560672,-8.626082 -1.269046 0.8109371,-9.276854 -3.790148 0.3245305,-9.180882 -2.303802 0.4935096,-9.12054 -1.355743 0.7393934,-9.089805 -0.559032 0.9540802,-9.669201 -3.893535 0.4067087,-9.629011 -2.534593 0.5589697,-9.578333 -1.655922 0.7395717,-9.518094 -0.9126134 0.8752149,-10.06219 -4.261536 0.5234466,-10.18215 -3.263368 0.6682188,-10.22388 -2.650104 0.7949257,-10.23902 -2.063982 0.896795,0.410, 1 0
-2.862223 -6.92941 -0.06241182,-3.524536 -6.643333 0.155738,-4.103098 -6.041312 0.2984537,-4.565828 -5.447393 0.4698141,-4.895973 -5.109886 0.6816145,-3.709846 -4.261748 -0.02590379,-4.010324 -3.147192 0.1414,-4.171324 -2.478918 0.2804875,-4.293142 -1.848218 0.4189503,-3.37656 -3.998528 0.0791837,-3.589331 -2.675526 0.2159239,-3.589331 -2.675526 0.2159239,-3.810051 -1.127435 0.5592129,-3.029932 -3.988806 0.2486369,-3.135054 -2.682934 0.4122768,-3.238729 -1.865779 0.5697963,-3.351389 -1.174297 0.7146648,-2.650455 -4.233076 0.4582317,-2.500528 -3.24844 0.6125669,-2.42992 -2.596649 0.7522718,-2.377767 -1.975903 0.8701793,-9.630136 -7.087673 -0.005259505,-8.95634 -6.740498 0.3370101,-8.328703 -6.002108 0.6015915,-7.873985 -5.36337 0.8934842,-7.445532 -5.10919 1.182317,-8.850039 -3.956578 0.2876294,-8.714167 -2.697872 0.4917831,-8.665853 -1.925316 0.7050211,-8.632168 -1.255428 0.8784711,-9.271874 -3.764513 0.3238184,-9.163963 -2.252539 0.5180801,-9.110397 -1.306055 0.7743648,-9.086256 -0.5140548 0.9941425,-9.668947 -3.860878 0.3902128,-9.620809 -2.469836 0.5705855,-9.578674 -1.584238 0.7639796,-9.524979 -0.8308415 0.9082109,-10.0675 -4.228678 0.4931407,-10.17867 -3.239339 0.64807,-10.22247 -2.628692 0.7750151,-10.23512 -2.034805 0.8806846,0.510, 1 0
-2.846147 -6.916862 -0.03456501,-3.51571 -6.655159 0.155827,-4.102893 -6.053844 0.2739619,-4.567598 -5.45582 0.4248081,-4.891066 -5.142173 0.6128669,-3.70472 -4.242012 -0.06563774,-4.009856 -3.131236 0.074507,-4.174752 -2.474489 0.2023076,-4.300241 -1.850013 0.3303074,-3.375158 -3.978138 0.04418425,-3.594716 -2.657489 0.1554713,-3.594716 -2.657489 0.1554713,-3.812789 -1.121731 0.4948742,-3.029585 -3.965965 0.215966,-3.143852 -2.669538 0.365595,-3.24895 -1.862582 0.5182956,-3.357999 -1.171588 0.6593906,-2.65204 -4.204971 0.4262219,-2.501863 -3.235044 0.5692843,-2.428946 -2.59325 0.7060235,-2.36968 -1.970579 0.8186901,-9.597535 -7.105867 0.009745372,-8.93549 -6.755959 0.3355242,-8.313067 -6.009681 0.593978,-7.870498 -5.356665 0.8834332,-7.456077 -5.072829 1.169891,-8.831266 -3.967106 0.2715143,-8.701205 -2.714036 0.4508225,-8.653744 -1.941288 0.6475408,-8.619714 -1.266635 0.8121315,-9.250084 -3.775076 0.3160543,-9.150717 -2.274809 0.4931266,-9.092945 -1.324788 0.7519966,-9.064116 -0.5289874 0.973507,-9.646182 -3.874646 0.3914069,-9.609251 -2.49773 0.5510091,-9.566316 -1.610226 0.7412934,-9.511209 -0.8602118 0.8872548,-10.0439 -4.243402 0.5021405,-10.16858 -3.246372 0.6468594,-10.21189 -2.624362 0.7710812,-10.22639 -2.025813 0.8708658,0.610, 1 0
-2.831708 -6.905378 -0.06630622,-3.498136 -6.664331 0.1345918,-4.092342 -6.061052 0.2576578,-4.561378 -5.462305 0.4087218,-4.886023 -5.142501 0.5914133,-3.69775 -4.245534 -0.063285,-4.006754 -3.139259 0.08898796,-4.172038 -2.483728 0.2135661,-4.300546 -1.848399 0.3302346,-3.372854 -3.979493 0.05348308,-3.593406 -2.659294 0.1886031,-3.593406 -2.659294 0.1886031,-3.820938 -1.13546 0.5473348,-3.03163 -3.963748 0.2316489,-3.1442 -2.645663 0.4094647,-3.253893 -1.837759 0.5756143,-3.36833 -1.147286 0.7302508,-2.656519 -4.20556 0.4493414,-2.492768 -3.225469 0.6086984,-2.417791 -2.584053 0.750976,-2.35827 -1.972945 0.8709671,-9.609852 -7.107478 -0.01989972,-8.934364 -6.756473 0.2916625,-8.307563 -6.019186 0.544598,-7.857295 -5.385859 0.8378806,-7.448431 -5.10909 1.128754,-8.834874 -3.960426 0.1920829,-8.705915 -2.690803 0.359294,-8.654043 -1.910337 0.5566967,-8.612255 -1.243415 0.7161599,-9.247894 -3.782847 0.2399473,-9.163506 -2.285842 0.4021159,-9.107908 -1.348266 0.6538975,-9.075034 -0.5610814 0.8682758,-9.640032 -3.881956 0.3207215,-9.604088 -2.513982 0.4602715,-9.55633 -1.65111 0.6489666,-9.493402 -0.9195647 0.784371,-10.03085 -4.239563 0.4355648,-10.15554 -3.252058 0.5653114,-10.20093 -2.641492 0.6907194,-10.21585 -2.046232 0.7887819,0.710, 1 0
-2.807693 -6.878091 -0.1235615,-3.460554 -6.646307 0.1165429,-4.056807 -6.039838 0.2612826,-4.530301 -5.453198 0.4293364,-4.861116 -5.127227 0.6294191,-3.681711 -4.241106 -0.05448869,-3.994133 -3.13071 0.1076961,-4.157521 -2.470672 0.2474816,-4.284662 -1.834531 0.386106,-3.349694 -3.970941 0.03658336,-3.565371 -2.647995 0.1755839,-3.565371 -2.647995 0.1755839,-3.784224 -1.106219 0.5414585,-3.00163 -3.951879 0.1872592,-3.119211 -2.658947 0.3562866,-3.228645 -1.849434 0.519635,-3.34584 -1.158826 0.6775732,-2.620728 -4.17777 0.3794755,-2.472002 -3.199086 0.5372019,-2.400358 -2.549146 0.6839107,-2.346945 -1.922695 0.8113549,-9.568069 -7.110603 -0.01432589,-8.898441 -6.745143 0.3230413,-8.274827 -5.995702 0.5899304,-7.829075 -5.357648 0.8883647,-7.413013 -5.066511 1.189791,-8.820259 -3.96961 0.2494076,-8.681458 -2.697317 0.436637,-8.626935 -1.922969 0.6489889,-8.587613 -1.253678 0.8159773,-9.235997 -3.784936 0.2891122,-9.13822 -2.287092 0.4721415,-9.080855 -1.340718 0.7300248,-9.051666 -0.5479894 0.9549275,-9.626203 -3.891225 0.3615502,-9.590468 -2.513413 0.525987,-9.543698 -1.621345 0.7257977,-9.486031 -0.8690724 0.8783261,-10.0138 -4.264469 0.4718068,-10.13773 -3.266061 0.6206432,-10.17885 -2.641535 0.756382,-10.1894 -2.039605 0.8673226,0.810, 1 0
-2.753432 -6.836582 -0.2138967,-3.413848 -6.634566 0.03834254,-4.014179 -6.067672 0.1883534,-4.484331 -5.487363 0.3530356,-4.822277 -5.157592 0.5487302,-3.627146 -4.234361 -0.1362537,-3.941868 -3.131521 0.003390893,-4.103116 -2.473234 0.1250599,-4.223806 -1.844458 0.2499926,-3.289968 -3.954322 -0.06142251,-3.516766 -2.63102 0.06789157,-3.516766 -2.63102 0.06789157,-3.737551 -1.117859 0.4263295,-2.942541 -3.925758 0.07639745,-3.06848 -2.635036 0.2304544,-3.184822 -1.833697 0.3995756,-3.303976 -1.150146 0.5610375,-2.564008 -4.144527 0.253287,-2.421205 -3.163631 0.4015578,-2.360332 -2.515959 0.5550831,-2.315099 -1.896072 0.6924816,-9.555704 -7.12746 0.01374987,-8.87676 -6.760639 0.3172808,-8.243528 -6.016239 0.5777965,-7.783876 -5.387994 0.8824935,-7.364717 -5.100159 1.191054,-8.772278 -3.962284 0.2392099,-8.653598 -2.682235 0.4205381,-8.602931 -1.904859 0.6266826,-8.561778 -1.236809 0.7855321,-9.189227 -3.79617 0.3045214,-9.109024 -2.309453 0.4750678,-9.058538 -1.36156 0.7326648,-9.026226 -0.563519 0.9552051,-9.587343 -3.913725 0.4056565,-9.553448 -2.544158 0.5580984,-9.508005 -1.66468 0.7470808,-9.447894 -0.9275641 0.8862584,-9.982648 -4.28848 0.5376575,-10.10225 -3.281377 0.6830552,-10.14335 -2.634533 0.8095224,-10.15411 -2.012828 0.9018241,0.910, 1 0
