WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.211337 -6.922903 0.000512586,-2.849723 -6.684713 0.2486675,-3.376265 -6.023595 0.4035667,-3.708363 -5.327602 0.5842136,-4.068335 -4.864604 0.8154818,-3.002375 -4.406991 0.03778464,-3.236917 -3.380043 0.1904734,-3.361489 -2.771848 0.2903313,-3.456676 -2.197586 0.3632223,-2.661826 -4.186403 0.1005241,-2.807019 -2.972932 0.2482019,-2.807019 -2.972932 0.2482019,-2.936372 -1.552884 0.5218365,-2.324806 -4.194507 0.2388949,-2.386109 -3.011743 0.4074231,-2.468755 -2.250739 0.5881098,-2.543503 -1.586723 0.7403963,-1.965669 -4.407396 0.4090894,-1.90975 -3.492376 0.5690608,-1.907785 -2.896594 0.7372356,-1.917488 -2.344106 0.8822401,-8.286999 -6.656686 0.0005364268,-7.659748 -6.431523 0.2999629,-7.146914 -5.808676 0.5269822,-6.840206 -5.116397 0.7859602,-6.551004 -4.708202 1.054531,-7.501519 -4.102117 0.2342695,-7.343176 -3.048254 0.4080707,-7.264987 -2.388518 0.5686295,-7.196937 -1.818746 0.6837718,-7.849286 -3.872358 0.2823747,-7.702082 -2.641262 0.4096403,-7.607015 -1.864798 0.615351,-7.52464 -1.193126 0.7698959,-8.19104 -3.878956 0.3659113,-8.083991 -2.722041 0.4875525,-8.010722 -2.000405 0.6483532,-7.92906 -1.396495 0.7721917,-8.550128 -4.092538 0.4810261,-8.608253 -3.187668 0.6309229,-8.628655 -2.590086 0.7782447,-8.616876 -2.017991 0.8777406,0.010, 1 0
-2.232634 -6.926766 -0.016712,-2.859725 -6.700328 0.2309668,-3.391795 -6.035488 0.3820579,-3.729794 -5.340118 0.5568786,-4.080332 -4.872786 0.7732195,-3.012038 -4.415841 0.04197763,-3.240496 -3.380165 0.192026,-3.361552 -2.766744 0.2895424,-3.450956 -2.187225 0.3603534,-2.672132 -4.194255 0.1023106,-2.813183 -2.971688 0.2511276,-2.813183 -2.971688 0.2511276,-2.947789 -1.54851 0.5156304,-2.333531 -4.193586 0.2385181,-2.391529 -3.006381 0.4105846,-2.47612 -2.244279 0.5835922,-2.551919 -1.578912 0.7320995,-1.972675 -4.399051 0.4030114,-1.91712 -3.472314 0.5666884,-1.916081 -2.867173 0.7322499,-1.928 -2.302449 0.8775489,-8.279016 -6.688457 0.06993678,-7.662707 -6.451084 0.3462446,-7.157432 -5.800224 0.5643929,-6.855116 -5.109449 0.8201529,-6.563884 -4.717409 1.0831,-7.508901 -4.097746 0.2873778,-7.359758 -3.049489 0.4517069,-7.279793 -2.394155 0.605203,-7.208215 -1.826366 0.7142909,-7.854561 -3.880946 0.3418022,-7.721855 -2.653301 0.462225,-7.631363 -1.870477 0.6621733,-7.554793 -1.203114 0.8153753,-8.193833 -3.90348 0.4311387,-8.105659 -2.754143 0.5463673,-8.034537 -2.024883 0.7050529,-7.956663 -1.425483 0.826638,-8.549593 -4.137739 0.547526,-8.61643 -3.239688 0.6964506,-8.637374 -2.649909 0.8412248,-8.627399 -2.091998 0.93773,0.110, 1 0
-2.237998 -6.945467 0.05923603,-2.865846 -6.708136 0.2852755,-3.384628 -6.020475 0.4282252,-3.702816 -5.298178 0.5926695,-4.055235 -4.841362 0.8035685,-3.024647 -4.4125 0.09275809,-3.245737 -3.370986 0.2454681,-3.363144 -2.770948 0.3289845,-3.455368 -2.203777 0.3883594,-2.679056 -4.190565 0.1629063,-2.815948 -2.982339 0.3201819,-2.815948 -2.982339 0.3201819,-2.941928 -1.579911 0.5976689,-2.335151 -4.200275 0.3070728,-2.402902 -3.023652 0.4893031,-2.481322 -2.266776 0.669009,-2.554052 -1.606009 0.8181522,-1.963942 -4.424671 0.4775622,-1.897197 -3.513402 0.6393124,-1.878781 -2.922445 0.8056049,-1.870301 -2.362712 0.9537601,-8.29178 -6.703014 0.09904704,-7.667724 -6.455798 0.3833597,-7.166126 -5.815871 0.6068714,-6.863741 -5.119924 0.8605486,-6.572026 -4.727655 1.122902,-7.519304 -4.106822 0.3191616,-7.372013 -3.049707 0.4836117,-7.297349 -2.389168 0.6396784,-7.230967 -1.815608 0.7494196,-7.868917 -3.886364 0.3661981,-7.737811 -2.657977 0.4870343,-7.650394 -1.873024 0.6853775,-7.575236 -1.208875 0.8370601,-8.211043 -3.905674 0.4484752,-8.121546 -2.761034 0.5616216,-8.054211 -2.039609 0.7177422,-7.97753 -1.450771 0.8330798,-8.56663 -4.131776 0.5609078,-8.62915 -3.24012 0.7032956,-8.647902 -2.65744 0.8442637,-8.633721 -2.106767 0.932919,0.210, 1 0
-2.2346 -6.957908 0.03249721,-2.863276 -6.722433 0.2406921,-3.382463 -6.023776 0.3719667,-3.698915 -5.30616 0.5281426,-4.047907 -4.845823 0.7262447,-3.014 -4.427207 0.07568245,-3.236877 -3.381691 0.2333094,-3.352055 -2.761392 0.3310425,-3.43642 -2.174749 0.4014616,-2.670897 -4.210821 0.1552599,-2.806257 -2.986052 0.3179041,-2.806257 -2.986052 0.3179041,-2.929626 -1.557306 0.5989727,-2.328088 -4.21899 0.3077549,-2.383799 -3.031557 0.4880365,-2.457095 -2.267364 0.6607073,-2.522616 -1.594263 0.8104818,-1.961189 -4.436159 0.4815423,-1.899039 -3.515222 0.6530762,-1.892034 -2.919539 0.816469,-1.897914 -2.361465 0.9584741,-8.298845 -6.700813 0.07357989,-7.67607 -6.447889 0.3834459,-7.172517 -5.821303 0.6142807,-6.869734 -5.131433 0.8705558,-6.577193 -4.732543 1.129757,-7.52414 -4.116077 0.3204597,-7.375235 -3.055958 0.4912295,-7.302092 -2.389551 0.6507756,-7.239344 -1.809557 0.763204,-7.87231 -3.893545 0.3553222,-7.735128 -2.669898 0.4825337,-7.64914 -1.886245 0.6871727,-7.576312 -1.220133 0.84164,-8.212958 -3.904523 0.4260738,-8.117867 -2.762798 0.5463883,-8.051207 -2.044083 0.7152926,-7.9748 -1.454102 0.8410913,-8.569423 -4.119873 0.5303224,-8.630881 -3.230438 0.6808581,-8.649799 -2.651306 0.8322653,-8.636204 -2.098725 0.9311705,0.310, 1 0
-2.244667 -6.959928 0.003690755,-2.871249 -6.735573 0.2310339,-3.396112 -6.061162 0.3720762,-3.717957 -5.347656 0.5338888,-4.062788 -4.883111 0.7371144,-3.029811 -4.449932 0.04337708,-3.261803 -3.405551 0.2000158,-3.383141 -2.795632 0.2958257,-3.475508 -2.218523 0.3657479,-2.6848 -4.221165 0.111978,-2.821763 -2.991891 0.2719826,-2.821763 -2.991891 0.2719826,-2.941949 -1.574501 0.5587867,-2.343724 -4.218427 0.2555768,-2.40652 -3.034361 0.4350142,-2.48243 -2.280611 0.6085944,-2.552729 -1.622326 0.7572251,-1.979254 -4.421483 0.4238232,-1.91249 -3.509071 0.5888373,-1.896486 -2.919082 0.7515122,-1.892334 -2.366 0.8905595,-8.299097 -6.712741 0.07066861,-7.672306 -6.464188 0.3520626,-7.165874 -5.815936 0.5671114,-6.862994 -5.106023 0.8142859,-6.576259 -4.704296 1.069362,-7.529738 -4.123985 0.2727546,-7.382545 -3.061686 0.4409884,-7.308673 -2.401281 0.5990573,-7.243127 -1.828592 0.7068334,-7.878421 -3.902344 0.3197237,-7.741669 -2.66694 0.4437885,-7.652732 -1.880643 0.6400235,-7.577449 -1.212476 0.7850024,-8.219663 -3.916278 0.4014575,-8.125267 -2.757619 0.5166646,-8.056432 -2.036761 0.6685452,-7.979503 -1.450047 0.7790259,-8.576942 -4.137558 0.5142099,-8.635477 -3.237488 0.6564754,-8.652231 -2.652037 0.7951517,-8.637895 -2.098611 0.8830885,0.410, 1 0
-2.233392 -6.941641 -0.002277825,-2.867611 -6.727282 0.2571918,-3.394629 -6.047348 0.4106301,-3.711535 -5.329925 0.5785958,-4.064245 -4.872865 0.7852752,-3.028034 -4.434683 0.08907949,-3.251724 -3.398416 0.2579556,-3.365208 -2.786521 0.3590831,-3.45345 -2.201197 0.4330558,-2.681044 -4.207654 0.14499,-2.821133 -2.983347 0.3185695,-2.821133 -2.983347 0.3185695,-2.940164 -1.566643 0.6087322,-2.338724 -4.213439 0.2800636,-2.399919 -3.02797 0.4741184,-2.474044 -2.269451 0.6592916,-2.542088 -1.604591 0.8165097,-1.971237 -4.430418 0.4402647,-1.909026 -3.517244 0.6183312,-1.898444 -2.925189 0.7939227,-1.900931 -2.367839 0.9452478,-8.307226 -6.712184 0.07390969,-7.674839 -6.457225 0.3682828,-7.171243 -5.828083 0.5950214,-6.867331 -5.136949 0.8532121,-6.580979 -4.727033 1.11632,-7.52721 -4.120289 0.2925348,-7.378375 -3.061224 0.4536396,-7.302894 -2.394387 0.6099815,-7.237316 -1.818347 0.7223795,-7.877843 -3.902754 0.3297033,-7.737914 -2.679481 0.4458281,-7.650148 -1.90018 0.6411775,-7.575808 -1.233989 0.7903748,-8.222537 -3.918818 0.4019173,-8.124162 -2.773288 0.5068341,-8.05594 -2.053862 0.6567191,-7.979098 -1.461612 0.7676958,-8.581789 -4.140199 0.5063003,-8.640724 -3.246449 0.6393419,-8.658212 -2.663464 0.7746407,-8.642732 -2.107296 0.8592719,0.510, 1 0
-2.24274 -6.93618 0.01333525,-2.87238 -6.71268 0.245992,-3.395685 -6.028873 0.3821775,-3.708048 -5.313188 0.5415256,-4.050708 -4.840053 0.7370852,-3.017237 -4.415702 0.06642707,-3.244329 -3.375114 0.2224979,-3.362936 -2.757892 0.3153855,-3.448991 -2.175723 0.379593,-2.673216 -4.193487 0.1311818,-2.808556 -2.970877 0.2930048,-2.808556 -2.970877 0.2930048,-2.932894 -1.547525 0.5689386,-2.331694 -4.199366 0.2723008,-2.385896 -3.017391 0.4519573,-2.459582 -2.262437 0.6281395,-2.525551 -1.594373 0.781773,-1.966916 -4.414075 0.4375485,-1.90316 -3.510969 0.6080384,-1.894353 -2.924487 0.7780484,-1.89775 -2.374753 0.9261649,-8.311878 -6.70177 0.1050113,-7.687717 -6.44573 0.3920284,-7.18144 -5.807083 0.6189955,-6.874339 -5.113597 0.8789601,-6.581345 -4.716943 1.147337,-7.533374 -4.104289 0.3106728,-7.382574 -3.057021 0.4738716,-7.305004 -2.394061 0.6297852,-7.239239 -1.821596 0.738869,-7.880975 -3.882993 0.3544966,-7.746326 -2.661386 0.4715541,-7.657682 -1.880918 0.6625715,-7.582477 -1.216528 0.8069541,-8.223498 -3.900574 0.4340349,-8.132786 -2.760057 0.5431713,-8.0636 -2.042881 0.6876038,-7.987158 -1.451894 0.7936547,-8.581996 -4.124967 0.5471648,-8.647269 -3.235858 0.6823717,-8.665065 -2.655455 0.8174411,-8.650476 -2.104918 0.9024355,0.610, 1 0
-2.25211 -6.923248 -0.02905138,-2.881631 -6.677471 0.1841091,-3.398193 -6.002283 0.317955,-3.712992 -5.304709 0.4771565,-4.054622 -4.847539 0.6750924,-3.018456 -4.403318 -0.006223811,-3.241112 -3.356999 0.1457273,-3.361504 -2.745224 0.234183,-3.45491 -2.172518 0.2941234,-2.675798 -4.19102 0.06941761,-2.809822 -2.9637 0.2266569,-2.809822 -2.9637 0.2266569,-2.935559 -1.548234 0.4875925,-2.336257 -4.198013 0.2210345,-2.39256 -3.010252 0.4005856,-2.462597 -2.24877 0.5706877,-2.528371 -1.578348 0.7172635,-1.974447 -4.409462 0.3960141,-1.912156 -3.496046 0.5610873,-1.902759 -2.904588 0.7254758,-1.907919 -2.349 0.8652085,-8.309624 -6.704731 0.09622249,-7.678748 -6.450718 0.3677566,-7.17397 -5.81047 0.5760731,-6.870003 -5.104955 0.819626,-6.579372 -4.702449 1.068935,-7.536312 -4.10993 0.279734,-7.388671 -3.056968 0.4344471,-7.315655 -2.395765 0.5833424,-7.252491 -1.825979 0.686533,-7.880841 -3.886445 0.3252656,-7.746957 -2.664983 0.4336967,-7.660831 -1.884687 0.6244862,-7.585982 -1.224374 0.770696,-8.220066 -3.90414 0.4074606,-8.130833 -2.76176 0.5107598,-8.065356 -2.043915 0.6619626,-7.990113 -1.455659 0.7738128,-8.576277 -4.131704 0.520686,-8.645395 -3.250896 0.6525776,-8.66589 -2.677196 0.7930262,-8.652007 -2.137684 0.8827547,0.710, 1 0
-2.226343 -6.926754 -0.03076373,-2.85865 -6.716261 0.2192132,-3.381108 -6.029083 0.36579,-3.698257 -5.301947 0.5275308,-4.053116 -4.841255 0.7286369,-3.023581 -4.433338 0.05202675,-3.251603 -3.392427 0.2171364,-3.370251 -2.782217 0.3136343,-3.461212 -2.20997 0.3850087,-2.677642 -4.201208 0.1086275,-2.820519 -2.981988 0.2863537,-2.820519 -2.981988 0.2863537,-2.944567 -1.558668 0.5829148,-2.333148 -4.201101 0.2400185,-2.400831 -3.023255 0.4349007,-2.474897 -2.267856 0.6198527,-2.542413 -1.595254 0.7795085,-1.964161 -4.414682 0.396585,-1.901372 -3.514704 0.5780986,-1.882656 -2.928664 0.7551723,-1.872944 -2.369062 0.908165,-8.316383 -6.680526 0.09730642,-7.695899 -6.424222 0.3552102,-7.196912 -5.77655 0.5666944,-6.893719 -5.084445 0.81761,-6.59396 -4.69931 1.077685,-7.541696 -4.07597 0.2711267,-7.397797 -3.024116 0.4212241,-7.321214 -2.360818 0.5735275,-7.253885 -1.789555 0.6837851,-7.886665 -3.862891 0.3361692,-7.757685 -2.644274 0.4431136,-7.667136 -1.860126 0.6360623,-7.590549 -1.195135 0.7856426,-8.227544 -3.88418 0.4360833,-8.139281 -2.747718 0.5384531,-8.067539 -2.032093 0.6854751,-7.988059 -1.443453 0.7944599,-8.584633 -4.110219 0.5676081,-8.650007 -3.219581 0.7062885,-8.667546 -2.639216 0.8403811,-8.656156 -2.087816 0.9249436,0.810, 1 0
-2.240223 -6.937073 -0.03550075,-2.870072 -6.678285 0.1845079,-3.378001 -5.993721 0.319834,-3.682905 -5.279017 0.4813628,-4.016378 -4.806221 0.6819718,-3.000506 -4.420057 0.001403093,-3.223728 -3.380832 0.1655788,-3.338594 -2.771775 0.2606156,-3.426126 -2.196535 0.3264316,-2.657918 -4.206261 0.07609075,-2.793506 -2.98539 0.2469921,-2.793506 -2.98539 0.2469921,-2.911485 -1.553528 0.5411778,-2.317059 -4.215742 0.2251829,-2.377838 -3.03162 0.4158372,-2.445933 -2.263734 0.6014197,-2.50885 -1.589793 0.7662483,-1.951993 -4.438527 0.3967035,-1.885112 -3.528381 0.5736916,-1.868892 -2.927927 0.752865,-1.866132 -2.361739 0.909926,-8.33105 -6.67543 0.02353098,-7.704239 -6.43598 0.3184823,-7.193842 -5.79063 0.5332251,-6.885972 -5.088299 0.7744257,-6.593526 -4.687755 1.018911,-7.55535 -4.109514 0.2612008,-7.400305 -3.048937 0.4470559,-7.322314 -2.392118 0.6101757,-7.256109 -1.819808 0.7209587,-7.898643 -3.883626 0.3055333,-7.760406 -2.658537 0.4418071,-7.667643 -1.88247 0.6458881,-7.588316 -1.217477 0.8006036,-8.237617 -3.900327 0.3845606,-8.138431 -2.74454 0.5192591,-8.067362 -2.024264 0.6996881,-7.98877 -1.428208 0.8297982,-8.592531 -4.126819 0.4941503,-8.65886 -3.244175 0.6523705,-8.680811 -2.665456 0.8140095,-8.669539 -2.113865 0.9206259,0.910, 1 0
