WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-0.2681389 -8.505865 -0.0008848233,-0.6034479 -9.335655 -0.1179365,-0.7829561 -10.07382 -0.09578066,-0.9188714 -10.70314 -0.0459393,-1.043709 -11.02593 0.01068224,-0.5390615 -9.998718 0.6413823,-0.293406 -10.82842 0.628582,-0.3355885 -10.75787 0.5359499,-0.3616753 -10.61756 0.4972498,-0.2148061 -9.792997 0.6991305,0.001825809 -10.72252 0.6707199,0.001825809 -10.72252 0.6707199,-0.149375 -10.44696 0.4073409,0.0409379 -9.583605 0.6927724,0.2102747 -10.5057 0.5151362,0.09319735 -10.37134 0.1940192,-0.01466656 -10.09328 0.08196934,0.2415066 -9.420385 0.7233993,0.3546066 -10.28642 0.6125354,0.2495584 -10.15372 0.5415938,0.1688991 -9.872244 0.4478803,-7.497151 -13.40414 0.0004009866,-6.861567 -12.24726 -0.242556,-6.298949 -11.46076 -0.05390814,-5.87759 -10.93008 0.2611708,-5.602816 -10.58808 0.8002304,-6.039115 -10.86137 0.4464973,-5.576214 -11.37929 0.7761359,-5.408533 -12.19259 1.183147,-5.331972 -12.94438 1.424223,-6.135027 -11.13305 0.7508482,-5.562113 -12.20999 1.022122,-5.481876 -13.24651 1.23735,-5.492966 -14.06302 1.445714,-6.339531 -11.62088 1.039235,-5.766387 -12.77705 1.379236,-5.780884 -13.6588 1.437151,-5.914614 -14.24277 1.432803,-6.600329 -12.21294 1.285704,-6.035513 -13.12574 1.454055,-5.865931 -13.76181 1.371364,-5.82226 -14.21263 1.338634,0.010, 1 0
-0.2681389 -8.505865 -0.0008848233,-0.6034479 -9.335655 -0.1179365,-0.7829561 -10.07382 -0.09578066,-0.9188714 -10.70314 -0.0459393,-1.043709 -11.02593 0.01068224,-0.5390615 -9.998718 0.6413823,-0.293406 -10.82842 0.628582,-0.3355885 -10.75787 0.5359499,-0.3616753 -10.61756 0.4972498,-0.2148061 -9.792997 0.6991305,0.001825809 -10.72252 0.6707199,0.001825809 -10.72252 0.6707199,-0.149375 -10.44696 0.4073409,0.0409379 -9.583605 0.6927724,0.2102747 -10.5057 0.5151362,0.09319735 -10.37134 0.1940192,-0.01466656 -10.09328 0.08196934,0.2415066 -9.420385 0.7233993,0.3546066 -10.28642 0.6125354,0.2495584 -10.15372 0.5415938,0.1688991 -9.872244 0.4478803,-7.497151 -13.40414 0.0004009866,-6.861567 -12.24726 -0.242556,-6.298949 -11.46076 -0.05390814,-5.87759 -10.93008 0.2611708,-5.602816 -10.58808 0.8002304,-6.039115 -10.86137 0.4464973,-5.576214 -11.37929 0.7761359,-5.408533 -12.19259 1.183147,-5.331972 -12.94438 1.424223,-6.135027 -11.13305 0.7508482,-5.562113 -12.20999 1.022122,-5.481876 -13.24651 1.23735,-5.492966 -14.06302 1.445714,-6.339531 -11.62088 1.039235,-5.766387 -12.77705 1.379236,-5.780884 -13.6588 1.437151,-5.914614 -14.24277 1.432803,-6.600329 -12.21294 1.285704,-6.035513 -13.12574 1.454055,-5.865931 -13.76181 1.371364,-5.82226 -14.21263 1.338634,0.110, 1 0
-0.2681389 -8.505865 -0.0008848233,-0.6034479 -9.335655 -0.1179365,-0.7829561 -10.07382 -0.09578066,-0.9188714 -10.70314 -0.0459393,-1.043709 -11.02593 0.01068224,-0.5390615 -9.998718 0.6413823,-0.293406 -10.82842 0.628582,-0.3355885 -10.75787 0.5359499,-0.3616753 -10.61756 0.4972498,-0.2148061 -9.792997 0.6991305,0.001825809 -10.72252 0.6707199,0.001825809 -10.72252 0.6707199,-0.149375 -10.44696 0.4073409,0.0409379 -9.583605 0.6927724,0.2102747 -10.5057 0.5151362,0.09319735 -10.37134 0.1940192,-0.01466656 -10.09328 0.08196934,0.2415066 -9.420385 0.7233993,0.3546066 -10.28642 0.6125354,0.2495584 -10.15372 0.5415938,0.1688991 -9.872244 0.4478803,-7.497151 -13.40414 0.0004009866,-6.861567 -12.24726 -0.242556,-6.298949 -11.46076 -0.05390814,-5.87759 -10.93008 0.2611708,-5.602816 -10.58808 0.8002304,-6.039115 -10.86137 0.4464973,-5.576214 -11.37929 0.7761359,-5.408533 -12.19259 1.183147,-5.331972 -12.94438 1.424223,-6.135027 -11.13305 0.7508482,-5.562113 -12.20999 1.022122,-5.481876 -13.24651 1.23735,-5.492966 -14.06302 1.445714,-6.339531 -11.62088 1.039235,-5.766387 -12.77705 1.379236,-5.780884 -13.6588 1.437151,-5.914614 -14.24277 1.432803,-6.600329 -12.21294 1.285704,-6.035513 -13.12574 1.454055,-5.865931 -13.76181 1.371364,-5.82226 -14.21263 1.338634,0.210, 1 0
-0.2681389 -8.505865 -0.0008848233,-0.6034479 -9.335655 -0.1179365,-0.7829561 -10.07382 -0.09578066,-0.9188714 -10.70314 -0.0459393,-1.043709 -11.02593 0.01068224,-0.5390615 -9.998718 0.6413823,-0.293406 -10.82842 0.628582,-0.3355885 -10.75787 0.5359499,-0.3616753 -10.61756 0.4972498,-0.2148061 -9.792997 0.6991305,0.001825809 -10.72252 0.6707199,0.001825809 -10.72252 0.6707199,-0.149375 -10.44696 0.4073409,0.0409379 -9.583605 0.6927724,0.2102747 -10.5057 0.5151362,0.09319735 -10.37134 0.1940192,-0.01466656 -10.09328 0.08196934,0.2415066 -9.420385 0.7233993,0.3546066 -10.28642 0.6125354,0.2495584 -10.15372 0.5415938,0.1688991 -9.872244 0.4478803,-7.497151 -13.40414 0.0004009866,-6.861567 -12.24726 -0.242556,-6.298949 -11.46076 -0.05390814,-5.87759 -10.93008 0.2611708,-5.602816 -10.58808 0.8002304,-6.039115 -10.86137 0.4464973,-5.576214 -11.37929 0.7761359,-5.408533 -12.19259 1.183147,-5.331972 -12.94438 1.424223,-6.135027 -11.13305 0.7508482,-5.562113 -12.20999 1.022122,-5.481876 -13.24651 1.23735,-5.492966 -14.06302 1.445714,-6.339531 -11.62088 1.039235,-5.766387 -12.77705 1.379236,-5.780884 -13.6588 1.437151,-5.914614 -14.24277 1.432803,-6.600329 -12.21294 1.285704,-6.035513 -13.12574 1.454055,-5.865931 -13.76181 1.371364,-5.82226 -14.21263 1.338634,0.310, 1 0
-0.2681389 -8.505865 -0.0008848233,-0.6034479 -9.335655 -0.1179365,-0.7829561 -10.07382 -0.09578066,-0.9188714 -10.70314 -0.0459393,-1.043709 -11.02593 0.01068224,-0.5390615 -9.998718 0.6413823,-0.293406 -10.82842 0.628582,-0.3355885 -10.75787 0.5359499,-0.3616753 -10.61756 0.4972498,-0.2148061 -9.792997 0.6991305,0.001825809 -10.72252 0.6707199,0.001825809 -10.72252 0.6707199,-0.149375 -10.44696 0.4073409,0.0409379 -9.583605 0.6927724,0.2102747 -10.5057 0.5151362,0.09319735 -10.37134 0.1940192,-0.01466656 -10.09328 0.08196934,0.2415066 -9.420385 0.7233993,0.3546066 -10.28642 0.6125354,0.2495584 -10.15372 0.5415938,0.1688991 -9.872244 0.4478803,-7.497151 -13.40414 0.0004009866,-6.861567 -12.24726 -0.242556,-6.298949 -11.46076 -0.05390814,-5.87759 -10.93008 0.2611708,-5.602816 -10.58808 0.8002304,-6.039115 -10.86137 0.4464973,-5.576214 -11.37929 0.7761359,-5.408533 -12.19259 1.183147,-5.331972 -12.94438 1.424223,-6.135027 -11.13305 0.7508482,-5.562113 -12.20999 1.022122,-5.481876 -13.24651 1.23735,-5.492966 -14.06302 1.445714,-6.339531 -11.62088 1.039235,-5.766387 -12.77705 1.379236,-5.780884 -13.6588 1.437151,-5.914614 -14.24277 1.432803,-6.600329 -12.21294 1.285704,-6.035513 -13.12574 1.454055,-5.865931 -13.76181 1.371364,-5.82226 -14.21263 1.338634,0.410, 1 0
-0.2681389 -8.505865 -0.0008848233,-0.6034479 -9.335655 -0.1179365,-0.7829561 -10.07382 -0.09578066,-0.9188714 -10.70314 -0.0459393,-1.043709 -11.02593 0.01068224,-0.5390615 -9.998718 0.6413823,-0.293406 -10.82842 0.628582,-0.3355885 -10.75787 0.5359499,-0.3616753 -10.61756 0.4972498,-0.2148061 -9.792997 0.6991305,0.001825809 -10.72252 0.6707199,0.001825809 -10.72252 0.6707199,-0.149375 -10.44696 0.4073409,0.0409379 -9.583605 0.6927724,0.2102747 -10.5057 0.5151362,0.09319735 -10.37134 0.1940192,-0.01466656 -10.09328 0.08196934,0.2415066 -9.420385 0.7233993,0.3546066 -10.28642 0.6125354,0.2495584 -10.15372 0.5415938,0.1688991 -9.872244 0.4478803,-7.497151 -13.40414 0.0004009866,-6.861567 -12.24726 -0.242556,-6.298949 -11.46076 -0.05390814,-5.87759 -10.93008 0.2611708,-5.602816 -10.58808 0.8002304,-6.039115 -10.86137 0.4464973,-5.576214 -11.37929 0.7761359,-5.408533 -12.19259 1.183147,-5.331972 -12.94438 1.424223,-6.135027 -11.13305 0.7508482,-5.562113 -12.20999 1.022122,-5.481876 -13.24651 1.23735,-5.492966 -14.06302 1.445714,-6.339531 -11.62088 1.039235,-5.766387 -12.77705 1.379236,-5.780884 -13.6588 1.437151,-5.914614 -14.24277 1.432803,-6.600329 -12.21294 1.285704,-6.035513 -13.12574 1.454055,-5.865931 -13.76181 1.371364,-5.82226 -14.21263 1.338634,0.510, 1 0
-0.2681389 -8.505865 -0.0008848233,-0.6034479 -9.335655 -0.1179365,-0.7829561 -10.07382 -0.09578066,-0.9188714 -10.70314 -0.0459393,-1.043709 -11.02593 0.01068224,-0.5390615 -9.998718 0.6413823,-0.293406 -10.82842 0.628582,-0.3355885 -10.75787 0.5359499,-0.3616753 -10.61756 0.4972498,-0.2148061 -9.792997 0.6991305,0.001825809 -10.72252 0.6707199,0.001825809 -10.72252 0.6707199,-0.149375 -10.44696 0.4073409,0.0409379 -9.583605 0.6927724,0.2102747 -10.5057 0.5151362,0.09319735 -10.37134 0.1940192,-0.01466656 -10.09328 0.08196934,0.2415066 -9.420385 0.7233993,0.3546066 -10.28642 0.6125354,0.2495584 -10.15372 0.5415938,0.1688991 -9.872244 0.4478803,-7.497151 -13.40414 0.0004009866,-6.861567 -12.24726 -0.242556,-6.298949 -11.46076 -0.05390814,-5.87759 -10.93008 0.2611708,-5.602816 -10.58808 0.8002304,-6.039115 -10.86137 0.4464973,-5.576214 -11.37929 0.7761359,-5.408533 -12.19259 1.183147,-5.331972 -12.94438 1.424223,-6.135027 -11.13305 0.7508482,-5.562113 -12.20999 1.022122,-5.481876 -13.24651 1.23735,-5.492966 -14.06302 1.445714,-6.339531 -11.62088 1.039235,-5.766387 -12.77705 1.379236,-5.780884 -13.6588 1.437151,-5.914614 -14.24277 1.432803,-6.600329 -12.21294 1.285704,-6.035513 -13.12574 1.454055,-5.865931 -13.76181 1.371364,-5.82226 -14.21263 1.338634,0.610, 1 0
-0.2681389 -8.505865 -0.0008848233,-0.6034479 -9.335655 -0.1179365,-0.7829561 -10.07382 -0.09578066,-0.9188714 -10.70314 -0.0459393,-1.043709 -11.02593 0.01068224,-0.5390615 -9.998718 0.6413823,-0.293406 -10.82842 0.628582,-0.3355885 -10.75787 0.5359499,-0.3616753 -10.61756 0.4972498,-0.2148061 -9.792997 0.6991305,0.001825809 -10.72252 0.6707199,0.001825809 -10.72252 0.6707199,-0.149375 -10.44696 0.4073409,0.0409379 -9.583605 0.6927724,0.2102747 -10.5057 0.5151362,0.09319735 -10.37134 0.1940192,-0.01466656 -10.09328 0.08196934,0.2415066 -9.420385 0.7233993,0.3546066 -10.28642 0.6125354,0.2495584 -10.15372 0.5415938,0.1688991 -9.872244 0.4478803,-7.497151 -13.40414 0.0004009866,-6.861567 -12.24726 -0.242556,-6.298949 -11.46076 -0.05390814,-5.87759 -10.93008 0.2611708,-5.602816 -10.58808 0.8002304,-6.039115 -10.86137 0.4464973,-5.576214 -11.37929 0.7761359,-5.408533 -12.19259 1.183147,-5.331972 -12.94438 1.424223,-6.135027 -11.13305 0.7508482,-5.562113 -12.20999 1.022122,-5.481876 -13.24651 1.23735,-5.492966 -14.06302 1.445714,-6.339531 -11.62088 1.039235,-5.766387 -12.77705 1.379236,-5.780884 -13.6588 1.437151,-5.914614 -14.24277 1.432803,-6.600329 -12.21294 1.285704,-6.035513 -13.12574 1.454055,-5.865931 -13.76181 1.371364,-5.82226 -14.21263 1.338634,0.710, 1 0
-0.2681389 -8.505865 -0.0008848233,-0.6034479 -9.335655 -0.1179365,-0.7829561 -10.07382 -0.09578066,-0.9188714 -10.70314 -0.0459393,-1.043709 -11.02593 0.01068224,-0.5390615 -9.998718 0.6413823,-0.293406 -10.82842 0.628582,-0.3355885 -10.75787 0.5359499,-0.3616753 -10.61756 0.4972498,-0.2148061 -9.792997 0.6991305,0.001825809 -10.72252 0.6707199,0.001825809 -10.72252 0.6707199,-0.149375 -10.44696 0.4073409,0.0409379 -9.583605 0.6927724,0.2102747 -10.5057 0.5151362,0.09319735 -10.37134 0.1940192,-0.01466656 -10.09328 0.08196934,0.2415066 -9.420385 0.7233993,0.3546066 -10.28642 0.6125354,0.2495584 -10.15372 0.5415938,0.1688991 -9.872244 0.4478803,-7.497151 -13.40414 0.0004009866,-6.861567 -12.24726 -0.242556,-6.298949 -11.46076 -0.05390814,-5.87759 -10.93008 0.2611708,-5.602816 -10.58808 0.8002304,-6.039115 -10.86137 0.4464973,-5.576214 -11.37929 0.7761359,-5.408533 -12.19259 1.183147,-5.331972 -12.94438 1.424223,-6.135027 -11.13305 0.7508482,-5.562113 -12.20999 1.022122,-5.481876 -13.24651 1.23735,-5.492966 -14.06302 1.445714,-6.339531 -11.62088 1.039235,-5.766387 -12.77705 1.379236,-5.780884 -13.6588 1.437151,-5.914614 -14.24277 1.432803,-6.600329 -12.21294 1.285704,-6.035513 -13.12574 1.454055,-5.865931 -13.76181 1.371364,-5.82226 -14.21263 1.338634,0.810, 1 0
-0.2681389 -8.505865 -0.0008848233,-0.6034479 -9.335655 -0.1179365,-0.7829561 -10.07382 -0.09578066,-0.9188714 -10.70314 -0.0459393,-1.043709 -11.02593 0.01068224,-0.5390615 -9.998718 0.6413823,-0.293406 -10.82842 0.628582,-0.3355885 -10.75787 0.5359499,-0.3616753 -10.61756 0.4972498,-0.2148061 -9.792997 0.6991305,0.001825809 -10.72252 0.6707199,0.001825809 -10.72252 0.6707199,-0.149375 -10.44696 0.4073409,0.0409379 -9.583605 0.6927724,0.2102747 -10.5057 0.5151362,0.09319735 -10.37134 0.1940192,-0.01466656 -10.09328 0.08196934,0.2415066 -9.420385 0.7233993,0.3546066 -10.28642 0.6125354,0.2495584 -10.15372 0.5415938,0.1688991 -9.872244 0.4478803,-8.188552 -13.7636 0.4256489,-7.782697 -12.90597 0.4173989,-7.584729 -12.016 0.3950732,-7.440178 -11.25195 0.3176336,-7.284685 -10.63704 0.2397942,-8.135033 -10.95979 0.4154025,-8.121142 -9.666685 0.321699,-8.055979 -8.99048 0.2662942,-7.972994 -8.456644 0.2803248,-8.269957 -10.89114 0.3771007,-8.348155 -9.606411 0.2442109,-8.31624 -8.832113 0.1252552,-8.272891 -8.263756 0.06754956,-8.314416 -10.97905 0.3380238,-8.355062 -9.86994 0.1769871,-8.298434 -9.269884 0.1220581,-8.252339 -8.913078 0.07831436,-8.31111 -11.21457 0.3128372,-8.340989 -10.28091 0.2322787,-8.320664 -9.734455 0.2678132,-8.292502 -9.386827 0.3019403,0.910, 1 0
