WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.02378 -7.343717 0.06837937,-2.691573 -7.061159 0.3819836,-3.239399 -6.485092 0.5495415,-3.638352 -5.903936 0.7321606,-3.980768 -5.561182 0.9585342,-2.884165 -4.74126 0.01833787,-3.145411 -3.685818 0.1632124,-3.297447 -3.061903 0.3068025,-3.436873 -2.497682 0.4256112,-2.525906 -4.486766 0.05881406,-2.702783 -3.286197 0.1294135,-2.702783 -3.286197 0.1294135,-2.935409 -1.872937 0.446139,-2.160563 -4.474414 0.1916089,-2.282805 -3.294831 0.2915146,-2.39111 -2.541267 0.4490356,-2.513034 -1.898482 0.5943888,-1.758645 -4.691861 0.3799422,-1.674442 -3.758882 0.4829839,-1.627934 -3.111411 0.6186765,-1.600235 -2.49068 0.7708814,-8.729224 -7.346399 0.02612878,-8.141025 -7.062675 0.3134534,-7.612588 -6.45079 0.5713098,-7.233867 -5.844625 0.8660138,-6.875772 -5.503999 1.177669,-8.020476 -4.658424 0.2484981,-7.916889 -3.517635 0.406857,-7.877329 -2.813241 0.578585,-7.842813 -2.213241 0.7155944,-8.384317 -4.491323 0.3088214,-8.293093 -3.170738 0.4544814,-8.229645 -2.335041 0.6726153,-8.189389 -1.629684 0.86554,-8.742242 -4.566559 0.4070252,-8.685762 -3.339475 0.5381594,-8.623988 -2.568435 0.7077929,-8.554923 -1.931207 0.839863,-9.109414 -4.853357 0.5334018,-9.159111 -3.909915 0.6884835,-9.163599 -3.308402 0.8111256,-9.151245 -2.747145 0.8994738,0.010,35 1 0
-2.017152 -7.31932 0.02934797,-2.684832 -7.056062 0.312555,-3.237976 -6.485441 0.4653895,-3.64171 -5.908849 0.635857,-3.985836 -5.579597 0.8522033,-2.87752 -4.734971 -0.01882169,-3.15291 -3.686229 0.1237753,-3.308247 -3.071711 0.2645222,-3.453225 -2.506838 0.3766707,-2.522468 -4.474231 0.03951702,-2.712405 -3.272598 0.1226556,-2.712405 -3.272598 0.1226556,-2.950349 -1.867254 0.4305982,-2.159333 -4.457277 0.1876832,-2.284794 -3.273457 0.2944424,-2.390933 -2.525241 0.4448285,-2.51346 -1.884201 0.588922,-1.756978 -4.67195 0.3851234,-1.66139 -3.734005 0.4930995,-1.61162 -3.084629 0.63448,-1.58428 -2.46193 0.7898906,-8.737175 -7.364162 0.01986141,-8.137737 -7.055878 0.2909142,-7.61095 -6.436018 0.5389439,-7.236958 -5.833467 0.8238291,-6.874102 -5.504957 1.126869,-8.01541 -4.674094 0.2772432,-7.919096 -3.519374 0.4524047,-7.881461 -2.803665 0.6296269,-7.847141 -2.195307 0.7705361,-8.385535 -4.516979 0.3512546,-8.293571 -3.186475 0.5273419,-8.22793 -2.347977 0.7577676,-8.184044 -1.635739 0.9589391,-8.747911 -4.602315 0.4539134,-8.687322 -3.367451 0.6150097,-8.621572 -2.591162 0.799917,-8.550216 -1.944759 0.9367733,-9.118408 -4.897867 0.5819764,-9.169353 -3.949452 0.7543808,-9.171675 -3.341787 0.8870676,-9.156299 -2.770939 0.983036,0.110,35 1 0
-1.96819 -7.338158 0.09497036,-2.633674 -7.101009 0.4432932,-3.206039 -6.548759 0.6373116,-3.609646 -5.954129 0.8465378,-3.959099 -5.56393 1.094326,-2.880246 -4.752733 0.152439,-3.14048 -3.70198 0.3117496,-3.277691 -3.078481 0.4518785,-3.395197 -2.513139 0.5670182,-2.511861 -4.482246 0.1764898,-2.695648 -3.283157 0.2450365,-2.695648 -3.283157 0.2450365,-2.912318 -1.859445 0.5434778,-2.139174 -4.456923 0.2853408,-2.258565 -3.277904 0.3676681,-2.368197 -2.527806 0.5130934,-2.487335 -1.90562 0.6604988,-1.733221 -4.663385 0.457629,-1.642051 -3.727207 0.5469421,-1.609303 -3.07553 0.6910396,-1.596994 -2.468849 0.8414875,-8.735456 -7.402602 0.1216279,-8.154179 -7.116217 0.4163938,-7.63464 -6.474005 0.6711624,-7.259407 -5.851877 0.9656752,-6.891644 -5.50542 1.279071,-8.041163 -4.680753 0.3489494,-7.93869 -3.534527 0.5058694,-7.894207 -2.826845 0.6741569,-7.852284 -2.218964 0.8081698,-8.402531 -4.519073 0.410107,-8.310032 -3.195505 0.5624844,-8.240172 -2.353545 0.7833348,-8.185859 -1.638761 0.9739664,-8.756166 -4.599014 0.5103675,-8.6964 -3.355943 0.6443325,-8.631057 -2.576127 0.8144901,-8.552826 -1.929452 0.9441479,-9.117869 -4.898955 0.6375266,-9.175278 -3.945047 0.7946294,-9.18541 -3.330349 0.9200775,-9.176032 -2.753765 1.005455,0.210,35 1 0
-1.938796 -7.367198 0.07328361,-2.617905 -7.110298 0.381685,-3.191528 -6.559776 0.5634959,-3.602547 -5.979661 0.7645249,-3.959288 -5.606198 1.011756,-2.86859 -4.785664 0.09290645,-3.139675 -3.723308 0.2541747,-3.289499 -3.097041 0.3948179,-3.413385 -2.519952 0.5159066,-2.508473 -4.522229 0.1353776,-2.701162 -3.319039 0.2154363,-2.701162 -3.319039 0.2154363,-2.920319 -1.906923 0.5126299,-2.139575 -4.496383 0.2644428,-2.271351 -3.32082 0.3599016,-2.382595 -2.569316 0.5053112,-2.500933 -1.927837 0.6472636,-1.731304 -4.696479 0.4489689,-1.646625 -3.762497 0.5505228,-1.607759 -3.122088 0.6881071,-1.585243 -2.514085 0.8329525,-8.724293 -7.415119 0.159746,-8.142506 -7.098373 0.4224023,-7.631649 -6.455644 0.6651893,-7.256444 -5.839759 0.9511258,-6.883521 -5.506408 1.262166,-8.043134 -4.678798 0.3856125,-7.946286 -3.539445 0.5491627,-7.902536 -2.829981 0.7280502,-7.861266 -2.214909 0.8726584,-8.402871 -4.52086 0.4637769,-8.317183 -3.196491 0.6201653,-8.248994 -2.35138 0.8489288,-8.196342 -1.631257 1.04336,-8.754459 -4.606164 0.5750406,-8.702963 -3.361421 0.7180306,-8.63838 -2.584527 0.8890605,-8.563099 -1.941374 1.015736,-9.110118 -4.909139 0.7107193,-9.17403 -3.957879 0.8839605,-9.185553 -3.338807 1.010558,-9.17892 -2.758298 1.090542,0.310,35 1 0
-1.948237 -7.339186 0.0332129,-2.624882 -7.118101 0.3526438,-3.204945 -6.5684 0.5339721,-3.62776 -5.985141 0.734924,-3.978283 -5.623558 0.977529,-2.886148 -4.780106 0.001793884,-3.145143 -3.72392 0.1547139,-3.282682 -3.093898 0.2912353,-3.40106 -2.522752 0.4013644,-2.523841 -4.506372 0.03322607,-2.706532 -3.296574 0.1011436,-2.706532 -3.296574 0.1011436,-2.914323 -1.858169 0.4093008,-2.152671 -4.477842 0.1483805,-2.269391 -3.288476 0.2339756,-2.38054 -2.539664 0.3826178,-2.496636 -1.918023 0.5242909,-1.744497 -4.678764 0.3271707,-1.650014 -3.739121 0.4178247,-1.612401 -3.101593 0.5610955,-1.592128 -2.495855 0.7006696,-8.728273 -7.410806 0.2023999,-8.147858 -7.09486 0.4989948,-7.630488 -6.451253 0.7520251,-7.251904 -5.833738 1.042496,-6.881338 -5.493984 1.352672,-8.043178 -4.662732 0.4479878,-7.942355 -3.519763 0.6139621,-7.901331 -2.810077 0.7903804,-7.861869 -2.194051 0.9340539,-8.408647 -4.504222 0.5082088,-8.322833 -3.185084 0.6651711,-8.260168 -2.34239 0.8919252,-8.212124 -1.62159 1.089814,-8.764815 -4.591628 0.6064402,-8.70944 -3.354773 0.7479113,-8.648099 -2.587103 0.9145688,-8.576117 -1.949986 1.040878,-9.126269 -4.895704 0.7317586,-9.185696 -3.954103 0.8978663,-9.195435 -3.347257 1.021024,-9.186808 -2.773029 1.103104,0.410,35 1 0
-1.967128 -7.333581 0.09129489,-2.639561 -7.094184 0.3643692,-3.21151 -6.538496 0.5201572,-3.620149 -5.958503 0.7032692,-3.963878 -5.601238 0.9300348,-2.862825 -4.734774 0.02491888,-3.136311 -3.707682 0.1535871,-3.285395 -3.096526 0.2757087,-3.413832 -2.540346 0.3768975,-2.506352 -4.476828 0.07411087,-2.702734 -3.295034 0.1223829,-2.702734 -3.295034 0.1223829,-2.918842 -1.913227 0.3836004,-2.143169 -4.458211 0.2091079,-2.278324 -3.30768 0.2706902,-2.38339 -2.573763 0.3977855,-2.497797 -1.947552 0.524338,-1.739735 -4.664293 0.4011224,-1.660111 -3.755649 0.4718758,-1.623821 -3.134732 0.5922224,-1.604862 -2.544359 0.7208907,-8.724784 -7.427034 0.146506,-8.134238 -7.110235 0.4102817,-7.625887 -6.463754 0.6427804,-7.267445 -5.82814 0.9130445,-6.912895 -5.502382 1.202492,-8.043403 -4.690676 0.3810567,-7.94079 -3.547245 0.5405664,-7.897979 -2.842787 0.711329,-7.858852 -2.222999 0.8530901,-8.408041 -4.536109 0.4509844,-8.319443 -3.210725 0.6104258,-8.253166 -2.372413 0.836132,-8.202384 -1.644028 1.032621,-8.762114 -4.619337 0.5542365,-8.705698 -3.374403 0.6980584,-8.643726 -2.602784 0.8667153,-8.573937 -1.951612 0.9976636,-9.120603 -4.913746 0.6795828,-9.180177 -3.963518 0.8471097,-9.193014 -3.344392 0.9750245,-9.189367 -2.754405 1.065245,0.510,35 1 0
-1.967544 -7.316179 0.05239127,-2.638713 -7.076881 0.3665738,-3.206594 -6.536382 0.5431476,-3.6142 -5.957284 0.7360548,-3.957576 -5.590463 0.9725538,-2.860605 -4.733064 0.04803091,-3.135725 -3.705399 0.1830555,-3.286474 -3.096014 0.3147091,-3.418233 -2.536878 0.4234557,-2.50175 -4.469848 0.07956374,-2.7009 -3.287323 0.1402107,-2.7009 -3.287323 0.1402107,-2.92021 -1.891503 0.4362595,-2.138161 -4.449869 0.1965867,-2.272827 -3.288501 0.2669744,-2.37997 -2.55164 0.4128063,-2.498889 -1.923784 0.5569738,-1.737881 -4.658103 0.3742366,-1.656538 -3.739279 0.4536367,-1.622513 -3.104149 0.5912156,-1.606742 -2.500237 0.7372197,-8.729863 -7.408879 0.1436494,-8.140678 -7.092304 0.4340106,-7.628891 -6.463025 0.6777025,-7.261113 -5.845411 0.9542417,-6.901093 -5.512472 1.246924,-8.046079 -4.673213 0.3924362,-7.945454 -3.52843 0.5628499,-7.905231 -2.822828 0.7475413,-7.866928 -2.204782 0.9000569,-8.411349 -4.519683 0.4546157,-8.325671 -3.200056 0.6154025,-8.264638 -2.35706 0.8527647,-8.216624 -1.631278 1.06113,-8.766376 -4.607683 0.5519104,-8.709875 -3.371982 0.696624,-8.647131 -2.604879 0.8735475,-8.576279 -1.964669 1.01115,-9.12619 -4.910583 0.6775757,-9.18629 -3.973999 0.8494574,-9.198906 -3.361576 0.9837442,-9.194609 -2.777049 1.07934,0.610,35 1 0
-1.973165 -7.302831 -0.01345783,-2.64025 -7.074493 0.2764727,-3.212209 -6.521688 0.4322754,-3.628273 -5.941487 0.6035077,-3.968964 -5.585022 0.8183141,-2.876896 -4.746062 -0.0502005,-3.14868 -3.723487 0.07713104,-3.297564 -3.107297 0.20372,-3.426635 -2.545092 0.3098657,-2.519762 -4.477876 -0.01283585,-2.710763 -3.291517 0.04312632,-2.710763 -3.291517 0.04312632,-2.926135 -1.890016 0.3262061,-2.155005 -4.448367 0.1077218,-2.281754 -3.281702 0.1808935,-2.38973 -2.536917 0.3307407,-2.506462 -1.916622 0.47258,-1.752344 -4.644109 0.2863288,-1.667603 -3.718214 0.3673935,-1.632721 -3.074329 0.5097303,-1.615859 -2.468254 0.658455,-8.761852 -7.405903 0.1099205,-8.160457 -7.099103 0.3648843,-7.642073 -6.464538 0.590324,-7.273069 -5.840518 0.8536084,-6.919465 -5.51197 1.136701,-8.053987 -4.683527 0.3256719,-7.951725 -3.54216 0.4861197,-7.909534 -2.83807 0.6602283,-7.870662 -2.22068 0.8049404,-8.418274 -4.527309 0.4015331,-8.326739 -3.20788 0.5617803,-8.262882 -2.371242 0.7935308,-8.212599 -1.643289 0.9984212,-8.774283 -4.61463 0.5096616,-8.711216 -3.373054 0.6543004,-8.647816 -2.600517 0.8282673,-8.576196 -1.945476 0.966529,-9.137018 -4.917184 0.6411809,-9.194714 -3.96338 0.8112351,-9.205317 -3.342472 0.9442949,-9.196747 -2.753946 1.039455,0.710,35 1 0
-1.981052 -7.309377 -0.01671014,-2.644167 -7.078107 0.3061821,-3.21349 -6.525068 0.4826638,-3.62079 -5.931983 0.6751429,-3.958328 -5.552841 0.9074068,-2.886981 -4.759964 -0.01285198,-3.15872 -3.725071 0.1421206,-3.303671 -3.111942 0.2832013,-3.431785 -2.5592 0.39152,-2.530968 -4.486183 0.01420296,-2.720617 -3.299083 0.08062334,-2.720617 -3.299083 0.08062334,-2.930298 -1.894637 0.3811106,-2.165217 -4.458402 0.1264071,-2.2997 -3.294546 0.2150032,-2.4027 -2.556354 0.3402498,-2.519558 -1.932498 0.4709666,-1.764009 -4.653402 0.3098038,-1.681511 -3.724369 0.3929078,-1.6401 -3.091512 0.51871,-1.615216 -2.489091 0.6517535,-8.734784 -7.408612 0.1021059,-8.152039 -7.08693 0.3753979,-7.642279 -6.444705 0.6164519,-7.27676 -5.826869 0.8958126,-6.917289 -5.501241 1.199075,-8.05856 -4.681524 0.3398931,-7.955269 -3.534486 0.5087637,-7.909794 -2.824837 0.6862784,-7.867874 -2.207551 0.8296932,-8.423191 -4.530726 0.4134071,-8.32877 -3.205478 0.5857028,-8.260253 -2.364246 0.8202133,-8.204571 -1.647418 1.023513,-8.776395 -4.618474 0.5203273,-8.713837 -3.371852 0.6781868,-8.649378 -2.589628 0.8566967,-8.571591 -1.931001 0.9925741,-9.135981 -4.920093 0.6510495,-9.197445 -3.960172 0.8277328,-9.210457 -3.341724 0.9570452,-9.202214 -2.760341 1.047667,0.810,35 1 0
-1.977051 -7.306899 -0.0853162,-2.64864 -7.065073 0.2010091,-3.223597 -6.511693 0.3681554,-3.646021 -5.942838 0.5519243,-3.983015 -5.583488 0.7757987,-2.881331 -4.757998 -0.09402988,-3.152055 -3.709389 0.04979834,-3.303234 -3.092652 0.1803855,-3.437525 -2.534264 0.2902849,-2.528083 -4.503922 -0.05482221,-2.717768 -3.310705 0.02391262,-2.717768 -3.310705 0.02391262,-2.939281 -1.907597 0.3223625,-2.165349 -4.477996 0.06711212,-2.3001 -3.314454 0.1607333,-2.411775 -2.574232 0.3059246,-2.532944 -1.943136 0.4435467,-1.766696 -4.673654 0.2425787,-1.681241 -3.744045 0.3381515,-1.638454 -3.114906 0.4734131,-1.612437 -2.51222 0.6123972,-8.751083 -7.418621 0.1198846,-8.163165 -7.110753 0.405479,-7.6561 -6.467172 0.6503559,-7.30084 -5.835836 0.9329499,-6.954715 -5.481479 1.22458,-8.067032 -4.690901 0.350135,-7.962304 -3.536495 0.5173482,-7.920429 -2.825119 0.70016,-7.882043 -2.208392 0.8477035,-8.432043 -4.534847 0.4166931,-8.340384 -3.206338 0.5834019,-8.272666 -2.361011 0.818809,-8.222135 -1.635595 1.029007,-8.786626 -4.614313 0.5185624,-8.721224 -3.359678 0.6614789,-8.654671 -2.574138 0.8358245,-8.579723 -1.914083 0.9737197,-9.149979 -4.907336 0.6471527,-9.199749 -3.944435 0.8072345,-9.208511 -3.325651 0.9296322,-9.201972 -2.745919 1.021148,0.910,35 1 0
