WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.042201 -7.16336 0.000278209,-2.710676 -6.846067 0.3173658,-3.289988 -6.335752 0.5411613,-3.743161 -5.828874 0.7590009,-4.077993 -5.505544 1.014113,-2.862237 -4.630243 0.2400355,-3.128733 -3.499699 0.5039971,-3.26892 -2.840688 0.7126233,-3.384159 -2.254866 0.8658699,-2.494887 -4.388826 0.3087005,-2.655147 -3.10545 0.5266838,-2.655147 -3.10545 0.5266838,-2.823264 -1.568024 0.9273857,-2.115138 -4.394666 0.4454769,-2.194513 -3.172924 0.6663139,-2.269646 -2.37182 0.864229,-2.367902 -1.735286 1.033671,-1.714869 -4.623769 0.6210724,-1.58312 -3.685696 0.8099986,-1.515456 -3.026105 0.9716637,-1.481065 -2.420485 1.12643,-8.301354 -7.47771 0.0004045252,-7.681577 -7.160266 0.2717717,-7.119532 -6.475152 0.5009538,-6.720038 -5.838769 0.7810327,-6.354439 -5.503175 1.062389,-7.581056 -4.580846 0.1886769,-7.465336 -3.39442 0.3507868,-7.426191 -2.658324 0.5334239,-7.395542 -2.02092 0.6867375,-7.968203 -4.41239 0.2617877,-7.880507 -3.023187 0.4098315,-7.825605 -2.143938 0.6522011,-7.789467 -1.397163 0.8559481,-8.342057 -4.503503 0.3730019,-8.304476 -3.234124 0.5189297,-8.259268 -2.42274 0.6957654,-8.196993 -1.74101 0.8261513,-8.723854 -4.826941 0.5125753,-8.811547 -3.864397 0.6775563,-8.838494 -3.234127 0.8021014,-8.83652 -2.629515 0.8815087,0.010,12 1 0
-2.04907 -7.163627 0.05840202,-2.714326 -6.869405 0.3922915,-3.295496 -6.360198 0.6240838,-3.742685 -5.841011 0.8558039,-4.073622 -5.505037 1.11603,-2.867894 -4.61107 0.2814184,-3.132946 -3.48899 0.5450588,-3.270403 -2.836519 0.7536704,-3.382776 -2.252882 0.9027451,-2.499613 -4.369686 0.3467343,-2.656372 -3.086664 0.5545806,-2.656372 -3.086664 0.5545806,-2.824059 -1.572033 0.9457367,-2.123627 -4.378629 0.4802106,-2.194341 -3.155113 0.6945978,-2.272539 -2.360393 0.8847628,-2.369918 -1.727508 1.048712,-1.726557 -4.61515 0.654618,-1.587543 -3.687845 0.8322543,-1.522325 -3.048771 0.9848719,-1.491509 -2.465719 1.124525,-8.330812 -7.488775 0.05877647,-7.70811 -7.188016 0.3432055,-7.132177 -6.499249 0.566718,-6.726651 -5.857856 0.8365778,-6.363276 -5.50932 1.111284,-7.590198 -4.585636 0.2277601,-7.466319 -3.399295 0.3779815,-7.426702 -2.660812 0.5549159,-7.394148 -2.030745 0.703477,-7.977965 -4.406246 0.2873935,-7.885919 -3.023605 0.4208814,-7.828207 -2.147972 0.6531122,-7.785626 -1.404583 0.8464523,-8.353191 -4.487077 0.3890535,-8.307267 -3.217489 0.5204685,-8.256245 -2.411994 0.6909214,-8.182236 -1.737708 0.8127839,-8.735924 -4.79861 0.5201511,-8.822871 -3.839731 0.6701494,-8.848333 -3.216722 0.7914711,-8.838814 -2.617383 0.8676217,0.110,12 1 0
-2.038058 -7.203134 0.07384245,-2.711841 -6.92357 0.381781,-3.294006 -6.378646 0.565297,-3.740221 -5.828619 0.7490755,-4.07992 -5.503646 0.9604752,-2.877582 -4.64501 0.2126305,-3.136711 -3.505809 0.4256986,-3.271807 -2.836483 0.6072598,-3.378922 -2.248417 0.7477319,-2.500547 -4.398633 0.2697785,-2.64445 -3.100058 0.4248098,-2.64445 -3.100058 0.4248098,-2.803691 -1.559181 0.7779139,-2.118574 -4.400657 0.3960209,-2.183818 -3.163396 0.5691628,-2.254399 -2.351737 0.7320488,-2.344115 -1.707232 0.8833423,-1.716858 -4.632076 0.5654157,-1.580304 -3.689053 0.7173923,-1.512547 -3.034464 0.8561534,-1.475587 -2.439182 0.9879265,-8.304111 -7.519521 0.04073717,-7.689701 -7.207302 0.3151528,-7.128501 -6.516551 0.5587969,-6.721387 -5.88732 0.8539051,-6.350875 -5.547407 1.16547,-7.597137 -4.612283 0.2317236,-7.475178 -3.413023 0.3952357,-7.431534 -2.667634 0.5871055,-7.395228 -2.02787 0.7355259,-7.984113 -4.441378 0.3039627,-7.896141 -3.04496 0.4496231,-7.837891 -2.16001 0.6850765,-7.793962 -1.412771 0.876519,-8.357203 -4.54063 0.417181,-8.323325 -3.256485 0.55447,-8.27235 -2.436222 0.7263157,-8.202511 -1.75195 0.8480476,-8.737245 -4.876066 0.5578163,-8.832245 -3.886525 0.7180504,-8.853071 -3.240989 0.8421785,-8.840514 -2.626678 0.918588,0.210,12 1 0
-2.045341 -7.195219 0.07729494,-2.708722 -6.925504 0.3842243,-3.296215 -6.387176 0.5750395,-3.739978 -5.83902 0.7720462,-4.062729 -5.493515 0.9909657,-2.87754 -4.63002 0.2149503,-3.131414 -3.49875 0.4354704,-3.261158 -2.826109 0.6129066,-3.362871 -2.235322 0.7427803,-2.50163 -4.389232 0.280557,-2.646406 -3.096122 0.4513623,-2.646406 -3.096122 0.4513623,-2.799165 -1.559511 0.8128872,-2.121651 -4.394689 0.4137355,-2.185534 -3.160041 0.6031188,-2.256952 -2.348682 0.7735467,-2.343097 -1.710969 0.9247917,-1.722633 -4.631011 0.5885256,-1.587594 -3.684234 0.7545185,-1.522492 -3.034741 0.8992722,-1.487768 -2.447152 1.030447,-8.324828 -7.522239 0.07809675,-7.70279 -7.200455 0.3302578,-7.139414 -6.505235 0.5555581,-6.730107 -5.872582 0.8338358,-6.351691 -5.541599 1.130317,-7.605375 -4.605224 0.2142777,-7.488699 -3.409839 0.3600267,-7.448644 -2.671592 0.5420357,-7.414898 -2.032131 0.6861248,-7.99169 -4.430942 0.2921955,-7.903366 -3.037289 0.4200834,-7.846612 -2.161014 0.6482277,-7.801779 -1.41637 0.8350773,-8.363133 -4.52248 0.4111865,-8.329823 -3.237421 0.5369526,-8.282202 -2.427932 0.7003925,-8.214114 -1.746711 0.8151312,-8.741754 -4.852808 0.5552406,-8.838007 -3.869645 0.711863,-8.859416 -3.228682 0.8323689,-8.848258 -2.617451 0.9012188,0.310,12 1 0
-2.041949 -7.228282 0.1440355,-2.707348 -6.954043 0.451186,-3.290821 -6.408687 0.6347638,-3.732059 -5.853857 0.8252934,-4.067894 -5.521629 1.043174,-2.875217 -4.648029 0.261049,-3.122885 -3.511663 0.4692683,-3.245762 -2.827463 0.6519927,-3.33819 -2.228761 0.7894672,-2.495715 -4.400631 0.3189017,-2.636624 -3.1111 0.4713353,-2.636624 -3.1111 0.4713353,-2.78283 -1.571264 0.8368617,-2.113221 -4.401649 0.4435657,-2.173315 -3.175183 0.6204163,-2.24583 -2.363245 0.79781,-2.333346 -1.725173 0.9510921,-1.714428 -4.634298 0.6106571,-1.582112 -3.694618 0.7750134,-1.520452 -3.045264 0.9237208,-1.490396 -2.459013 1.059176,-8.324507 -7.519633 0.1413496,-7.70137 -7.194376 0.414299,-7.137365 -6.498502 0.6467351,-6.726659 -5.863242 0.9304187,-6.346095 -5.530483 1.226171,-7.606546 -4.58435 0.3070859,-7.488803 -3.392213 0.4647712,-7.4503 -2.656345 0.6473053,-7.416226 -2.020872 0.7955188,-7.996677 -4.411251 0.3793841,-7.907557 -3.025631 0.5170368,-7.85171 -2.153188 0.7483625,-7.806314 -1.412462 0.9436101,-8.3714 -4.506389 0.4944248,-8.335381 -3.226923 0.6256161,-8.287499 -2.424111 0.7938495,-8.217298 -1.745377 0.9169871,-8.752731 -4.841321 0.6391475,-8.848587 -3.871973 0.8004015,-8.873357 -3.238933 0.9285048,-8.862822 -2.62669 1.006845,0.410,12 1 0
-2.034146 -7.205575 0.07599711,-2.70068 -6.935941 0.3538398,-3.291362 -6.387556 0.5280086,-3.742117 -5.853021 0.7069981,-4.078008 -5.54685 0.9144206,-2.884101 -4.661666 0.1985801,-3.142307 -3.534922 0.4052581,-3.278042 -2.866557 0.5774884,-3.38301 -2.285287 0.70639,-2.506444 -4.401748 0.2670611,-2.6479 -3.112724 0.4194311,-2.6479 -3.112724 0.4194311,-2.797439 -1.57787 0.7632451,-2.1226 -4.392946 0.4059865,-2.187978 -3.172166 0.5845921,-2.253959 -2.367718 0.7414992,-2.341866 -1.72911 0.8820302,-1.719438 -4.617118 0.5811794,-1.59015 -3.685203 0.7379863,-1.518852 -3.048365 0.8698812,-1.480352 -2.473169 0.9911613,-8.339129 -7.521191 0.08949445,-7.713337 -7.203493 0.3695999,-7.150503 -6.514217 0.5958118,-6.741039 -5.875892 0.8676161,-6.367542 -5.542696 1.152727,-7.619434 -4.606372 0.2484253,-7.499426 -3.418407 0.3955463,-7.456649 -2.688043 0.5768225,-7.420795 -2.054889 0.7178755,-8.005431 -4.427097 0.3097496,-7.925282 -3.033973 0.4326946,-7.872592 -2.168196 0.6601624,-7.828034 -1.42801 0.8438532,-8.374169 -4.512469 0.4134877,-8.346468 -3.236924 0.5330731,-8.302481 -2.443388 0.6997907,-8.232014 -1.773535 0.8166171,-8.746259 -4.83393 0.5461175,-8.852565 -3.882648 0.7018539,-8.884155 -3.25616 0.8249487,-8.876903 -2.652909 0.8946085,0.510,12 1 0
-2.03474 -7.217922 0.1062149,-2.699406 -6.949235 0.3959631,-3.289648 -6.391307 0.5785322,-3.735903 -5.838865 0.7668744,-4.059107 -5.506494 0.9782498,-2.865899 -4.639614 0.2387051,-3.110504 -3.506752 0.4474634,-3.237642 -2.82839 0.6202687,-3.333655 -2.238001 0.7517949,-2.493309 -4.403907 0.3089233,-2.638902 -3.094186 0.4760616,-2.638902 -3.094186 0.4760616,-2.785357 -1.557993 0.8345783,-2.116221 -4.411876 0.4442578,-2.184509 -3.16873 0.633801,-2.255686 -2.357232 0.7995862,-2.340499 -1.717948 0.9468737,-1.721495 -4.648401 0.6194636,-1.592255 -3.701083 0.7893292,-1.533179 -3.061325 0.9334395,-1.505349 -2.484542 1.060639,-8.321177 -7.521053 0.09610234,-7.703156 -7.188253 0.3692124,-7.144869 -6.484838 0.5985816,-6.741879 -5.842752 0.8779111,-6.366725 -5.516305 1.169667,-7.61641 -4.593703 0.25928,-7.49842 -3.403629 0.4165566,-7.455802 -2.663999 0.6064643,-7.420499 -2.0233 0.7596331,-8.005309 -4.423971 0.3277431,-7.92198 -3.030836 0.4645893,-7.864342 -2.153395 0.6999847,-7.820392 -1.409582 0.8949034,-8.375596 -4.516844 0.4378378,-8.347346 -3.238914 0.563902,-8.301007 -2.440472 0.7269689,-8.233681 -1.765352 0.8437157,-8.750126 -4.844238 0.577027,-8.847815 -3.882034 0.734559,-8.873087 -3.253244 0.8523899,-8.865016 -2.647333 0.9228664,0.610,12 1 0
-2.050144 -7.207775 0.07431844,-2.717818 -6.929019 0.3511522,-3.298502 -6.383193 0.5229548,-3.736044 -5.835474 0.7057734,-4.057789 -5.505193 0.9133967,-2.879716 -4.633158 0.1637131,-3.127075 -3.504474 0.3752983,-3.255277 -2.832852 0.5522628,-3.352626 -2.246744 0.6826844,-2.505828 -4.400344 0.2438988,-2.648929 -3.106861 0.40781,-2.648929 -3.106861 0.40781,-2.793773 -1.570577 0.7761134,-2.126859 -4.408739 0.3923582,-2.190777 -3.178674 0.5784563,-2.261556 -2.368268 0.7492925,-2.34507 -1.727218 0.899949,-1.728525 -4.642404 0.5813881,-1.599954 -3.701826 0.7436951,-1.540224 -3.059408 0.8823344,-1.510841 -2.475702 1.009566,-8.341949 -7.513012 0.09189992,-7.712393 -7.193826 0.372625,-7.153014 -6.488611 0.6006911,-6.750651 -5.83331 0.8784137,-6.376617 -5.499766 1.169315,-7.62833 -4.590652 0.2548479,-7.507897 -3.396898 0.4184797,-7.46583 -2.659602 0.6087683,-7.430465 -2.019023 0.7591839,-8.019163 -4.417598 0.3201267,-7.933369 -3.016353 0.456766,-7.877674 -2.141305 0.691462,-7.832699 -1.395437 0.8850555,-8.391278 -4.511055 0.4288552,-8.361293 -3.222822 0.5610024,-8.315137 -2.427736 0.7340855,-8.247205 -1.752832 0.8575708,-8.767154 -4.840375 0.5664986,-8.860036 -3.872941 0.7347218,-8.884441 -3.239342 0.863088,-8.87182 -2.629712 0.9431309,0.710,12 1 0
-1.993306 -7.249406 0.01896665,-2.667267 -6.998727 0.2644951,-3.253595 -6.439211 0.4208308,-3.691292 -5.859339 0.5929275,-4.022627 -5.494047 0.8097208,-2.85877 -4.710737 0.05911196,-3.115884 -3.598218 0.2335851,-3.258097 -2.934394 0.3976045,-3.364364 -2.346524 0.5256931,-2.496193 -4.463567 0.1394756,-2.644872 -3.176393 0.2622993,-2.644872 -3.176393 0.2622993,-2.806304 -1.611579 0.6143774,-2.122705 -4.445758 0.2860061,-2.204173 -3.229352 0.4305936,-2.287672 -2.420469 0.5952556,-2.375574 -1.770916 0.7448737,-1.724863 -4.645705 0.4689146,-1.622602 -3.684044 0.601472,-1.578968 -3.027623 0.7443334,-1.562971 -2.429873 0.881978,-8.338928 -7.549751 0.1175888,-7.723764 -7.22332 0.395854,-7.170248 -6.520355 0.6329486,-6.771821 -5.866231 0.9198798,-6.39985 -5.5158 1.215805,-7.640791 -4.620168 0.2890454,-7.521847 -3.430952 0.4512453,-7.475903 -2.69581 0.6416287,-7.437878 -2.057515 0.7931113,-8.03071 -4.44664 0.3608972,-7.948714 -3.049869 0.5009664,-7.894361 -2.175848 0.7386246,-7.850562 -1.431893 0.9308885,-8.401651 -4.542359 0.4760184,-8.375114 -3.255023 0.6048801,-8.32751 -2.457769 0.7751404,-8.255426 -1.783748 0.8971889,-8.776607 -4.877094 0.6196213,-8.876101 -3.903692 0.7827151,-8.899161 -3.271912 0.9127751,-8.885255 -2.66229 0.9909378,0.810,12 1 0
-2.009191 -7.384943 0.2389389,-2.664713 -7.082166 0.4993709,-3.222889 -6.445122 0.6407263,-3.629731 -5.803462 0.8166625,-3.959307 -5.393278 1.033444,-2.848894 -4.753547 0.2484196,-3.092875 -3.640422 0.4431336,-3.228941 -2.974261 0.5978844,-3.338379 -2.369918 0.7120309,-2.489706 -4.530104 0.3218608,-2.642074 -3.276917 0.4506792,-2.642074 -3.276917 0.4506792,-2.807167 -1.795082 0.7552087,-2.12472 -4.543584 0.4701614,-2.212803 -3.340145 0.6208531,-2.299897 -2.561605 0.7937591,-2.388798 -1.915251 0.9412341,-1.737866 -4.785957 0.6630999,-1.672472 -3.8526 0.8070644,-1.663621 -3.214471 0.9630223,-1.678337 -2.627593 1.09762,-8.366479 -7.549924 0.1054133,-7.751215 -7.225562 0.3944278,-7.195041 -6.523849 0.6415581,-6.795396 -5.871292 0.9342912,-6.422132 -5.516075 1.243124,-7.660226 -4.626207 0.3147904,-7.537866 -3.430306 0.4917428,-7.489648 -2.698854 0.6842544,-7.449195 -2.060003 0.8342891,-8.052778 -4.45424 0.3882324,-7.965684 -3.048432 0.5455742,-7.909955 -2.17442 0.7878194,-7.864413 -1.428133 0.9822983,-8.426277 -4.55282 0.5038285,-8.393289 -3.25648 0.6504058,-8.343118 -2.454362 0.8299478,-8.267035 -1.773615 0.9586815,-8.80373 -4.889976 0.6476369,-8.897069 -3.903265 0.8297842,-8.915607 -3.268163 0.969311,-8.897774 -2.656414 1.051414,0.910,12 1 0
