WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.122396 -7.356898 0.0004661068,-2.83251 -7.028682 0.2359534,-3.416924 -6.411073 0.3799048,-3.850395 -5.835115 0.5298792,-4.183499 -5.485696 0.7249491,-2.921906 -4.680515 -0.01444741,-3.155199 -3.553327 0.1703416,-3.275794 -2.900122 0.3499695,-3.38327 -2.322422 0.4790104,-2.539642 -4.427221 0.07194737,-2.670402 -3.146098 0.2194642,-2.670402 -3.146098 0.2194642,-2.824139 -1.625224 0.5768955,-2.147141 -4.429942 0.2350611,-2.229924 -3.186816 0.3875618,-2.307483 -2.380874 0.5451538,-2.405703 -1.728717 0.678459,-1.727574 -4.660326 0.4320746,-1.623731 -3.651762 0.583899,-1.579795 -2.968055 0.7166278,-1.567503 -2.343469 0.8519971,-8.317622 -7.450704 0.0006177208,-7.689596 -7.10849 0.2437304,-7.122293 -6.374749 0.4315534,-6.731315 -5.72841 0.6769434,-6.370187 -5.418214 0.9350721,-7.548776 -4.52988 0.07646866,-7.412899 -3.404787 0.1806082,-7.359998 -2.68011 0.3365122,-7.322225 -2.067394 0.4730296,-7.923511 -4.339662 0.1363297,-7.812431 -3.021696 0.208779,-7.741191 -2.175014 0.4332423,-7.688662 -1.452455 0.6158068,-8.292771 -4.403566 0.2360036,-8.229397 -3.204335 0.3036949,-8.169971 -2.450286 0.4398949,-8.099264 -1.819491 0.5423381,-8.673641 -4.68475 0.3722131,-8.761094 -3.757415 0.4771694,-8.785489 -3.166172 0.5758494,-8.780228 -2.608042 0.6390682,0.010,15 1 0
-2.122937 -7.380237 0.06285501,-2.822644 -7.053098 0.3023224,-3.401559 -6.415411 0.4589303,-3.834942 -5.819583 0.6235051,-4.175776 -5.464659 0.8282564,-2.91497 -4.677515 0.0746968,-3.145593 -3.553089 0.2529194,-3.274606 -2.904122 0.4196925,-3.388969 -2.326097 0.5472555,-2.538215 -4.433013 0.1604659,-2.672738 -3.143615 0.3116715,-2.672738 -3.143615 0.3116715,-2.837377 -1.620388 0.6779265,-2.153251 -4.438934 0.3200423,-2.237554 -3.186039 0.4806852,-2.320597 -2.365766 0.6497662,-2.423625 -1.700948 0.7940231,-1.74195 -4.678733 0.5148525,-1.625313 -3.662453 0.6605917,-1.573336 -2.976024 0.7985423,-1.554997 -2.348915 0.9493616,-8.313019 -7.441439 -0.002928843,-7.697853 -7.103408 0.2705637,-7.137506 -6.380428 0.4876249,-6.753128 -5.734107 0.7539158,-6.388434 -5.409471 1.037298,-7.552403 -4.524589 0.1425221,-7.4202 -3.396432 0.2703857,-7.376693 -2.678282 0.4379113,-7.346364 -2.066565 0.5804347,-7.929031 -4.333883 0.2008512,-7.81713 -3.008893 0.2989501,-7.746602 -2.159318 0.528284,-7.695386 -1.436511 0.7146924,-8.299922 -4.401481 0.2998521,-8.242085 -3.199963 0.3933846,-8.184048 -2.441382 0.5357654,-8.115277 -1.808875 0.6459452,-8.683805 -4.691204 0.4358549,-8.764999 -3.758895 0.5570366,-8.78414 -3.160476 0.6557572,-8.775363 -2.596498 0.718485,0.110,15 1 0
-2.099666 -7.450523 0.1907457,-2.81142 -7.142014 0.4322205,-3.394576 -6.448041 0.5501513,-3.816402 -5.80264 0.6900367,-4.158522 -5.420481 0.87546,-2.924603 -4.726775 0.1172416,-3.1513 -3.579076 0.2403123,-3.272877 -2.897316 0.381287,-3.380993 -2.303944 0.4967727,-2.534511 -4.467557 0.1851656,-2.658648 -3.172078 0.2611592,-2.658648 -3.172078 0.2611592,-2.830473 -1.628803 0.5847988,-2.145143 -4.460628 0.3316583,-2.221038 -3.201504 0.4385172,-2.310106 -2.376075 0.5786364,-2.415397 -1.715678 0.7018199,-1.732183 -4.694633 0.5170995,-1.62075 -3.675807 0.6318042,-1.578917 -2.988103 0.7593604,-1.567986 -2.369903 0.8957427,-8.343989 -7.460601 0.006727567,-7.712255 -7.126623 0.2695026,-7.147213 -6.387643 0.4779164,-6.755356 -5.727584 0.7356428,-6.383206 -5.407171 1.003911,-7.562933 -4.542731 0.1384175,-7.436192 -3.405729 0.2539173,-7.388039 -2.677392 0.4196904,-7.351796 -2.057562 0.5605024,-7.943779 -4.350887 0.1873223,-7.840928 -3.02487 0.2715016,-7.768261 -2.166662 0.4867423,-7.714222 -1.434098 0.6701974,-8.315658 -4.412175 0.2741442,-8.262726 -3.197496 0.3446543,-8.204348 -2.439491 0.4602003,-8.13495 -1.809213 0.545296,-8.701361 -4.69363 0.3969501,-8.77485 -3.737574 0.4942118,-8.792439 -3.136554 0.5680586,-8.786521 -2.572049 0.6114466,0.210,15 1 0
-2.125227 -7.450455 0.3013912,-2.839302 -7.152522 0.5466985,-3.42152 -6.458217 0.6719556,-3.828272 -5.788326 0.813798,-4.173153 -5.394167 0.999281,-2.937329 -4.683036 0.2007193,-3.160224 -3.547422 0.294735,-3.283619 -2.882074 0.4147539,-3.392874 -2.282476 0.5226484,-2.546056 -4.433788 0.2649232,-2.665431 -3.142922 0.3256065,-2.665431 -3.142922 0.3256065,-2.827895 -1.605672 0.6515841,-2.160658 -4.435367 0.4085161,-2.224248 -3.18679 0.4911236,-2.31698 -2.369124 0.6309285,-2.415546 -1.701147 0.7646521,-1.750434 -4.674891 0.5910703,-1.628541 -3.667225 0.6841094,-1.578382 -2.974336 0.8193136,-1.551153 -2.328691 0.9677094,-8.345051 -7.451542 0.02159118,-7.718087 -7.119248 0.2626361,-7.155575 -6.371074 0.460724,-6.763527 -5.714136 0.7120414,-6.389168 -5.408948 0.9753324,-7.576533 -4.528459 0.1366407,-7.453353 -3.392123 0.2437761,-7.406193 -2.672277 0.3995714,-7.369656 -2.060504 0.5297993,-7.954493 -4.335961 0.1956191,-7.846247 -3.001523 0.2818395,-7.774173 -2.152544 0.4871137,-7.716627 -1.430945 0.6556087,-8.320712 -4.398839 0.2924564,-8.275343 -3.166196 0.3793462,-8.221762 -2.400238 0.5017343,-8.152028 -1.761728 0.5866801,-8.697895 -4.68262 0.4183412,-8.781236 -3.724826 0.5312495,-8.801656 -3.118566 0.6169019,-8.792156 -2.548234 0.6636457,0.310,15 1 0
-2.13084 -7.46162 0.3371324,-2.838993 -7.155933 0.589366,-3.41983 -6.458463 0.7163895,-3.830173 -5.780855 0.8540344,-4.178787 -5.386604 1.038282,-2.94173 -4.686425 0.2477294,-3.16687 -3.550436 0.3409352,-3.284215 -2.879859 0.4591024,-3.386454 -2.275299 0.5677549,-2.552838 -4.43469 0.3088404,-2.67795 -3.141331 0.3670156,-2.67795 -3.141331 0.3670156,-2.837646 -1.612314 0.6818154,-2.169993 -4.435068 0.4507673,-2.237116 -3.17645 0.5339456,-2.326563 -2.357008 0.6731737,-2.421331 -1.688299 0.8054282,-1.759526 -4.67737 0.6322116,-1.64238 -3.653505 0.7223678,-1.593852 -2.948904 0.8585293,-1.563297 -2.292758 1.010286,-8.36469 -7.45675 0.03995594,-7.731683 -7.121904 0.2833208,-7.163567 -6.379264 0.4759336,-6.764817 -5.721506 0.7236854,-6.391343 -5.40726 0.9861888,-7.579897 -4.525495 0.1129827,-7.450875 -3.389559 0.2134475,-7.401627 -2.663974 0.3710964,-7.365078 -2.050326 0.4991586,-7.957067 -4.335624 0.1627364,-7.849617 -3.004017 0.2348934,-7.781311 -2.159838 0.4393611,-7.729029 -1.430911 0.6071447,-8.322522 -4.399692 0.2525678,-8.27266 -3.183635 0.3155854,-8.220793 -2.435482 0.4195584,-8.154877 -1.800783 0.4936241,-8.69866 -4.685032 0.376729,-8.783752 -3.739319 0.463028,-8.807195 -3.145084 0.5357329,-8.802601 -2.5788 0.5780972,0.410,15 1 0
-2.127341 -7.440778 0.3134882,-2.838016 -7.125873 0.603497,-3.422315 -6.442333 0.7665623,-3.834545 -5.772129 0.9395884,-4.177897 -5.371866 1.161484,-2.953138 -4.664175 0.2757596,-3.17417 -3.522209 0.4042983,-3.29134 -2.856056 0.5527327,-3.396036 -2.268905 0.6763434,-2.55884 -4.421941 0.3271768,-2.679286 -3.130471 0.4014103,-2.679286 -3.130471 0.4014103,-2.828671 -1.599105 0.7413815,-2.168853 -4.429562 0.4638515,-2.236337 -3.18209 0.559804,-2.325153 -2.358426 0.7109755,-2.427378 -1.686681 0.8499772,-1.757294 -4.672538 0.6430271,-1.635366 -3.658614 0.7470266,-1.586003 -2.968509 0.8818591,-1.562023 -2.334653 1.029325,-8.355839 -7.489297 0.0958601,-7.726742 -7.137977 0.3433424,-7.159535 -6.390026 0.5425919,-6.766938 -5.716785 0.7964801,-6.396111 -5.389885 1.065443,-7.580585 -4.539449 0.1933029,-7.450138 -3.406016 0.3068982,-7.400165 -2.685482 0.4752612,-7.364988 -2.07347 0.6142499,-7.958775 -4.35221 0.2527607,-7.852835 -3.028017 0.3341123,-7.785456 -2.179316 0.5527291,-7.734312 -1.452601 0.7334757,-8.32662 -4.427093 0.35364,-8.283233 -3.22019 0.4324679,-8.229608 -2.468507 0.5584308,-8.161696 -1.839311 0.6441339,-8.707077 -4.725345 0.4892299,-8.797983 -3.786678 0.604133,-8.821194 -3.185676 0.6929892,-8.813744 -2.613688 0.7392904,0.510,15 1 0
-2.113862 -7.449054 0.356556,-2.82592 -7.144968 0.6299994,-3.415154 -6.44585 0.774394,-3.831251 -5.784412 0.9350852,-4.177456 -5.401876 1.138736,-2.943571 -4.663665 0.2803212,-3.173267 -3.523819 0.3998563,-3.295846 -2.855775 0.5423123,-3.404512 -2.259893 0.6594458,-2.552242 -4.418819 0.3378348,-2.67753 -3.127489 0.4088928,-2.67753 -3.127489 0.4088928,-2.836269 -1.600194 0.7312815,-2.165285 -4.42429 0.4801268,-2.237667 -3.179733 0.577449,-2.332318 -2.365517 0.7196151,-2.436303 -1.693902 0.8504583,-1.751644 -4.66316 0.666145,-1.634622 -3.657085 0.7691581,-1.586942 -2.968323 0.8998543,-1.562847 -2.327422 1.04402,-8.346634 -7.474235 0.03718027,-7.716677 -7.121825 0.2728233,-7.15979 -6.379249 0.4661486,-6.774063 -5.712486 0.71683,-6.407096 -5.400146 0.9863687,-7.580074 -4.535663 0.1233156,-7.452683 -3.391248 0.2339712,-7.407944 -2.665294 0.4002828,-7.377645 -2.046789 0.5371923,-7.958769 -4.352914 0.1943334,-7.857426 -3.003076 0.2756222,-7.79189 -2.149765 0.4935956,-7.739104 -1.426696 0.6691108,-8.325354 -4.430913 0.3027489,-8.28076 -3.198163 0.3845277,-8.226505 -2.439382 0.5198333,-8.156768 -1.799572 0.6136123,-8.700267 -4.73056 0.44624,-8.794077 -3.792183 0.5609547,-8.819491 -3.184583 0.6576157,-8.813172 -2.602883 0.7101908,0.610,15 1 0
-2.119852 -7.454563 0.3245631,-2.83499 -7.143141 0.5834697,-3.419701 -6.451244 0.7194747,-3.832617 -5.771017 0.8728217,-4.175578 -5.367889 1.066468,-2.934343 -4.673353 0.2251607,-3.157471 -3.532972 0.3223861,-3.283234 -2.863854 0.4529998,-3.393606 -2.265349 0.566944,-2.545457 -4.43198 0.2814998,-2.673581 -3.136123 0.3405843,-2.673581 -3.136123 0.3405843,-2.833793 -1.603264 0.6615587,-2.164263 -4.431953 0.4206909,-2.234275 -3.177968 0.5055151,-2.327977 -2.360403 0.6463584,-2.424339 -1.68027 0.776246,-1.761039 -4.662378 0.5999966,-1.638486 -3.653832 0.6913971,-1.586802 -2.965306 0.8170208,-1.553542 -2.320913 0.9574113,-8.367415 -7.466735 0.09927854,-7.726011 -7.113864 0.353043,-7.161572 -6.375299 0.5483181,-6.772638 -5.703546 0.7933072,-6.405759 -5.381822 1.046469,-7.591667 -4.518836 0.1929061,-7.459354 -3.379059 0.3038157,-7.414256 -2.655781 0.4678183,-7.381333 -2.041492 0.5974842,-7.971217 -4.327915 0.2429584,-7.865557 -2.99321 0.3208438,-7.801941 -2.154737 0.5373753,-7.750122 -1.431566 0.7138867,-8.337797 -4.4011 0.3329189,-8.291761 -3.184058 0.412027,-8.240078 -2.440423 0.5408121,-8.171814 -1.805412 0.6276127,-8.714658 -4.695415 0.4560793,-8.805869 -3.759643 0.5728341,-8.83028 -3.165851 0.6697895,-8.821294 -2.595314 0.723266,0.710,15 1 0
-2.096339 -7.467065 0.3490227,-2.809182 -7.16361 0.6515422,-3.408553 -6.473734 0.8045882,-3.822454 -5.786712 0.9653786,-4.164958 -5.371704 1.172099,-2.925836 -4.685954 0.3211117,-3.15637 -3.558929 0.4334586,-3.274124 -2.881099 0.5659058,-3.373694 -2.261817 0.6850337,-2.531262 -4.438485 0.3630843,-2.67058 -3.162845 0.4352566,-2.67058 -3.162845 0.4352566,-2.836751 -1.632954 0.7883186,-2.145679 -4.433864 0.488501,-2.221897 -3.200015 0.5790209,-2.314323 -2.393693 0.7384465,-2.411141 -1.717228 0.8881132,-1.734398 -4.656522 0.6548138,-1.621661 -3.653143 0.7562056,-1.576272 -2.963916 0.9010972,-1.551972 -2.319822 1.062976,-8.369608 -7.486398 0.1088663,-7.731907 -7.127231 0.3539957,-7.173545 -6.382947 0.5440443,-6.78721 -5.702398 0.7853335,-6.419322 -5.375611 1.038185,-7.597566 -4.535697 0.1999165,-7.463056 -3.392618 0.3046215,-7.413459 -2.664395 0.4656001,-7.377688 -2.045756 0.597883,-7.977153 -4.344322 0.2522314,-7.869815 -3.008993 0.3246544,-7.803264 -2.160624 0.5410964,-7.751796 -1.436571 0.7154139,-8.34328 -4.412384 0.3431926,-8.296756 -3.19161 0.4116921,-8.24396 -2.44452 0.5348877,-8.176771 -1.818397 0.6195633,-8.719585 -4.696805 0.4669257,-8.809643 -3.749312 0.5753495,-8.829588 -3.146123 0.6674621,-8.817955 -2.572576 0.717467,0.810,15 1 0
-2.114456 -7.491682 0.4166952,-2.812731 -7.176132 0.7112311,-3.40319 -6.468889 0.8677047,-3.813602 -5.785249 1.041734,-4.153425 -5.36791 1.261223,-2.93335 -4.679912 0.3469706,-3.152417 -3.544676 0.4538223,-3.274487 -2.875119 0.5821122,-3.383293 -2.274621 0.6933226,-2.539323 -4.442167 0.3963607,-2.664222 -3.154165 0.4520576,-2.664222 -3.154165 0.4520576,-2.818518 -1.621123 0.7678025,-2.155976 -4.449958 0.5300832,-2.225717 -3.200519 0.6142895,-2.3179 -2.39029 0.7571796,-2.413146 -1.714249 0.888696,-1.750124 -4.689901 0.7089361,-1.636718 -3.675681 0.8009411,-1.590571 -2.982748 0.9308913,-1.559422 -2.332462 1.072191,-8.372598 -7.502515 0.1133219,-7.726722 -7.121858 0.3332049,-7.173847 -6.377627 0.5207233,-6.789942 -5.709562 0.7671109,-6.420861 -5.38383 1.03142,-7.600705 -4.5435 0.2040668,-7.461466 -3.399704 0.3200573,-7.407922 -2.670595 0.4892962,-7.371256 -2.043458 0.6210299,-7.979179 -4.360347 0.2780254,-7.874323 -3.018251 0.3636762,-7.81004 -2.165807 0.5903756,-7.760403 -1.438194 0.7698922,-8.341756 -4.440759 0.3865735,-8.297907 -3.21562 0.4664767,-8.246568 -2.45503 0.5998693,-8.182909 -1.817106 0.6923756,-8.710623 -4.740175 0.5262358,-8.801154 -3.794624 0.6465971,-8.818636 -3.177141 0.7474369,-8.808287 -2.592306 0.7999802,0.910,15 1 0
