WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.280038 -7.670235 0.0004472655,-2.969013 -7.401297 0.2346347,-3.563217 -6.813016 0.3651198,-3.994894 -6.272559 0.4885314,-4.33599 -6.003324 0.6242175,-3.071253 -5.113077 0.08334105,-3.296577 -4.026247 0.2542354,-3.410238 -3.389723 0.4126643,-3.503881 -2.814882 0.5370734,-2.693343 -4.872438 0.1613641,-2.835762 -3.603707 0.3604982,-2.835762 -3.603707 0.3604982,-2.996387 -2.120875 0.7337052,-2.319894 -4.883396 0.3072315,-2.395379 -3.667697 0.527474,-2.465187 -2.890974 0.705281,-2.553682 -2.260393 0.8542506,-1.925249 -5.122531 0.4807456,-1.801202 -4.179739 0.6821815,-1.735007 -3.556489 0.8322977,-1.706656 -2.974679 0.9811831,-8.439302 -7.557582 0.0009342952,-7.837726 -7.275598 0.3010968,-7.265656 -6.640981 0.5491245,-6.845318 -6.099868 0.8221667,-6.460582 -5.869384 1.110446,-7.67296 -4.848627 0.2867692,-7.526073 -3.726267 0.4794197,-7.476277 -3.026062 0.6736708,-7.442432 -2.414108 0.8319092,-8.039419 -4.647605 0.3389868,-7.895264 -3.35996 0.5170759,-7.813315 -2.530267 0.7662788,-7.76029 -1.81267 0.9842376,-8.403878 -4.710998 0.4191626,-8.311239 -3.517797 0.5800198,-8.243463 -2.756559 0.7469807,-8.173296 -2.106658 0.8851879,-8.787543 -4.991573 0.5300835,-8.829275 -4.071641 0.6888633,-8.832373 -3.485507 0.8069269,-8.813902 -2.931842 0.9024856,0.010,39 1 0
-2.30018 -7.647354 -0.158995,-2.973075 -7.404718 0.128843,-3.564572 -6.84185 0.3009113,-3.998058 -6.309149 0.4534758,-4.332838 -6.028049 0.6162174,-3.073495 -5.137193 0.03342646,-3.28997 -4.022514 0.2299059,-3.403955 -3.367911 0.4033208,-3.498213 -2.777244 0.5425918,-2.695068 -4.899974 0.09450954,-2.831677 -3.611246 0.3222539,-2.831677 -3.611246 0.3222539,-2.989634 -2.114359 0.7195888,-2.322273 -4.905063 0.2251622,-2.395675 -3.692572 0.4590471,-2.46795 -2.908123 0.6447085,-2.551653 -2.263011 0.8006967,-1.93168 -5.126938 0.3823117,-1.804379 -4.185277 0.5875401,-1.737958 -3.573245 0.7314795,-1.707096 -2.998626 0.8768954,-8.443739 -7.56422 -0.0167527,-7.838285 -7.279325 0.2995762,-7.264719 -6.649842 0.5521263,-6.836795 -6.110372 0.8268844,-6.452731 -5.876864 1.115382,-7.667808 -4.854087 0.277143,-7.526123 -3.725572 0.4707374,-7.473527 -3.021524 0.6683357,-7.436129 -2.407371 0.8304181,-8.037306 -4.659976 0.318801,-7.89914 -3.361183 0.4932975,-7.81469 -2.52807 0.7408871,-7.756224 -1.801193 0.9605872,-8.40247 -4.720666 0.3921434,-8.318357 -3.525382 0.5531009,-8.253378 -2.766269 0.7175728,-8.181947 -2.115883 0.8494628,-8.785981 -4.992153 0.4990292,-8.834845 -4.075964 0.6579975,-8.837761 -3.490991 0.7681115,-8.816112 -2.935771 0.8517192,0.110,39 1 0
-2.338191 -7.660685 -0.09156045,-3.008936 -7.412248 0.1881768,-3.590168 -6.835092 0.3446251,-4.004547 -6.297936 0.4895388,-4.329134 -6.014884 0.6483855,-3.093813 -5.112068 0.0342506,-3.307587 -3.999996 0.2060857,-3.420712 -3.349753 0.3624945,-3.515723 -2.766734 0.4906409,-2.706379 -4.884715 0.09427039,-2.8349 -3.606602 0.282942,-2.8349 -3.606602 0.282942,-2.988431 -2.131222 0.652441,-2.329761 -4.89802 0.2254165,-2.396395 -3.691105 0.4378787,-2.465539 -2.912204 0.614116,-2.550325 -2.274559 0.7621883,-1.937708 -5.136672 0.3857685,-1.809515 -4.199491 0.5823241,-1.745445 -3.580077 0.7335927,-1.717987 -2.995385 0.8819656,-8.449241 -7.585647 0.01702198,-7.852654 -7.307854 0.3327934,-7.274743 -6.675064 0.5881852,-6.846878 -6.130481 0.8715162,-6.453334 -5.881306 1.173288,-7.674973 -4.869913 0.3226387,-7.527437 -3.729649 0.5239348,-7.476397 -3.026625 0.7179967,-7.441092 -2.413454 0.8744391,-8.043629 -4.675363 0.3846023,-7.89723 -3.375556 0.5742707,-7.812818 -2.544186 0.8248725,-7.754729 -1.824009 1.039851,-8.409425 -4.746889 0.4775051,-8.316083 -3.539176 0.6609616,-8.246161 -2.77211 0.8420567,-8.169106 -2.112566 0.9853418,-8.794715 -5.037742 0.6018327,-8.837818 -4.09817 0.7876039,-8.836656 -3.497672 0.9174801,-8.807873 -2.927435 1.013608,0.210,39 1 0
-2.281876 -7.772678 0.1591284,-2.97442 -7.48509 0.3651727,-3.563109 -6.868425 0.4766557,-3.984302 -6.300167 0.5893569,-4.321318 -5.992982 0.7208864,-3.080418 -5.155792 0.1322377,-3.288309 -4.044174 0.2625027,-3.39917 -3.391778 0.392473,-3.488259 -2.820433 0.4995725,-2.702338 -4.925815 0.2035706,-2.82292 -3.64763 0.3280437,-2.82292 -3.64763 0.3280437,-2.970815 -2.158372 0.6378236,-2.330149 -4.932136 0.3462565,-2.390877 -3.726487 0.4975429,-2.457472 -2.947204 0.6416482,-2.542417 -2.313062 0.7642647,-1.940696 -5.159978 0.51755,-1.809963 -4.205711 0.6720478,-1.745991 -3.582424 0.7991325,-1.723984 -3.009382 0.9292938,-8.452088 -7.586756 0.03801729,-7.857475 -7.307934 0.3513678,-7.28701 -6.656497 0.6006025,-6.856533 -6.106897 0.8832894,-6.447433 -5.863555 1.188021,-7.673799 -4.859467 0.301312,-7.526563 -3.726799 0.4859142,-7.472496 -3.017298 0.6733776,-7.434082 -2.406436 0.8278258,-8.0441 -4.664678 0.3544716,-7.901031 -3.362265 0.5228221,-7.816404 -2.530295 0.7594354,-7.754253 -1.81136 0.9614751,-8.406995 -4.730674 0.4424883,-8.323397 -3.520083 0.6078466,-8.256006 -2.762903 0.7755012,-8.178241 -2.111861 0.9043947,-8.785742 -5.014955 0.5634387,-8.834255 -4.088148 0.7358541,-8.834222 -3.495837 0.8613167,-8.804104 -2.929279 0.9497176,0.310,39 1 0
-2.275973 -7.726362 0.02121045,-2.955475 -7.488047 0.3082618,-3.549467 -6.908798 0.4769784,-3.96072 -6.336361 0.6335742,-4.294464 -5.992799 0.803967,-3.078205 -5.174482 0.1685346,-3.292109 -4.044881 0.3394178,-3.39567 -3.392534 0.5000002,-3.484078 -2.815758 0.6320142,-2.69203 -4.925493 0.2218848,-2.817236 -3.643605 0.4031445,-2.817236 -3.643605 0.4031445,-2.970282 -2.14272 0.7671813,-2.315654 -4.915166 0.3424433,-2.386529 -3.706407 0.5423148,-2.460367 -2.923969 0.7026067,-2.55108 -2.283758 0.8413224,-1.919891 -5.129108 0.4918485,-1.799553 -4.178998 0.6797543,-1.739322 -3.540267 0.8245164,-1.717662 -2.946867 0.9647632,-8.458714 -7.60679 0.1215096,-7.865572 -7.306389 0.451667,-7.295476 -6.654127 0.7182989,-6.860372 -6.101888 1.014964,-6.445016 -5.862513 1.333305,-7.681263 -4.858826 0.4136339,-7.532034 -3.733951 0.599188,-7.476803 -3.031389 0.7859104,-7.439409 -2.432334 0.941654,-8.049501 -4.663593 0.4640556,-7.903954 -3.363899 0.6414054,-7.819778 -2.535591 0.8747504,-7.760416 -1.82295 1.075134,-8.411826 -4.731508 0.5470817,-8.323539 -3.516447 0.7151411,-8.254633 -2.75575 0.87822,-8.178811 -2.100141 1.000829,-8.792751 -5.021079 0.6660004,-8.835001 -4.094909 0.8363782,-8.83526 -3.505065 0.956196,-8.81113 -2.939161 1.038596,0.410,39 1 0
-2.282002 -7.739683 0.02645312,-2.964335 -7.490783 0.3019426,-3.554502 -6.906271 0.456703,-3.974638 -6.339448 0.6046135,-4.305765 -6.014226 0.7673363,-3.081622 -5.173299 0.1070062,-3.296209 -4.049171 0.2627475,-3.402451 -3.388394 0.4181098,-3.486078 -2.802967 0.5512058,-2.69958 -4.933673 0.1627638,-2.830737 -3.651382 0.3238249,-2.830737 -3.651382 0.3238249,-2.981038 -2.152472 0.6801309,-2.326041 -4.931251 0.2903757,-2.397079 -3.727169 0.4759534,-2.472215 -2.940984 0.6383035,-2.559717 -2.300042 0.7762982,-1.934139 -5.154726 0.4491594,-1.81255 -4.220867 0.6276377,-1.758327 -3.590024 0.7646811,-1.740504 -3.008386 0.898983,-8.472554 -7.60761 0.1310975,-7.874311 -7.323343 0.4634479,-7.299876 -6.660293 0.7232736,-6.868034 -6.098882 1.012202,-6.45502 -5.862468 1.317433,-7.679586 -4.862373 0.4217271,-7.534663 -3.740876 0.6016473,-7.484381 -3.033739 0.783746,-7.452564 -2.430279 0.9333427,-8.053473 -4.661582 0.4610663,-7.912582 -3.361898 0.6291814,-7.831684 -2.529916 0.8570929,-7.774755 -1.812103 1.054074,-8.418654 -4.722423 0.5334652,-8.336613 -3.503479 0.6924933,-8.272915 -2.745952 0.8478867,-8.201567 -2.095706 0.9618051,-8.802512 -5.000968 0.6398404,-8.841941 -4.071439 0.8009261,-8.840794 -3.483241 0.9100795,-8.816147 -2.917374 0.9856029,0.510,39 1 0
-2.298766 -7.71256 -0.01384623,-2.980139 -7.47112 0.2661332,-3.561754 -6.899892 0.4267749,-3.968973 -6.33139 0.583453,-4.289907 -5.998266 0.753476,-3.088756 -5.154466 0.07667696,-3.30302 -4.028436 0.2410944,-3.408396 -3.377629 0.3980147,-3.492769 -2.799051 0.5287596,-2.708752 -4.917636 0.1337664,-2.84075 -3.639139 0.2940444,-2.84075 -3.639139 0.2940444,-2.987977 -2.152266 0.6554962,-2.334695 -4.920791 0.2637514,-2.411348 -3.716626 0.45305,-2.486183 -2.936954 0.6153928,-2.571349 -2.299485 0.7575634,-1.938142 -5.149531 0.4248355,-1.816304 -4.214988 0.6021724,-1.758379 -3.584523 0.7436573,-1.734347 -2.997144 0.8787132,-8.469419 -7.617731 0.1700323,-7.874586 -7.31288 0.4960347,-7.302122 -6.663804 0.7604737,-6.869655 -6.110988 1.052802,-6.457766 -5.871426 1.367191,-7.690339 -4.853908 0.4630502,-7.53965 -3.729935 0.6478784,-7.485274 -3.018658 0.8388255,-7.449121 -2.408954 0.9994569,-8.061698 -4.659843 0.5091628,-7.915378 -3.361502 0.6816242,-7.831717 -2.525995 0.9194127,-7.774611 -1.802525 1.124488,-8.424941 -4.730319 0.5863802,-8.340577 -3.523728 0.7511904,-8.273056 -2.764509 0.9166694,-8.198742 -2.110855 1.041973,-8.804325 -5.019524 0.7007263,-8.853417 -4.101445 0.8684812,-8.852891 -3.516091 0.9898202,-8.827509 -2.952381 1.074072,0.610,39 1 0
-2.297557 -7.74943 0.02156049,-2.971691 -7.49802 0.3013226,-3.555916 -6.884124 0.4586855,-3.969912 -6.306504 0.6029448,-4.296421 -5.981247 0.7666079,-3.081784 -5.188138 0.1477437,-3.29715 -4.071023 0.3220963,-3.406347 -3.417112 0.4867541,-3.500515 -2.831808 0.621877,-2.700521 -4.945404 0.2048659,-2.831756 -3.667659 0.3871218,-2.831756 -3.667659 0.3871218,-2.987049 -2.164227 0.7671065,-2.325123 -4.943288 0.333005,-2.397881 -3.727199 0.5373796,-2.47051 -2.933431 0.7125378,-2.562844 -2.289014 0.8633845,-1.931258 -5.174604 0.4878334,-1.810451 -4.218798 0.6828931,-1.747867 -3.578527 0.8339059,-1.723644 -2.988443 0.9803089,-8.476405 -7.616228 0.1304889,-7.876947 -7.314416 0.4641678,-7.305421 -6.662501 0.7231613,-6.873055 -6.103685 1.007275,-6.462205 -5.864189 1.314712,-7.690802 -4.865539 0.4426436,-7.541725 -3.73314 0.6356663,-7.484549 -3.023659 0.828438,-7.446343 -2.407394 0.984739,-8.064525 -4.672348 0.4860203,-7.926959 -3.364398 0.668403,-7.84227 -2.52496 0.9110016,-7.782578 -1.795314 1.115323,-8.428758 -4.743736 0.5621856,-8.354365 -3.528959 0.7387058,-8.285998 -2.768155 0.9170021,-8.20901 -2.112524 1.050414,-8.807594 -5.030624 0.6719939,-8.859869 -4.105407 0.858081,-8.858139 -3.511559 0.9930617,-8.828668 -2.939801 1.08489,0.710,39 1 0
-2.286825 -7.719293 -0.03029775,-2.960152 -7.490072 0.2547275,-3.547131 -6.910753 0.4247942,-3.956059 -6.337078 0.584546,-4.281929 -5.989622 0.7654019,-3.078033 -5.176479 0.1053654,-3.294068 -4.055646 0.2779522,-3.401479 -3.41143 0.4345235,-3.493036 -2.839315 0.5637057,-2.699448 -4.932519 0.1660824,-2.827922 -3.657529 0.3466983,-2.827922 -3.657529 0.3466983,-2.982504 -2.175348 0.7081034,-2.326911 -4.928609 0.2977832,-2.405742 -3.721286 0.4957016,-2.484293 -2.940351 0.6569732,-2.576128 -2.305511 0.8009909,-1.931136 -5.151655 0.4585069,-1.810075 -4.20252 0.6409776,-1.749655 -3.559378 0.7882683,-1.725713 -2.966301 0.93428,-8.479712 -7.606514 0.1165519,-7.884505 -7.308717 0.434048,-7.31135 -6.650845 0.6881714,-6.87543 -6.090621 0.9712111,-6.465302 -5.848678 1.274307,-7.691581 -4.86103 0.4043043,-7.543275 -3.738148 0.5867732,-7.49122 -3.027719 0.7760819,-7.457658 -2.413673 0.9344416,-8.061107 -4.665456 0.4535459,-7.920605 -3.365874 0.6315432,-7.840376 -2.521387 0.8769407,-7.785765 -1.793476 1.086449,-8.424043 -4.734399 0.5341423,-8.344921 -3.521721 0.708223,-8.276957 -2.755497 0.8837518,-8.201084 -2.097902 1.01426,-8.802919 -5.021699 0.6479477,-8.847091 -4.099227 0.8293419,-8.84613 -3.508447 0.9607351,-8.820696 -2.943233 1.050954,0.810,39 1 0
-2.236203 -7.753692 -0.01748775,-2.911636 -7.52745 0.3063422,-3.493555 -6.928734 0.4792085,-3.894215 -6.310043 0.6367391,-4.232836 -5.942043 0.8118013,-3.076211 -5.210691 0.1277431,-3.279299 -4.080797 0.3051648,-3.377519 -3.423933 0.4700555,-3.457403 -2.825827 0.6175116,-2.699457 -4.970073 0.1620796,-2.83492 -3.695341 0.330246,-2.83492 -3.695341 0.330246,-2.969284 -2.196722 0.7108179,-2.325551 -4.973102 0.2715348,-2.416759 -3.779681 0.4591914,-2.488585 -3.007935 0.6381904,-2.56988 -2.354437 0.7974153,-1.929623 -5.19576 0.4177924,-1.842677 -4.256168 0.5960335,-1.805728 -3.646729 0.7503748,-1.799254 -3.082079 0.8994812,-8.475417 -7.609039 0.1107726,-7.872949 -7.313471 0.4317359,-7.309909 -6.650209 0.6910709,-6.887053 -6.08706 0.9804358,-6.479149 -5.844737 1.291633,-7.698456 -4.857229 0.4321908,-7.55488 -3.709301 0.6362656,-7.500601 -2.990828 0.8350338,-7.461956 -2.366441 0.9956636,-8.075841 -4.672256 0.490885,-7.941552 -3.355847 0.6771847,-7.857504 -2.509378 0.9192292,-7.799065 -1.780352 1.124267,-8.443728 -4.751795 0.5795288,-8.365479 -3.521004 0.7618399,-8.293701 -2.750954 0.9408599,-8.214377 -2.088363 1.074379,-8.826068 -5.04766 0.7014612,-8.872435 -4.109511 0.8925036,-8.867356 -3.507786 1.028571,-8.837046 -2.926725 1.120883,0.910,39 1 0
