WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.744661 -6.541851 8.890829E-05,-3.345678 -6.380404 0.2830111,-3.88286 -5.826638 0.4122685,-4.258991 -5.287153 0.5403298,-4.561659 -4.995107 0.6697694,-3.479191 -4.268158 0.1541665,-3.687605 -3.299562 0.3076255,-3.789431 -2.712616 0.4370349,-3.87418 -2.176651 0.5419364,-3.148134 -4.026937 0.1910301,-3.289787 -2.908881 0.3350861,-3.289787 -2.908881 0.3350861,-3.427309 -1.569086 0.6450666,-2.818111 -4.025661 0.2882269,-2.889367 -2.934616 0.4562234,-2.958397 -2.229768 0.6056256,-3.038354 -1.648349 0.7440569,-2.473548 -4.252607 0.4209544,-2.344336 -3.442859 0.5768449,-2.280433 -2.896897 0.7065945,-2.237136 -2.38979 0.8265141,-8.439236 -6.365465 0.0003886525,-7.875538 -6.106763 0.2481752,-7.37401 -5.492532 0.4360552,-7.027274 -4.909088 0.6531767,-6.722918 -4.572589 0.8654957,-7.835933 -3.848019 0.1436201,-7.734502 -2.797431 0.2754063,-7.703568 -2.170231 0.4221924,-7.674162 -1.642329 0.5459949,-8.178749 -3.685611 0.1847083,-8.103766 -2.482352 0.2937668,-8.06006 -1.722165 0.4911765,-8.023879 -1.065724 0.6715059,-8.511382 -3.740888 0.2569208,-8.482065 -2.638664 0.3642591,-8.452545 -1.950841 0.5051705,-8.401898 -1.363279 0.6120136,-8.847568 -4.001899 0.3605576,-8.951395 -3.181365 0.4705264,-9.000243 -2.65228 0.5616012,-9.010856 -2.136858 0.6328288,0.010, -1 1
-2.757629 -6.492671 -0.1967938,-3.377257 -6.331008 0.06022051,-3.893829 -5.767545 0.1822277,-4.262349 -5.226459 0.3112833,-4.580272 -4.946681 0.4457603,-3.486263 -4.267139 -0.1036895,-3.691879 -3.312891 0.03782326,-3.80551 -2.722816 0.1745491,-3.903416 -2.190532 0.2860336,-3.164123 -4.032319 -0.05114286,-3.302586 -2.94251 0.09701049,-3.302586 -2.94251 0.09701049,-3.442791 -1.574946 0.4118971,-2.835685 -4.032968 0.05241892,-2.902721 -2.967268 0.2109541,-2.974786 -2.253002 0.3571541,-3.05081 -1.667015 0.4925013,-2.493146 -4.260313 0.1885511,-2.374023 -3.448729 0.3355823,-2.323237 -2.898407 0.45927,-2.283394 -2.392467 0.5701845,-8.438416 -6.38648 0.05908844,-7.873729 -6.119195 0.2996466,-7.373044 -5.495505 0.4812396,-7.030815 -4.904996 0.6950311,-6.731836 -4.566911 0.9051172,-7.834459 -3.848427 0.187414,-7.724819 -2.811143 0.3155744,-7.687584 -2.185318 0.4662797,-7.652561 -1.654733 0.5938726,-8.176739 -3.689065 0.2313652,-8.096588 -2.495031 0.3314776,-8.051475 -1.733427 0.5329043,-8.016371 -1.071538 0.7125151,-8.507619 -3.746776 0.3062547,-8.473599 -2.657554 0.399093,-8.441653 -1.97171 0.5338373,-8.3915 -1.38295 0.6384307,-8.842448 -4.007881 0.4149903,-8.944357 -3.193074 0.5157905,-8.992284 -2.66275 0.6056841,-9.006296 -2.141203 0.672842,0.110, -1 1
-2.718424 -6.598617 0.1219433,-3.335033 -6.443429 0.3591099,-3.86324 -5.886467 0.4746355,-4.269384 -5.343534 0.6019076,-4.616223 -5.10109 0.7853532,-3.573711 -4.306643 0.3902297,-3.730871 -3.325761 0.6546869,-3.824474 -2.731505 0.8568046,-3.897449 -2.164583 0.9977526,-3.242683 -4.090721 0.4943031,-3.339027 -2.982566 0.730102,-3.339027 -2.982566 0.730102,-3.447621 -1.540709 1.073957,-2.895828 -4.143602 0.637396,-2.945551 -3.054819 0.8454509,-2.97316 -2.355793 0.9716459,-2.995681 -1.701099 1.077249,-2.530806 -4.430925 0.7992324,-2.444807 -3.607017 1.058433,-2.406961 -3.106107 1.221747,-2.35616 -2.616753 1.322564,-8.433374 -6.391658 0.04159139,-7.873346 -6.119783 0.2734836,-7.37023 -5.508894 0.4563126,-7.02499 -4.928268 0.6697913,-6.731186 -4.581703 0.8787865,-7.839631 -3.856493 0.1639414,-7.738449 -2.807314 0.2873439,-7.704981 -2.17349 0.4340823,-7.673229 -1.638741 0.5614274,-8.179198 -3.69831 0.2096246,-8.105742 -2.507255 0.3155484,-8.063168 -1.74423 0.5174744,-8.027377 -1.081979 0.6999168,-8.509222 -3.759639 0.2850449,-8.482751 -2.675152 0.3848264,-8.450282 -1.983856 0.5275357,-8.394744 -1.390729 0.6361203,-8.842343 -4.024196 0.3895985,-8.951105 -3.208058 0.4954115,-8.99801 -2.675774 0.5893698,-9.00449 -2.152818 0.6593299,0.210, -1 1
-2.724161 -6.643095 0.2240723,-3.309856 -6.469279 0.4656146,-3.841507 -5.892972 0.5831311,-4.215025 -5.331768 0.7158328,-4.525814 -4.998346 0.8664491,-3.456606 -4.288777 0.2910363,-3.662902 -3.313678 0.4143347,-3.768864 -2.733332 0.5119233,-3.852756 -2.211454 0.6002426,-3.130327 -4.060251 0.3617967,-3.268547 -2.935297 0.4763774,-3.268547 -2.935297 0.4763774,-3.40015 -1.59221 0.7535304,-2.802041 -4.073228 0.4882246,-2.870098 -2.967184 0.6403611,-2.945628 -2.254262 0.7851543,-3.022627 -1.668048 0.9101041,-2.458793 -4.320417 0.6533245,-2.332798 -3.493209 0.8005545,-2.271632 -2.938786 0.931731,-2.226917 -2.427263 1.046799,-8.43596 -6.416584 0.0971422,-7.881155 -6.138122 0.3307632,-7.384713 -5.504276 0.5102948,-7.03732 -4.906544 0.7257971,-6.735601 -4.563276 0.9387721,-7.845629 -3.862093 0.1939681,-7.743515 -2.826766 0.3065467,-7.706596 -2.199223 0.4493753,-7.672235 -1.669844 0.5717844,-8.184779 -3.705581 0.2410273,-8.107393 -2.509956 0.331773,-8.05927 -1.740944 0.5278637,-8.017314 -1.078374 0.701756,-8.511807 -3.769329 0.3211254,-8.482347 -2.66674 0.4121563,-8.445708 -1.970194 0.5556308,-8.388185 -1.376217 0.6627357,-8.8414 -4.037246 0.4338776,-8.952345 -3.214489 0.5378643,-8.996829 -2.664001 0.6421129,-9.005888 -2.127896 0.713435,0.310, -1 1
-2.706355 -6.704954 0.3868175,-3.303295 -6.470117 0.5762036,-3.832691 -5.885684 0.6860977,-4.211142 -5.344133 0.8301786,-4.515007 -5.025041 1.005307,-3.438488 -4.282415 0.3569297,-3.653559 -3.298213 0.486957,-3.769123 -2.718345 0.5927076,-3.861929 -2.192294 0.6803291,-3.120998 -4.073843 0.4632148,-3.263319 -2.947706 0.568685,-3.263319 -2.947706 0.568685,-3.409142 -1.620383 0.8431728,-2.799104 -4.092483 0.6342167,-2.870298 -2.977458 0.7779481,-2.94902 -2.264144 0.9080036,-3.033575 -1.675058 1.019243,-2.456123 -4.335413 0.8400302,-2.320668 -3.498144 0.9749007,-2.256413 -2.937115 1.088366,-2.208676 -2.418934 1.191566,-8.435553 -6.420022 0.07442221,-7.868958 -6.146753 0.291871,-7.373875 -5.512086 0.4615723,-7.030471 -4.909924 0.6674247,-6.734024 -4.566141 0.8660575,-7.838355 -3.872312 0.1743704,-7.738188 -2.826149 0.2849397,-7.700705 -2.192609 0.4323955,-7.667871 -1.651369 0.5604281,-8.181046 -3.716168 0.2243415,-8.110893 -2.509094 0.31354,-8.066263 -1.735354 0.5145087,-8.02704 -1.070713 0.6916701,-8.510777 -3.779611 0.3023648,-8.48656 -2.666441 0.3929484,-8.45185 -1.959095 0.5382612,-8.397466 -1.360975 0.6474219,-8.84071 -4.045219 0.4090008,-8.954399 -3.215408 0.5199012,-8.9991 -2.653946 0.6227884,-9.008347 -2.110387 0.6873503,0.410, -1 1
-2.713791 -6.71697 0.3827606,-3.314535 -6.477014 0.5833467,-3.84812 -5.882153 0.6954404,-4.224571 -5.31992 0.8456866,-4.525648 -4.980599 1.024555,-3.439959 -4.296955 0.3426423,-3.663594 -3.323654 0.4763746,-3.781355 -2.754641 0.5813138,-3.874582 -2.233965 0.6628795,-3.119504 -4.085159 0.4393525,-3.267603 -2.962545 0.5454929,-3.267603 -2.962545 0.5454929,-3.408403 -1.636854 0.8249287,-2.795162 -4.09781 0.6025092,-2.87184 -3.002603 0.7380432,-2.948434 -2.302766 0.8701055,-3.028439 -1.71663 0.9872542,-2.450563 -4.331167 0.8009364,-2.316748 -3.500553 0.9275078,-2.247139 -2.947959 1.035254,-2.193353 -2.430032 1.141962,-8.429729 -6.414163 0.05939406,-7.863398 -6.131485 0.2857952,-7.370491 -5.502186 0.4618485,-7.027479 -4.901668 0.6692242,-6.72467 -4.564128 0.8734954,-7.832208 -3.87114 0.1870178,-7.733752 -2.822795 0.3048579,-7.700148 -2.185922 0.4492898,-7.670339 -1.638413 0.5743127,-8.177485 -3.71562 0.2292836,-8.108829 -2.504869 0.3285473,-8.067817 -1.732073 0.5307854,-8.032587 -1.062641 0.7102498,-8.508623 -3.780469 0.2968134,-8.484159 -2.661636 0.3990788,-8.452266 -1.95651 0.5495941,-8.399595 -1.354819 0.6601241,-8.840292 -4.043251 0.3918471,-8.951224 -3.214905 0.5084423,-8.995022 -2.659874 0.613021,-9.001926 -2.118532 0.6776518,0.510, -1 1
-2.707951 -6.7201 0.4430317,-3.311165 -6.484014 0.6367284,-3.841515 -5.871016 0.73394,-4.218 -5.289139 0.8750808,-4.525781 -4.951881 1.04491,-3.436163 -4.281474 0.372331,-3.653278 -3.302814 0.4882948,-3.763828 -2.726539 0.5775239,-3.846514 -2.200322 0.6537612,-3.114328 -4.070491 0.4701952,-3.261657 -2.942003 0.563913,-3.261657 -2.942003 0.563913,-3.393289 -1.610054 0.8109823,-2.787549 -4.082673 0.6326212,-2.858897 -2.977236 0.7581409,-2.937392 -2.270757 0.8770093,-3.017534 -1.680679 0.9819453,-2.439546 -4.322273 0.8327723,-2.305468 -3.484123 0.9534093,-2.241191 -2.927412 1.058681,-2.193328 -2.4031 1.158417,-8.417933 -6.391986 0.0413339,-7.857615 -6.12642 0.2677526,-7.365088 -5.495004 0.4450026,-7.028239 -4.893448 0.6594082,-6.724892 -4.553373 0.8709926,-7.829821 -3.852204 0.1614856,-7.724713 -2.805236 0.2816141,-7.688155 -2.17451 0.4296489,-7.657933 -1.633613 0.5525135,-8.174483 -3.698032 0.2144165,-8.101679 -2.483209 0.3105195,-8.057531 -1.709806 0.5060917,-8.020337 -1.046299 0.6758063,-8.504779 -3.76388 0.295894,-8.474829 -2.642175 0.3954297,-8.440392 -1.936779 0.5398061,-8.389064 -1.333424 0.6460525,-8.835452 -4.027887 0.4079586,-8.939298 -3.19058 0.5259542,-8.98014 -2.633593 0.630676,-8.986375 -2.090671 0.6962876,0.610, -1 1
-2.681828 -6.727256 0.5237679,-3.281277 -6.490985 0.7190503,-3.821062 -5.883932 0.8329691,-4.195723 -5.321126 0.9890509,-4.505604 -4.97894 1.179614,-3.434581 -4.272537 0.4770133,-3.646541 -3.291629 0.6121256,-3.762747 -2.720602 0.7191561,-3.857693 -2.201268 0.8022362,-3.11161 -4.058398 0.5789772,-3.256319 -2.937557 0.6819921,-3.256319 -2.937557 0.6819921,-3.402225 -1.607221 0.9476662,-2.784934 -4.073612 0.7472953,-2.862906 -2.975057 0.8784307,-2.940993 -2.277386 1.007487,-3.024105 -1.693539 1.118578,-2.438417 -4.308748 0.9556515,-2.307285 -3.473413 1.080828,-2.240397 -2.91974 1.190276,-2.188593 -2.404878 1.295472,-8.436368 -6.393961 0.04963014,-7.866895 -6.135259 0.2779077,-7.362067 -5.509159 0.450023,-7.017285 -4.906789 0.6590422,-6.722958 -4.557241 0.862528,-7.822194 -3.855698 0.1310626,-7.720264 -2.805254 0.2479486,-7.684744 -2.167229 0.4051895,-7.653779 -1.619609 0.5383503,-8.166149 -3.697739 0.1793356,-8.097143 -2.491454 0.265945,-8.058604 -1.717343 0.4699058,-8.028891 -1.04701 0.6555578,-8.499962 -3.76209 0.2578734,-8.470835 -2.649631 0.3413692,-8.437638 -1.953094 0.4769828,-8.388294 -1.359456 0.5826891,-8.839072 -4.027574 0.3672219,-8.94075 -3.197695 0.4695402,-8.981868 -2.649015 0.559688,-8.989096 -2.111356 0.6175645,0.710, -1 1
-2.686027 -6.722414 0.4980891,-3.28701 -6.494487 0.7011837,-3.828161 -5.894359 0.8013879,-4.211573 -5.316237 0.9365188,-4.515532 -4.98674 1.097299,-3.433838 -4.279459 0.4358791,-3.641894 -3.301347 0.554939,-3.748292 -2.733854 0.651171,-3.83231 -2.206945 0.7331322,-3.111372 -4.059814 0.5250871,-3.261831 -2.949817 0.6138133,-3.261831 -2.949817 0.6138133,-3.398279 -1.634387 0.8751538,-2.784318 -4.071503 0.677101,-2.864407 -2.989814 0.804338,-2.942719 -2.300787 0.9294136,-3.026018 -1.725751 1.037199,-2.435516 -4.310621 0.870486,-2.308315 -3.497844 0.9968649,-2.245762 -2.961499 1.103419,-2.203797 -2.456569 1.202646,-8.443701 -6.39549 0.07237847,-7.872215 -6.145904 0.2852998,-7.364445 -5.510709 0.4505095,-7.022138 -4.898658 0.6549521,-6.725657 -4.546619 0.8534369,-7.828094 -3.852619 0.1283379,-7.724781 -2.803058 0.2281807,-7.687935 -2.171603 0.3688154,-7.655602 -1.635798 0.48963,-8.170991 -3.691904 0.1774754,-8.09847 -2.486001 0.2532039,-8.053515 -1.714436 0.4443619,-8.015306 -1.050683 0.6205557,-8.502022 -3.751354 0.2602886,-8.472296 -2.641004 0.3374204,-8.434856 -1.935646 0.4686672,-8.378615 -1.337775 0.5739294,-8.835818 -4.011739 0.3712266,-8.938941 -3.179716 0.4632847,-8.98097 -2.629941 0.5544662,-8.986639 -2.094263 0.6194897,0.810, -1 1
-2.683152 -6.706397 0.4691266,-3.28926 -6.484436 0.6461528,-3.831994 -5.872721 0.7330308,-4.209123 -5.306472 0.8615865,-4.510695 -4.985963 1.0161,-3.436546 -4.26822 0.373551,-3.653215 -3.306541 0.4792084,-3.764895 -2.745058 0.5623556,-3.849627 -2.228742 0.6315433,-3.115602 -4.053233 0.4725042,-3.268495 -2.947435 0.5524285,-3.268495 -2.947435 0.5524285,-3.4079 -1.644503 0.7927653,-2.790773 -4.060731 0.636557,-2.870779 -2.979141 0.7462295,-2.94613 -2.289449 0.8573542,-3.022224 -1.711891 0.9578261,-2.440832 -4.289116 0.8390086,-2.311004 -3.476717 0.9477419,-2.245108 -2.935829 1.047516,-2.194233 -2.425598 1.147939,-8.432442 -6.404338 0.1007712,-7.865875 -6.140537 0.3518816,-7.363297 -5.494944 0.5344341,-7.021842 -4.883691 0.7522994,-6.716805 -4.534961 0.9637334,-7.826313 -3.854738 0.2280412,-7.722837 -2.805692 0.3492022,-7.685719 -2.170871 0.4993927,-7.654589 -1.633394 0.6253472,-8.16987 -3.694701 0.2677596,-8.09383 -2.487238 0.3630182,-8.046407 -1.713123 0.5599477,-8.008874 -1.048965 0.7364293,-8.500243 -3.753242 0.338997,-8.468631 -2.641649 0.435917,-8.430101 -1.938543 0.5767696,-8.374931 -1.340198 0.682563,-8.833665 -4.014463 0.4445573,-8.935329 -3.181075 0.5555255,-8.974227 -2.633542 0.6548843,-8.979332 -2.100081 0.7222765,0.910, -1 1
