WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.658032 -7.472888 0.0001240014,-3.220227 -7.321954 0.2922511,-3.769966 -6.76962 0.4484967,-4.191244 -6.259201 0.59029,-4.527459 -6.022459 0.7492167,-3.437412 -5.197374 0.2105787,-3.671566 -4.275033 0.3945926,-3.785042 -3.695654 0.5436422,-3.869787 -3.144191 0.6802105,-3.110613 -4.93361 0.2388977,-3.273485 -3.845721 0.4213007,-3.361713 -3.127178 0.6277949,-3.432369 -2.503464 0.8019293,-2.77533 -4.910841 0.3171423,-2.863206 -3.877021 0.5168467,-2.942346 -3.216933 0.6945887,-3.020216 -2.652112 0.8395379,-2.4156 -5.105273 0.4197811,-2.312518 -4.287107 0.6142951,-2.252706 -3.758148 0.7718368,-2.216343 -3.239083 0.918337,-8.226091 -7.47701 0.0001638216,-7.661901 -7.207925 0.2168864,-7.141665 -6.561048 0.3542596,-6.757744 -5.980149 0.5388013,-6.415654 -5.692163 0.7383281,-7.492 -4.990624 0.08594911,-7.342381 -3.994527 0.1963949,-7.282097 -3.354698 0.3400235,-7.23418 -2.797407 0.4707472,-7.816896 -4.814066 0.1307294,-7.678617 -3.698928 0.204087,-7.597489 -2.965584 0.3892299,-7.53989 -2.335772 0.5615447,-8.143566 -4.882575 0.2051899,-8.059095 -3.838772 0.2910175,-7.987707 -3.191604 0.4326279,-7.921648 -2.628225 0.5560589,-8.485194 -5.149015 0.3119722,-8.52511 -4.376077 0.4227184,-8.52263 -3.889652 0.5327979,-8.495631 -3.405508 0.6227863,0.01667,1 0 0 0 0 False
-2.662171 -7.454484 -0.07594134,-3.225652 -7.320505 0.2174634,-3.779598 -6.764666 0.3662946,-4.199284 -6.260505 0.4991224,-4.519381 -6.015699 0.6452572,-3.442053 -5.19966 0.1302068,-3.674108 -4.269293 0.3065059,-3.787161 -3.68814 0.4449409,-3.870649 -3.139564 0.5732762,-3.113616 -4.936262 0.152858,-3.271124 -3.839125 0.3321775,-3.358597 -3.115795 0.5411973,-3.428078 -2.491816 0.7139949,-2.778155 -4.911996 0.2267579,-2.864251 -3.87083 0.4238875,-2.942182 -3.208688 0.6006909,-3.019068 -2.642012 0.7461154,-2.419409 -5.105001 0.3224286,-2.312952 -4.281263 0.5171412,-2.250326 -3.751135 0.6767775,-2.212206 -3.230176 0.8219092,-8.221842 -7.466457 -0.02015139,-7.656027 -7.199392 0.1971296,-7.133811 -6.558239 0.3292712,-6.750234 -5.983705 0.5035447,-6.410088 -5.69909 0.6892177,-7.488748 -4.985999 0.0698694,-7.341162 -3.98344 0.1822247,-7.281202 -3.341377 0.3280544,-7.234274 -2.781971 0.4581259,-7.812965 -4.809318 0.1091798,-7.677022 -3.686181 0.1859767,-7.598036 -2.9531 0.3724936,-7.539912 -2.326718 0.5479805,-8.139662 -4.876302 0.1779067,-8.052573 -3.821509 0.2629163,-7.984891 -3.166282 0.4067093,-7.919631 -2.59625 0.5367725,-8.481062 -5.140131 0.2773305,-8.522453 -4.369874 0.3812254,-8.5214 -3.885265 0.4915156,-8.494969 -3.404196 0.5846189,0.05000,1 0 0 0 0 False
-2.662171 -7.454484 -0.07594134,-3.225652 -7.320505 0.2174634,-3.779598 -6.764666 0.3662946,-4.199284 -6.260505 0.4991224,-4.519381 -6.015699 0.6452572,-3.442053 -5.19966 0.1302068,-3.674108 -4.269293 0.3065059,-3.787161 -3.68814 0.4449409,-3.870649 -3.139564 0.5732762,-3.113616 -4.936262 0.152858,-3.271124 -3.839125 0.3321775,-3.358597 -3.115795 0.5411973,-3.428078 -2.491816 0.7139949,-2.778155 -4.911996 0.2267579,-2.864251 -3.87083 0.4238875,-2.942182 -3.208688 0.6006909,-3.019068 -2.642012 0.7461154,-2.419409 -5.105001 0.3224286,-2.312952 -4.281263 0.5171412,-2.250326 -3.751135 0.6767775,-2.212206 -3.230176 0.8219092,-8.221842 -7.466457 -0.02015139,-7.656027 -7.199392 0.1971296,-7.133811 -6.558239 0.3292712,-6.750234 -5.983705 0.5035447,-6.410088 -5.69909 0.6892177,-7.488748 -4.985999 0.0698694,-7.341162 -3.98344 0.1822247,-7.281202 -3.341377 0.3280544,-7.234274 -2.781971 0.4581259,-7.812965 -4.809318 0.1091798,-7.677022 -3.686181 0.1859767,-7.598036 -2.9531 0.3724936,-7.539912 -2.326718 0.5479805,-8.139662 -4.876302 0.1779067,-8.052573 -3.821509 0.2629163,-7.984891 -3.166282 0.4067093,-7.919631 -2.59625 0.5367725,-8.481062 -5.140131 0.2773305,-8.522453 -4.369874 0.3812254,-8.5214 -3.885265 0.4915156,-8.494969 -3.404196 0.5846189,0.08333,1 0 0 0 0 False
-2.660395 -7.451617 -0.04005925,-3.221912 -7.308048 0.2396364,-3.76964 -6.754913 0.3832394,-4.187523 -6.253004 0.5136935,-4.516831 -6.024423 0.6574525,-3.436285 -5.182844 0.1398817,-3.667923 -4.256843 0.3085686,-3.778655 -3.677557 0.4486599,-3.86307 -3.129084 0.5776634,-3.108721 -4.920841 0.1710577,-3.267633 -3.827659 0.3449998,-3.355997 -3.114882 0.5500886,-3.430118 -2.496795 0.7226295,-2.773037 -4.895761 0.2529794,-2.861096 -3.853491 0.4470305,-2.942482 -3.1917 0.6222586,-3.024281 -2.62364 0.7668142,-2.412044 -5.085182 0.3586552,-2.307683 -4.260751 0.5485674,-2.248874 -3.732078 0.7027522,-2.214391 -3.214073 0.8474328,-8.224813 -7.481769 -0.00631331,-7.658407 -7.215523 0.2119508,-7.136903 -6.569362 0.3465708,-6.75119 -5.999164 0.5247978,-6.408798 -5.72381 0.7160147,-7.490129 -5.0001 0.08757585,-7.338339 -4.010019 0.2004607,-7.274376 -3.367548 0.3455868,-7.222448 -2.803091 0.4781488,-7.816447 -4.820675 0.1261489,-7.67695 -3.705212 0.2027965,-7.593184 -2.964382 0.3942077,-7.533092 -2.332827 0.5740491,-8.143146 -4.88292 0.1927205,-8.05597 -3.835641 0.2802058,-7.98163 -3.175336 0.4249891,-7.910448 -2.605674 0.5527313,-8.486058 -5.141269 0.2904701,-8.52107 -4.367088 0.4033665,-8.514467 -3.876153 0.5142922,-8.483319 -3.393307 0.6051277,0.11667,1 0 0 0 0 False
-2.660395 -7.451617 -0.04005925,-3.221912 -7.308048 0.2396364,-3.76964 -6.754913 0.3832394,-4.187523 -6.253004 0.5136935,-4.516831 -6.024423 0.6574525,-3.436285 -5.182844 0.1398817,-3.667923 -4.256843 0.3085686,-3.778655 -3.677557 0.4486599,-3.86307 -3.129084 0.5776634,-3.108721 -4.920841 0.1710577,-3.267633 -3.827659 0.3449998,-3.355997 -3.114882 0.5500886,-3.430118 -2.496795 0.7226295,-2.773037 -4.895761 0.2529794,-2.861096 -3.853491 0.4470305,-2.942482 -3.1917 0.6222586,-3.024281 -2.62364 0.7668142,-2.412044 -5.085182 0.3586552,-2.307683 -4.260751 0.5485674,-2.248874 -3.732078 0.7027522,-2.214391 -3.214073 0.8474328,-8.224813 -7.481769 -0.00631331,-7.658407 -7.215523 0.2119508,-7.136903 -6.569362 0.3465708,-6.75119 -5.999164 0.5247978,-6.408798 -5.72381 0.7160147,-7.490129 -5.0001 0.08757585,-7.338339 -4.010019 0.2004607,-7.274376 -3.367548 0.3455868,-7.222448 -2.803091 0.4781488,-7.816447 -4.820675 0.1261489,-7.67695 -3.705212 0.2027965,-7.593184 -2.964382 0.3942077,-7.533092 -2.332827 0.5740491,-8.143146 -4.88292 0.1927205,-8.05597 -3.835641 0.2802058,-7.98163 -3.175336 0.4249891,-7.910448 -2.605674 0.5527313,-8.486058 -5.141269 0.2904701,-8.52107 -4.367088 0.4033665,-8.514467 -3.876153 0.5142922,-8.483319 -3.393307 0.6051277,0.15000,1 0 0 0 0 False
-2.651725 -7.469074 -0.04749196,-3.215115 -7.329528 0.2417576,-3.765829 -6.776315 0.3892309,-4.177722 -6.265939 0.5222326,-4.49696 -6.002655 0.6729107,-3.430305 -5.206686 0.1568277,-3.666553 -4.276927 0.333126,-3.785192 -3.688832 0.4738755,-3.873234 -3.134508 0.6061401,-3.101883 -4.942751 0.1859956,-3.258581 -3.839182 0.3606729,-3.350676 -3.114872 0.5661815,-3.423914 -2.497573 0.7377224,-2.766212 -4.918073 0.2654641,-2.853132 -3.870807 0.4598875,-2.934964 -3.200621 0.6339709,-3.013264 -2.635502 0.7788596,-2.406455 -5.107307 0.3687489,-2.299232 -4.275686 0.5592252,-2.23835 -3.736125 0.714743,-2.200382 -3.216428 0.8596126,-8.21113 -7.475526 -0.01180114,-7.647612 -7.210873 0.1980763,-7.128397 -6.570449 0.3366235,-6.749686 -5.997723 0.5215862,-6.405117 -5.721251 0.7232444,-7.482597 -4.996361 0.08495091,-7.331997 -4.000886 0.2066325,-7.272097 -3.356706 0.3563615,-7.222035 -2.791216 0.4922081,-7.809413 -4.815567 0.1316931,-7.668291 -3.692323 0.2176259,-7.589814 -2.948938 0.4091698,-7.531292 -2.311311 0.5920284,-8.138395 -4.88017 0.205832,-8.047159 -3.819725 0.2939124,-7.980467 -3.153093 0.4375635,-7.916005 -2.575049 0.5694019,-8.484064 -5.143922 0.3103664,-8.518189 -4.361831 0.4136184,-8.513501 -3.871408 0.5198708,-8.483866 -3.388585 0.6144819,0.18333,1 0 0 0 0 False
-2.666432 -7.475103 -0.04894593,-3.225254 -7.33892 0.2481843,-3.770424 -6.7821 0.396401,-4.180359 -6.268713 0.5267298,-4.499271 -6.009725 0.6701674,-3.428244 -5.211977 0.1591679,-3.660769 -4.282317 0.3354311,-3.777084 -3.692601 0.4808834,-3.861296 -3.135166 0.617412,-3.100693 -4.946462 0.1845483,-3.257147 -3.837089 0.3642854,-3.348641 -3.111446 0.5762837,-3.417584 -2.489771 0.7535449,-2.76836 -4.921771 0.2602273,-2.851698 -3.868898 0.4574328,-2.934691 -3.197417 0.6349342,-3.01132 -2.628057 0.7808661,-2.412087 -5.114934 0.3607029,-2.300777 -4.290929 0.5475081,-2.237735 -3.754897 0.6986409,-2.196181 -3.234904 0.8412084,-8.203208 -7.476103 -0.02816746,-7.63771 -7.208589 0.1643721,-7.120679 -6.569271 0.297038,-6.739655 -6.000909 0.4780327,-6.398462 -5.721942 0.6787733,-7.484713 -4.993474 0.04188136,-7.329731 -3.989538 0.1585185,-7.264709 -3.346144 0.3034503,-7.21155 -2.78436 0.4363979,-7.812106 -4.818281 0.09589594,-7.668829 -3.692932 0.1795418,-7.586579 -2.952985 0.3728879,-7.527799 -2.31656 0.5563226,-8.139732 -4.885911 0.1761456,-8.047616 -3.828883 0.2624215,-7.975758 -3.165763 0.4055504,-7.909323 -2.593091 0.5355314,-8.481549 -5.150805 0.2871424,-8.518878 -4.366928 0.3939222,-8.511617 -3.872277 0.5062263,-8.479719 -3.382738 0.6010033,0.21667,1 0 0 0 0 False
-2.666432 -7.475103 -0.04894593,-3.225254 -7.33892 0.2481843,-3.770424 -6.7821 0.396401,-4.180359 -6.268713 0.5267298,-4.499271 -6.009725 0.6701674,-3.428244 -5.211977 0.1591679,-3.660769 -4.282317 0.3354311,-3.777084 -3.692601 0.4808834,-3.861296 -3.135166 0.617412,-3.100693 -4.946462 0.1845483,-3.257147 -3.837089 0.3642854,-3.348641 -3.111446 0.5762837,-3.417584 -2.489771 0.7535449,-2.76836 -4.921771 0.2602273,-2.851698 -3.868898 0.4574328,-2.934691 -3.197417 0.6349342,-3.01132 -2.628057 0.7808661,-2.412087 -5.114934 0.3607029,-2.300777 -4.290929 0.5475081,-2.237735 -3.754897 0.6986409,-2.196181 -3.234904 0.8412084,-8.203208 -7.476103 -0.02816746,-7.63771 -7.208589 0.1643721,-7.120679 -6.569271 0.297038,-6.739655 -6.000909 0.4780327,-6.398462 -5.721942 0.6787733,-7.484713 -4.993474 0.04188136,-7.329731 -3.989538 0.1585185,-7.264709 -3.346144 0.3034503,-7.21155 -2.78436 0.4363979,-7.812106 -4.818281 0.09589594,-7.668829 -3.692932 0.1795418,-7.586579 -2.952985 0.3728879,-7.527799 -2.31656 0.5563226,-8.139732 -4.885911 0.1761456,-8.047616 -3.828883 0.2624215,-7.975758 -3.165763 0.4055504,-7.909323 -2.593091 0.5355314,-8.481549 -5.150805 0.2871424,-8.518878 -4.366928 0.3939222,-8.511617 -3.872277 0.5062263,-8.479719 -3.382738 0.6010033,0.25000,1 0 0 0 0 False
-2.668542 -7.481951 -0.02832318,-3.226003 -7.339372 0.2529505,-3.770161 -6.765201 0.3898377,-4.179102 -6.254497 0.5119523,-4.497505 -6.010911 0.6523494,-3.430318 -5.212176 0.1678456,-3.666548 -4.282827 0.335847,-3.78408 -3.695312 0.4696418,-3.872525 -3.141324 0.5951781,-3.102119 -4.946706 0.2000157,-3.254037 -3.837663 0.3749576,-3.346603 -3.107885 0.5813967,-3.418768 -2.485392 0.7536793,-2.768869 -4.925062 0.2819482,-2.850965 -3.867595 0.4802394,-2.934731 -3.188705 0.6563818,-3.014034 -2.614484 0.8016631,-2.411479 -5.121297 0.3860013,-2.30325 -4.290089 0.5755262,-2.239002 -3.745882 0.7268167,-2.194905 -3.219302 0.869146,-8.195354 -7.478033 -0.03398892,-7.639826 -7.207159 0.1674152,-7.122705 -6.561468 0.3042741,-6.739202 -5.999347 0.486712,-6.39398 -5.730803 0.6896854,-7.488045 -4.992473 0.07717661,-7.329856 -3.988077 0.2065633,-7.263912 -3.345249 0.3595912,-7.21066 -2.778005 0.4956993,-7.812579 -4.823206 0.1353075,-7.670895 -3.698292 0.2358839,-7.588642 -2.957395 0.435394,-7.530356 -2.316278 0.6226208,-8.13626 -4.900238 0.2176209,-8.048227 -3.845694 0.325876,-7.975886 -3.176548 0.4770183,-7.908888 -2.594584 0.6103845,-8.47435 -5.176598 0.33005,-8.516913 -4.397275 0.4607536,-8.512035 -3.900713 0.5826201,-8.483242 -3.406644 0.6836604,0.28333,1 0 0 0 0 False
-2.668542 -7.481951 -0.02832318,-3.226003 -7.339372 0.2529505,-3.770161 -6.765201 0.3898377,-4.179102 -6.254497 0.5119523,-4.497505 -6.010911 0.6523494,-3.430318 -5.212176 0.1678456,-3.666548 -4.282827 0.335847,-3.78408 -3.695312 0.4696418,-3.872525 -3.141324 0.5951781,-3.102119 -4.946706 0.2000157,-3.254037 -3.837663 0.3749576,-3.346603 -3.107885 0.5813967,-3.418768 -2.485392 0.7536793,-2.768869 -4.925062 0.2819482,-2.850965 -3.867595 0.4802394,-2.934731 -3.188705 0.6563818,-3.014034 -2.614484 0.8016631,-2.411479 -5.121297 0.3860013,-2.30325 -4.290089 0.5755262,-2.239002 -3.745882 0.7268167,-2.194905 -3.219302 0.869146,-8.195354 -7.478033 -0.03398892,-7.639826 -7.207159 0.1674152,-7.122705 -6.561468 0.3042741,-6.739202 -5.999347 0.486712,-6.39398 -5.730803 0.6896854,-7.488045 -4.992473 0.07717661,-7.329856 -3.988077 0.2065633,-7.263912 -3.345249 0.3595912,-7.21066 -2.778005 0.4956993,-7.812579 -4.823206 0.1353075,-7.670895 -3.698292 0.2358839,-7.588642 -2.957395 0.435394,-7.530356 -2.316278 0.6226208,-8.13626 -4.900238 0.2176209,-8.048227 -3.845694 0.325876,-7.975886 -3.176548 0.4770183,-7.908888 -2.594584 0.6103845,-8.47435 -5.176598 0.33005,-8.516913 -4.397275 0.4607536,-8.512035 -3.900713 0.5826201,-8.483242 -3.406644 0.6836604,0.31667,1 0 0 0 0 False
