WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.659327 -7.689278 -0.02092103,-3.258842 -7.478321 0.2123836,-3.822977 -6.900365 0.3366092,-4.218113 -6.306503 0.4636232,-4.523246 -5.922786 0.5892088,-3.417957 -5.291149 0.08055314,-3.620526 -4.278234 0.209482,-3.723937 -3.664587 0.3308462,-3.806232 -3.089174 0.439759,-3.082197 -5.05487 0.1209463,-3.219078 -3.867282 0.2852578,-3.300668 -3.101852 0.4878055,-3.373255 -2.436529 0.6562465,-2.751993 -5.035881 0.2163782,-2.843432 -3.91814 0.3887905,-2.926593 -3.208879 0.5691211,-3.008257 -2.602292 0.709025,-2.403512 -5.215105 0.3309074,-2.349822 -4.310341 0.4925673,-2.33935 -3.743824 0.6486822,-2.354586 -3.210445 0.782508,-8.258871 -7.88862 -0.01299756,-7.644912 -7.550058 0.2371911,-7.112283 -6.787662 0.3956149,-6.783063 -6.030733 0.5996565,-6.464495 -5.599205 0.8114852,-7.533997 -4.99895 0.0743796,-7.374022 -3.837835 0.2003039,-7.301966 -3.106864 0.376327,-7.247227 -2.472088 0.5378805,-7.896169 -4.807621 0.1446582,-7.753942 -3.505735 0.2211088,-7.672653 -2.649283 0.4462973,-7.619567 -1.907365 0.6536005,-8.250065 -4.883757 0.254994,-8.153918 -3.656537 0.3483356,-8.072325 -2.881429 0.5325379,-7.998611 -2.215921 0.6969956,-8.618055 -5.17373 0.3995816,-8.676813 -4.256023 0.5445543,-8.675793 -3.666827 0.691144,-8.647078 -3.076369 0.8189697,0.01667,0 0 1
-2.659327 -7.689278 -0.02092103,-3.258842 -7.478321 0.2123836,-3.822977 -6.900365 0.3366092,-4.218113 -6.306503 0.4636232,-4.523246 -5.922786 0.5892088,-3.417957 -5.291149 0.08055314,-3.620526 -4.278234 0.209482,-3.723937 -3.664587 0.3308462,-3.806232 -3.089174 0.439759,-3.082197 -5.05487 0.1209463,-3.219078 -3.867282 0.2852578,-3.300668 -3.101852 0.4878055,-3.373255 -2.436529 0.6562465,-2.751993 -5.035881 0.2163782,-2.843432 -3.91814 0.3887905,-2.926593 -3.208879 0.5691211,-3.008257 -2.602292 0.709025,-2.403512 -5.215105 0.3309074,-2.349822 -4.310341 0.4925673,-2.33935 -3.743824 0.6486822,-2.354586 -3.210445 0.782508,-8.258871 -7.88862 -0.01299756,-7.644912 -7.550058 0.2371911,-7.112283 -6.787662 0.3956149,-6.783063 -6.030733 0.5996565,-6.464495 -5.599205 0.8114852,-7.533997 -4.99895 0.0743796,-7.374022 -3.837835 0.2003039,-7.301966 -3.106864 0.376327,-7.247227 -2.472088 0.5378805,-7.896169 -4.807621 0.1446582,-7.753942 -3.505735 0.2211088,-7.672653 -2.649283 0.4462973,-7.619567 -1.907365 0.6536005,-8.250065 -4.883757 0.254994,-8.153918 -3.656537 0.3483356,-8.072325 -2.881429 0.5325379,-7.998611 -2.215921 0.6969956,-8.618055 -5.17373 0.3995816,-8.676813 -4.256023 0.5445543,-8.675793 -3.666827 0.691144,-8.647078 -3.076369 0.8189697,0.05000,0 0 1
-2.666097 -7.691131 0.003743263,-3.264273 -7.486469 0.2333485,-3.826582 -6.900993 0.3492807,-4.215916 -6.29618 0.4669235,-4.519892 -5.904474 0.581606,-3.424829 -5.293277 0.09892263,-3.624768 -4.285589 0.2331479,-3.727821 -3.680022 0.3573812,-3.811444 -3.104478 0.4651233,-3.088463 -5.049212 0.140136,-3.226265 -3.871008 0.3082362,-3.311771 -3.106885 0.510922,-3.387507 -2.437447 0.6827208,-2.75585 -5.028587 0.2359908,-2.850245 -3.915177 0.4137157,-2.936845 -3.207654 0.5925575,-3.018673 -2.601919 0.7317947,-2.402188 -5.210145 0.3520837,-2.352111 -4.305674 0.5162598,-2.343989 -3.735321 0.6736429,-2.359876 -3.197608 0.8089015,-8.261888 -7.882752 -0.03584357,-7.648944 -7.542896 0.2152882,-7.113933 -6.786097 0.3763742,-6.782282 -6.031589 0.5830553,-6.474743 -5.594536 0.799813,-7.538088 -4.998338 0.03593427,-7.381172 -3.844956 0.1542327,-7.307831 -3.116157 0.3301461,-7.252074 -2.493956 0.4932519,-7.898596 -4.807514 0.1031158,-7.755152 -3.509128 0.1708499,-7.672881 -2.656142 0.3927219,-7.618083 -1.919276 0.5990357,-8.250729 -4.88199 0.2099866,-8.152558 -3.65988 0.2946879,-8.070788 -2.886685 0.4744342,-7.995343 -2.21998 0.6384387,-8.617988 -5.169817 0.3527378,-8.680585 -4.255996 0.4857029,-8.68117 -3.671005 0.6260381,-8.652083 -3.083982 0.7527642,0.08333,0 0 1
-2.671372 -7.691129 -0.02198098,-3.26812 -7.48147 0.2113571,-3.827151 -6.898502 0.3329163,-4.213755 -6.29356 0.4569699,-4.519336 -5.903293 0.5792104,-3.421677 -5.299913 0.09278233,-3.625843 -4.291149 0.2334704,-3.728898 -3.684779 0.3632753,-3.811184 -3.107357 0.4728712,-3.084706 -5.056185 0.1316807,-3.224153 -3.875415 0.3047,-3.307444 -3.108226 0.5142972,-3.379457 -2.43288 0.6905401,-2.754004 -5.031722 0.2224926,-2.845858 -3.919752 0.3986422,-2.92862 -3.214094 0.5809651,-3.0066 -2.608442 0.7236084,-2.40502 -5.20331 0.332823,-2.354643 -4.298871 0.4952978,-2.343496 -3.729606 0.6520081,-2.356238 -3.191878 0.7880925,-8.256928 -7.897209 0.003838996,-7.645405 -7.556701 0.254573,-7.114869 -6.793796 0.4105269,-6.791829 -6.037118 0.6126448,-6.481572 -5.613727 0.8236949,-7.537685 -4.997806 0.06512859,-7.378605 -3.84154 0.182236,-7.301832 -3.110877 0.3551908,-7.24272 -2.482503 0.5165878,-7.901418 -4.809112 0.1309267,-7.755361 -3.511121 0.1976436,-7.670289 -2.661024 0.4188342,-7.612267 -1.919034 0.6249925,-8.255426 -4.889144 0.2367136,-8.156478 -3.66902 0.3170002,-8.074566 -2.898332 0.4938303,-7.998831 -2.228706 0.6537979,-8.622825 -5.185443 0.3799621,-8.685689 -4.274084 0.5075557,-8.688529 -3.687789 0.6495782,-8.662614 -3.095899 0.777696,0.11667,0 0 1
-2.671372 -7.691129 -0.02198098,-3.26812 -7.48147 0.2113571,-3.827151 -6.898502 0.3329163,-4.213755 -6.29356 0.4569699,-4.519336 -5.903293 0.5792104,-3.421677 -5.299913 0.09278233,-3.625843 -4.291149 0.2334704,-3.728898 -3.684779 0.3632753,-3.811184 -3.107357 0.4728712,-3.084706 -5.056185 0.1316807,-3.224153 -3.875415 0.3047,-3.307444 -3.108226 0.5142972,-3.379457 -2.43288 0.6905401,-2.754004 -5.031722 0.2224926,-2.845858 -3.919752 0.3986422,-2.92862 -3.214094 0.5809651,-3.0066 -2.608442 0.7236084,-2.40502 -5.20331 0.332823,-2.354643 -4.298871 0.4952978,-2.343496 -3.729606 0.6520081,-2.356238 -3.191878 0.7880925,-8.256928 -7.897209 0.003838996,-7.645405 -7.556701 0.254573,-7.114869 -6.793796 0.4105269,-6.791829 -6.037118 0.6126448,-6.481572 -5.613727 0.8236949,-7.537685 -4.997806 0.06512859,-7.378605 -3.84154 0.182236,-7.301832 -3.110877 0.3551908,-7.24272 -2.482503 0.5165878,-7.901418 -4.809112 0.1309267,-7.755361 -3.511121 0.1976436,-7.670289 -2.661024 0.4188342,-7.612267 -1.919034 0.6249925,-8.255426 -4.889144 0.2367136,-8.156478 -3.66902 0.3170002,-8.074566 -2.898332 0.4938303,-7.998831 -2.228706 0.6537979,-8.622825 -5.185443 0.3799621,-8.685689 -4.274084 0.5075557,-8.688529 -3.687789 0.6495782,-8.662614 -3.095899 0.777696,0.15000,0 0 1
-2.690892 -7.708833 0.0839493,-3.28348 -7.502479 0.2994314,-3.830489 -6.894704 0.4053155,-4.209173 -6.275947 0.5206742,-4.510191 -5.880251 0.6357212,-3.420286 -5.273832 0.1269307,-3.618755 -4.271372 0.2394266,-3.721032 -3.664255 0.3521944,-3.801884 -3.091118 0.4521375,-3.087156 -5.037742 0.1745126,-3.220104 -3.859161 0.3187578,-3.30405 -3.094165 0.5087647,-3.375202 -2.425783 0.667944,-2.761407 -5.022275 0.2771907,-2.846749 -3.90616 0.4321632,-2.933255 -3.191001 0.599385,-3.014053 -2.579488 0.7321045,-2.415791 -5.208808 0.4022496,-2.360133 -4.302751 0.5464423,-2.349293 -3.723669 0.6947197,-2.3614 -3.180362 0.8248708,-8.246829 -7.895645 0.01878404,-7.63674 -7.545352 0.2812461,-7.108958 -6.785163 0.4456552,-6.788159 -6.033407 0.6540199,-6.48118 -5.606995 0.8722956,-7.537285 -4.99269 0.118084,-7.378122 -3.836353 0.2507266,-7.304712 -3.107215 0.4288382,-7.248232 -2.476302 0.5933074,-7.903452 -4.80364 0.1835525,-7.754761 -3.502972 0.2655075,-7.672354 -2.644237 0.49277,-7.618523 -1.898376 0.7050637,-8.260768 -4.880146 0.2889388,-8.157694 -3.654069 0.3802791,-8.078918 -2.878102 0.5643346,-8.006445 -2.208101 0.732942,-8.631657 -5.171424 0.4324266,-8.689095 -4.253786 0.5704934,-8.68875 -3.664811 0.7159351,-8.65971 -3.072414 0.8488542,0.18333,0 0 1
-2.690892 -7.708833 0.0839493,-3.28348 -7.502479 0.2994314,-3.830489 -6.894704 0.4053155,-4.209173 -6.275947 0.5206742,-4.510191 -5.880251 0.6357212,-3.420286 -5.273832 0.1269307,-3.618755 -4.271372 0.2394266,-3.721032 -3.664255 0.3521944,-3.801884 -3.091118 0.4521375,-3.087156 -5.037742 0.1745126,-3.220104 -3.859161 0.3187578,-3.30405 -3.094165 0.5087647,-3.375202 -2.425783 0.667944,-2.761407 -5.022275 0.2771907,-2.846749 -3.90616 0.4321632,-2.933255 -3.191001 0.599385,-3.014053 -2.579488 0.7321045,-2.415791 -5.208808 0.4022496,-2.360133 -4.302751 0.5464423,-2.349293 -3.723669 0.6947197,-2.3614 -3.180362 0.8248708,-8.246829 -7.895645 0.01878404,-7.63674 -7.545352 0.2812461,-7.108958 -6.785163 0.4456552,-6.788159 -6.033407 0.6540199,-6.48118 -5.606995 0.8722956,-7.537285 -4.99269 0.118084,-7.378122 -3.836353 0.2507266,-7.304712 -3.107215 0.4288382,-7.248232 -2.476302 0.5933074,-7.903452 -4.80364 0.1835525,-7.754761 -3.502972 0.2655075,-7.672354 -2.644237 0.49277,-7.618523 -1.898376 0.7050637,-8.260768 -4.880146 0.2889388,-8.157694 -3.654069 0.3802791,-8.078918 -2.878102 0.5643346,-8.006445 -2.208101 0.732942,-8.631657 -5.171424 0.4324266,-8.689095 -4.253786 0.5704934,-8.68875 -3.664811 0.7159351,-8.65971 -3.072414 0.8488542,0.21667,0 0 1
-2.692729 -7.723636 0.1171757,-3.286251 -7.494403 0.3314489,-3.827061 -6.864515 0.4364034,-4.204763 -6.235069 0.5546241,-4.511933 -5.836212 0.6744646,-3.411635 -5.265713 0.1747219,-3.613954 -4.245952 0.2870187,-3.717157 -3.622044 0.3920788,-3.796078 -3.032836 0.4889363,-3.081793 -5.042448 0.2225284,-3.216681 -3.856903 0.3721715,-3.304008 -3.094039 0.5474948,-3.376085 -2.430868 0.693274,-2.758895 -5.033507 0.3283926,-2.835535 -3.906541 0.4869162,-2.919414 -3.185905 0.6468917,-2.997737 -2.565876 0.7715142,-2.416451 -5.224086 0.4545971,-2.358077 -4.31917 0.6086533,-2.346608 -3.741156 0.756532,-2.356343 -3.201604 0.8845463,-8.239792 -7.894683 -0.0004547897,-7.630754 -7.554121 0.2638653,-7.106554 -6.789539 0.4196669,-6.79059 -6.032521 0.6196042,-6.480865 -5.609592 0.8210286,-7.53065 -4.997793 0.08344492,-7.367655 -3.838698 0.2103059,-7.291271 -3.1073 0.3805906,-7.231614 -2.472743 0.5385816,-7.900062 -4.806936 0.1474347,-7.749128 -3.495777 0.226475,-7.668091 -2.644302 0.4494718,-7.611833 -1.897057 0.652135,-8.258832 -4.882722 0.252831,-8.15635 -3.639103 0.349959,-8.082366 -2.858932 0.5361512,-8.011454 -2.179828 0.6975412,-8.628207 -5.173892 0.3930703,-8.684533 -4.250659 0.5420124,-8.687325 -3.657468 0.6911462,-8.661209 -3.058533 0.819088,0.25000,0 0 1
-2.692729 -7.723636 0.1171757,-3.286251 -7.494403 0.3314489,-3.827061 -6.864515 0.4364034,-4.204763 -6.235069 0.5546241,-4.511933 -5.836212 0.6744646,-3.411635 -5.265713 0.1747219,-3.613954 -4.245952 0.2870187,-3.717157 -3.622044 0.3920788,-3.796078 -3.032836 0.4889363,-3.081793 -5.042448 0.2225284,-3.216681 -3.856903 0.3721715,-3.304008 -3.094039 0.5474948,-3.376085 -2.430868 0.693274,-2.758895 -5.033507 0.3283926,-2.835535 -3.906541 0.4869162,-2.919414 -3.185905 0.6468917,-2.997737 -2.565876 0.7715142,-2.416451 -5.224086 0.4545971,-2.358077 -4.31917 0.6086533,-2.346608 -3.741156 0.756532,-2.356343 -3.201604 0.8845463,-8.239792 -7.894683 -0.0004547897,-7.630754 -7.554121 0.2638653,-7.106554 -6.789539 0.4196669,-6.79059 -6.032521 0.6196042,-6.480865 -5.609592 0.8210286,-7.53065 -4.997793 0.08344492,-7.367655 -3.838698 0.2103059,-7.291271 -3.1073 0.3805906,-7.231614 -2.472743 0.5385816,-7.900062 -4.806936 0.1474347,-7.749128 -3.495777 0.226475,-7.668091 -2.644302 0.4494718,-7.611833 -1.897057 0.652135,-8.258832 -4.882722 0.252831,-8.15635 -3.639103 0.349959,-8.082366 -2.858932 0.5361512,-8.011454 -2.179828 0.6975412,-8.628207 -5.173892 0.3930703,-8.684533 -4.250659 0.5420124,-8.687325 -3.657468 0.6911462,-8.661209 -3.058533 0.819088,0.28333,0 0 1
-2.696892 -7.736778 0.1582657,-3.291203 -7.492937 0.3539751,-3.830389 -6.875356 0.4549757,-4.203175 -6.244442 0.5740763,-4.50868 -5.832861 0.6944231,-3.411551 -5.263395 0.1956988,-3.620861 -4.241046 0.3006679,-3.728846 -3.618944 0.3965815,-3.804804 -3.035154 0.4864449,-3.084459 -5.042961 0.2492992,-3.219364 -3.850427 0.3852999,-3.304342 -3.085526 0.5495801,-3.36905 -2.418928 0.6888493,-2.761865 -5.035154 0.3586977,-2.835324 -3.901407 0.4986672,-2.917585 -3.184388 0.6515007,-2.989541 -2.570198 0.7734859,-2.421019 -5.221842 0.4875568,-2.359927 -4.308345 0.6293569,-2.345788 -3.724452 0.7770813,-2.352175 -3.183387 0.9055793,-8.229411 -7.918305 0.06668715,-7.615705 -7.579502 0.3364977,-7.097142 -6.800971 0.4945681,-6.792116 -6.036815 0.6951004,-6.484114 -5.612237 0.8924688,-7.521877 -5.000946 0.1445702,-7.366941 -3.848936 0.2755594,-7.292562 -3.11594 0.4496547,-7.233118 -2.472738 0.6092043,-7.894699 -4.810382 0.2075318,-7.753557 -3.506321 0.2904502,-7.672241 -2.656584 0.5173928,-7.61633 -1.908453 0.7220042,-8.254086 -4.88449 0.312831,-8.159889 -3.649658 0.4108741,-8.085342 -2.87563 0.5945821,-8.014256 -2.200777 0.7522799,-8.623122 -5.17527 0.4547549,-8.677526 -4.252622 0.6016278,-8.67856 -3.65836 0.7448289,-8.651012 -3.057852 0.8650451,0.31667,0 0 1
