WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-1.807127 -7.351142 -0.1274269,-2.431886 -7.096914 0.1434359,-3.000697 -6.502779 0.2940997,-3.431356 -6.01983 0.4583302,-3.803094 -5.921121 0.6838501,-2.678671 -4.638749 -0.1219431,-2.953335 -3.617738 0.03351104,-3.114475 -2.979877 0.1806866,-3.232302 -2.379632 0.3196652,-2.336442 -4.351079 -0.03612085,-2.50852 -3.081937 0.04037456,-2.50852 -3.081937 0.04037456,-2.687132 -1.603396 0.3652827,-1.982615 -4.347121 0.1150719,-2.013389 -3.112758 0.2394121,-2.051464 -2.352767 0.4362949,-2.123237 -1.689306 0.6161852,-1.616617 -4.616929 0.3124306,-1.445148 -3.728343 0.4873426,-1.343375 -3.182998 0.6186572,-1.275702 -2.68485 0.7415501,-8.543253 -7.180908 0.00286865,-7.973305 -6.894533 0.2860139,-7.456605 -6.258867 0.5600237,-7.051497 -5.789041 0.8733062,-6.63079 -5.628831 1.214115,-7.817907 -4.513004 0.3140385,-7.699563 -3.405824 0.5068607,-7.658501 -2.732603 0.6918283,-7.626808 -2.123832 0.8377261,-8.166488 -4.350066 0.4058846,-8.067357 -3.056234 0.6035729,-7.998808 -2.234024 0.8437211,-7.952157 -1.514206 1.054536,-8.508322 -4.432703 0.5146249,-8.446184 -3.20842 0.7159247,-8.380158 -2.436462 0.9030167,-8.312136 -1.761823 1.046629,-8.857277 -4.73582 0.6555057,-8.900734 -3.788132 0.8605955,-8.900283 -3.187413 1.000658,-8.883989 -2.601423 1.100522,0.010,43  0
-1.784328 -7.385211 -0.03201344,-2.399067 -7.157953 0.2651724,-2.983619 -6.546045 0.4324246,-3.414808 -6.056295 0.6165335,-3.800091 -5.925107 0.8740071,-2.673663 -4.652774 -0.001251515,-2.947654 -3.659338 0.1631943,-3.101048 -3.013868 0.3179508,-3.212187 -2.407125 0.4618565,-2.33119 -4.361408 0.08532761,-2.505763 -3.110157 0.1729097,-2.505763 -3.110157 0.1729097,-2.680928 -1.605502 0.5235602,-1.974629 -4.36143 0.2412345,-2.007956 -3.133008 0.364048,-2.047771 -2.376514 0.5695276,-2.116073 -1.707847 0.7560855,-1.605771 -4.634727 0.4470953,-1.453142 -3.727823 0.6326672,-1.370444 -3.166902 0.7805189,-1.318073 -2.64563 0.9164501,-8.548876 -7.17098 -0.02625694,-7.966581 -6.877908 0.2388463,-7.446752 -6.234822 0.5011694,-7.047837 -5.74069 0.8032894,-6.637273 -5.581546 1.125425,-7.822659 -4.508882 0.2957382,-7.704585 -3.388952 0.4935267,-7.670924 -2.71033 0.6769774,-7.645712 -2.092305 0.824605,-8.176739 -4.349191 0.3852031,-8.072798 -3.041514 0.5887648,-8.00759 -2.218605 0.8285314,-7.962379 -1.492699 1.040028,-8.52392 -4.427137 0.486948,-8.449304 -3.191446 0.6877928,-8.385079 -2.419004 0.873082,-8.32035 -1.742001 1.019195,-8.878146 -4.721253 0.6163825,-8.906285 -3.760562 0.8158946,-8.90505 -3.155517 0.9518518,-8.892423 -2.564834 1.050792,0.110,43  0
-1.76851 -7.386812 -0.04856262,-2.38407 -7.158245 0.1973762,-2.967029 -6.539843 0.334439,-3.395268 -6.043134 0.4960423,-3.772048 -5.900062 0.7260134,-2.66733 -4.650517 -0.09668145,-2.945072 -3.663558 0.03161289,-3.103964 -3.02397 0.1683836,-3.211061 -2.421993 0.3021237,-2.324059 -4.367469 -0.005087916,-2.516742 -3.146306 0.0472025,-2.516742 -3.146306 0.0472025,-2.68916 -1.654709 0.3559118,-1.966953 -4.363903 0.1503538,-2.015996 -3.166236 0.2405842,-2.046344 -2.423381 0.4181132,-2.098567 -1.774323 0.5882238,-1.594451 -4.62664 0.3521644,-1.442044 -3.734685 0.5039344,-1.348969 -3.189866 0.6335921,-1.284194 -2.698497 0.7573372,-8.544096 -7.168639 0.0185919,-7.97563 -6.881412 0.3054987,-7.464798 -6.254303 0.5844041,-7.067639 -5.774494 0.9046771,-6.652455 -5.612522 1.250293,-7.840368 -4.491109 0.338515,-7.734135 -3.369888 0.545361,-7.693192 -2.689655 0.7397317,-7.660335 -2.083588 0.8909836,-8.190709 -4.331943 0.4335867,-8.09584 -3.026885 0.6446695,-8.025399 -2.203467 0.886465,-7.978201 -1.485019 1.090545,-8.533278 -4.415288 0.5470756,-8.468217 -3.173177 0.7583247,-8.400317 -2.402726 0.9446832,-8.333035 -1.728109 1.082223,-8.882684 -4.718107 0.6904098,-8.91958 -3.760627 0.8992739,-8.912924 -3.148116 1.039716,-8.892162 -2.548441 1.138645,0.210,43  0
-1.825365 -7.402461 -0.03546762,-2.430058 -7.148645 0.2428322,-2.986948 -6.526126 0.3958926,-3.408376 -6.03422 0.5694177,-3.791286 -5.919143 0.8118325,-2.664259 -4.646977 -0.008333551,-2.938895 -3.646061 0.1458175,-3.105988 -2.993292 0.2995825,-3.227501 -2.395122 0.4410908,-2.32249 -4.370935 0.07796369,-2.500645 -3.12059 0.15576,-2.500645 -3.12059 0.15576,-2.685328 -1.585678 0.4749944,-1.964119 -4.373809 0.2236989,-1.998253 -3.147353 0.3397678,-2.031679 -2.367851 0.523686,-2.088019 -1.679808 0.6949895,-1.595096 -4.643031 0.4184474,-1.437438 -3.739071 0.5917779,-1.340996 -3.167913 0.7310782,-1.26793 -2.635509 0.8605481,-8.556729 -7.160957 -0.0379892,-7.98415 -6.852372 0.2579893,-7.478581 -6.231298 0.5483799,-7.079585 -5.760322 0.8747989,-6.659984 -5.607651 1.236143,-7.848795 -4.500572 0.332502,-7.739634 -3.383295 0.5595343,-7.699776 -2.70014 0.7678618,-7.673631 -2.078989 0.9266294,-8.204962 -4.347266 0.4205704,-8.111401 -3.03934 0.6413946,-8.040895 -2.211307 0.8893508,-7.99801 -1.483822 1.098762,-8.551972 -4.434204 0.5242525,-8.492993 -3.193357 0.7433549,-8.422714 -2.432038 0.9279315,-8.356976 -1.768087 1.062693,-8.902455 -4.73026 0.6588459,-8.937819 -3.770088 0.8770946,-8.926846 -3.156527 1.014459,-8.903809 -2.556665 1.106767,0.310,43  0
-1.84355 -7.311244 -0.7231367,-2.42153 -7.126117 -0.5605106,-2.98682 -6.572385 -0.4245229,-3.387606 -6.120958 -0.2553582,-3.770023 -5.962089 -0.0127641,-2.713607 -4.752985 -0.5474567,-2.972997 -3.831939 -0.3949498,-3.136168 -3.174555 -0.2310599,-3.262179 -2.616498 -0.09336054,-2.397952 -4.5055 -0.4051102,-2.572246 -3.459373 -0.2185602,-2.572246 -3.459373 -0.2185602,-2.743247 -2.117246 0.197102,-2.049746 -4.552743 -0.2357258,-2.119124 -3.554753 -0.04562718,-2.154152 -2.950808 0.2098543,-2.188681 -2.441453 0.4103341,-1.691164 -4.838308 -0.06220967,-1.664552 -4.113045 0.1955367,-1.655088 -3.655899 0.3831061,-1.62407 -3.258869 0.5310994,-8.584505 -7.144388 -0.09263366,-8.010866 -6.854567 0.1983604,-7.492271 -6.253397 0.4751973,-7.082007 -5.79157 0.7908065,-6.667456 -5.638319 1.135324,-7.854447 -4.506114 0.2408451,-7.739557 -3.391485 0.4556527,-7.700209 -2.70752 0.6564533,-7.673956 -2.09457 0.8021073,-8.204963 -4.345489 0.3356037,-8.108116 -3.040975 0.547358,-8.041245 -2.209301 0.7933321,-7.997416 -1.485029 0.9950339,-8.546504 -4.428511 0.4474825,-8.488495 -3.196164 0.665952,-8.427655 -2.424415 0.8473579,-8.364424 -1.750779 0.9784601,-8.893374 -4.727185 0.5907103,-8.93917 -3.773395 0.8102897,-8.93715 -3.169229 0.9517031,-8.919213 -2.578897 1.042645,0.410,43  0
-1.821609 -7.286799 -0.5172104,-2.399856 -7.123447 -0.2702602,-2.968157 -6.560635 -0.1343644,-3.399432 -6.081932 0.0190807,-3.766823 -5.917973 0.2415515,-2.672744 -4.688522 -0.440758,-2.94341 -3.655381 -0.2813033,-3.104663 -2.978096 -0.159884,-3.204298 -2.378754 -0.03818095,-2.337115 -4.401133 -0.3431496,-2.515572 -3.121265 -0.2479528,-2.515572 -3.121265 -0.2479528,-2.673418 -1.565713 0.04761636,-1.981169 -4.406337 -0.196148,-2.01814 -3.166437 -0.06648344,-2.045669 -2.378039 0.121658,-2.093576 -1.698224 0.2866568,-1.616309 -4.68168 -0.01296437,-1.470155 -3.752359 0.1709436,-1.386039 -3.181104 0.3067393,-1.327113 -2.660621 0.4223541,-8.578009 -7.167399 -0.06304448,-8.010148 -6.860385 0.2147735,-7.498521 -6.23822 0.4880054,-7.090809 -5.76558 0.8027471,-6.676689 -5.597258 1.149986,-7.874929 -4.508102 0.2529947,-7.769255 -3.401793 0.4621336,-7.730373 -2.729163 0.6627848,-7.698617 -2.124181 0.815803,-8.222526 -4.355232 0.3555611,-8.130325 -3.056657 0.5592924,-8.060423 -2.231613 0.7994933,-8.012448 -1.511331 1.0006,-8.565803 -4.452142 0.4766837,-8.505526 -3.211689 0.6873919,-8.433881 -2.437525 0.8789459,-8.364427 -1.762584 1.016733,-8.91938 -4.766984 0.6285548,-8.96197 -3.810546 0.8486302,-8.953084 -3.192283 1.000223,-8.931796 -2.591612 1.099724,0.510,43  0
0.7947588 -7.378798 -0.2101201,-0.6185446 -7.234894 -0.03368092,-0.6010714 -5.973062 0.3433472,-1.001121 -5.390014 0.716537,-2.230835 -5.558227 0.7886162,-1.307715 -4.753215 -0.1759276,-2.070727 -3.855911 -0.01606589,-1.428802 -2.912721 0.1569099,-1.613011 -2.23943 0.3033917,-1.004483 -4.258093 -0.08306107,-0.6156979 -3.257241 0.0703076,-0.6156979 -3.257241 0.0703076,-0.7342486 -1.370537 0.2247528,0.771893 -4.56958 -0.02321411,0.0213623 -3.185394 0.1215222,-0.06862974 -2.330165 0.3161445,-0.09689617 -1.563581 0.4944044,1.359135 -4.797267 0.2200639,1.212345 -3.794596 0.4026417,1.19226 -3.118452 0.5720033,0.8186116 -2.465301 0.7293044,-8.609504 -7.174139 -0.08509228,-7.207315 -7.041622 0.1547761,-6.566767 -6.404336 0.4595712,-5.756081 -6.118818 0.7895057,-4.296672 -5.732562 1.321292,-5.383503 -4.694475 0.3029303,-5.285828 -3.521867 0.4942999,-5.279667 -2.638126 0.7090861,-5.441519 -1.930821 0.8954493,-5.816484 -4.460008 0.3897968,-5.713117 -3.079739 0.53101,-6.456482 -1.897032 0.8365806,-6.851439 -1.003595 0.9706716,-6.259754 -4.64968 0.4783899,-6.59824 -3.275186 0.693707,-6.910879 -2.352413 0.7770676,-7.138469 -1.544054 0.9658331,-7.248379 -4.898895 0.675032,-7.1835 -3.91615 0.8775238,-8.242322 -3.182278 0.9604222,-7.527834 -2.518308 1.03761,0.610,43  0
0.8605433 -7.483956 -0.08812881,-0.5618114 -7.301507 0.01511936,-0.5394802 -5.979703 0.3515014,-0.9315515 -5.373682 0.6992466,-2.154447 -5.557672 0.7480993,-1.247859 -4.794029 -0.1652071,-2.008416 -3.921785 -0.02356802,-1.383071 -2.979028 0.1479938,-1.564069 -2.296978 0.28541,-0.9373889 -4.328347 -0.0356051,-0.5633788 -3.352283 0.115645,-0.5633788 -3.352283 0.115645,-0.6881671 -1.532011 0.2302168,0.8567715 -4.614475 0.06626713,0.06401062 -3.250127 0.2041207,-0.02714348 -2.403875 0.3779062,-0.0431881 -1.645006 0.5339577,1.436414 -4.826469 0.3365799,1.256833 -3.816697 0.5190709,1.25697 -3.121932 0.6903719,0.8835135 -2.439687 0.8516925,-8.656393 -7.193113 -0.09137999,-7.256173 -7.057786 0.1558423,-6.615829 -6.405492 0.4458443,-5.819529 -6.059686 0.7627804,-4.35507 -5.665288 1.26531,-5.420195 -4.728454 0.3137287,-5.31144 -3.547843 0.5088251,-5.303623 -2.6632 0.7268044,-5.468621 -1.951791 0.9133942,-5.852072 -4.483682 0.3952456,-5.744158 -3.094955 0.5457428,-6.486095 -1.907635 0.8620659,-6.880616 -1.003004 1.002414,-6.297397 -4.673055 0.4835418,-6.62704 -3.290898 0.715043,-6.932047 -2.357384 0.8210994,-7.158283 -1.537239 1.026347,-7.290655 -4.929025 0.6764765,-7.222801 -3.956103 0.9009207,-8.263954 -3.21312 1.010564,-7.55679 -2.545885 1.101732,0.710,43  0
-1.617975 -7.538957 -0.02274613,-2.206496 -7.247081 0.2421379,-2.740506 -6.521992 0.4054723,-3.109167 -5.894741 0.5856667,-3.526046 -5.619434 0.8228943,-2.480292 -4.782537 0.06161574,-2.787687 -3.745967 0.2357582,-2.963856 -3.09765 0.3562163,-3.072961 -2.501633 0.4666989,-2.137386 -4.510328 0.151378,-2.324025 -3.241824 0.2739725,-2.324025 -3.241824 0.2739725,-2.497189 -1.625038 0.6063219,-1.783845 -4.525174 0.2920301,-1.833147 -3.26263 0.42181,-1.858677 -2.477886 0.5949286,-1.895975 -1.756756 0.7732165,-1.418244 -4.807838 0.4809496,-1.288712 -3.865605 0.64924,-1.20909 -3.28118 0.7864784,-1.141072 -2.751559 0.9098036,-8.729612 -7.264768 0.0820342,-8.163745 -6.941075 0.4041058,-7.657622 -6.279771 0.6710927,-7.272453 -5.754758 0.9706634,-6.862667 -5.533241 1.295509,-8.007065 -4.577331 0.4346252,-7.886713 -3.444352 0.6591805,-7.844503 -2.783619 0.8636768,-7.818626 -2.186281 1.008656,-8.369084 -4.411567 0.5043858,-8.283974 -3.123289 0.7146505,-8.234172 -2.315468 0.9693745,-8.205104 -1.609932 1.170084,-8.721749 -4.490528 0.5994263,-8.667447 -3.271915 0.8031209,-8.619557 -2.527301 0.9991139,-8.572512 -1.884299 1.141026,-9.085603 -4.778525 0.7232662,-9.128872 -3.840539 0.9378513,-9.127782 -3.243529 1.085355,-9.110115 -2.667618 1.179481,0.810,43  0
-1.35179 -7.707934 -0.0541417,-1.991803 -7.387103 0.3213051,-2.484804 -6.660121 0.5315756,-2.737049 -5.902518 0.7552644,-3.015181 -5.31024 0.995904,-2.268969 -4.959079 0.03440598,-2.54472 -3.889521 0.259779,-2.672346 -3.313709 0.4183591,-2.743747 -2.807536 0.5159697,-1.907055 -4.692466 0.07032149,-2.062177 -3.424665 0.229664,-2.062177 -3.424665 0.229664,-2.114456 -1.968448 0.5597069,-1.540411 -4.712455 0.1826111,-1.603429 -3.502565 0.3652145,-1.603442 -2.746418 0.5749755,-1.608509 -2.075161 0.7703844,-1.152795 -4.983531 0.3536182,-1.069024 -4.106749 0.5570283,-1.019651 -3.521297 0.744591,-0.9808035 -2.984664 0.9096584,-8.904902 -7.327699 0.1672377,-8.322513 -6.983931 0.4949843,-7.810709 -6.311595 0.7676601,-7.424106 -5.74188 1.070201,-7.014419 -5.460939 1.400782,-8.207676 -4.604646 0.4941821,-8.108951 -3.459542 0.7172474,-8.084407 -2.808553 0.9121542,-8.076406 -2.223065 1.047374,-8.569727 -4.442682 0.5612371,-8.507348 -3.164019 0.7556666,-8.48723 -2.400598 0.9773913,-8.486781 -1.732942 1.1445,-8.917879 -4.528467 0.6613486,-8.8764 -3.308341 0.8477911,-8.852674 -2.58416 1.02846,-8.82639 -1.951308 1.156865,-9.277644 -4.829269 0.791584,-9.325305 -3.894441 0.9839633,-9.325347 -3.298934 1.120628,-9.305117 -2.7297 1.217903,0.910,43  0
-1.312088 -7.733932 -0.1203573,-1.926567 -7.337924 0.2740034,-2.406353 -6.591257 0.4981471,-2.643352 -5.827558 0.7231671,-2.937638 -5.252303 0.9887389,-2.168764 -4.956216 0.08524929,-2.430138 -3.876483 0.3324475,-2.556419 -3.249207 0.4960077,-2.624439 -2.688645 0.5993109,-1.791655 -4.730289 0.1007767,-1.925953 -3.439373 0.3005765,-1.925953 -3.439373 0.3005765,-1.94955 -1.918309 0.6809651,-1.42614 -4.780887 0.1836468,-1.468492 -3.604426 0.3768728,-1.472226 -2.867637 0.613964,-1.477155 -2.203463 0.8204785,-1.053403 -5.070047 0.3198429,-0.9587507 -4.200689 0.5227276,-0.8993969 -3.617467 0.7188427,-0.8531885 -3.057906 0.8952298,-8.987891 -7.39829 0.2130739,-8.406664 -7.050085 0.5773659,-7.898101 -6.361951 0.8673522,-7.512612 -5.77831 1.18037,-7.095344 -5.489406 1.523353,-8.295079 -4.653701 0.6040598,-8.196123 -3.479081 0.8448462,-8.1782 -2.813912 1.052744,-8.182244 -2.209742 1.192033,-8.663374 -4.505393 0.6531644,-8.616804 -3.200922 0.8658917,-8.608184 -2.419921 1.103967,-8.625566 -1.73723 1.28327,-9.011275 -4.601968 0.7356706,-8.990018 -3.365259 0.9382079,-8.981177 -2.629636 1.129352,-8.975156 -1.996894 1.262856,-9.364769 -4.913703 0.8487682,-9.413914 -3.966241 1.052234,-9.41792 -3.363353 1.197002,-9.409222 -2.783882 1.299734,1.010,43  0
-1.221821 -7.781881 -0.1081971,-1.864686 -7.442392 0.2975209,-2.336092 -6.683526 0.5215082,-2.572977 -5.886095 0.7519814,-2.88169 -5.282325 0.9996001,-2.108942 -5.007043 0.1757844,-2.340587 -3.916736 0.4427034,-2.437469 -3.224006 0.6154723,-2.468177 -2.594752 0.7333929,-1.734275 -4.786379 0.1842263,-1.86894 -3.489085 0.416319,-1.86894 -3.489085 0.416319,-1.92756 -2.008908 0.7661294,-1.362116 -4.840263 0.2690565,-1.382097 -3.652797 0.4951187,-1.399419 -2.909817 0.7315596,-1.405564 -2.220878 0.9351449,-0.9863129 -5.152723 0.3911703,-0.8725195 -4.282552 0.6329152,-0.8261108 -3.690902 0.8508158,-0.7862954 -3.127258 1.0345,-9.028419 -7.455657 0.191632,-8.457693 -7.118301 0.5565808,-7.963234 -6.415168 0.8548184,-7.595722 -5.845672 1.170828,-7.187615 -5.585967 1.512036,-8.366224 -4.715475 0.5518545,-8.255437 -3.593151 0.7891882,-8.235467 -2.945248 1.001578,-8.238553 -2.355289 1.151593,-8.733253 -4.562757 0.61086,-8.700968 -3.293211 0.8290483,-8.714748 -2.523987 1.076715,-8.754294 -1.846482 1.268247,-9.07932 -4.647184 0.7070895,-9.064253 -3.437984 0.9252908,-9.066556 -2.715 1.125841,-9.078345 -2.089128 1.272717,-9.428608 -4.941396 0.8357779,-9.480619 -3.995842 1.047834,-9.508045 -3.390673 1.198245,-9.533335 -2.807144 1.312427,1.110,43  0
-1.167785 -7.872425 -0.06465073,-1.810058 -7.529965 0.3840819,-2.284576 -6.779787 0.6259074,-2.505024 -5.972696 0.876605,-2.81689 -5.325598 1.14638,-2.063138 -5.086371 0.235192,-2.284347 -3.981971 0.4971545,-2.383847 -3.291928 0.682862,-2.424434 -2.678794 0.8109396,-1.683509 -4.863073 0.2096682,-1.81529 -3.590154 0.423784,-1.81529 -3.590154 0.423784,-1.858639 -2.109955 0.7874458,-1.312342 -4.906553 0.261992,-1.343943 -3.740269 0.4715904,-1.354995 -2.994358 0.7099981,-1.358195 -2.299664 0.9115427,-0.9396038 -5.201545 0.3548104,-0.8481445 -4.331724 0.5813229,-0.8034201 -3.751821 0.7768059,-0.7621126 -3.193598 0.9562546,-9.094576 -7.545806 0.07498478,-8.512158 -7.208793 0.4481064,-8.024648 -6.50221 0.7475744,-7.667336 -5.941598 1.059094,-7.258866 -5.697139 1.39908,-8.462391 -4.838634 0.4982046,-8.372322 -3.675813 0.758775,-8.357821 -3.01578 0.9753346,-8.365296 -2.413844 1.126288,-8.832613 -4.692182 0.5493985,-8.803671 -3.404112 0.7925488,-8.819028 -2.636973 1.043,-8.864635 -1.974073 1.244808,-9.180502 -4.777821 0.6330488,-9.159259 -3.553092 0.8687019,-9.164867 -2.826768 1.079879,-9.184505 -2.208211 1.233368,-9.528156 -5.077442 0.7498683,-9.571915 -4.125538 0.967285,-9.589803 -3.52255 1.128081,-9.609446 -2.944476 1.261893,1.210,43  0
