WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.079788 -7.792251 7.87266E-05,-2.734231 -7.62507 0.3365887,-3.350141 -7.067044 0.5605721,-3.813409 -6.500976 0.7873855,-4.211148 -6.195148 1.070383,-3.026564 -5.282785 0.2600358,-3.32837 -4.218612 0.4983202,-3.498081 -3.562618 0.6760397,-3.62657 -2.960564 0.8167482,-2.683723 -4.977851 0.3026781,-2.910903 -3.734264 0.4846342,-2.910903 -3.734264 0.4846342,-3.140582 -2.202631 0.8561133,-2.316277 -4.960819 0.3955156,-2.42733 -3.778167 0.5903109,-2.503885 -2.995264 0.804184,-2.593042 -2.334949 0.9936113,-1.922486 -5.190729 0.5273733,-1.825482 -4.304965 0.7288283,-1.767133 -3.731033 0.9051607,-1.733852 -3.208692 1.063493,-8.683568 -7.71371 0.0006076662,-8.060816 -7.425712 0.3133867,-7.527288 -6.743499 0.5608334,-7.111311 -6.132804 0.8319504,-6.709849 -5.871127 1.122179,-7.864249 -4.957717 0.3711595,-7.690971 -3.790899 0.5819067,-7.630599 -3.081878 0.7662799,-7.590414 -2.464767 0.8857834,-8.226692 -4.756175 0.4315829,-8.092087 -3.372753 0.6601345,-8.019182 -2.545 0.9086649,-7.9657 -1.819828 1.087772,-8.584801 -4.828205 0.5162783,-8.514767 -3.547512 0.7623368,-8.458414 -2.755083 0.9834129,-8.39471 -2.053859 1.134064,-8.953469 -5.126552 0.621371,-9.022988 -4.178594 0.8777122,-9.042725 -3.553442 1.052838,-9.036995 -2.941038 1.170922,0.010,37  0
-2.07597 -7.797453 0.03877499,-2.72582 -7.62112 0.3687656,-3.339509 -7.076015 0.5831198,-3.792169 -6.505739 0.7991621,-4.168275 -6.180298 1.068332,-3.023331 -5.281152 0.291007,-3.332466 -4.213286 0.5251719,-3.505703 -3.549069 0.6973589,-3.637617 -2.943828 0.8366692,-2.678863 -4.970774 0.3352416,-2.910277 -3.724382 0.5055019,-2.910277 -3.724382 0.5055019,-3.145323 -2.184911 0.8667423,-2.309451 -4.957226 0.4279324,-2.418019 -3.763654 0.6121365,-2.489951 -2.963647 0.8285889,-2.578167 -2.295993 1.026062,-1.915132 -5.193074 0.560041,-1.815493 -4.29927 0.7544706,-1.756295 -3.715699 0.9367456,-1.724403 -3.189233 1.098601,-8.680878 -7.682108 -0.04154662,-8.055079 -7.399765 0.2629297,-7.52192 -6.72999 0.5148625,-7.108288 -6.123868 0.7924592,-6.714983 -5.861143 1.088871,-7.857459 -4.936288 0.3213731,-7.69228 -3.759209 0.5379464,-7.638864 -3.050139 0.7319921,-7.602498 -2.436453 0.856568,-8.222789 -4.736254 0.383721,-8.08721 -3.357149 0.6063154,-8.014653 -2.532485 0.8454471,-7.958535 -1.815171 1.014428,-8.583236 -4.810009 0.4678146,-8.512707 -3.529342 0.7060363,-8.459351 -2.743791 0.9146653,-8.398902 -2.046889 1.055604,-8.951623 -5.111185 0.5746702,-9.024467 -4.157547 0.8174357,-9.046261 -3.533479 0.9786767,-9.043871 -2.919871 1.083844,0.110,37  0
-2.112514 -7.796594 0.04898165,-2.76992 -7.583123 0.3667403,-3.355402 -7.033514 0.5880142,-3.798527 -6.467136 0.8160994,-4.191431 -6.156717 1.117559,-3.037365 -5.244108 0.2455187,-3.326246 -4.199447 0.4608042,-3.490141 -3.552401 0.643024,-3.619828 -2.950226 0.7961656,-2.693591 -4.957074 0.288839,-2.909546 -3.73059 0.4392342,-2.909546 -3.73059 0.4392342,-3.128696 -2.255308 0.7889337,-2.324588 -4.958257 0.3877827,-2.420247 -3.768795 0.5687606,-2.483332 -2.986169 0.7836697,-2.564644 -2.322967 0.9714119,-1.933514 -5.212995 0.5218111,-1.821726 -4.330892 0.7142818,-1.752186 -3.735074 0.8906214,-1.709447 -3.184293 1.039521,-8.689955 -7.703815 0.01079138,-8.051252 -7.396921 0.3334982,-7.516492 -6.742696 0.5912575,-7.110138 -6.133255 0.8734305,-6.728617 -5.853876 1.173323,-7.864552 -4.93331 0.350799,-7.695519 -3.764351 0.5560465,-7.63393 -3.054395 0.7475532,-7.59159 -2.438016 0.8686345,-8.23212 -4.736772 0.3929773,-8.10537 -3.369314 0.6026999,-8.027147 -2.556695 0.8440229,-7.967922 -1.840225 1.015181,-8.594273 -4.819103 0.4643238,-8.531516 -3.548841 0.6877797,-8.467391 -2.767025 0.8993218,-8.395949 -2.079421 1.042141,-8.968518 -5.128067 0.556578,-9.038534 -4.184618 0.7898055,-9.040994 -3.559817 0.9617455,-9.01355 -2.955118 1.071463,0.210,37  0
-2.115131 -7.791919 -0.03795412,-2.778779 -7.583324 0.3047113,-3.366673 -7.031538 0.5290011,-3.817377 -6.446517 0.7475841,-4.206249 -6.114381 1.02529,-3.030484 -5.267197 0.2005187,-3.307566 -4.202646 0.4101305,-3.452215 -3.550606 0.5878544,-3.564306 -2.953382 0.7377748,-2.68345 -4.976264 0.2136812,-2.889706 -3.7369 0.3693012,-2.889706 -3.7369 0.3693012,-3.090313 -2.264387 0.700583,-2.313267 -4.973209 0.2846261,-2.411511 -3.779477 0.4637064,-2.477652 -2.993738 0.6680539,-2.564256 -2.333845 0.8484292,-1.919672 -5.230072 0.3909715,-1.809346 -4.349617 0.576396,-1.741589 -3.760924 0.7518398,-1.701908 -3.220842 0.9027702,-8.695683 -7.696676 -0.007552767,-8.064056 -7.379814 0.3041708,-7.52889 -6.726205 0.5564797,-7.119197 -6.123334 0.8347604,-6.733867 -5.849199 1.130442,-7.861009 -4.931346 0.3312449,-7.687 -3.769646 0.5411676,-7.625835 -3.063514 0.7334316,-7.582088 -2.443469 0.8516728,-8.227968 -4.737584 0.3829358,-8.097673 -3.36333 0.5964302,-8.022674 -2.54924 0.8351508,-7.961597 -1.828771 0.9987864,-8.590032 -4.819128 0.4618181,-8.528266 -3.53651 0.6904046,-8.470668 -2.757943 0.9044271,-8.402831 -2.068204 1.045253,-8.96327 -5.124329 0.5622426,-9.032404 -4.183223 0.7992691,-9.043087 -3.556514 0.9687468,-9.026689 -2.946142 1.075263,0.310,37  0
-2.078127 -7.79544 -0.01739199,-2.737171 -7.627212 0.3278747,-3.334907 -7.101192 0.5557857,-3.776815 -6.530916 0.7800074,-4.142413 -6.162969 1.055675,-3.021656 -5.303417 0.20745,-3.303627 -4.270305 0.4573854,-3.445067 -3.645081 0.657856,-3.553132 -3.066255 0.8137953,-2.674734 -4.981184 0.2517326,-2.874559 -3.746105 0.4205172,-2.874559 -3.746105 0.4205172,-3.071711 -2.252923 0.7955821,-2.304995 -4.96882 0.3605618,-2.391042 -3.761677 0.5542243,-2.457401 -2.980644 0.7878609,-2.542862 -2.324909 0.9897785,-1.90682 -5.221332 0.5056948,-1.792488 -4.328958 0.6989288,-1.739233 -3.746067 0.8807316,-1.71854 -3.222223 1.0372,-8.724222 -7.703031 -0.07142574,-8.086578 -7.417528 0.2686751,-7.548853 -6.756248 0.5249892,-7.135077 -6.127822 0.7945354,-6.739532 -5.8474 1.080084,-7.880198 -4.977846 0.3155211,-7.706556 -3.794921 0.5289193,-7.647078 -3.074499 0.720293,-7.607388 -2.457695 0.8432241,-8.243766 -4.767783 0.3419656,-8.108862 -3.376571 0.5770931,-8.035465 -2.549198 0.8292422,-7.978581 -1.815367 1.01371,-8.602631 -4.829126 0.3957979,-8.528172 -3.54588 0.6339756,-8.469752 -2.762269 0.8398423,-8.406378 -2.075239 0.9813734,-8.975783 -5.111456 0.4712695,-9.048326 -4.1745 0.7020241,-9.07122 -3.565731 0.8591502,-9.069228 -2.976107 0.9655809,0.410,37  0
-2.102074 -7.828159 0.03593401,-2.748276 -7.637819 0.3837219,-3.334038 -7.128806 0.6178155,-3.758575 -6.557649 0.8529959,-4.109674 -6.167459 1.137754,-3.017107 -5.29173 0.2435083,-3.292924 -4.238688 0.4994117,-3.447404 -3.604773 0.7102935,-3.570016 -3.022244 0.8658646,-2.671723 -4.99149 0.2916893,-2.864389 -3.741279 0.4644655,-2.864389 -3.741279 0.4644655,-3.068993 -2.248724 0.8416309,-2.299648 -4.991186 0.3991801,-2.37903 -3.781016 0.5902144,-2.439134 -3.003763 0.816465,-2.518251 -2.358869 1.011418,-1.902522 -5.243011 0.5501598,-1.776518 -4.342189 0.7401588,-1.712296 -3.746904 0.9261704,-1.678054 -3.204026 1.081314,-8.714281 -7.722602 -0.07402185,-8.084247 -7.438705 0.2870252,-7.549403 -6.772542 0.5669405,-7.137394 -6.144075 0.8606173,-6.738401 -5.852952 1.171873,-7.884562 -4.999 0.3653845,-7.717621 -3.808853 0.6072542,-7.662357 -3.085936 0.8136309,-7.625804 -2.46153 0.9457632,-8.251355 -4.794666 0.4012479,-8.119039 -3.401145 0.6590487,-8.046409 -2.566133 0.9238877,-7.993402 -1.831042 1.115931,-8.61312 -4.856339 0.4648914,-8.538611 -3.565643 0.7315127,-8.479677 -2.772174 0.9519701,-8.417606 -2.077275 1.102536,-8.98986 -5.140062 0.5518311,-9.061766 -4.192604 0.8014388,-9.085467 -3.576369 0.9640642,-9.085421 -2.975121 1.071184,0.510,37  0
-2.075762 -7.896497 0.1544912,-2.724524 -7.713893 0.4959663,-3.309943 -7.174629 0.7185768,-3.725832 -6.573938 0.9380991,-4.070826 -6.15465 1.20674,-2.990684 -5.330637 0.3533476,-3.275251 -4.301266 0.5846218,-3.422882 -3.666146 0.7716123,-3.530464 -3.066173 0.9188271,-2.642567 -5.023662 0.3989727,-2.830432 -3.770284 0.5560914,-2.830432 -3.770284 0.5560914,-3.010284 -2.271322 0.937939,-2.272693 -5.022974 0.5077146,-2.338207 -3.814384 0.6883312,-2.391103 -3.029967 0.9289421,-2.457341 -2.36924 1.14376,-1.882887 -5.283622 0.6557452,-1.757394 -4.390411 0.8381409,-1.693274 -3.791018 1.027433,-1.660068 -3.250324 1.191633,-8.723213 -7.744043 -0.102509,-8.095527 -7.447561 0.2770375,-7.563595 -6.782592 0.5568863,-7.152306 -6.160154 0.8472109,-6.755976 -5.866814 1.153759,-7.904481 -5.020368 0.3462879,-7.737782 -3.848258 0.6012238,-7.683323 -3.134245 0.8191029,-7.650402 -2.505723 0.9598721,-8.276649 -4.822077 0.373997,-8.153153 -3.446469 0.6321262,-8.09188 -2.61189 0.906405,-8.05119 -1.864548 1.113836,-8.642059 -4.892262 0.4342151,-8.576119 -3.618917 0.7004688,-8.528863 -2.835927 0.9248847,-8.481294 -2.144266 1.083633,-9.023054 -5.182775 0.5190639,-9.097968 -4.254892 0.7722983,-9.128008 -3.650954 0.9379671,-9.135586 -3.055478 1.052989,0.610,37  0
-2.085061 -7.935308 0.1617991,-2.727554 -7.716579 0.5145037,-3.302273 -7.161228 0.7429002,-3.709454 -6.566436 0.9678861,-4.049297 -6.166996 1.248022,-2.9729 -5.351081 0.3986098,-3.259671 -4.306463 0.6498522,-3.40811 -3.665883 0.8458558,-3.519009 -3.069251 0.9980853,-2.621114 -5.057597 0.4410056,-2.809782 -3.777969 0.6094677,-2.809782 -3.777969 0.6094677,-2.995539 -2.26287 0.9917062,-2.249223 -5.064022 0.5466446,-2.309774 -3.831179 0.7366213,-2.365475 -3.037593 0.9767926,-2.438945 -2.377069 1.187738,-1.859724 -5.327058 0.6917275,-1.730825 -4.417057 0.8821146,-1.667594 -3.810548 1.075199,-1.636495 -3.263722 1.239881,-8.719155 -7.74526 -0.1116246,-8.096661 -7.451421 0.2697345,-7.571505 -6.793443 0.5501949,-7.170502 -6.167799 0.8404458,-6.780517 -5.876413 1.1464,-7.913463 -5.025266 0.3319204,-7.744473 -3.856599 0.5929207,-7.689929 -3.148525 0.8077588,-7.658065 -2.521532 0.9414408,-8.286481 -4.824295 0.3672418,-8.165806 -3.447992 0.6236348,-8.107444 -2.611636 0.8963794,-8.070636 -1.869396 1.098148,-8.651994 -4.896093 0.4375372,-8.591162 -3.624903 0.7123353,-8.547455 -2.840102 0.9458295,-8.500257 -2.146834 1.106309,-9.031348 -5.191226 0.5332469,-9.111042 -4.261788 0.8015002,-9.143318 -3.649786 0.9802731,-9.148944 -3.046125 1.100592,0.710,37  0
-2.049236 -7.944688 0.1568395,-2.682806 -7.731031 0.5291824,-3.262633 -7.183599 0.7711941,-3.669626 -6.578128 1.010025,-4.015733 -6.173988 1.301632,-2.941658 -5.376037 0.4208686,-3.242001 -4.342288 0.6780192,-3.399128 -3.724901 0.8666937,-3.520405 -3.140699 1.009492,-2.583213 -5.070113 0.4566054,-2.779621 -3.800453 0.6288404,-2.779621 -3.800453 0.6288404,-2.970341 -2.290276 1.003071,-2.209895 -5.071954 0.5577753,-2.263171 -3.868009 0.7519814,-2.304996 -3.089588 1.005134,-2.366933 -2.422935 1.227184,-1.822713 -5.333978 0.6972547,-1.70183 -4.433244 0.8919349,-1.634316 -3.841353 1.096954,-1.600539 -3.293344 1.274096,-8.714739 -7.711971 -0.140426,-8.100043 -7.405311 0.2359495,-7.587982 -6.725996 0.5296007,-7.209856 -6.101583 0.83652,-6.828539 -5.795331 1.158277,-7.942417 -4.994422 0.3503547,-7.788705 -3.820037 0.6425196,-7.746828 -3.122683 0.8767548,-7.725594 -2.479025 1.034782,-8.324161 -4.805255 0.4054307,-8.224859 -3.430011 0.6988105,-8.180428 -2.589787 0.9979333,-8.157197 -1.840445 1.227859,-8.691381 -4.884315 0.4924259,-8.651073 -3.61599 0.7985651,-8.617743 -2.831244 1.061616,-8.580347 -2.131553 1.251614,-9.068188 -5.18407 0.601249,-9.157442 -4.25308 0.8979605,-9.195686 -3.641789 1.096114,-9.210743 -3.02996 1.236164,0.810,37  0
-2.033524 -7.972484 0.1850355,-2.660881 -7.763291 0.5589632,-3.239967 -7.188932 0.7925572,-3.654045 -6.576293 1.024623,-3.993765 -6.156564 1.312461,-2.915053 -5.387638 0.4290592,-3.211084 -4.353204 0.681081,-3.369078 -3.730896 0.8672004,-3.486942 -3.135738 1.01,-2.559633 -5.085876 0.4608504,-2.748147 -3.807849 0.6375175,-2.748147 -3.807849 0.6375175,-2.930962 -2.306105 0.9957974,-2.191473 -5.087612 0.5638417,-2.252645 -3.865504 0.7633373,-2.308895 -3.086431 1.0118,-2.380979 -2.422004 1.225562,-1.807883 -5.355281 0.7057379,-1.681133 -4.457044 0.9058065,-1.614782 -3.860182 1.107798,-1.581266 -3.306194 1.275571,-8.750959 -7.636341 -0.1673958,-8.134423 -7.31435 0.1962711,-7.615726 -6.637612 0.4698129,-7.233541 -6.031783 0.7661154,-6.846907 -5.713768 1.070485,-7.97653 -4.909657 0.2530837,-7.823075 -3.744282 0.5185124,-7.778164 -3.05497 0.7382911,-7.755523 -2.431541 0.8833318,-8.360695 -4.72483 0.3061373,-8.280247 -3.37868 0.5598173,-8.25305 -2.580695 0.8286852,-8.242124 -1.882699 1.026555,-8.723973 -4.800342 0.3924596,-8.69165 -3.549045 0.6720373,-8.670778 -2.792963 0.9109759,-8.639095 -2.115654 1.076453,-9.095329 -5.090692 0.5037897,-9.185241 -4.176776 0.7672784,-9.226709 -3.578051 0.9333081,-9.240957 -2.977496 1.048542,0.910,37  0
