WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-1.852684 -8.135954 -0.01407967,-2.509979 -7.877227 0.4140479,-3.077613 -7.174327 0.6509441,-3.456366 -6.485738 0.8612458,-3.726969 -5.962297 1.087245,-2.579875 -5.341819 0.3686098,-2.811041 -4.168161 0.6251782,-2.93012 -3.472791 0.813808,-3.017065 -2.805807 0.9740967,-2.184079 -5.121152 0.3893715,-2.289496 -3.757577 0.6369035,-2.289496 -3.757577 0.6369035,-2.382342 -2.120181 1.11198,-1.791086 -5.196121 0.491932,-1.813201 -3.915033 0.7344602,-1.861382 -3.075703 0.9989738,-1.919813 -2.353947 1.242679,-1.387167 -5.536502 0.6274561,-1.229057 -4.552299 0.8349006,-1.141642 -3.915115 1.054085,-1.084217 -3.300148 1.266567,-8.36254 -8.119164 -0.0117495,-7.684497 -7.726558 0.1760749,-7.112379 -6.942045 0.3752415,-6.683998 -6.283126 0.6063262,-6.291587 -6.001674 0.8431959,-7.656952 -5.150444 0.2901227,-7.555429 -3.869184 0.4950022,-7.533514 -3.095497 0.6723912,-7.51668 -2.409957 0.8054118,-8.065223 -4.990375 0.371331,-7.976893 -3.4948 0.582063,-7.940195 -2.54147 0.8301045,-7.916799 -1.725394 1.046829,-8.457481 -5.096744 0.449812,-8.406424 -3.710304 0.6480324,-8.373032 -2.811233 0.8376561,-8.330796 -2.044485 0.9929399,-8.844767 -5.437095 0.5362593,-8.956896 -4.398862 0.7199844,-9.009715 -3.748895 0.8677764,-9.028231 -3.120267 0.9863782,0.010,28  0
-1.865134 -8.134829 -0.02086337,-2.521018 -7.869129 0.4083179,-3.083672 -7.160469 0.6457399,-3.456519 -6.458121 0.8532846,-3.732669 -5.935694 1.078204,-2.584646 -5.350013 0.3795615,-2.817055 -4.179454 0.6372553,-2.935879 -3.477749 0.8273848,-3.021493 -2.805278 0.9908286,-2.189098 -5.123004 0.3957764,-2.299222 -3.763044 0.6448782,-2.299222 -3.763044 0.6448782,-2.4 -2.126997 1.109932,-1.79818 -5.194665 0.4941052,-1.820136 -3.904686 0.7422524,-1.867195 -3.061428 1.009936,-1.924189 -2.332078 1.2589,-1.396762 -5.536216 0.6231861,-1.238759 -4.552381 0.8320634,-1.152645 -3.91624 1.053735,-1.095867 -3.302495 1.271216,-8.34564 -8.118023 0.01419361,-7.67547 -7.728704 0.1866508,-7.111526 -6.933969 0.3743476,-6.68619 -6.282255 0.6007202,-6.292622 -6.003309 0.8368112,-7.663419 -5.134294 0.2590984,-7.558787 -3.870933 0.4450946,-7.536388 -3.105985 0.6212553,-7.519571 -2.425336 0.7587961,-8.067118 -4.975117 0.3548952,-7.979462 -3.489291 0.5420429,-7.945482 -2.544013 0.7927158,-7.923328 -1.741074 1.013452,-8.45382 -5.085321 0.4506711,-8.406362 -3.709555 0.6395003,-8.372502 -2.809532 0.840032,-8.32762 -2.043076 1.003332,-8.836559 -5.432657 0.5551381,-8.948133 -4.403286 0.7425513,-8.998308 -3.750543 0.8924305,-9.014633 -3.123878 1.012994,0.110,28  0
-1.870768 -8.099247 -0.1240825,-2.523403 -7.840457 0.319695,-3.083761 -7.148744 0.5618909,-3.461329 -6.447508 0.763269,-3.741245 -5.934574 0.9717065,-2.579652 -5.346254 0.3334152,-2.816651 -4.176342 0.6093069,-2.930966 -3.481552 0.8074976,-3.016399 -2.804206 0.9818964,-2.189384 -5.123 0.3347154,-2.303617 -3.774658 0.606571,-2.303617 -3.774658 0.606571,-2.396291 -2.162101 1.085265,-1.803171 -5.199062 0.4144738,-1.8248 -3.915263 0.6766499,-1.86981 -3.089842 0.9467804,-1.927825 -2.362251 1.200596,-1.402713 -5.54336 0.5243888,-1.24147 -4.559387 0.7405711,-1.146426 -3.930416 0.9716146,-1.075793 -3.310678 1.193346,-8.413222 -8.078646 -0.4577507,-7.683025 -7.705785 -0.459902,-7.113932 -6.986457 -0.3503156,-6.676423 -6.307609 -0.2301255,-6.294004 -6.027468 -0.1128249,-7.678357 -5.25807 -0.1886151,-7.560526 -3.883852 -0.09889936,-7.54644 -3.064283 -0.000884831,-7.531248 -2.396783 0.07476616,-8.107973 -5.066982 -0.1919012,-7.99218 -3.50448 -0.08298677,-7.951666 -2.510674 0.06197453,-7.925366 -1.733471 0.2131371,-8.51344 -5.131113 -0.2523651,-8.4233 -3.721149 -0.2022462,-8.382113 -2.786858 -0.1145069,-8.338817 -2.04873 -0.0301331,-8.893587 -5.416549 -0.3301378,-8.978304 -4.359687 -0.3278623,-9.02433 -3.723922 -0.2799275,-9.03486 -3.145643 -0.21921,0.210,28  0
-1.907041 -8.044107 -0.4030467,-2.566592 -7.792514 0.08219075,-3.117318 -7.130788 0.3501528,-3.481608 -6.437767 0.5602454,-3.765627 -5.907148 0.7818636,-2.573812 -5.373449 0.1846389,-2.801189 -4.180498 0.4981477,-2.919815 -3.471022 0.7073084,-3.008871 -2.794928 0.8763378,-2.175615 -5.164137 0.1696057,-2.276111 -3.815316 0.4983915,-2.276111 -3.815316 0.4983915,-2.367215 -2.180271 0.9702173,-1.786398 -5.251435 0.2283082,-1.801991 -3.977546 0.5368284,-1.85358 -3.13401 0.8135766,-1.909329 -2.396434 1.0682,-1.389503 -5.597921 0.315181,-1.219937 -4.614797 0.5646401,-1.129706 -3.970628 0.8068645,-1.060841 -3.342608 1.03967,-8.403775 -8.060274 -0.4832427,-7.687222 -7.722629 -0.5095271,-7.125517 -7.004547 -0.4137723,-6.70332 -6.314998 -0.30616,-6.32154 -6.026165 -0.2038933,-7.697527 -5.242131 -0.275251,-7.578717 -3.85111 -0.2097938,-7.561738 -3.019965 -0.1092604,-7.544916 -2.350801 -0.02744067,-8.124755 -5.048444 -0.2813831,-8.012118 -3.482975 -0.2069969,-7.969993 -2.487888 -0.07525024,-7.945717 -1.728928 0.06610632,-8.527597 -5.112792 -0.3474174,-8.440784 -3.702707 -0.326504,-8.396859 -2.775901 -0.2469855,-8.349007 -2.054435 -0.1719449,-8.90058 -5.40192 -0.4297976,-8.98297 -4.350686 -0.454909,-9.027862 -3.721456 -0.417863,-9.034074 -3.151663 -0.3584671,0.310,28  0
-1.924772 -8.012804 -0.4485021,-2.579178 -7.761384 0.01545444,-3.118438 -7.087041 0.2727014,-3.480732 -6.413417 0.4789849,-3.766805 -5.9031 0.6961102,-2.570523 -5.345604 0.1187452,-2.789521 -4.155807 0.4158896,-2.914217 -3.453932 0.6084492,-3.012232 -2.794902 0.7655849,-2.175903 -5.142505 0.1140836,-2.270677 -3.808275 0.4312131,-2.270677 -3.808275 0.4312131,-2.377542 -2.206292 0.8771582,-1.788471 -5.238984 0.1833875,-1.800661 -3.960966 0.4926224,-1.848974 -3.111514 0.7710005,-1.904158 -2.37636 1.029768,-1.393441 -5.605857 0.2805605,-1.22204 -4.624984 0.5300719,-1.128613 -3.972944 0.7768399,-1.053673 -3.341095 1.014099,-8.387116 -8.059097 -0.4973909,-7.681438 -7.707441 -0.5171229,-7.1296 -6.988273 -0.4197629,-6.708983 -6.300991 -0.3098686,-6.32325 -6.019044 -0.200357,-7.711144 -5.239181 -0.2845391,-7.587636 -3.860233 -0.2118542,-7.562266 -3.032097 -0.09833437,-7.537855 -2.358007 -0.001568377,-8.134306 -5.048924 -0.2963737,-8.021711 -3.496906 -0.2210199,-7.978113 -2.500822 -0.07771069,-7.952871 -1.734079 0.07241726,-8.530252 -5.11427 -0.3673798,-8.440909 -3.711671 -0.3485739,-8.394643 -2.783594 -0.2590206,-8.345773 -2.056403 -0.1756918,-8.895385 -5.40238 -0.4548265,-8.971672 -4.354982 -0.4810274,-9.011617 -3.72714 -0.4371863,-9.014059 -3.16068 -0.3736968,0.410,28  0
-1.921846 -8.029016 -0.3489123,-2.58014 -7.808882 0.1113546,-3.124589 -7.107997 0.3518609,-3.486683 -6.417222 0.5411654,-3.773347 -5.90602 0.744347,-2.585728 -5.335597 0.1491374,-2.803039 -4.166546 0.4248466,-2.920858 -3.462286 0.6130271,-3.009872 -2.797374 0.7723053,-2.183523 -5.11856 0.1479986,-2.276932 -3.788095 0.4261205,-2.276932 -3.788095 0.4261205,-2.371776 -2.176147 0.8766925,-1.790955 -5.208244 0.2245985,-1.803201 -3.926054 0.4981616,-1.850438 -3.086108 0.7745868,-1.904188 -2.364576 1.033952,-1.393171 -5.569234 0.3316767,-1.224349 -4.59047 0.5618442,-1.133068 -3.952265 0.8023504,-1.065205 -3.336239 1.038597,-8.391129 -8.039989 -0.5674709,-7.685881 -7.699497 -0.5476303,-7.137712 -6.986441 -0.419695,-6.717484 -6.304355 -0.2947362,-6.336835 -6.019627 -0.1759034,-7.720846 -5.253426 -0.2188346,-7.591752 -3.862164 -0.1132451,-7.566935 -3.034244 0.001547337,-7.544766 -2.356565 0.0990774,-8.147419 -5.06002 -0.2437468,-8.027765 -3.498363 -0.1261582,-7.977541 -2.499626 0.02150989,-7.948584 -1.726241 0.1795251,-8.54344 -5.121873 -0.3338694,-8.45155 -3.706236 -0.2806641,-8.400527 -2.774887 -0.1822297,-8.350322 -2.04553 -0.09002757,-8.904946 -5.402977 -0.4392681,-8.979846 -4.346237 -0.4434552,-9.018187 -3.719004 -0.389995,-9.022258 -3.150739 -0.3167885,0.510,28  0
-1.899564 -8.029169 -0.3280783,-2.553679 -7.79915 0.1317968,-3.111429 -7.104112 0.3800011,-3.488614 -6.417348 0.573961,-3.78606 -5.917394 0.7785431,-2.585913 -5.343675 0.1987056,-2.806512 -4.174787 0.4876041,-2.929013 -3.46356 0.6878452,-3.024929 -2.792106 0.8552001,-2.184093 -5.120328 0.2001517,-2.283528 -3.78806 0.4947636,-2.283528 -3.78806 0.4947636,-2.385675 -2.163926 0.9531232,-1.789937 -5.204536 0.2774842,-1.804903 -3.921078 0.5714459,-1.852068 -3.074203 0.8549435,-1.908093 -2.343915 1.116165,-1.387971 -5.56389 0.3839305,-1.22045 -4.587513 0.6256777,-1.126165 -3.945971 0.8721515,-1.053586 -3.322786 1.10952,-8.397383 -8.062199 -0.5679809,-7.685829 -7.714029 -0.540681,-7.125134 -6.99315 -0.4176018,-6.701413 -6.321199 -0.2762762,-6.336565 -6.042846 -0.1387446,-7.681468 -5.263776 -0.2909439,-7.55991 -3.875524 -0.1647466,-7.539105 -3.043117 -0.03957671,-7.518779 -2.349458 0.0502398,-8.11046 -5.081731 -0.2886166,-8.008429 -3.529462 -0.1577001,-7.974198 -2.531821 0.01403964,-7.954217 -1.737516 0.1831521,-8.518278 -5.151712 -0.3363912,-8.43788 -3.74069 -0.272736,-8.406703 -2.80681 -0.1722842,-8.376218 -2.060152 -0.079871,-8.903064 -5.443178 -0.3961007,-8.98412 -4.364642 -0.3767343,-9.031254 -3.708985 -0.3172618,-9.048738 -3.099863 -0.2514904,0.610,28  0
-1.913505 -8.066151 -0.1575849,-2.557383 -7.827413 0.2957762,-3.099962 -7.109024 0.5298084,-3.468909 -6.415724 0.7231314,-3.769849 -5.910603 0.9240942,-2.574651 -5.314529 0.2963949,-2.79904 -4.153033 0.5704149,-2.922609 -3.448293 0.7643533,-3.016167 -2.779167 0.9322482,-2.176445 -5.095441 0.3101239,-2.271821 -3.776925 0.5793398,-2.271821 -3.776925 0.5793398,-2.376897 -2.163305 1.012584,-1.786819 -5.188795 0.4076124,-1.793724 -3.909622 0.6774095,-1.840545 -3.070667 0.9547009,-1.895991 -2.3465 1.208546,-1.389341 -5.561128 0.5389091,-1.217091 -4.59053 0.7716489,-1.122501 -3.944864 1.018332,-1.052066 -3.319812 1.253486,-8.395368 -8.01404 -0.6127745,-7.685616 -7.685266 -0.5751904,-7.12824 -6.971263 -0.4285607,-6.702802 -6.302829 -0.2742077,-6.335823 -6.014005 -0.1167568,-7.688737 -5.249848 -0.2860576,-7.562215 -3.871109 -0.1523043,-7.545435 -3.053497 -0.02467841,-7.531007 -2.376481 0.06053752,-8.11655 -5.051225 -0.2803954,-8.003315 -3.489827 -0.141939,-7.96551 -2.493425 0.01985425,-7.943423 -1.713665 0.1749026,-8.519092 -5.116392 -0.3298492,-8.435512 -3.689211 -0.2496764,-8.393944 -2.745221 -0.1343149,-8.354225 -2.000254 -0.03025901,-8.895445 -5.400035 -0.3915043,-8.979525 -4.339935 -0.3617879,-9.025784 -3.689679 -0.2882543,-9.039783 -3.099795 -0.2104047,0.710,28  0
-1.906159 -8.076618 -0.1431746,-2.54705 -7.81425 0.3003582,-3.094084 -7.102053 0.5423657,-3.466341 -6.418129 0.7409655,-3.754317 -5.918058 0.9443623,-2.574339 -5.321428 0.3351215,-2.80525 -4.156364 0.6205475,-2.92827 -3.448901 0.8152978,-3.019024 -2.778994 0.9801419,-2.178677 -5.10725 0.3530875,-2.281374 -3.770021 0.6324715,-2.281374 -3.770021 0.6324715,-2.387545 -2.155703 1.07118,-1.790521 -5.198737 0.4524057,-1.800742 -3.909614 0.7331142,-1.843816 -3.066086 1.007721,-1.898896 -2.341074 1.256658,-1.395984 -5.566019 0.583521,-1.223208 -4.588262 0.8160731,-1.125992 -3.942575 1.055537,-1.053356 -3.320902 1.279844,-8.426675 -8.008644 -0.6404634,-7.699424 -7.688499 -0.601012,-7.135847 -6.977726 -0.455084,-6.710004 -6.296192 -0.3067152,-6.344002 -5.991437 -0.156678,-7.691213 -5.262054 -0.292751,-7.561952 -3.87932 -0.1529374,-7.545845 -3.059194 -0.02472961,-7.533482 -2.38202 0.05587184,-8.12346 -5.057525 -0.2969605,-8.010219 -3.492541 -0.1587659,-7.971497 -2.492642 -0.002782106,-7.95225 -1.719492 0.1469,-8.530146 -5.117703 -0.3593243,-8.448561 -3.686855 -0.276859,-8.403893 -2.741722 -0.1628792,-8.364351 -2.004403 -0.06103742,-8.908389 -5.39643 -0.433632,-8.993507 -4.328214 -0.3981822,-9.037092 -3.670635 -0.320172,-9.049915 -3.077421 -0.2403121,0.810,28  0
-1.910268 -8.070721 -0.1452816,-2.555453 -7.809612 0.2976236,-3.105719 -7.087548 0.5366685,-3.480479 -6.401606 0.7341699,-3.774349 -5.909875 0.9386984,-2.580886 -5.31055 0.3103325,-2.805551 -4.146715 0.5966032,-2.930554 -3.443736 0.7914849,-3.027869 -2.779506 0.9580889,-2.186442 -5.098272 0.3261355,-2.286599 -3.767935 0.6022612,-2.286599 -3.767935 0.6022612,-2.399354 -2.154581 1.04149,-1.799585 -5.186409 0.4260106,-1.813497 -3.905283 0.6993765,-1.860858 -3.065008 0.9684327,-1.92064 -2.338316 1.209481,-1.402324 -5.551016 0.559128,-1.234073 -4.575283 0.7838122,-1.138567 -3.939583 1.01207,-1.068523 -3.320858 1.227993,-8.418475 -7.995765 -0.64145,-7.70647 -7.683036 -0.5796575,-7.145566 -6.977687 -0.428981,-6.721485 -6.306539 -0.2816177,-6.353886 -6.014286 -0.1365802,-7.708811 -5.249991 -0.2665721,-7.57175 -3.880069 -0.1179008,-7.552535 -3.064146 0.02692282,-7.535276 -2.379822 0.1299921,-8.135403 -5.04496 -0.2807413,-8.01728 -3.502393 -0.1377842,-7.979024 -2.515298 0.03355461,-7.958422 -1.735637 0.202203,-8.535563 -5.103162 -0.3495753,-8.446934 -3.694635 -0.2664548,-8.403084 -2.759761 -0.1429422,-8.35975 -2.01941 -0.02986044,-8.908238 -5.381871 -0.4271964,-8.993197 -4.342065 -0.4007772,-9.040003 -3.708923 -0.3257304,-9.052644 -3.130034 -0.2390965,0.910,28  0
