WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.002675 -7.097663 -0.02548455,-2.501931 -6.79897 0.3211378,-2.911578 -6.19103 0.5212047,-3.196829 -5.705104 0.6886115,-3.462793 -5.376844 0.8631901,-2.435113 -4.778412 0.3832868,-2.535239 -3.820248 0.6493784,-2.596315 -3.247487 0.841041,-2.650809 -2.732105 0.9856778,-2.112464 -4.695133 0.4101921,-2.131174 -3.619126 0.7079842,-2.131174 -3.619126 0.7079842,-2.165707 -2.309083 1.079569,-1.814738 -4.83184 0.4922356,-1.775928 -3.851066 0.7940098,-1.772142 -3.188593 1.004187,-1.783628 -2.619553 1.167215,-1.528401 -5.169473 0.6051549,-1.385311 -4.427629 0.8538168,-1.30688 -3.934174 1.030704,-1.259129 -3.450288 1.186572,-8.102064 -7.235202 0.003042672,-7.618674 -6.997578 0.3088793,-7.225088 -6.377679 0.5721266,-6.979855 -5.855409 0.836525,-6.741388 -5.495007 1.117109,-7.707721 -5.019197 0.43399,-7.68865 -4.115173 0.7067431,-7.703484 -3.569596 0.9161873,-7.725239 -3.067861 1.052794,-8.031243 -4.938306 0.4921566,-8.03651 -3.929775 0.7187992,-8.05394 -3.25794 0.9628923,-8.077934 -2.643702 1.171513,-8.332237 -5.088874 0.5700364,-8.359921 -4.13594 0.7854847,-8.384748 -3.487257 0.9901421,-8.403313 -2.909429 1.165652,-8.6321 -5.424623 0.6749263,-8.75155 -4.662762 0.86503,-8.825351 -4.165102 1.01019,-8.874599 -3.678222 1.147619,0.010,20  0
-1.997523 -7.102513 -0.02979256,-2.501944 -6.798966 0.3088285,-2.912619 -6.201873 0.5095097,-3.194062 -5.718408 0.6815369,-3.457646 -5.372901 0.8616314,-2.426812 -4.780265 0.3661219,-2.534005 -3.821879 0.6276275,-2.597687 -3.253417 0.8150123,-2.65337 -2.741349 0.957373,-2.104413 -4.70054 0.4029173,-2.121705 -3.623825 0.6939079,-2.121705 -3.623825 0.6939079,-2.153061 -2.328242 1.054566,-1.808302 -4.84173 0.4959762,-1.767313 -3.856699 0.7942806,-1.762315 -3.18899 1.004673,-1.773692 -2.616075 1.170075,-1.524423 -5.183259 0.6205392,-1.378992 -4.435871 0.8677786,-1.300906 -3.937343 1.04462,-1.256526 -3.453719 1.199634,-8.110735 -7.222499 -0.03764796,-7.625845 -6.992173 0.2732718,-7.228814 -6.390565 0.5486187,-6.981203 -5.876945 0.8156106,-6.747557 -5.514083 1.095561,-7.710186 -5.034886 0.4486744,-7.68849 -4.116374 0.7391821,-7.707901 -3.554885 0.9551604,-7.733905 -3.034513 1.097446,-8.035595 -4.948678 0.5005236,-8.033542 -3.935177 0.7551281,-8.052436 -3.254356 1.007339,-8.078646 -2.634809 1.220006,-8.339773 -5.092958 0.5685468,-8.361123 -4.129787 0.8010596,-8.38488 -3.467326 1.013817,-8.39902 -2.878979 1.193995,-8.64425 -5.42016 0.6591826,-8.757751 -4.649036 0.8577184,-8.827183 -4.144359 1.010867,-8.872301 -3.650984 1.153644,0.110,20  0
-2.016458 -7.137323 -0.009651903,-2.516341 -6.814146 0.3432541,-2.909156 -6.211281 0.5430006,-3.180317 -5.70804 0.7072234,-3.433087 -5.358448 0.8764967,-2.413367 -4.81547 0.4153819,-2.522466 -3.869254 0.6778535,-2.584194 -3.309675 0.8593344,-2.634623 -2.79235 0.9943591,-2.098705 -4.731031 0.4368077,-2.124146 -3.671676 0.740935,-2.124146 -3.671676 0.740935,-2.153291 -2.394638 1.106259,-1.812514 -4.870067 0.5141321,-1.769015 -3.8964 0.8235991,-1.766788 -3.232976 1.044469,-1.778632 -2.654953 1.216695,-1.537056 -5.212968 0.6248581,-1.389135 -4.483635 0.8749508,-1.312724 -3.988898 1.060185,-1.262355 -3.50456 1.221442,-8.059668 -7.246808 0.04843039,-7.594004 -6.999839 0.323766,-7.225365 -6.39653 0.57708,-6.998901 -5.877096 0.834419,-6.755295 -5.50004 1.18605,-7.713528 -5.023495 0.5036982,-7.698217 -4.10991 0.780605,-7.721358 -3.551141 0.9966184,-7.749162 -3.03334 1.140201,-8.035945 -4.939947 0.5573713,-8.040024 -3.92995 0.7919999,-8.059177 -3.250056 1.038607,-8.084273 -2.63415 1.247456,-8.338018 -5.093336 0.6291058,-8.359526 -4.127336 0.8495188,-8.382292 -3.460666 1.063115,-8.396387 -2.871605 1.241709,-8.641395 -5.434792 0.7276112,-8.754558 -4.659327 0.9178408,-8.822964 -4.153075 1.070013,-8.867224 -3.666084 1.207551,0.210,20  0
-2.022895 -7.143488 -0.06553428,-2.517913 -6.828361 0.2895211,-2.910242 -6.219684 0.4815741,-3.17517 -5.710264 0.6372483,-3.428444 -5.368799 0.7914166,-2.406249 -4.840983 0.3641173,-2.505476 -3.907777 0.6169355,-2.560477 -3.341194 0.798857,-2.604546 -2.812498 0.9348422,-2.088218 -4.752491 0.3785065,-2.115452 -3.695247 0.6812728,-2.115452 -3.695247 0.6812728,-2.142402 -2.395171 1.044976,-1.797773 -4.889324 0.4467428,-1.753059 -3.913736 0.7526612,-1.74719 -3.255594 0.9622661,-1.755706 -2.671474 1.129793,-1.515903 -5.229036 0.544948,-1.372765 -4.48943 0.7973926,-1.295543 -3.990039 0.9773318,-1.249701 -3.500927 1.134503,-8.060808 -7.268219 0.07007612,-7.597242 -7.025629 0.3429804,-7.227275 -6.412008 0.5865051,-7.001576 -5.880548 0.8367871,-6.760148 -5.567633 1.121075,-7.69811 -5.018081 0.4363157,-7.679223 -4.127594 0.6589318,-7.701822 -3.574042 0.8480091,-7.725364 -3.060239 0.9791039,-8.027066 -4.937086 0.4886051,-8.039745 -3.935485 0.665477,-8.060178 -3.25302 0.8858595,-8.079829 -2.640254 1.087955,-8.334188 -5.087644 0.5594957,-8.354736 -4.143421 0.7217216,-8.37874 -3.486845 0.8958317,-8.393974 -2.911091 1.04887,-8.631512 -5.430149 0.657443,-8.751008 -4.664931 0.8074468,-8.827291 -4.156067 0.9344059,-8.876634 -3.664033 1.054311,0.310,20  0
-2.015571 -7.137173 -0.07890688,-2.50944 -6.81941 0.301713,-2.905794 -6.216772 0.5126219,-3.171745 -5.718048 0.6868567,-3.416908 -5.377952 0.8635912,-2.401104 -4.843044 0.3926713,-2.495409 -3.915103 0.6588838,-2.550648 -3.350904 0.8390232,-2.596457 -2.821413 0.972568,-2.083266 -4.757299 0.4022184,-2.103097 -3.70295 0.7147002,-2.103097 -3.70295 0.7147002,-2.127004 -2.407875 1.077613,-1.795391 -4.899889 0.4688844,-1.744958 -3.928255 0.7877972,-1.738736 -3.269172 1.004547,-1.747174 -2.684118 1.178112,-1.51906 -5.246473 0.5669425,-1.37076 -4.522972 0.8245856,-1.292888 -4.027185 1.008867,-1.244969 -3.544958 1.166204,-8.06499 -7.264183 0.06375581,-7.601004 -7.010747 0.3472119,-7.230295 -6.417245 0.6118947,-7.001471 -5.904814 0.8797708,-6.765114 -5.590534 1.181614,-7.700875 -5.017152 0.4676549,-7.685768 -4.122509 0.7159002,-7.706242 -3.573534 0.9218159,-7.726821 -3.055503 1.061069,-8.028898 -4.942297 0.5214506,-8.046897 -3.93181 0.719894,-8.068089 -3.256643 0.9479287,-8.088192 -2.644479 1.148514,-8.335855 -5.099254 0.5950408,-8.365896 -4.147056 0.7752094,-8.389955 -3.491874 0.9606493,-8.406995 -2.914894 1.124673,-8.634758 -5.447576 0.6944379,-8.752865 -4.68397 0.8571154,-8.82647 -4.172273 0.9958586,-8.874842 -3.674646 1.126381,0.410,20  0
-2.016489 -7.146879 -0.08214869,-2.508663 -6.830808 0.2874397,-2.900371 -6.227548 0.4919918,-3.167854 -5.725051 0.6592341,-3.417379 -5.377271 0.8314703,-2.401086 -4.853357 0.3690656,-2.496394 -3.917981 0.6242318,-2.555761 -3.34873 0.8030037,-2.605843 -2.821624 0.938682,-2.081042 -4.763771 0.3783977,-2.099805 -3.709009 0.6731622,-2.099805 -3.709009 0.6731622,-2.123672 -2.411525 1.020609,-1.78926 -4.902383 0.442861,-1.742937 -3.929977 0.7437597,-1.739008 -3.273345 0.9522235,-1.745065 -2.694744 1.117973,-1.507568 -5.239213 0.5384438,-1.361732 -4.502962 0.782393,-1.283039 -4.006275 0.9595333,-1.230414 -3.521482 1.112516,-8.062676 -7.280902 0.06586999,-7.596087 -7.037709 0.3352171,-7.227851 -6.426466 0.5849217,-7.003795 -5.901449 0.8441139,-6.763469 -5.590641 1.138074,-7.703546 -5.028839 0.4502273,-7.687008 -4.133745 0.6845385,-7.706767 -3.591703 0.8783527,-7.72793 -3.080333 1.011823,-8.032649 -4.955764 0.5104201,-8.050787 -3.945974 0.6984787,-8.070817 -3.264238 0.9245011,-8.090998 -2.645132 1.125716,-8.339197 -5.113136 0.5891353,-8.369585 -4.164332 0.7605028,-8.393126 -3.507143 0.9429089,-8.410208 -2.925916 1.105124,-8.637374 -5.458675 0.6933191,-8.758146 -4.687788 0.855531,-8.834648 -4.171159 0.9922017,-8.886312 -3.668874 1.120467,0.510,20  0
-2.007895 -7.146536 -0.04024912,-2.499552 -6.825532 0.3506995,-2.896835 -6.229021 0.5735845,-3.167422 -5.732482 0.7564241,-3.42208 -5.378644 0.9433848,-2.399773 -4.845153 0.4570337,-2.490316 -3.909092 0.7267267,-2.543996 -3.341173 0.9143984,-2.591194 -2.815931 1.054438,-2.077784 -4.760693 0.4662318,-2.098437 -3.708333 0.7808079,-2.098437 -3.708333 0.7808079,-2.122686 -2.410232 1.145862,-1.783169 -4.903546 0.5307,-1.737236 -3.932603 0.8473174,-1.732252 -3.27597 1.065994,-1.739882 -2.688602 1.239682,-1.499824 -5.247346 0.6274772,-1.360038 -4.519638 0.8865442,-1.284734 -4.019572 1.072974,-1.236782 -3.529933 1.234105,-8.078468 -7.282869 0.09207587,-7.606426 -7.035799 0.3542566,-7.231053 -6.431236 0.5972997,-7.004242 -5.89966 0.8490219,-6.765566 -5.588403 1.132247,-7.699984 -5.03171 0.4550489,-7.68201 -4.147703 0.6772578,-7.707114 -3.60939 0.8634732,-7.734265 -3.103123 0.9898329,-8.029724 -4.945863 0.5119628,-8.047631 -3.947543 0.6844542,-8.070204 -3.269633 0.9047211,-8.091816 -2.65751 1.105337,-8.334664 -5.093147 0.5864826,-8.36766 -4.16036 0.7447941,-8.393614 -3.5145 0.920994,-8.411553 -2.94569 1.078857,-8.628616 -5.433774 0.6871636,-8.75289 -4.68152 0.8356561,-8.828581 -4.173387 0.9640828,-8.877797 -3.674982 1.085955,0.610,20  0
-2.009252 -7.152833 -0.09453227,-2.505747 -6.839651 0.2926597,-2.900405 -6.2363 0.5075332,-3.16758 -5.726372 0.6802647,-3.416353 -5.375762 0.8529035,-2.391045 -4.865122 0.3796972,-2.48605 -3.92996 0.6393435,-2.541242 -3.359309 0.8203389,-2.584826 -2.831995 0.9562145,-2.072169 -4.776147 0.3804972,-2.095152 -3.721748 0.6847128,-2.095152 -3.721748 0.6847128,-2.118104 -2.431462 1.038345,-1.782626 -4.917156 0.4381062,-1.734356 -3.948229 0.7470881,-1.730289 -3.292797 0.9584361,-1.739304 -2.710934 1.126388,-1.505406 -5.259859 0.5276052,-1.359096 -4.536634 0.7763854,-1.282892 -4.043331 0.9557027,-1.235086 -3.561178 1.111875,-8.071558 -7.29932 0.04802705,-7.602891 -7.060757 0.2870867,-7.232983 -6.444378 0.5170264,-7.011485 -5.906271 0.7574243,-6.776953 -5.592661 1.032758,-7.706895 -5.054731 0.3773043,-7.689232 -4.16419 0.5904637,-7.709518 -3.614975 0.7751365,-7.730786 -3.100924 0.9042096,-8.037143 -4.969944 0.4397773,-8.05595 -3.96534 0.6084719,-8.077097 -3.278338 0.8266985,-8.097264 -2.659583 1.024245,-8.344324 -5.121662 0.5196213,-8.373919 -4.173217 0.6727612,-8.399211 -3.511448 0.8449482,-8.416409 -2.92938 1.001867,-8.641619 -5.467367 0.6226159,-8.7693 -4.705934 0.7644565,-8.847697 -4.192838 0.891592,-8.899656 -3.695049 1.014668,0.710,20  0
-2.000881 -7.19318 -0.08667216,-2.496609 -6.868614 0.2975758,-2.891839 -6.270192 0.5094389,-3.155664 -5.762824 0.684939,-3.401276 -5.399156 0.8623852,-2.378943 -4.904929 0.3911403,-2.47719 -3.976902 0.6619107,-2.535754 -3.406958 0.8501826,-2.583105 -2.876674 0.9922024,-2.059141 -4.815961 0.3977357,-2.080667 -3.764677 0.7093609,-2.080667 -3.764677 0.7093609,-2.105527 -2.469697 1.074847,-1.769143 -4.958896 0.4601251,-1.722829 -3.989366 0.7734582,-1.719112 -3.333112 0.9933293,-1.728104 -2.75082 1.170734,-1.489323 -5.305904 0.5537565,-1.34535 -4.579797 0.811139,-1.272449 -4.085315 1.001007,-1.231973 -3.606214 1.163392,-8.094584 -7.321573 0.1012899,-7.626366 -7.0662 0.3650808,-7.255096 -6.456129 0.6211042,-7.027493 -5.922031 0.8843579,-6.791916 -5.605873 1.178987,-7.725325 -5.068026 0.4954895,-7.709266 -4.182697 0.7299652,-7.734856 -3.642615 0.9226291,-7.765717 -3.135789 1.052775,-8.055031 -4.987447 0.5519801,-8.081576 -3.98224 0.7392269,-8.110547 -3.301523 0.9664785,-8.140821 -2.684496 1.171177,-8.361621 -5.137146 0.6236995,-8.403191 -4.197746 0.7871404,-8.433293 -3.551093 0.9684026,-8.456271 -2.982519 1.132853,-8.659744 -5.478136 0.720166,-8.789476 -4.724359 0.8694505,-8.869449 -4.214841 0.9995413,-8.924376 -3.716448 1.125923,0.810,20  0
-1.996024 -7.21963 -0.06299526,-2.481167 -6.892538 0.318852,-2.871025 -6.294145 0.5304513,-3.13669 -5.797897 0.7078073,-3.380442 -5.450708 0.8859018,-2.364492 -4.919422 0.4299027,-2.460286 -3.989687 0.7021709,-2.510838 -3.423066 0.8959392,-2.550858 -2.891904 1.042636,-2.046945 -4.840198 0.4446201,-2.069295 -3.796402 0.7670662,-2.069295 -3.796402 0.7670662,-2.084562 -2.516094 1.144867,-1.75669 -4.98954 0.5152204,-1.712961 -4.022531 0.8384954,-1.704843 -3.376239 1.066745,-1.709519 -2.796319 1.247444,-1.475379 -5.343826 0.6155983,-1.33096 -4.61738 0.8862383,-1.252305 -4.125687 1.084612,-1.203908 -3.644753 1.253109,-8.083258 -7.330364 0.09240753,-7.623017 -7.075542 0.3803141,-7.263569 -6.471155 0.6509276,-7.052395 -5.944915 0.9253629,-6.820643 -5.622968 1.235077,-7.739213 -5.076578 0.5129709,-7.72225 -4.187979 0.7657723,-7.74611 -3.650844 0.9630187,-7.776408 -3.14024 1.092337,-8.07128 -5.002706 0.5642618,-8.096169 -4.001594 0.7714272,-8.125322 -3.324171 1.003751,-8.158173 -2.711745 1.205907,-8.381552 -5.161651 0.6369205,-8.422106 -4.218772 0.8115947,-8.456772 -3.570848 0.9927269,-8.487187 -2.999083 1.154306,-8.682943 -5.512533 0.7368724,-8.805992 -4.742925 0.8949402,-8.880777 -4.22924 1.032826,-8.933002 -3.734926 1.164233,0.910,20  0
