WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.240111 -9.114422 0.0004262077,-2.893044 -8.567026 0.006725759,-3.369296 -7.694459 -0.04696494,-3.70498 -6.835239 0.009830934,-4.024673 -6.325475 0.1316156,-3.024378 -6.157289 -0.437006,-3.278082 -5.078543 -0.3877673,-3.38789 -4.402421 -0.3557786,-3.463768 -3.77145 -0.3075344,-2.704135 -5.959638 -0.2642627,-2.85661 -4.681692 -0.2644398,-2.85661 -4.681692 -0.2644398,-2.994878 -3.157539 -0.02194813,-2.373079 -5.986571 -0.01446627,-2.428473 -4.737844 0.03029583,-2.503063 -3.976111 0.1877547,-2.585263 -3.32213 0.3266986,-2.007829 -6.23731 0.2735944,-1.927175 -5.302534 0.3639611,-1.920266 -4.686358 0.5373086,-1.932803 -4.110403 0.6899187,-8.365348 -8.863503 0.0004436994,-7.720099 -8.428154 0.1929125,-7.244441 -7.55685 0.3466874,-6.949166 -6.704897 0.5659156,-6.613455 -6.172416 0.8044198,-7.643579 -5.933523 -0.01090623,-7.487529 -4.759126 0.127106,-7.402728 -4.027657 0.3144119,-7.349298 -3.394208 0.4597969,-8.004091 -5.77831 0.08880541,-7.886653 -4.423818 0.1694633,-7.803988 -3.546023 0.4020877,-7.75082 -2.799617 0.5855537,-8.357393 -5.881082 0.2348487,-8.31393 -4.617919 0.3550876,-8.252458 -3.808149 0.5523993,-8.189033 -3.132324 0.7053547,-8.722894 -6.191623 0.4102544,-8.797541 -5.23792 0.5888489,-8.820213 -4.630466 0.7534154,-8.807404 -4.04039 0.8617456,0.010,5  0
-2.233164 -9.109688 -0.02297878,-2.889458 -8.571045 0.01187265,-3.379793 -7.707044 -0.01241335,-3.706557 -6.851982 0.06989754,-4.02429 -6.32329 0.2167624,-3.034077 -6.156582 -0.418684,-3.276432 -5.074415 -0.3516652,-3.387565 -4.401553 -0.3050405,-3.464308 -3.747771 -0.2427359,-2.705575 -5.959526 -0.2439469,-2.846932 -4.687183 -0.2242346,-2.846932 -4.687183 -0.2242346,-2.980811 -3.159465 0.04447289,-2.369143 -6.00051 0.007230127,-2.41467 -4.763753 0.0812966,-2.486826 -4.002325 0.2584747,-2.569801 -3.342165 0.4153625,-2.002439 -6.266674 0.3004376,-1.922259 -5.328075 0.4138421,-1.917882 -4.717172 0.604824,-1.935639 -4.137727 0.7730577,-8.378804 -8.879387 0.04779808,-7.73173 -8.445095 0.2433382,-7.253873 -7.554821 0.3926954,-6.956038 -6.704242 0.6077086,-6.608833 -6.184877 0.8326586,-7.643584 -5.94104 0.03686502,-7.489641 -4.764011 0.1816559,-7.408102 -4.028562 0.375394,-7.358143 -3.388931 0.5166667,-8.001598 -5.782443 0.1346594,-7.879402 -4.435481 0.2164269,-7.79663 -3.557174 0.444247,-7.74412 -2.806124 0.6251009,-8.352419 -5.881609 0.2825797,-8.311864 -4.617864 0.403274,-8.257395 -3.804651 0.6000178,-8.203466 -3.12168 0.7487726,-8.717693 -6.188622 0.4596839,-8.795603 -5.223409 0.6302021,-8.823146 -4.599557 0.7899899,-8.819959 -3.997838 0.8914742,0.110,5  0
-2.207161 -9.091635 -0.0520528,-2.886753 -8.571398 -0.06158127,-3.380775 -7.72207 -0.1229433,-3.71833 -6.87638 -0.07738335,-4.032743 -6.372453 0.01611248,-3.020943 -6.164135 -0.5157333,-3.27118 -5.118011 -0.4802877,-3.38423 -4.469066 -0.4622032,-3.467798 -3.851446 -0.4360587,-2.703372 -5.958708 -0.3363797,-2.852404 -4.711162 -0.32862,-2.852404 -4.711162 -0.32862,-2.981875 -3.191301 -0.09727034,-2.372633 -5.981189 -0.07986507,-2.429332 -4.756414 -0.03155331,-2.497883 -4.003572 0.122127,-2.569509 -3.346305 0.2490245,-2.005184 -6.224798 0.2141894,-1.923534 -5.291112 0.2951535,-1.903671 -4.68036 0.4507529,-1.895994 -4.10481 0.5904515,-8.382273 -8.890997 0.08443748,-7.736606 -8.444008 0.2588489,-7.252909 -7.564773 0.407689,-6.944996 -6.725627 0.6284907,-6.591584 -6.203027 0.8610992,-7.651822 -5.937042 0.07767707,-7.499249 -4.759086 0.2181786,-7.419022 -4.020575 0.4058125,-7.370137 -3.378644 0.5472341,-8.01052 -5.78338 0.1886196,-7.888997 -4.439281 0.2676299,-7.811264 -3.562075 0.4919028,-7.763054 -2.819369 0.6732786,-8.361415 -5.895734 0.3454769,-8.313128 -4.632307 0.4644869,-8.250765 -3.814728 0.6622682,-8.187593 -3.134866 0.8164787,-8.727575 -6.220019 0.5270114,-8.80371 -5.258724 0.7011153,-8.822926 -4.634378 0.8666147,-8.806361 -4.0391 0.9781235,0.210,5  0
-2.221351 -9.059893 -0.1727227,-2.892861 -8.533508 -0.1567103,-3.376627 -7.723213 -0.1899316,-3.699611 -6.885706 -0.1238113,-3.99959 -6.344707 -0.003167793,-3.033175 -6.162645 -0.5985271,-3.276479 -5.097623 -0.5560355,-3.392819 -4.439599 -0.5200189,-3.473886 -3.81356 -0.4737523,-2.708047 -5.958385 -0.4329258,-2.852361 -4.714057 -0.4456019,-2.852361 -4.714057 -0.4456019,-2.979671 -3.210957 -0.2314522,-2.370615 -5.994987 -0.1904054,-2.412897 -4.781835 -0.1555538,-2.476734 -4.033447 -0.003429934,-2.54626 -3.379964 0.1319636,-2.004711 -6.254236 0.0929108,-1.918127 -5.327213 0.1664563,-1.906765 -4.720855 0.3244525,-1.91126 -4.151548 0.4700354,-8.36372 -8.907299 0.08829159,-7.715046 -8.458582 0.3011602,-7.234012 -7.566481 0.4611178,-6.930104 -6.719137 0.6824181,-6.57794 -6.190782 0.9100666,-7.648201 -5.956678 0.1303637,-7.485625 -4.778665 0.2854469,-7.398874 -4.045864 0.4707033,-7.345745 -3.400478 0.6084993,-8.009633 -5.797994 0.2295965,-7.885218 -4.449237 0.3261772,-7.805825 -3.576067 0.5582888,-7.753666 -2.822978 0.748318,-8.35925 -5.907665 0.3750337,-8.310648 -4.641801 0.5108031,-8.248541 -3.828841 0.7138007,-8.185863 -3.136865 0.8729413,-8.721394 -6.23504 0.547438,-8.802057 -5.284818 0.7359175,-8.829396 -4.6648 0.9066105,-8.824285 -4.067888 1.022077,0.310,5  0
-2.23104 -9.061741 -0.1863952,-2.904145 -8.544073 -0.1914103,-3.375744 -7.722808 -0.237498,-3.691002 -6.883159 -0.1806892,-3.999418 -6.360464 -0.06878629,-3.036469 -6.168794 -0.6303665,-3.282074 -5.106332 -0.5864012,-3.400356 -4.447946 -0.5551351,-3.485069 -3.818607 -0.5111741,-2.712113 -5.963851 -0.4525402,-2.858199 -4.721324 -0.452691,-2.858199 -4.721324 -0.452691,-3.003999 -3.230274 -0.2459652,-2.37612 -5.995105 -0.1955548,-2.423364 -4.77173 -0.1522979,-2.49549 -4.016537 -0.008878514,-2.569003 -3.365869 0.1226497,-2.007766 -6.247442 0.09901813,-1.92293 -5.308207 0.1747308,-1.913039 -4.680947 0.3350492,-1.914946 -4.090466 0.4871436,-8.367621 -8.89484 0.08272716,-7.723871 -8.446207 0.2892553,-7.244974 -7.573061 0.4530983,-6.944954 -6.730932 0.6810365,-6.597451 -6.20567 0.9170994,-7.646717 -5.943256 0.1087808,-7.490032 -4.767505 0.2567922,-7.410917 -4.023571 0.4460885,-7.3637 -3.373991 0.5879055,-8.008219 -5.787096 0.209124,-7.883691 -4.445854 0.2997,-7.804331 -3.571241 0.5290975,-7.753563 -2.823431 0.715912,-8.361501 -5.89429 0.3563732,-8.309615 -4.630533 0.4789733,-8.24539 -3.82113 0.6805655,-8.184068 -3.13799 0.8326889,-8.729832 -6.214904 0.5302101,-8.808765 -5.267745 0.7058495,-8.8342 -4.652357 0.8696841,-8.829037 -4.051086 0.9752578,0.410,5  0
-2.246655 -9.03513 -0.3077148,-2.912837 -8.532568 -0.2482091,-3.381102 -7.742116 -0.2544329,-3.680483 -6.913864 -0.1755219,-3.979309 -6.364925 -0.05259135,-3.026338 -6.167488 -0.6353197,-3.268272 -5.101887 -0.5791608,-3.38575 -4.46503 -0.5265388,-3.47401 -3.851006 -0.4706637,-2.696906 -5.961587 -0.4887909,-2.83476 -4.704093 -0.4695898,-2.83476 -4.704093 -0.4695898,-2.981231 -3.21007 -0.2294681,-2.362741 -6.005228 -0.2694803,-2.398391 -4.776215 -0.2136095,-2.463155 -4.020752 -0.057172,-2.529681 -3.357555 0.090175,-2.00671 -6.278491 -0.01094288,-1.930524 -5.346361 0.07033521,-1.924047 -4.735953 0.2336637,-1.932635 -4.157478 0.3886397,-8.38588 -8.916424 0.077366,-7.728192 -8.461075 0.2504792,-7.235791 -7.598356 0.3932355,-6.917759 -6.751712 0.6041903,-6.57879 -6.203781 0.8174509,-7.649994 -5.969661 0.08087679,-7.491746 -4.793083 0.2172034,-7.410686 -4.058206 0.3939883,-7.356759 -3.414764 0.5246565,-8.009897 -5.81174 0.1911488,-7.883717 -4.46288 0.2641602,-7.803617 -3.586409 0.4951826,-7.747133 -2.84186 0.6802496,-8.363421 -5.923612 0.3431162,-8.304724 -4.655624 0.4567293,-8.241574 -3.841107 0.6589254,-8.174504 -3.161932 0.8137965,-8.73092 -6.251832 0.51642,-8.804737 -5.301189 0.6915615,-8.825846 -4.676198 0.8590785,-8.812496 -4.084541 0.9654248,0.510,5  0
-2.249462 -9.022219 -0.3534471,-2.904347 -8.509657 -0.3006054,-3.380421 -7.73604 -0.3029107,-3.6838 -6.906789 -0.2217695,-3.978172 -6.368683 -0.1037671,-3.023992 -6.172581 -0.6593602,-3.265395 -5.100553 -0.6014107,-3.381084 -4.454971 -0.5527989,-3.466276 -3.827088 -0.4990964,-2.694285 -5.959997 -0.5143358,-2.834115 -4.705606 -0.4836622,-2.834115 -4.705606 -0.4836622,-2.974673 -3.210323 -0.2426898,-2.358374 -5.992923 -0.3015876,-2.395112 -4.763122 -0.2298281,-2.457632 -4.005051 -0.06734976,-2.525926 -3.349716 0.08353722,-1.999558 -6.249729 -0.05192134,-1.920359 -5.304714 0.04203755,-1.912282 -4.697165 0.2135831,-1.924092 -4.124728 0.3711747,-8.386242 -8.900946 0.05039293,-7.722506 -8.445852 0.2357595,-7.228054 -7.588754 0.3807678,-6.916306 -6.744529 0.5940751,-6.598763 -6.17685 0.8107942,-7.640988 -5.965606 0.01114884,-7.488475 -4.797773 0.1367585,-7.413564 -4.064792 0.3117027,-7.363437 -3.427143 0.4377025,-8.000017 -5.803804 0.1131015,-7.88217 -4.460474 0.1713358,-7.806682 -3.580118 0.3916953,-7.751709 -2.837516 0.5710261,-8.353234 -5.905796 0.2611803,-8.307398 -4.645905 0.3622541,-8.253685 -3.826766 0.5560579,-8.194201 -3.143974 0.7043445,-8.719864 -6.226005 0.4346718,-8.808893 -5.283422 0.5945444,-8.836947 -4.663471 0.7473013,-8.827598 -4.07023 0.8420863,0.610,5  0
-2.254293 -9.026129 -0.4147289,-2.91209 -8.525215 -0.3881067,-3.377884 -7.732301 -0.4048075,-3.683755 -6.897731 -0.3388377,-3.989552 -6.347004 -0.2292524,-3.017984 -6.19462 -0.7465492,-3.259743 -5.121414 -0.693036,-3.38147 -4.474159 -0.6518226,-3.467291 -3.847244 -0.601207,-2.693002 -5.981132 -0.5835719,-2.834851 -4.734722 -0.552084,-2.834851 -4.734722 -0.552084,-2.978721 -3.22679 -0.3034418,-2.360709 -6.014188 -0.3518479,-2.400213 -4.777248 -0.2829396,-2.469766 -4.007599 -0.1187006,-2.53633 -3.337369 0.03606826,-2.004457 -6.276645 -0.08726311,-1.928777 -5.325063 0.009264201,-1.924634 -4.69181 0.183825,-1.931856 -4.092565 0.349412,-8.402512 -8.898769 0.0448283,-7.741416 -8.455046 0.2581303,-7.242167 -7.59162 0.4132202,-6.92651 -6.749822 0.6319872,-6.604228 -6.192735 0.8529146,-7.661007 -5.962543 0.03789362,-7.498944 -4.78445 0.1687529,-7.418157 -4.044382 0.3447812,-7.362491 -3.394211 0.4723523,-8.022558 -5.802791 0.1208488,-7.899738 -4.456602 0.1864019,-7.823927 -3.579398 0.4072716,-7.766615 -2.837041 0.5842205,-8.373983 -5.902933 0.2504782,-8.317851 -4.639419 0.3459829,-8.259498 -3.82373 0.5288338,-8.195389 -3.148708 0.6673331,-8.737856 -6.216543 0.4049168,-8.814356 -5.266597 0.5567162,-8.838026 -4.646312 0.7071876,-8.826017 -4.065077 0.7961028,0.710,5  0
-2.288856 -9.006165 -0.4234925,-2.937321 -8.504818 -0.3617497,-3.394305 -7.729889 -0.3538554,-3.685121 -6.911438 -0.266019,-3.984848 -6.349441 -0.1328639,-3.024942 -6.165758 -0.7256672,-3.264256 -5.099519 -0.6593508,-3.387144 -4.458667 -0.6034635,-3.476448 -3.841297 -0.542658,-2.697941 -5.958898 -0.5795442,-2.830301 -4.708433 -0.5461809,-2.830301 -4.708433 -0.5461809,-2.982809 -3.206108 -0.3001044,-2.369079 -5.999303 -0.3650197,-2.400545 -4.7816 -0.3007103,-2.468986 -4.020717 -0.1449879,-2.539971 -3.353134 0.002552897,-2.021138 -6.264539 -0.1119705,-1.941372 -5.334789 -0.02190086,-1.93197 -4.711233 0.1435882,-1.93642 -4.12393 0.3033137,-8.410169 -8.920919 0.05642929,-7.746881 -8.474693 0.2667648,-7.254418 -7.601471 0.418853,-6.943892 -6.744119 0.6349502,-6.615749 -6.191155 0.8581499,-7.67502 -5.979295 0.04524355,-7.519521 -4.796449 0.1683086,-7.441681 -4.0566 0.3413734,-7.386869 -3.40857 0.4668295,-8.035804 -5.820716 0.1241302,-7.917657 -4.465404 0.1788758,-7.842067 -3.590854 0.3887326,-7.784063 -2.851984 0.5582919,-8.388389 -5.923065 0.2508557,-8.329819 -4.649978 0.3408488,-8.267706 -3.835852 0.5176205,-8.20065 -3.16127 0.653217,-8.754266 -6.241453 0.4008213,-8.831177 -5.287628 0.5514758,-8.857602 -4.667591 0.7030584,-8.849529 -4.085294 0.7950292,0.810,5  0
-2.270869 -9.01903 -0.4039061,-2.919361 -8.555967 -0.3511893,-3.382032 -7.778961 -0.3520478,-3.672107 -6.952737 -0.2723902,-3.977976 -6.413913 -0.1388034,-3.049082 -6.19223 -0.7468663,-3.286283 -5.119075 -0.6940256,-3.40307 -4.469661 -0.6414763,-3.483347 -3.852745 -0.5756978,-2.722555 -5.974748 -0.6040173,-2.864674 -4.719109 -0.5827824,-2.864674 -4.719109 -0.5827824,-3.007376 -3.221381 -0.3396972,-2.389675 -6.010383 -0.3919035,-2.442761 -4.789306 -0.3437648,-2.521425 -4.039951 -0.1995342,-2.597879 -3.387307 -0.06140754,-2.033652 -6.277481 -0.1439355,-1.957487 -5.350194 -0.06793523,-1.951838 -4.728398 0.09182993,-1.957138 -4.147433 0.2354428,-8.418056 -8.942158 0.09972783,-7.754905 -8.48769 0.2751231,-7.266137 -7.599866 0.408033,-6.960787 -6.750114 0.6097581,-6.631426 -6.202508 0.8186104,-7.682546 -5.990061 0.07266429,-7.526168 -4.813188 0.1932229,-7.447375 -4.079349 0.3654191,-7.392145 -3.431386 0.4926826,-8.039304 -5.83023 0.1758757,-7.925752 -4.482458 0.2314572,-7.85076 -3.602251 0.444775,-7.792958 -2.855325 0.6183527,-8.390211 -5.929902 0.325298,-8.33949 -4.665342 0.4252363,-8.279619 -3.847844 0.6150671,-8.214711 -3.174543 0.7603922,-8.755816 -6.242342 0.4953397,-8.843684 -5.290876 0.6585596,-8.876903 -4.671731 0.8167872,-8.874548 -4.089881 0.9128401,0.910,5  0
