WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.659598 -7.877676 0.0003849319,-3.21315 -7.635673 0.2261962,-3.718494 -7.062602 0.3498235,-4.121916 -6.515515 0.4832991,-4.483601 -6.31547 0.6395136,-3.42563 -5.437382 0.09196506,-3.62097 -4.499435 0.226728,-3.703245 -3.906181 0.3525042,-3.758441 -3.33226 0.4926836,-3.124799 -5.221967 0.159383,-3.265293 -4.097135 0.3270168,-3.265293 -4.097135 0.3270168,-3.368481 -2.764196 0.664501,-2.813934 -5.229196 0.2748228,-2.892138 -4.144228 0.4397931,-2.956463 -3.485507 0.5946289,-3.013672 -2.884606 0.7290277,-2.481363 -5.448226 0.4318317,-2.418317 -4.623406 0.6033838,-2.386887 -4.098773 0.7381819,-2.361216 -3.571752 0.8525723,-8.509323 -7.894191 0.0006691883,-7.949864 -7.619993 0.1905669,-7.448962 -6.984874 0.3473885,-7.064587 -6.428096 0.5539131,-6.700417 -6.23277 0.7756984,-7.749487 -5.35244 0.0178869,-7.578193 -4.394676 0.1019046,-7.505106 -3.779129 0.2326112,-7.451264 -3.234752 0.3379678,-8.061195 -5.141073 0.07843475,-7.904612 -3.983774 0.1442546,-7.813521 -3.246617 0.3147779,-7.747436 -2.605216 0.4529529,-8.372839 -5.162525 0.1691256,-8.261812 -4.09965 0.2341091,-8.18 -3.435664 0.3331512,-8.10716 -2.872144 0.4042312,-8.696393 -5.38628 0.2945715,-8.703392 -4.589042 0.4004063,-8.68347 -4.089798 0.4835758,-8.661816 -3.631277 0.5341947,0.010,31  0
-2.670774 -7.870608 0.0007423306,-3.222586 -7.61717 0.2075402,-3.72164 -7.032524 0.3147833,-4.123274 -6.482368 0.4369228,-4.480247 -6.295326 0.5864333,-3.422622 -5.420739 0.05714852,-3.622391 -4.487596 0.1912187,-3.704507 -3.892326 0.3153105,-3.756729 -3.317053 0.4506036,-3.120911 -5.210817 0.1347815,-3.263079 -4.086568 0.2979344,-3.263079 -4.086568 0.2979344,-3.356506 -2.75791 0.6144705,-2.808331 -5.227138 0.2629047,-2.886185 -4.138784 0.4269507,-2.948628 -3.47849 0.5728918,-2.999073 -2.878547 0.6988316,-2.470836 -5.455579 0.4330818,-2.405849 -4.62033 0.5976688,-2.370262 -4.089547 0.7268747,-2.335804 -3.555818 0.8401296,-8.512349 -7.894788 0.02671493,-7.954435 -7.624315 0.2064461,-7.453248 -6.981922 0.3551097,-7.071566 -6.41901 0.5541599,-6.704244 -6.238029 0.7751401,-7.746557 -5.347126 0.02498111,-7.575812 -4.397347 0.1004905,-7.506844 -3.778665 0.2270433,-7.458253 -3.234067 0.3304162,-8.060427 -5.134294 0.08636642,-7.895329 -3.987297 0.1456337,-7.806965 -3.251989 0.3062935,-7.746473 -2.614786 0.434794,-8.373459 -5.149665 0.1775598,-8.259587 -4.099864 0.2366685,-8.183588 -3.444299 0.3234531,-8.114911 -2.887943 0.3846115,-8.698127 -5.368986 0.3033636,-8.701303 -4.578411 0.4044282,-8.682791 -4.088171 0.4844654,-8.658965 -3.638321 0.5320603,0.110,31  0
-2.662538 -7.883424 -0.05060689,-3.222114 -7.623178 0.1327801,-3.720633 -7.048277 0.2246985,-4.111759 -6.493621 0.3342088,-4.456951 -6.27054 0.4687911,-3.408773 -5.440084 -0.02837211,-3.618025 -4.496902 0.09844674,-3.705023 -3.899499 0.212837,-3.757351 -3.323251 0.3444048,-3.1105 -5.237194 0.06272709,-3.248837 -4.094139 0.2341065,-3.248837 -4.094139 0.2341065,-3.339223 -2.750849 0.5575504,-2.802688 -5.250532 0.2058903,-2.879422 -4.141102 0.3714948,-2.94472 -3.470158 0.5208777,-2.995142 -2.865994 0.6529539,-2.471754 -5.473976 0.3854751,-2.401736 -4.615727 0.5569517,-2.368175 -4.069641 0.6971793,-2.337467 -3.529499 0.8168828,-8.51005 -7.880619 -0.009436238,-7.943141 -7.590726 0.1288063,-7.446799 -6.987532 0.2650324,-7.062305 -6.448463 0.4560778,-6.696444 -6.27875 0.6718971,-7.741003 -5.334726 -0.06877027,-7.573667 -4.377401 -0.01748631,-7.503304 -3.757322 0.1008392,-7.44885 -3.213001 0.2051075,-8.055154 -5.130455 0.00193835,-7.892881 -3.980159 0.03651594,-7.805592 -3.246376 0.192009,-7.74234 -2.610872 0.3233224,-8.371095 -5.151563 0.1002303,-8.252264 -4.095626 0.1273736,-8.176346 -3.441684 0.2090351,-8.105133 -2.888071 0.2735533,-8.698955 -5.370462 0.230345,-8.694162 -4.573144 0.3005224,-8.667983 -4.081159 0.3750476,-8.633305 -3.63228 0.424196,0.210,31  0
-2.791362 -7.654615 -0.8652428,-3.360415 -7.546113 -0.7258255,-3.833576 -6.997922 -0.6701807,-4.183786 -6.521669 -0.6233808,-4.496225 -6.267665 -0.5428099,-3.505634 -5.431608 -0.7593636,-3.640675 -4.522815 -0.6894389,-3.719485 -3.843627 -0.5846673,-3.779402 -3.220239 -0.4029622,-3.223272 -5.244312 -0.7102031,-3.348672 -4.227615 -0.5805587,-3.348672 -4.227615 -0.5805587,-3.403621 -2.831825 -0.2779666,-2.943139 -5.238693 -0.6388536,-3.056564 -4.233101 -0.5366315,-3.109099 -3.530827 -0.429657,-3.152494 -2.933887 -0.3177579,-2.672365 -5.384218 -0.5670429,-2.762197 -4.527894 -0.4117304,-2.817621 -3.929274 -0.3479973,-2.855865 -3.351884 -0.2940898,-8.514607 -7.89318 0.007625563,-7.955912 -7.618335 0.2117148,-7.455445 -7.006559 0.3765542,-7.073534 -6.451198 0.5885901,-6.709554 -6.235603 0.8194002,-7.745123 -5.34522 0.02828164,-7.580569 -4.380821 0.1099077,-7.513572 -3.767883 0.2462744,-7.459079 -3.226287 0.3607949,-8.056625 -5.139875 0.09294532,-7.903931 -3.990396 0.1544486,-7.813604 -3.261263 0.3295075,-7.744227 -2.628698 0.4777128,-8.371166 -5.169277 0.1938964,-8.27023 -4.112531 0.258676,-8.188031 -3.472547 0.3686439,-8.107696 -2.932862 0.4551924,-8.698829 -5.398272 0.3302646,-8.71292 -4.607986 0.4368697,-8.68993 -4.11832 0.5284884,-8.655348 -3.673318 0.5859329,0.310,31  0
-2.763668 -7.627807 -0.8500731,-3.303277 -7.499612 -0.6447335,-3.74826 -6.970376 -0.5550768,-4.09284 -6.470399 -0.4682283,-4.437988 -6.261652 -0.3462734,-3.395882 -5.42523 -0.6810541,-3.582707 -4.460695 -0.5874665,-3.690993 -3.861619 -0.4888004,-3.772623 -3.302721 -0.3818549,-3.099764 -5.203693 -0.6209434,-3.232764 -4.08776 -0.4770983,-3.232764 -4.08776 -0.4770983,-3.337431 -2.734997 -0.1966462,-2.796975 -5.218674 -0.5407873,-2.87363 -4.155345 -0.4020945,-2.943106 -3.472847 -0.2596826,-3.002483 -2.877693 -0.1283773,-2.490943 -5.448099 -0.4223419,-2.41461 -4.59655 -0.2453756,-2.381685 -4.044509 -0.09605318,-2.359412 -3.520464 0.01368469,-8.509692 -7.878248 0.004019306,-7.948805 -7.600231 0.1945858,-7.452755 -6.986095 0.3597074,-7.071383 -6.44333 0.5747458,-6.704711 -6.25404 0.8128331,-7.740147 -5.327991 0.01144525,-7.579279 -4.368919 0.09072635,-7.514797 -3.754618 0.2251729,-7.46281 -3.211114 0.3402703,-8.055635 -5.124989 0.07721949,-7.901415 -3.973516 0.1364952,-7.814522 -3.243234 0.3056086,-7.747892 -2.6088 0.4512693,-8.373197 -5.150172 0.175656,-8.266195 -4.090477 0.2353564,-8.189189 -3.448246 0.3364073,-8.114751 -2.903968 0.4172097,-8.702866 -5.374637 0.310103,-8.699821 -4.579595 0.4086508,-8.671047 -4.081956 0.4939854,-8.63253 -3.626045 0.5544211,0.410,31  0
-2.761241 -7.626204 -0.7801958,-3.296911 -7.518121 -0.5593989,-3.753185 -6.964179 -0.4824135,-4.100164 -6.458368 -0.4188337,-4.446341 -6.253803 -0.3298385,-3.438275 -5.426649 -0.5509859,-3.6182 -4.482234 -0.428503,-3.706486 -3.878246 -0.3099459,-3.768956 -3.30763 -0.1793243,-3.136423 -5.193494 -0.4945978,-3.267619 -4.108394 -0.3063482,-3.267619 -4.108394 -0.3063482,-3.356071 -2.746622 0.005947769,-2.822791 -5.205438 -0.4239247,-2.905041 -4.163265 -0.2409039,-2.970224 -3.489265 -0.07469779,-3.021878 -2.887792 0.06726658,-2.502048 -5.444875 -0.3224995,-2.436551 -4.602565 -0.09371299,-2.408273 -4.060853 0.07973796,-2.385324 -3.536941 0.19283,-8.527691 -7.906117 -0.003277928,-7.967531 -7.625823 0.1730113,-7.462969 -7.012975 0.3283749,-7.07743 -6.468454 0.5393128,-6.712692 -6.260201 0.7682614,-7.756973 -5.362754 -0.006157498,-7.589761 -4.394948 0.07160852,-7.521227 -3.776795 0.2015676,-7.466215 -3.229186 0.3178457,-8.068697 -5.155735 0.06791247,-7.912058 -3.993365 0.1286741,-7.823078 -3.259122 0.3029747,-7.756938 -2.616178 0.4529676,-8.382933 -5.179929 0.1744165,-8.272052 -4.11082 0.2326117,-8.189898 -3.458768 0.3408595,-8.111117 -2.902578 0.4299384,-8.709936 -5.399736 0.3138825,-8.704382 -4.599285 0.4140167,-8.671535 -4.102977 0.5078682,-8.630116 -3.646225 0.5735457,0.510,31  0
-2.717595 -7.724723 -0.7803324,-3.302487 -7.624101 -0.6341954,-3.800697 -7.049963 -0.5749357,-4.154501 -6.569441 -0.5156918,-4.468355 -6.32023 -0.4260003,-3.461115 -5.476844 -0.6505018,-3.601217 -4.556113 -0.5802088,-3.683031 -3.864807 -0.4611472,-3.747198 -3.238373 -0.2734684,-3.183308 -5.300058 -0.5719931,-3.310201 -4.242567 -0.4264963,-3.310201 -4.242567 -0.4264963,-3.374039 -2.83672 -0.09753227,-2.899964 -5.304613 -0.4737597,-3.016699 -4.272525 -0.3396245,-3.071726 -3.553697 -0.2169017,-3.110842 -2.928813 -0.09334677,-2.631282 -5.474441 -0.3751571,-2.720327 -4.642299 -0.1992885,-2.77627 -4.046813 -0.1249728,-2.800076 -3.454209 -0.07472974,-8.517833 -7.927978 0.03821976,-7.959163 -7.636726 0.2070661,-7.462998 -7.009893 0.3552479,-7.082992 -6.461311 0.5609433,-6.726034 -6.263301 0.784085,-7.772693 -5.358405 0.0201019,-7.60852 -4.394445 0.091287,-7.539253 -3.780429 0.2201148,-7.481989 -3.236039 0.3323414,-8.082963 -5.161408 0.09867679,-7.92536 -4.005136 0.1554114,-7.83166 -3.269285 0.3305501,-7.762259 -2.627161 0.4790496,-8.394354 -5.195413 0.2099497,-8.287354 -4.12804 0.2668999,-8.204108 -3.469104 0.3728034,-8.126061 -2.906366 0.4572451,-8.716952 -5.432407 0.3540887,-8.72595 -4.628089 0.4564822,-8.703068 -4.123472 0.549832,-8.672145 -3.656396 0.6120635,0.610,31  0
-2.693916 -7.713905 -0.5617326,-3.227491 -7.577566 -0.3326878,-3.681756 -7.02737 -0.2369518,-4.020311 -6.506466 -0.1386711,-4.370294 -6.276403 -0.006692529,-3.36659 -5.454608 -0.3799562,-3.561792 -4.492555 -0.2651125,-3.656733 -3.88026 -0.1580323,-3.721581 -3.304855 -0.04030252,-3.067327 -5.21277 -0.3201824,-3.200435 -4.113281 -0.1560058,-3.200435 -4.113281 -0.1560058,-3.281549 -2.741478 0.1190621,-2.760985 -5.226968 -0.2351954,-2.837875 -4.166267 -0.08420476,-2.897388 -3.492446 0.07092041,-2.94327 -2.888674 0.2008736,-2.445225 -5.472727 -0.1091725,-2.375928 -4.61914 0.08910835,-2.345592 -4.067968 0.2548728,-2.319493 -3.548768 0.3596151,-8.5397 -7.930264 0.04059869,-7.982995 -7.652189 0.250128,-7.484336 -7.018274 0.4223318,-7.100555 -6.462297 0.6469355,-6.745197 -6.243026 0.8784084,-7.79343 -5.366164 0.06069069,-7.628982 -4.40441 0.151798,-7.563339 -3.784894 0.2883197,-7.512626 -3.236606 0.402592,-8.102887 -5.163951 0.1255088,-7.951407 -4.008636 0.2038665,-7.859211 -3.26934 0.3838859,-7.790635 -2.622484 0.5365209,-8.414661 -5.192373 0.2281325,-8.314066 -4.126658 0.3004805,-8.23015 -3.464526 0.412506,-8.149212 -2.894893 0.4944174,-8.738404 -5.424221 0.365163,-8.752814 -4.622575 0.4830988,-8.734818 -4.122887 0.5756959,-8.707777 -3.661199 0.632134,0.710,31  0
-2.80111 -7.792877 -0.5200739,-3.325857 -7.657205 -0.4434028,-3.758914 -7.031612 -0.4284408,-4.105463 -6.52079 -0.4021158,-4.400086 -6.293577 -0.3424947,-3.419405 -5.439151 -0.458425,-3.553984 -4.489858 -0.3820391,-3.61667 -3.83761 -0.2499491,-3.66531 -3.243021 -0.06848034,-3.132965 -5.265174 -0.4029331,-3.22925 -4.182303 -0.2764493,-3.22925 -4.182303 -0.2764493,-3.300913 -2.823783 -0.0273329,-2.838034 -5.305555 -0.3205169,-2.919992 -4.221389 -0.2056692,-2.949862 -3.527273 -0.1139868,-2.984305 -2.929746 0.004135013,-2.561754 -5.531032 -0.243419,-2.575872 -4.633694 -0.06551018,-2.608057 -4.060402 0.004730821,-2.639449 -3.542885 0.05116022,-8.569727 -7.929692 0.05398251,-8.01168 -7.650352 0.2429383,-7.510283 -7.011329 0.4095435,-7.130278 -6.449652 0.6275601,-6.770812 -6.240772 0.8638198,-7.821136 -5.366317 0.07839593,-7.663295 -4.416528 0.1629823,-7.601264 -3.80734 0.2968037,-7.549268 -3.267831 0.4119381,-8.132212 -5.159997 0.1499152,-7.9852 -3.996198 0.2210352,-7.897882 -3.252006 0.3946411,-7.829745 -2.606747 0.5408369,-8.443428 -5.188 0.2527592,-8.343027 -4.111997 0.3214478,-8.261871 -3.440493 0.4274302,-8.182107 -2.867336 0.5096928,-8.764706 -5.423196 0.3903784,-8.77546 -4.622516 0.5078268,-8.75453 -4.126693 0.5948282,-8.72734 -3.679741 0.6502778,0.810,31  0
-2.606956 -7.838348 -0.4761131,-3.149973 -7.625669 -0.1934841,-3.627766 -7.065107 -0.0420616,-3.991938 -6.522082 0.1157336,-4.332474 -6.273604 0.3138974,-3.308971 -5.531894 -0.3169508,-3.521906 -4.557813 -0.1406844,-3.618309 -3.941849 0.002687216,-3.672648 -3.355377 0.1400566,-3.011322 -5.314172 -0.2695177,-3.130896 -4.147683 -0.07670674,-3.130896 -4.147683 -0.07670674,-3.219065 -2.78696 0.2447855,-2.712714 -5.321449 -0.1607521,-2.76712 -4.201494 0.01478598,-2.823296 -3.511617 0.1849848,-2.878463 -2.887562 0.3391543,-2.39663 -5.540203 -0.01731971,-2.320628 -4.663314 0.1705757,-2.285035 -4.106834 0.3288985,-2.261189 -3.559041 0.4574552,-8.576193 -7.947345 0.06681249,-8.019804 -7.652462 0.2794042,-7.528097 -7.021639 0.4644825,-7.146298 -6.462771 0.6922613,-6.787983 -6.239595 0.9331484,-7.823975 -5.361467 0.1330178,-7.680678 -4.387844 0.2395606,-7.622814 -3.776816 0.3845764,-7.571319 -3.241515 0.5029355,-8.142012 -5.174695 0.1940159,-8.003901 -4.004404 0.2877144,-7.923769 -3.270234 0.4678022,-7.862674 -2.626946 0.6190988,-8.45932 -5.226087 0.286693,-8.363785 -4.148831 0.3724925,-8.287715 -3.484116 0.4887593,-8.212839 -2.911769 0.5766243,-8.784348 -5.481477 0.4144283,-8.794353 -4.687086 0.5350941,-8.77424 -4.17826 0.6346551,-8.744675 -3.694428 0.7034294,0.910,31  0
