WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-3.558889 -14.76245 0.0002550543,-3.498922 -13.45555 -0.07762727,-3.847615 -12.50087 0.1015056,-4.279728 -11.9331 0.185251,-4.595305 -11.50949 0.2816027,-4.148665 -12.71528 1.360981,-4.906738 -11.593 1.570286,-5.197258 -11.12836 1.335981,-5.318083 -10.88883 1.023042,-4.484407 -13.43673 1.310179,-5.291356 -12.1874 1.46233,-5.524368 -11.60324 1.031186,-5.552048 -11.30301 0.6455867,-4.747789 -14.06761 1.151277,-5.514128 -12.85247 1.098879,-5.651965 -12.22979 0.6400036,-5.615741 -11.89189 0.27517,-4.920325 -14.54865 0.949932,-5.507198 -13.59152 0.7575092,-5.581858 -13.00823 0.3918762,-5.53381 -12.67136 0.08163252,-9.643287 -12.04333 -0.0002006948,-9.703685 -11.50965 0.6982209,-9.570312 -10.77879 1.036053,-9.429461 -10.02435 1.194467,-9.306058 -9.289476 1.275043,-9.688349 -9.261707 0.5729187,-9.408099 -8.124269 0.6490983,-9.288014 -7.994737 0.7761379,-9.237882 -8.20244 0.8321081,-9.592288 -9.062069 0.2723039,-9.288379 -7.898518 0.2014377,-9.199078 -7.883777 0.1479123,-9.209475 -8.14035 0.1497137,-9.480524 -9.07513 0.03771586,-9.235417 -7.957908 -0.02444691,-9.133531 -7.949438 -0.02105171,-9.124321 -8.166483 -0.01534498,-9.383909 -9.237692 -0.1332605,-9.187901 -8.437733 -0.1574086,-9.085473 -8.231184 -0.1697116,-9.041401 -8.229076 -0.1818975,0.01667,1 0 0 0 0 0 True
-3.558889 -14.76245 0.0002550543,-3.498922 -13.45555 -0.07762727,-3.847615 -12.50087 0.1015056,-4.279728 -11.9331 0.185251,-4.595305 -11.50949 0.2816027,-4.148665 -12.71528 1.360981,-4.906738 -11.593 1.570286,-5.197258 -11.12836 1.335981,-5.318083 -10.88883 1.023042,-4.484407 -13.43673 1.310179,-5.291356 -12.1874 1.46233,-5.524368 -11.60324 1.031186,-5.552048 -11.30301 0.6455867,-4.747789 -14.06761 1.151277,-5.514128 -12.85247 1.098879,-5.651965 -12.22979 0.6400036,-5.615741 -11.89189 0.27517,-4.920325 -14.54865 0.949932,-5.507198 -13.59152 0.7575092,-5.581858 -13.00823 0.3918762,-5.53381 -12.67136 0.08163252,-9.643287 -12.04333 -0.0002006948,-9.703685 -11.50965 0.6982209,-9.570312 -10.77879 1.036053,-9.429461 -10.02435 1.194467,-9.306058 -9.289476 1.275043,-9.688349 -9.261707 0.5729187,-9.408099 -8.124269 0.6490983,-9.288014 -7.994737 0.7761379,-9.237882 -8.20244 0.8321081,-9.592288 -9.062069 0.2723039,-9.288379 -7.898518 0.2014377,-9.199078 -7.883777 0.1479123,-9.209475 -8.14035 0.1497137,-9.480524 -9.07513 0.03771586,-9.235417 -7.957908 -0.02444691,-9.133531 -7.949438 -0.02105171,-9.124321 -8.166483 -0.01534498,-9.383909 -9.237692 -0.1332605,-9.187901 -8.437733 -0.1574086,-9.085473 -8.231184 -0.1697116,-9.041401 -8.229076 -0.1818975,0.05000,1 0 0 0 0 0 True
-3.558889 -14.76245 0.0002550543,-3.498922 -13.45555 -0.07762727,-3.847615 -12.50087 0.1015056,-4.279728 -11.9331 0.185251,-4.595305 -11.50949 0.2816027,-4.148665 -12.71528 1.360981,-4.906738 -11.593 1.570286,-5.197258 -11.12836 1.335981,-5.318083 -10.88883 1.023042,-4.484407 -13.43673 1.310179,-5.291356 -12.1874 1.46233,-5.524368 -11.60324 1.031186,-5.552048 -11.30301 0.6455867,-4.747789 -14.06761 1.151277,-5.514128 -12.85247 1.098879,-5.651965 -12.22979 0.6400036,-5.615741 -11.89189 0.27517,-4.920325 -14.54865 0.949932,-5.507198 -13.59152 0.7575092,-5.581858 -13.00823 0.3918762,-5.53381 -12.67136 0.08163252,-9.643287 -12.04333 -0.0002006948,-9.703685 -11.50965 0.6982209,-9.570312 -10.77879 1.036053,-9.429461 -10.02435 1.194467,-9.306058 -9.289476 1.275043,-9.688349 -9.261707 0.5729187,-9.408099 -8.124269 0.6490983,-9.288014 -7.994737 0.7761379,-9.237882 -8.20244 0.8321081,-9.592288 -9.062069 0.2723039,-9.288379 -7.898518 0.2014377,-9.199078 -7.883777 0.1479123,-9.209475 -8.14035 0.1497137,-9.480524 -9.07513 0.03771586,-9.235417 -7.957908 -0.02444691,-9.133531 -7.949438 -0.02105171,-9.124321 -8.166483 -0.01534498,-9.383909 -9.237692 -0.1332605,-9.187901 -8.437733 -0.1574086,-9.085473 -8.231184 -0.1697116,-9.041401 -8.229076 -0.1818975,0.08333,1 0 0 0 0 0 True
-3.558889 -14.76245 0.0002550543,-3.498922 -13.45555 -0.07762727,-3.847615 -12.50087 0.1015056,-4.279728 -11.9331 0.185251,-4.595305 -11.50949 0.2816027,-4.148665 -12.71528 1.360981,-4.906738 -11.593 1.570286,-5.197258 -11.12836 1.335981,-5.318083 -10.88883 1.023042,-4.484407 -13.43673 1.310179,-5.291356 -12.1874 1.46233,-5.524368 -11.60324 1.031186,-5.552048 -11.30301 0.6455867,-4.747789 -14.06761 1.151277,-5.514128 -12.85247 1.098879,-5.651965 -12.22979 0.6400036,-5.615741 -11.89189 0.27517,-4.920325 -14.54865 0.949932,-5.507198 -13.59152 0.7575092,-5.581858 -13.00823 0.3918762,-5.53381 -12.67136 0.08163252,-9.643287 -12.04333 -0.0002006948,-9.703685 -11.50965 0.6982209,-9.570312 -10.77879 1.036053,-9.429461 -10.02435 1.194467,-9.306058 -9.289476 1.275043,-9.688349 -9.261707 0.5729187,-9.408099 -8.124269 0.6490983,-9.288014 -7.994737 0.7761379,-9.237882 -8.20244 0.8321081,-9.592288 -9.062069 0.2723039,-9.288379 -7.898518 0.2014377,-9.199078 -7.883777 0.1479123,-9.209475 -8.14035 0.1497137,-9.480524 -9.07513 0.03771586,-9.235417 -7.957908 -0.02444691,-9.133531 -7.949438 -0.02105171,-9.124321 -8.166483 -0.01534498,-9.383909 -9.237692 -0.1332605,-9.187901 -8.437733 -0.1574086,-9.085473 -8.231184 -0.1697116,-9.041401 -8.229076 -0.1818975,0.11667,1 0 0 0 0 0 True
-3.558889 -14.76245 0.0002550543,-3.498922 -13.45555 -0.07762727,-3.847615 -12.50087 0.1015056,-4.279728 -11.9331 0.185251,-4.595305 -11.50949 0.2816027,-4.148665 -12.71528 1.360981,-4.906738 -11.593 1.570286,-5.197258 -11.12836 1.335981,-5.318083 -10.88883 1.023042,-4.484407 -13.43673 1.310179,-5.291356 -12.1874 1.46233,-5.524368 -11.60324 1.031186,-5.552048 -11.30301 0.6455867,-4.747789 -14.06761 1.151277,-5.514128 -12.85247 1.098879,-5.651965 -12.22979 0.6400036,-5.615741 -11.89189 0.27517,-4.920325 -14.54865 0.949932,-5.507198 -13.59152 0.7575092,-5.581858 -13.00823 0.3918762,-5.53381 -12.67136 0.08163252,-9.643287 -12.04333 -0.0002006948,-9.703685 -11.50965 0.6982209,-9.570312 -10.77879 1.036053,-9.429461 -10.02435 1.194467,-9.306058 -9.289476 1.275043,-9.688349 -9.261707 0.5729187,-9.408099 -8.124269 0.6490983,-9.288014 -7.994737 0.7761379,-9.237882 -8.20244 0.8321081,-9.592288 -9.062069 0.2723039,-9.288379 -7.898518 0.2014377,-9.199078 -7.883777 0.1479123,-9.209475 -8.14035 0.1497137,-9.480524 -9.07513 0.03771586,-9.235417 -7.957908 -0.02444691,-9.133531 -7.949438 -0.02105171,-9.124321 -8.166483 -0.01534498,-9.383909 -9.237692 -0.1332605,-9.187901 -8.437733 -0.1574086,-9.085473 -8.231184 -0.1697116,-9.041401 -8.229076 -0.1818975,0.15000,1 0 0 0 0 0 True
-3.558889 -14.76245 0.0002550543,-3.498922 -13.45555 -0.07762727,-3.847615 -12.50087 0.1015056,-4.279728 -11.9331 0.185251,-4.595305 -11.50949 0.2816027,-4.148665 -12.71528 1.360981,-4.906738 -11.593 1.570286,-5.197258 -11.12836 1.335981,-5.318083 -10.88883 1.023042,-4.484407 -13.43673 1.310179,-5.291356 -12.1874 1.46233,-5.524368 -11.60324 1.031186,-5.552048 -11.30301 0.6455867,-4.747789 -14.06761 1.151277,-5.514128 -12.85247 1.098879,-5.651965 -12.22979 0.6400036,-5.615741 -11.89189 0.27517,-4.920325 -14.54865 0.949932,-5.507198 -13.59152 0.7575092,-5.581858 -13.00823 0.3918762,-5.53381 -12.67136 0.08163252,-9.643287 -12.04333 -0.0002006948,-9.703685 -11.50965 0.6982209,-9.570312 -10.77879 1.036053,-9.429461 -10.02435 1.194467,-9.306058 -9.289476 1.275043,-9.688349 -9.261707 0.5729187,-9.408099 -8.124269 0.6490983,-9.288014 -7.994737 0.7761379,-9.237882 -8.20244 0.8321081,-9.592288 -9.062069 0.2723039,-9.288379 -7.898518 0.2014377,-9.199078 -7.883777 0.1479123,-9.209475 -8.14035 0.1497137,-9.480524 -9.07513 0.03771586,-9.235417 -7.957908 -0.02444691,-9.133531 -7.949438 -0.02105171,-9.124321 -8.166483 -0.01534498,-9.383909 -9.237692 -0.1332605,-9.187901 -8.437733 -0.1574086,-9.085473 -8.231184 -0.1697116,-9.041401 -8.229076 -0.1818975,0.18333,1 0 0 0 0 0 True
-3.558889 -14.76245 0.0002550543,-3.498922 -13.45555 -0.07762727,-3.847615 -12.50087 0.1015056,-4.279728 -11.9331 0.185251,-4.595305 -11.50949 0.2816027,-4.148665 -12.71528 1.360981,-4.906738 -11.593 1.570286,-5.197258 -11.12836 1.335981,-5.318083 -10.88883 1.023042,-4.484407 -13.43673 1.310179,-5.291356 -12.1874 1.46233,-5.524368 -11.60324 1.031186,-5.552048 -11.30301 0.6455867,-4.747789 -14.06761 1.151277,-5.514128 -12.85247 1.098879,-5.651965 -12.22979 0.6400036,-5.615741 -11.89189 0.27517,-4.920325 -14.54865 0.949932,-5.507198 -13.59152 0.7575092,-5.581858 -13.00823 0.3918762,-5.53381 -12.67136 0.08163252,-9.643287 -12.04333 -0.0002006948,-9.703685 -11.50965 0.6982209,-9.570312 -10.77879 1.036053,-9.429461 -10.02435 1.194467,-9.306058 -9.289476 1.275043,-9.688349 -9.261707 0.5729187,-9.408099 -8.124269 0.6490983,-9.288014 -7.994737 0.7761379,-9.237882 -8.20244 0.8321081,-9.592288 -9.062069 0.2723039,-9.288379 -7.898518 0.2014377,-9.199078 -7.883777 0.1479123,-9.209475 -8.14035 0.1497137,-9.480524 -9.07513 0.03771586,-9.235417 -7.957908 -0.02444691,-9.133531 -7.949438 -0.02105171,-9.124321 -8.166483 -0.01534498,-9.383909 -9.237692 -0.1332605,-9.187901 -8.437733 -0.1574086,-9.085473 -8.231184 -0.1697116,-9.041401 -8.229076 -0.1818975,0.21667,1 0 0 0 0 0 True
-3.558889 -14.76245 0.0002550543,-3.498922 -13.45555 -0.07762727,-3.847615 -12.50087 0.1015056,-4.279728 -11.9331 0.185251,-4.595305 -11.50949 0.2816027,-4.148665 -12.71528 1.360981,-4.906738 -11.593 1.570286,-5.197258 -11.12836 1.335981,-5.318083 -10.88883 1.023042,-4.484407 -13.43673 1.310179,-5.291356 -12.1874 1.46233,-5.524368 -11.60324 1.031186,-5.552048 -11.30301 0.6455867,-4.747789 -14.06761 1.151277,-5.514128 -12.85247 1.098879,-5.651965 -12.22979 0.6400036,-5.615741 -11.89189 0.27517,-4.920325 -14.54865 0.949932,-5.507198 -13.59152 0.7575092,-5.581858 -13.00823 0.3918762,-5.53381 -12.67136 0.08163252,-9.643287 -12.04333 -0.0002006948,-9.703685 -11.50965 0.6982209,-9.570312 -10.77879 1.036053,-9.429461 -10.02435 1.194467,-9.306058 -9.289476 1.275043,-9.688349 -9.261707 0.5729187,-9.408099 -8.124269 0.6490983,-9.288014 -7.994737 0.7761379,-9.237882 -8.20244 0.8321081,-9.592288 -9.062069 0.2723039,-9.288379 -7.898518 0.2014377,-9.199078 -7.883777 0.1479123,-9.209475 -8.14035 0.1497137,-9.480524 -9.07513 0.03771586,-9.235417 -7.957908 -0.02444691,-9.133531 -7.949438 -0.02105171,-9.124321 -8.166483 -0.01534498,-9.383909 -9.237692 -0.1332605,-9.187901 -8.437733 -0.1574086,-9.085473 -8.231184 -0.1697116,-9.041401 -8.229076 -0.1818975,0.25000,1 0 0 0 0 0 True
-3.558889 -14.76245 0.0002550543,-3.498922 -13.45555 -0.07762727,-3.847615 -12.50087 0.1015056,-4.279728 -11.9331 0.185251,-4.595305 -11.50949 0.2816027,-4.148665 -12.71528 1.360981,-4.906738 -11.593 1.570286,-5.197258 -11.12836 1.335981,-5.318083 -10.88883 1.023042,-4.484407 -13.43673 1.310179,-5.291356 -12.1874 1.46233,-5.524368 -11.60324 1.031186,-5.552048 -11.30301 0.6455867,-4.747789 -14.06761 1.151277,-5.514128 -12.85247 1.098879,-5.651965 -12.22979 0.6400036,-5.615741 -11.89189 0.27517,-4.920325 -14.54865 0.949932,-5.507198 -13.59152 0.7575092,-5.581858 -13.00823 0.3918762,-5.53381 -12.67136 0.08163252,-9.643287 -12.04333 -0.0002006948,-9.703685 -11.50965 0.6982209,-9.570312 -10.77879 1.036053,-9.429461 -10.02435 1.194467,-9.306058 -9.289476 1.275043,-9.688349 -9.261707 0.5729187,-9.408099 -8.124269 0.6490983,-9.288014 -7.994737 0.7761379,-9.237882 -8.20244 0.8321081,-9.592288 -9.062069 0.2723039,-9.288379 -7.898518 0.2014377,-9.199078 -7.883777 0.1479123,-9.209475 -8.14035 0.1497137,-9.480524 -9.07513 0.03771586,-9.235417 -7.957908 -0.02444691,-9.133531 -7.949438 -0.02105171,-9.124321 -8.166483 -0.01534498,-9.383909 -9.237692 -0.1332605,-9.187901 -8.437733 -0.1574086,-9.085473 -8.231184 -0.1697116,-9.041401 -8.229076 -0.1818975,0.28333,1 0 0 0 0 0 True
-3.558889 -14.76245 0.0002550543,-3.498922 -13.45555 -0.07762727,-3.847615 -12.50087 0.1015056,-4.279728 -11.9331 0.185251,-4.595305 -11.50949 0.2816027,-4.148665 -12.71528 1.360981,-4.906738 -11.593 1.570286,-5.197258 -11.12836 1.335981,-5.318083 -10.88883 1.023042,-4.484407 -13.43673 1.310179,-5.291356 -12.1874 1.46233,-5.524368 -11.60324 1.031186,-5.552048 -11.30301 0.6455867,-4.747789 -14.06761 1.151277,-5.514128 -12.85247 1.098879,-5.651965 -12.22979 0.6400036,-5.615741 -11.89189 0.27517,-4.920325 -14.54865 0.949932,-5.507198 -13.59152 0.7575092,-5.581858 -13.00823 0.3918762,-5.53381 -12.67136 0.08163252,-9.643287 -12.04333 -0.0002006948,-9.703685 -11.50965 0.6982209,-9.570312 -10.77879 1.036053,-9.429461 -10.02435 1.194467,-9.306058 -9.289476 1.275043,-9.688349 -9.261707 0.5729187,-9.408099 -8.124269 0.6490983,-9.288014 -7.994737 0.7761379,-9.237882 -8.20244 0.8321081,-9.592288 -9.062069 0.2723039,-9.288379 -7.898518 0.2014377,-9.199078 -7.883777 0.1479123,-9.209475 -8.14035 0.1497137,-9.480524 -9.07513 0.03771586,-9.235417 -7.957908 -0.02444691,-9.133531 -7.949438 -0.02105171,-9.124321 -8.166483 -0.01534498,-9.383909 -9.237692 -0.1332605,-9.187901 -8.437733 -0.1574086,-9.085473 -8.231184 -0.1697116,-9.041401 -8.229076 -0.1818975,0.31667,1 0 0 0 0 0 True
