WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-1.894922 -7.087692 0.000239872,-2.45346 -6.985261 0.2837764,-2.989573 -6.46615 0.4349406,-3.392334 -5.978017 0.5705572,-3.743656 -5.763621 0.7361775,-2.681872 -4.973556 0.2433044,-2.89899 -4.074052 0.4245135,-3.014845 -3.50394 0.5686362,-3.102793 -2.972322 0.6850256,-2.357171 -4.70615 0.2491831,-2.50722 -3.6521 0.4415663,-2.59622 -2.941918 0.6190626,-2.663944 -2.335266 0.7638289,-2.02844 -4.665876 0.3032994,-2.11105 -3.66967 0.4949368,-2.186979 -3.02411 0.6562659,-2.255157 -2.4804 0.7816457,-1.680992 -4.818496 0.3831941,-1.6306 -4.019163 0.5593082,-1.610527 -3.501886 0.7111076,-1.606665 -2.996477 0.8419122,-7.63805 -7.253662 0.0002984443,-7.060821 -7.094776 0.2488348,-6.530069 -6.526668 0.4010039,-6.140182 -5.922276 0.5797735,-5.804003 -5.590375 0.779087,-6.755219 -4.953733 0.1212347,-6.54378 -3.993436 0.2436282,-6.45299 -3.361726 0.384536,-6.382097 -2.808596 0.5002561,-7.0534 -4.693861 0.1526023,-6.848695 -3.581264 0.2231126,-6.738944 -2.864543 0.4044428,-6.645336 -2.22537 0.5705777,-7.369802 -4.677173 0.2155326,-7.21539 -3.609613 0.3082774,-7.104699 -2.968964 0.4702683,-6.998225 -2.401977 0.6129378,-7.713519 -4.859218 0.3111235,-7.71451 -4.064443 0.4420576,-7.692209 -3.549892 0.5801046,-7.644319 -3.022002 0.6935672,0.01667,0 0 0 0 0 0 True
-1.893414 -7.089273 0.008956745,-2.453978 -6.989797 0.2832473,-2.993511 -6.475795 0.4303285,-3.398875 -5.985927 0.5610626,-3.748432 -5.767446 0.7279346,-2.696008 -4.975951 0.2286286,-2.918708 -4.07761 0.3943442,-3.034628 -3.506604 0.5310338,-3.120287 -2.977668 0.6468097,-2.371283 -4.70605 0.2356746,-2.524527 -3.656305 0.4097548,-2.612074 -2.946575 0.5814848,-2.675605 -2.345601 0.7248256,-2.041524 -4.669029 0.2917963,-2.12845 -3.675084 0.4673807,-2.205065 -3.025796 0.6286855,-2.271773 -2.484928 0.7550114,-1.690774 -4.829472 0.3716078,-1.641415 -4.030305 0.5360377,-1.620762 -3.516347 0.6840427,-1.615321 -3.021029 0.8122974,-7.635034 -7.249051 0.03979912,-7.057034 -7.081014 0.290016,-6.527991 -6.51055 0.443215,-6.136808 -5.912639 0.6221613,-5.801906 -5.570938 0.8194321,-6.755017 -4.933274 0.1447032,-6.544384 -3.977828 0.2611796,-6.456859 -3.347177 0.4029127,-6.389249 -2.789682 0.517211,-7.052167 -4.676041 0.1695721,-6.846929 -3.575769 0.2333538,-6.735415 -2.869643 0.4143862,-6.639673 -2.240865 0.5831527,-7.367196 -4.658693 0.2278785,-7.215496 -3.601096 0.3099912,-7.108301 -2.967609 0.47197,-7.004443 -2.411247 0.6153297,-7.707148 -4.83811 0.3183864,-7.712124 -4.054908 0.4366318,-7.690404 -3.5466 0.5705885,-7.641351 -3.030035 0.6825015,0.05000,0 0 0 0 0 0 True
-1.893414 -7.089273 0.008956745,-2.453978 -6.989797 0.2832473,-2.993511 -6.475795 0.4303285,-3.398875 -5.985927 0.5610626,-3.748432 -5.767446 0.7279346,-2.696008 -4.975951 0.2286286,-2.918708 -4.07761 0.3943442,-3.034628 -3.506604 0.5310338,-3.120287 -2.977668 0.6468097,-2.371283 -4.70605 0.2356746,-2.524527 -3.656305 0.4097548,-2.612074 -2.946575 0.5814848,-2.675605 -2.345601 0.7248256,-2.041524 -4.669029 0.2917963,-2.12845 -3.675084 0.4673807,-2.205065 -3.025796 0.6286855,-2.271773 -2.484928 0.7550114,-1.690774 -4.829472 0.3716078,-1.641415 -4.030305 0.5360377,-1.620762 -3.516347 0.6840427,-1.615321 -3.021029 0.8122974,-7.635034 -7.249051 0.03979912,-7.057034 -7.081014 0.290016,-6.527991 -6.51055 0.443215,-6.136808 -5.912639 0.6221613,-5.801906 -5.570938 0.8194321,-6.755017 -4.933274 0.1447032,-6.544384 -3.977828 0.2611796,-6.456859 -3.347177 0.4029127,-6.389249 -2.789682 0.517211,-7.052167 -4.676041 0.1695721,-6.846929 -3.575769 0.2333538,-6.735415 -2.869643 0.4143862,-6.639673 -2.240865 0.5831527,-7.367196 -4.658693 0.2278785,-7.215496 -3.601096 0.3099912,-7.108301 -2.967609 0.47197,-7.004443 -2.411247 0.6153297,-7.707148 -4.83811 0.3183864,-7.712124 -4.054908 0.4366318,-7.690404 -3.5466 0.5705885,-7.641351 -3.030035 0.6825015,0.08333,0 0 0 0 0 0 True
-1.899174 -7.089427 -0.004040404,-2.463193 -6.985909 0.2744027,-3.000694 -6.466426 0.4171198,-3.403461 -5.975353 0.5407005,-3.755678 -5.774616 0.6891707,-2.69595 -4.985652 0.2440158,-2.906846 -4.093271 0.4234286,-3.020494 -3.531909 0.5734536,-3.111418 -3.000304 0.698123,-2.368399 -4.710809 0.2476692,-2.516824 -3.664763 0.4390282,-2.605229 -2.963479 0.6199471,-2.674107 -2.349926 0.769945,-2.038539 -4.664424 0.2955963,-2.123949 -3.674789 0.481787,-2.201198 -3.042778 0.6380824,-2.26829 -2.506169 0.7606287,-1.689707 -4.809591 0.371947,-1.643959 -4.013528 0.5390989,-1.625438 -3.498333 0.6842194,-1.620486 -2.992088 0.814622,-7.638922 -7.250113 0.03869939,-7.063675 -7.085233 0.2927078,-6.530933 -6.509779 0.4385282,-6.138973 -5.910196 0.6079845,-5.809374 -5.573932 0.7955361,-6.759966 -4.932695 0.1388801,-6.553023 -3.968666 0.2507013,-6.465446 -3.337027 0.3905601,-6.396444 -2.781663 0.507733,-7.058179 -4.676382 0.1569668,-6.853271 -3.576274 0.2183542,-6.739979 -2.86612 0.4027462,-6.641525 -2.234418 0.577118,-7.372948 -4.658123 0.2087156,-7.218194 -3.604105 0.2878421,-7.108521 -2.969073 0.4505269,-7.00319 -2.413705 0.5959599,-7.712441 -4.836107 0.2934627,-7.716958 -4.059198 0.4070285,-7.695682 -3.555906 0.5365238,-7.648808 -3.04383 0.6475886,0.11667,0 0 0 0 0 0 True
-1.899174 -7.089427 -0.004040404,-2.463193 -6.985909 0.2744027,-3.000694 -6.466426 0.4171198,-3.403461 -5.975353 0.5407005,-3.755678 -5.774616 0.6891707,-2.69595 -4.985652 0.2440158,-2.906846 -4.093271 0.4234286,-3.020494 -3.531909 0.5734536,-3.111418 -3.000304 0.698123,-2.368399 -4.710809 0.2476692,-2.516824 -3.664763 0.4390282,-2.605229 -2.963479 0.6199471,-2.674107 -2.349926 0.769945,-2.038539 -4.664424 0.2955963,-2.123949 -3.674789 0.481787,-2.201198 -3.042778 0.6380824,-2.26829 -2.506169 0.7606287,-1.689707 -4.809591 0.371947,-1.643959 -4.013528 0.5390989,-1.625438 -3.498333 0.6842194,-1.620486 -2.992088 0.814622,-7.638922 -7.250113 0.03869939,-7.063675 -7.085233 0.2927078,-6.530933 -6.509779 0.4385282,-6.138973 -5.910196 0.6079845,-5.809374 -5.573932 0.7955361,-6.759966 -4.932695 0.1388801,-6.553023 -3.968666 0.2507013,-6.465446 -3.337027 0.3905601,-6.396444 -2.781663 0.507733,-7.058179 -4.676382 0.1569668,-6.853271 -3.576274 0.2183542,-6.739979 -2.86612 0.4027462,-6.641525 -2.234418 0.577118,-7.372948 -4.658123 0.2087156,-7.218194 -3.604105 0.2878421,-7.108521 -2.969073 0.4505269,-7.00319 -2.413705 0.5959599,-7.712441 -4.836107 0.2934627,-7.716958 -4.059198 0.4070285,-7.695682 -3.555906 0.5365238,-7.648808 -3.04383 0.6475886,0.15000,0 0 0 0 0 0 True
-1.910802 -7.092983 0.006977756,-2.469051 -6.978382 0.2771543,-2.999344 -6.461507 0.4231884,-3.402235 -5.973222 0.5535769,-3.756025 -5.769163 0.7122435,-2.694119 -4.976343 0.2389551,-2.907984 -4.080596 0.4174089,-3.024293 -3.519375 0.5644195,-3.117054 -2.991613 0.6844273,-2.370285 -4.708768 0.2544827,-2.517049 -3.65462 0.4487961,-2.604646 -2.94702 0.6293429,-2.674449 -2.333259 0.777028,-2.043026 -4.669036 0.3150959,-2.129145 -3.670105 0.5044178,-2.208503 -3.0279 0.6614327,-2.280105 -2.486722 0.7835466,-1.696418 -4.821877 0.4019285,-1.645878 -4.022077 0.5719685,-1.624318 -3.501226 0.717419,-1.61812 -2.992818 0.8470358,-7.630185 -7.269052 0.0323275,-7.053541 -7.108596 0.272327,-6.528271 -6.525081 0.4128526,-6.145268 -5.914505 0.5837594,-5.814489 -5.569469 0.7747526,-6.766785 -4.947406 0.1126913,-6.557297 -3.975867 0.2185835,-6.468811 -3.347641 0.3503843,-6.400088 -2.791533 0.4622635,-7.067 -4.692861 0.1411182,-6.862518 -3.581346 0.1963483,-6.744341 -2.871602 0.3728321,-6.643807 -2.241846 0.5382098,-7.383993 -4.675584 0.2035429,-7.229532 -3.611187 0.2848627,-7.116766 -2.97023 0.4519009,-7.008915 -2.410043 0.5986645,-7.72583 -4.856367 0.2973301,-7.737598 -4.069913 0.4170944,-7.718003 -3.559918 0.5547549,-7.671124 -3.042329 0.6665196,0.18333,0 0 0 0 0 0 True
-1.91201 -7.08502 -0.04884568,-2.476152 -6.984379 0.211871,-3.00942 -6.464651 0.3437459,-3.414973 -5.969348 0.4646789,-3.766466 -5.747041 0.6214749,-2.693775 -4.976381 0.1206502,-2.91673 -4.075138 0.2740287,-3.035341 -3.507183 0.4086455,-3.123178 -2.977163 0.5252758,-2.370991 -4.711298 0.1356453,-2.52383 -3.652809 0.2990792,-2.613828 -2.943712 0.4726972,-2.680414 -2.334394 0.6163201,-2.044725 -4.67177 0.1994936,-2.136908 -3.664651 0.3693415,-2.222322 -3.014829 0.5252206,-2.296461 -2.467845 0.6491094,-1.696139 -4.827192 0.2882439,-1.644894 -4.02156 0.4509127,-1.625064 -3.501935 0.5962623,-1.619249 -2.998851 0.7229149,-7.648508 -7.277267 0.08430129,-7.066298 -7.118704 0.3249152,-6.536706 -6.533311 0.4623975,-6.153718 -5.927157 0.6319092,-5.821639 -5.602109 0.8243626,-6.773664 -4.941965 0.1544555,-6.563495 -3.988568 0.255314,-6.470194 -3.366678 0.3855152,-6.397223 -2.82462 0.4972158,-7.078967 -4.686685 0.1785,-6.872303 -3.582244 0.2282189,-6.759186 -2.864804 0.4065102,-6.667588 -2.227891 0.571391,-7.398184 -4.670559 0.2329616,-7.24015 -3.611201 0.3001801,-7.129838 -2.972433 0.4538863,-7.029394 -2.413943 0.5901213,-7.741551 -4.852911 0.3218857,-7.740002 -4.060792 0.4256629,-7.715768 -3.547298 0.5544736,-7.669792 -3.020616 0.6595716,0.21667,0 0 0 0 0 0 True
-1.91201 -7.08502 -0.04884568,-2.476152 -6.984379 0.211871,-3.00942 -6.464651 0.3437459,-3.414973 -5.969348 0.4646789,-3.766466 -5.747041 0.6214749,-2.693775 -4.976381 0.1206502,-2.91673 -4.075138 0.2740287,-3.035341 -3.507183 0.4086455,-3.123178 -2.977163 0.5252758,-2.370991 -4.711298 0.1356453,-2.52383 -3.652809 0.2990792,-2.613828 -2.943712 0.4726972,-2.680414 -2.334394 0.6163201,-2.044725 -4.67177 0.1994936,-2.136908 -3.664651 0.3693415,-2.222322 -3.014829 0.5252206,-2.296461 -2.467845 0.6491094,-1.696139 -4.827192 0.2882439,-1.644894 -4.02156 0.4509127,-1.625064 -3.501935 0.5962623,-1.619249 -2.998851 0.7229149,-7.648508 -7.277267 0.08430129,-7.066298 -7.118704 0.3249152,-6.536706 -6.533311 0.4623975,-6.153718 -5.927157 0.6319092,-5.821639 -5.602109 0.8243626,-6.773664 -4.941965 0.1544555,-6.563495 -3.988568 0.255314,-6.470194 -3.366678 0.3855152,-6.397223 -2.82462 0.4972158,-7.078967 -4.686685 0.1785,-6.872303 -3.582244 0.2282189,-6.759186 -2.864804 0.4065102,-6.667588 -2.227891 0.571391,-7.398184 -4.670559 0.2329616,-7.24015 -3.611201 0.3001801,-7.129838 -2.972433 0.4538863,-7.029394 -2.413943 0.5901213,-7.741551 -4.852911 0.3218857,-7.740002 -4.060792 0.4256629,-7.715768 -3.547298 0.5544736,-7.669792 -3.020616 0.6595716,0.25000,0 0 0 0 0 0 True
-1.907215 -7.106247 -0.02839033,-2.467501 -6.9902 0.2250063,-2.998672 -6.473138 0.3531353,-3.40303 -5.991804 0.4698282,-3.754165 -5.78826 0.6229805,-2.696148 -4.994808 0.1475863,-2.919312 -4.089759 0.3088219,-3.039137 -3.518306 0.4499351,-3.127838 -2.986121 0.5730932,-2.374588 -4.72904 0.1667388,-2.529515 -3.66909 0.3377239,-2.619386 -2.957589 0.5178326,-2.685328 -2.344197 0.6649348,-2.047255 -4.687089 0.2340779,-2.140082 -3.683004 0.4084007,-2.222613 -3.035787 0.5665568,-2.294092 -2.491908 0.6926383,-1.697747 -4.837835 0.3267615,-1.648267 -4.037088 0.4942638,-1.624961 -3.520607 0.6390886,-1.616354 -3.016397 0.7681251,-7.656147 -7.311146 0.1407339,-7.074894 -7.144592 0.3804111,-6.542274 -6.559509 0.524254,-6.150868 -5.956604 0.7050539,-5.814624 -5.621824 0.9087802,-6.781253 -4.961951 0.2041437,-6.567481 -4.010694 0.3022732,-6.46836 -3.391477 0.4349745,-6.391434 -2.854389 0.5501696,-7.086653 -4.703873 0.2306067,-6.876466 -3.602058 0.2775552,-6.760729 -2.887924 0.4581757,-6.668215 -2.253863 0.6240736,-7.408385 -4.690074 0.2884127,-7.246581 -3.62912 0.3510042,-7.131306 -2.987514 0.5055852,-7.026144 -2.427061 0.6438549,-7.754025 -4.877032 0.3814999,-7.75421 -4.07912 0.487489,-7.725866 -3.562594 0.6202979,-7.673038 -3.037477 0.7295623,0.28333,0 0 0 0 0 0 True
-1.907215 -7.106247 -0.02839033,-2.467501 -6.9902 0.2250063,-2.998672 -6.473138 0.3531353,-3.40303 -5.991804 0.4698282,-3.754165 -5.78826 0.6229805,-2.696148 -4.994808 0.1475863,-2.919312 -4.089759 0.3088219,-3.039137 -3.518306 0.4499351,-3.127838 -2.986121 0.5730932,-2.374588 -4.72904 0.1667388,-2.529515 -3.66909 0.3377239,-2.619386 -2.957589 0.5178326,-2.685328 -2.344197 0.6649348,-2.047255 -4.687089 0.2340779,-2.140082 -3.683004 0.4084007,-2.222613 -3.035787 0.5665568,-2.294092 -2.491908 0.6926383,-1.697747 -4.837835 0.3267615,-1.648267 -4.037088 0.4942638,-1.624961 -3.520607 0.6390886,-1.616354 -3.016397 0.7681251,-7.656147 -7.311146 0.1407339,-7.074894 -7.144592 0.3804111,-6.542274 -6.559509 0.524254,-6.150868 -5.956604 0.7050539,-5.814624 -5.621824 0.9087802,-6.781253 -4.961951 0.2041437,-6.567481 -4.010694 0.3022732,-6.46836 -3.391477 0.4349745,-6.391434 -2.854389 0.5501696,-7.086653 -4.703873 0.2306067,-6.876466 -3.602058 0.2775552,-6.760729 -2.887924 0.4581757,-6.668215 -2.253863 0.6240736,-7.408385 -4.690074 0.2884127,-7.246581 -3.62912 0.3510042,-7.131306 -2.987514 0.5055852,-7.026144 -2.427061 0.6438549,-7.754025 -4.877032 0.3814999,-7.75421 -4.07912 0.487489,-7.725866 -3.562594 0.6202979,-7.673038 -3.037477 0.7295623,0.31667,0 0 0 0 0 0 True
