WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-1.662433 -7.432589 0.0002508468,-2.247694 -7.235304 0.3076206,-2.795486 -6.631097 0.4707969,-3.202321 -6.074455 0.6117335,-3.555977 -5.813615 0.7765942,-2.416245 -5.089681 0.2626681,-2.612461 -4.113594 0.4595451,-2.709457 -3.504836 0.6209981,-2.781944 -2.925097 0.7506542,-2.055573 -4.849916 0.2683701,-2.159253 -3.706171 0.4867546,-2.214757 -2.951257 0.6956844,-2.253923 -2.297548 0.8578291,-1.704348 -4.844566 0.3255142,-1.749036 -3.767778 0.5449436,-1.803309 -3.072268 0.737281,-1.851364 -2.482751 0.8827716,-1.340246 -5.039405 0.4076582,-1.248023 -4.180126 0.6059261,-1.205183 -3.621099 0.7778768,-1.179507 -3.080192 0.9279762,-7.725388 -7.551721 0.0004522166,-7.14851 -7.25616 0.3083658,-6.621594 -6.617876 0.5122436,-6.24604 -5.997581 0.7417512,-5.935695 -5.571233 0.9773496,-7.014919 -5.02547 0.2480847,-6.889709 -3.92904 0.4484848,-6.850711 -3.239106 0.6400597,-6.822385 -2.635536 0.7857605,-7.347477 -4.842041 0.2841661,-7.227148 -3.617519 0.4478101,-7.163157 -2.84019 0.6909606,-7.110468 -2.154482 0.9034317,-7.6804 -4.903066 0.3514939,-7.60298 -3.754208 0.5174254,-7.550411 -3.035415 0.7183644,-7.491713 -2.401552 0.8892122,-8.032383 -5.171201 0.4531757,-8.101965 -4.329017 0.6138128,-8.120616 -3.782977 0.7634568,-8.10958 -3.239932 0.8943803,0.01667,0 0 0 0 0 0 True
-1.658932 -7.423051 0.01504634,-2.246611 -7.234308 0.3170545,-2.795425 -6.629533 0.4785846,-3.196143 -6.073687 0.6190405,-3.537621 -5.795963 0.7756859,-2.408313 -5.071842 0.2627938,-2.602325 -4.097757 0.4596705,-2.700521 -3.492556 0.6160987,-2.776699 -2.914927 0.7431529,-2.048752 -4.834497 0.2722392,-2.151543 -3.692359 0.4907643,-2.207012 -2.943388 0.6997715,-2.246801 -2.294342 0.8652214,-1.698946 -4.83167 0.3350039,-1.746035 -3.756305 0.5516537,-1.799432 -3.064882 0.7407184,-1.847528 -2.477737 0.8871964,-1.336235 -5.030303 0.422626,-1.240593 -4.17246 0.6158004,-1.195175 -3.618301 0.7850057,-1.169555 -3.078496 0.9356042,-7.706171 -7.545509 0.02108473,-7.141901 -7.257292 0.3190417,-6.623767 -6.600856 0.5233168,-6.250062 -5.983351 0.7575796,-5.930315 -5.576023 0.9987603,-7.012974 -5.00115 0.275031,-6.891352 -3.900487 0.4755512,-6.855558 -3.20544 0.6657667,-6.833291 -2.595329 0.8123506,-7.34231 -4.83003 0.3244353,-7.225083 -3.602156 0.4902799,-7.16546 -2.82487 0.7299169,-7.117429 -2.13517 0.9406339,-7.67342 -4.901803 0.4064242,-7.602274 -3.743307 0.5810335,-7.556483 -3.02056 0.7885326,-7.506058 -2.37504 0.9717306,-8.022687 -5.185623 0.5201246,-8.099955 -4.334891 0.6891437,-8.12575 -3.791825 0.8456181,-8.12282 -3.243464 0.9858973,0.05000,0 0 0 0 0 0 True
-1.658932 -7.423051 0.01504634,-2.246611 -7.234308 0.3170545,-2.795425 -6.629533 0.4785846,-3.196143 -6.073687 0.6190405,-3.537621 -5.795963 0.7756859,-2.408313 -5.071842 0.2627938,-2.602325 -4.097757 0.4596705,-2.700521 -3.492556 0.6160987,-2.776699 -2.914927 0.7431529,-2.048752 -4.834497 0.2722392,-2.151543 -3.692359 0.4907643,-2.207012 -2.943388 0.6997715,-2.246801 -2.294342 0.8652214,-1.698946 -4.83167 0.3350039,-1.746035 -3.756305 0.5516537,-1.799432 -3.064882 0.7407184,-1.847528 -2.477737 0.8871964,-1.336235 -5.030303 0.422626,-1.240593 -4.17246 0.6158004,-1.195175 -3.618301 0.7850057,-1.169555 -3.078496 0.9356042,-7.706171 -7.545509 0.02108473,-7.141901 -7.257292 0.3190417,-6.623767 -6.600856 0.5233168,-6.250062 -5.983351 0.7575796,-5.930315 -5.576023 0.9987603,-7.012974 -5.00115 0.275031,-6.891352 -3.900487 0.4755512,-6.855558 -3.20544 0.6657667,-6.833291 -2.595329 0.8123506,-7.34231 -4.83003 0.3244353,-7.225083 -3.602156 0.4902799,-7.16546 -2.82487 0.7299169,-7.117429 -2.13517 0.9406339,-7.67342 -4.901803 0.4064242,-7.602274 -3.743307 0.5810335,-7.556483 -3.02056 0.7885326,-7.506058 -2.37504 0.9717306,-8.022687 -5.185623 0.5201246,-8.099955 -4.334891 0.6891437,-8.12575 -3.791825 0.8456181,-8.12282 -3.243464 0.9858973,0.08333,0 0 0 0 0 0 True
-1.667286 -7.416374 0.03614157,-2.249069 -7.226636 0.3331475,-2.800173 -6.622709 0.491938,-3.207272 -6.069313 0.6332035,-3.549751 -5.801336 0.7900559,-2.411088 -5.058681 0.2527341,-2.608479 -4.083108 0.4377579,-2.704873 -3.477857 0.5872335,-2.778135 -2.907711 0.7131785,-2.054228 -4.818641 0.2653195,-2.159316 -3.679462 0.4714118,-2.216597 -2.931139 0.6776692,-2.26152 -2.283857 0.844313,-1.707787 -4.814968 0.3324924,-1.764037 -3.746386 0.5401641,-1.821604 -3.059747 0.7242477,-1.874949 -2.47648 0.8665786,-1.346844 -5.01397 0.4240127,-1.256985 -4.162135 0.6067453,-1.215607 -3.613368 0.7659053,-1.195736 -3.079077 0.9104087,-7.711297 -7.536198 0.02674854,-7.143072 -7.23695 0.3206975,-6.62664 -6.584655 0.5223439,-6.249804 -5.96467 0.7536314,-5.924105 -5.574674 0.9919828,-7.008471 -4.994598 0.2759655,-6.889755 -3.904169 0.4647949,-6.84931 -3.213172 0.6486196,-6.822081 -2.612559 0.7898303,-7.333455 -4.819892 0.319916,-7.215117 -3.613968 0.477491,-7.153358 -2.845047 0.7198179,-7.104906 -2.162277 0.9353786,-7.662633 -4.889457 0.3950032,-7.586406 -3.754716 0.5550772,-7.536148 -3.0503 0.7443473,-7.483763 -2.425562 0.9097401,-8.010378 -5.168561 0.5011828,-8.086065 -4.331399 0.6633227,-8.110158 -3.793487 0.8113263,-8.109372 -3.249173 0.942431,0.11667,0 0 0 0 0 0 True
-1.667286 -7.416374 0.03614157,-2.249069 -7.226636 0.3331475,-2.800173 -6.622709 0.491938,-3.207272 -6.069313 0.6332035,-3.549751 -5.801336 0.7900559,-2.411088 -5.058681 0.2527341,-2.608479 -4.083108 0.4377579,-2.704873 -3.477857 0.5872335,-2.778135 -2.907711 0.7131785,-2.054228 -4.818641 0.2653195,-2.159316 -3.679462 0.4714118,-2.216597 -2.931139 0.6776692,-2.26152 -2.283857 0.844313,-1.707787 -4.814968 0.3324924,-1.764037 -3.746386 0.5401641,-1.821604 -3.059747 0.7242477,-1.874949 -2.47648 0.8665786,-1.346844 -5.01397 0.4240127,-1.256985 -4.162135 0.6067453,-1.215607 -3.613368 0.7659053,-1.195736 -3.079077 0.9104087,-7.711297 -7.536198 0.02674854,-7.143072 -7.23695 0.3206975,-6.62664 -6.584655 0.5223439,-6.249804 -5.96467 0.7536314,-5.924105 -5.574674 0.9919828,-7.008471 -4.994598 0.2759655,-6.889755 -3.904169 0.4647949,-6.84931 -3.213172 0.6486196,-6.822081 -2.612559 0.7898303,-7.333455 -4.819892 0.319916,-7.215117 -3.613968 0.477491,-7.153358 -2.845047 0.7198179,-7.104906 -2.162277 0.9353786,-7.662633 -4.889457 0.3950032,-7.586406 -3.754716 0.5550772,-7.536148 -3.0503 0.7443473,-7.483763 -2.425562 0.9097401,-8.010378 -5.168561 0.5011828,-8.086065 -4.331399 0.6633227,-8.110158 -3.793487 0.8113263,-8.109372 -3.249173 0.942431,0.15000,0 0 0 0 0 0 True
-1.674337 -7.407161 0.01371873,-2.249226 -7.213823 0.3042961,-2.793311 -6.608266 0.4542602,-3.199619 -6.057854 0.5868002,-3.552042 -5.815612 0.7440171,-2.417008 -5.060945 0.2281619,-2.613501 -4.083322 0.4114976,-2.713097 -3.476398 0.5661793,-2.79086 -2.899782 0.69723,-2.06056 -4.815555 0.240235,-2.163737 -3.677166 0.4419632,-2.220916 -2.92939 0.6517391,-2.266262 -2.275966 0.8196057,-1.71139 -4.805792 0.306573,-1.764358 -3.743042 0.5126278,-1.822573 -3.060735 0.6962821,-1.875972 -2.482305 0.8406503,-1.347954 -5.001281 0.3975925,-1.253716 -4.151258 0.5863935,-1.209497 -3.598213 0.7511896,-1.185343 -3.057161 0.9015555,-7.704515 -7.525821 -0.0184781,-7.135179 -7.216516 0.2770567,-6.621106 -6.572406 0.4849961,-6.247955 -5.958644 0.7240679,-5.936152 -5.542517 0.971252,-7.015778 -4.989954 0.2293649,-6.892173 -3.889381 0.4299848,-6.851243 -3.200973 0.624994,-6.823756 -2.598756 0.7781747,-7.344504 -4.820234 0.2751993,-7.224461 -3.6 0.4389144,-7.159585 -2.82438 0.6801395,-7.104549 -2.136839 0.8956079,-7.676293 -4.887249 0.3551497,-7.602288 -3.730419 0.5202228,-7.554366 -3.005268 0.7272242,-7.501053 -2.364397 0.9089094,-8.027588 -5.160791 0.4661821,-8.102185 -4.312268 0.6265346,-8.124371 -3.762817 0.7769815,-8.118073 -3.21893 0.9137417,0.18333,0 0 0 0 0 0 True
-1.677413 -7.396009 -0.0006288385,-2.256776 -7.210664 0.2501786,-2.799837 -6.60477 0.3653672,-3.210586 -6.057649 0.4741295,-3.559433 -5.815038 0.6021434,-2.415972 -5.040693 0.1014825,-2.614473 -4.06738 0.2504958,-2.716143 -3.460462 0.3836143,-2.793633 -2.894803 0.5003059,-2.061442 -4.80162 0.1292834,-2.168111 -3.666918 0.2987138,-2.229166 -2.918009 0.4934866,-2.274563 -2.269602 0.6458357,-1.714337 -4.797727 0.2136,-1.774099 -3.733544 0.3996185,-1.835902 -3.046073 0.5707507,-1.889325 -2.46596 0.6995009,-1.351683 -4.998403 0.3219665,-1.259188 -4.150625 0.4926136,-1.21661 -3.600602 0.6440949,-1.192272 -3.060497 0.7776858,-7.702044 -7.533097 0.04059485,-7.137482 -7.208591 0.322183,-6.627367 -6.551177 0.5166005,-6.252323 -5.943079 0.7472686,-5.926188 -5.560224 0.9909278,-7.017902 -4.97293 0.2535621,-6.901931 -3.888103 0.435191,-6.862312 -3.203063 0.6248629,-6.833027 -2.603006 0.7774241,-7.348344 -4.806459 0.3039228,-7.234356 -3.598661 0.4557466,-7.171611 -2.824878 0.6974918,-7.117956 -2.139025 0.9138761,-7.680512 -4.878146 0.3853008,-7.605615 -3.737185 0.5415841,-7.554657 -3.017232 0.7318981,-7.498985 -2.382125 0.8964115,-8.028982 -5.159828 0.4997507,-8.104139 -4.316634 0.6565057,-8.125432 -3.773558 0.7962229,-8.120228 -3.230664 0.9198129,0.21667,0 0 0 0 0 0 True
-1.677413 -7.396009 -0.0006288385,-2.256776 -7.210664 0.2501786,-2.799837 -6.60477 0.3653672,-3.210586 -6.057649 0.4741295,-3.559433 -5.815038 0.6021434,-2.415972 -5.040693 0.1014825,-2.614473 -4.06738 0.2504958,-2.716143 -3.460462 0.3836143,-2.793633 -2.894803 0.5003059,-2.061442 -4.80162 0.1292834,-2.168111 -3.666918 0.2987138,-2.229166 -2.918009 0.4934866,-2.274563 -2.269602 0.6458357,-1.714337 -4.797727 0.2136,-1.774099 -3.733544 0.3996185,-1.835902 -3.046073 0.5707507,-1.889325 -2.46596 0.6995009,-1.351683 -4.998403 0.3219665,-1.259188 -4.150625 0.4926136,-1.21661 -3.600602 0.6440949,-1.192272 -3.060497 0.7776858,-7.702044 -7.533097 0.04059485,-7.137482 -7.208591 0.322183,-6.627367 -6.551177 0.5166005,-6.252323 -5.943079 0.7472686,-5.926188 -5.560224 0.9909278,-7.017902 -4.97293 0.2535621,-6.901931 -3.888103 0.435191,-6.862312 -3.203063 0.6248629,-6.833027 -2.603006 0.7774241,-7.348344 -4.806459 0.3039228,-7.234356 -3.598661 0.4557466,-7.171611 -2.824878 0.6974918,-7.117956 -2.139025 0.9138761,-7.680512 -4.878146 0.3853008,-7.605615 -3.737185 0.5415841,-7.554657 -3.017232 0.7318981,-7.498985 -2.382125 0.8964115,-8.028982 -5.159828 0.4997507,-8.104139 -4.316634 0.6565057,-8.125432 -3.773558 0.7962229,-8.120228 -3.230664 0.9198129,0.25000,0 0 0 0 0 0 True
-1.672756 -7.40229 -0.02201349,-2.247563 -7.213299 0.2388335,-2.786795 -6.627211 0.3621187,-3.188049 -6.084993 0.4753672,-3.527655 -5.838237 0.6114848,-2.411676 -5.054805 0.1162367,-2.613539 -4.078797 0.2729629,-2.714638 -3.472312 0.4145084,-2.788744 -2.902465 0.5386563,-2.058357 -4.816098 0.1395904,-2.1659 -3.670911 0.315604,-2.225747 -2.926841 0.5141882,-2.268373 -2.279617 0.6689911,-1.713064 -4.811498 0.2196101,-1.769712 -3.739172 0.4095616,-1.829598 -3.056633 0.5865509,-1.879526 -2.481712 0.7212873,-1.351616 -5.00947 0.3249979,-1.260384 -4.155264 0.503137,-1.220407 -3.60183 0.6614877,-1.198545 -3.064714 0.8000509,-7.691894 -7.540161 0.03564163,-7.128248 -7.215324 0.3116778,-6.619796 -6.563236 0.4958294,-6.246136 -5.956074 0.7146468,-5.914082 -5.599175 0.9447268,-7.012458 -4.976096 0.2335497,-6.898609 -3.892995 0.4022415,-6.85237 -3.206213 0.5777072,-6.815518 -2.609738 0.7175595,-7.339174 -4.813059 0.2797771,-7.227191 -3.606437 0.4252888,-7.165243 -2.828096 0.6629325,-7.115505 -2.140143 0.8741701,-7.667363 -4.892727 0.3549976,-7.593374 -3.763557 0.4971196,-7.539978 -3.053936 0.6712453,-7.484481 -2.428451 0.8224304,-8.011049 -5.180883 0.4657082,-8.085223 -4.345341 0.6173233,-8.106972 -3.806584 0.7552613,-8.106556 -3.261475 0.874016,0.28333,0 0 0 0 0 0 True
-1.672756 -7.40229 -0.02201349,-2.247563 -7.213299 0.2388335,-2.786795 -6.627211 0.3621187,-3.188049 -6.084993 0.4753672,-3.527655 -5.838237 0.6114848,-2.411676 -5.054805 0.1162367,-2.613539 -4.078797 0.2729629,-2.714638 -3.472312 0.4145084,-2.788744 -2.902465 0.5386563,-2.058357 -4.816098 0.1395904,-2.1659 -3.670911 0.315604,-2.225747 -2.926841 0.5141882,-2.268373 -2.279617 0.6689911,-1.713064 -4.811498 0.2196101,-1.769712 -3.739172 0.4095616,-1.829598 -3.056633 0.5865509,-1.879526 -2.481712 0.7212873,-1.351616 -5.00947 0.3249979,-1.260384 -4.155264 0.503137,-1.220407 -3.60183 0.6614877,-1.198545 -3.064714 0.8000509,-7.691894 -7.540161 0.03564163,-7.128248 -7.215324 0.3116778,-6.619796 -6.563236 0.4958294,-6.246136 -5.956074 0.7146468,-5.914082 -5.599175 0.9447268,-7.012458 -4.976096 0.2335497,-6.898609 -3.892995 0.4022415,-6.85237 -3.206213 0.5777072,-6.815518 -2.609738 0.7175595,-7.339174 -4.813059 0.2797771,-7.227191 -3.606437 0.4252888,-7.165243 -2.828096 0.6629325,-7.115505 -2.140143 0.8741701,-7.667363 -4.892727 0.3549976,-7.593374 -3.763557 0.4971196,-7.539978 -3.053936 0.6712453,-7.484481 -2.428451 0.8224304,-8.011049 -5.180883 0.4657082,-8.085223 -4.345341 0.6173233,-8.106972 -3.806584 0.7552613,-8.106556 -3.261475 0.874016,0.31667,0 0 0 0 0 0 True
