WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.217852 -7.263019 4.959254E-05,-2.778138 -7.088022 0.283238,-3.297344 -6.491521 0.4413312,-3.687687 -5.940599 0.5866924,-4.016597 -5.650352 0.7497628,-2.955078 -5.043073 0.2349409,-3.162575 -4.11193 0.4301064,-3.272223 -3.537815 0.5849887,-3.362642 -2.996833 0.705099,-2.624298 -4.803558 0.2525402,-2.750561 -3.719617 0.464299,-2.826579 -2.9784 0.6732314,-2.893185 -2.349331 0.8549914,-2.298249 -4.78924 0.3215743,-2.367135 -3.762378 0.525337,-2.434173 -3.079723 0.7133648,-2.500769 -2.511933 0.8627869,-1.955676 -4.977595 0.4098655,-1.87052 -4.150205 0.5860261,-1.825763 -3.612036 0.7463965,-1.803545 -3.094471 0.890779,-7.677653 -7.47403 0.0002852009,-7.133903 -7.226751 0.2483837,-6.599075 -6.569265 0.3981023,-6.191111 -5.977188 0.5844474,-5.824637 -5.68143 0.7911372,-6.907633 -4.983789 0.1699965,-6.751601 -3.944656 0.2984968,-6.69636 -3.289024 0.4432755,-6.663621 -2.699253 0.5722106,-7.213471 -4.778442 0.2271143,-7.054302 -3.608156 0.3380505,-6.958565 -2.863603 0.5462097,-6.878087 -2.20186 0.7448546,-7.527785 -4.817126 0.3145442,-7.426075 -3.72005 0.4504437,-7.345928 -3.027551 0.6425527,-7.263131 -2.409979 0.8084043,-7.862054 -5.067579 0.4292802,-7.895747 -4.245609 0.6138046,-7.893354 -3.72337 0.7695161,-7.867756 -3.194614 0.8969131,0.01667,0 0 0 0 0 0 True
-2.209799 -7.264487 -0.01043626,-2.77143 -7.096214 0.2688173,-3.291002 -6.505437 0.4241191,-3.682272 -5.951694 0.5679463,-4.008644 -5.655497 0.7334073,-2.949852 -5.047439 0.2081496,-3.162376 -4.118141 0.3935849,-3.275906 -3.545947 0.5469292,-3.368431 -3.005245 0.6667478,-2.621848 -4.807241 0.2242278,-2.752685 -3.722808 0.4274201,-2.830335 -2.98511 0.6329412,-2.896187 -2.357575 0.8140163,-2.297998 -4.789503 0.2936784,-2.372078 -3.762153 0.4878179,-2.440427 -3.082328 0.6741828,-2.505678 -2.516153 0.82281,-1.956085 -4.970203 0.3818683,-1.874529 -4.139079 0.5535183,-1.8309 -3.600675 0.7108413,-1.807261 -3.083675 0.8552713,-7.684571 -7.481822 -0.02111282,-7.136367 -7.234218 0.2398237,-6.600434 -6.575901 0.4000226,-6.192417 -5.980431 0.5921913,-5.826366 -5.685316 0.8017136,-6.909883 -4.997924 0.183612,-6.758064 -3.950349 0.3224755,-6.701792 -3.290164 0.4738793,-6.666632 -2.698137 0.6068684,-7.216679 -4.795928 0.2367587,-7.064642 -3.614491 0.3631676,-6.96837 -2.864938 0.57464,-6.888759 -2.202212 0.7727606,-7.530058 -4.834503 0.3201363,-7.436687 -3.725676 0.4664053,-7.356653 -3.030038 0.6566558,-7.274873 -2.414767 0.817761,-7.863633 -5.080285 0.4310707,-7.898674 -4.248794 0.6198115,-7.893838 -3.721893 0.7751862,-7.868905 -3.19462 0.9009053,0.05000,0 0 0 0 0 0 True
-2.209799 -7.264487 -0.01043626,-2.77143 -7.096214 0.2688173,-3.291002 -6.505437 0.4241191,-3.682272 -5.951694 0.5679463,-4.008644 -5.655497 0.7334073,-2.949852 -5.047439 0.2081496,-3.162376 -4.118141 0.3935849,-3.275906 -3.545947 0.5469292,-3.368431 -3.005245 0.6667478,-2.621848 -4.807241 0.2242278,-2.752685 -3.722808 0.4274201,-2.830335 -2.98511 0.6329412,-2.896187 -2.357575 0.8140163,-2.297998 -4.789503 0.2936784,-2.372078 -3.762153 0.4878179,-2.440427 -3.082328 0.6741828,-2.505678 -2.516153 0.82281,-1.956085 -4.970203 0.3818683,-1.874529 -4.139079 0.5535183,-1.8309 -3.600675 0.7108413,-1.807261 -3.083675 0.8552713,-7.684571 -7.481822 -0.02111282,-7.136367 -7.234218 0.2398237,-6.600434 -6.575901 0.4000226,-6.192417 -5.980431 0.5921913,-5.826366 -5.685316 0.8017136,-6.909883 -4.997924 0.183612,-6.758064 -3.950349 0.3224755,-6.701792 -3.290164 0.4738793,-6.666632 -2.698137 0.6068684,-7.216679 -4.795928 0.2367587,-7.064642 -3.614491 0.3631676,-6.96837 -2.864938 0.57464,-6.888759 -2.202212 0.7727606,-7.530058 -4.834503 0.3201363,-7.436687 -3.725676 0.4664053,-7.356653 -3.030038 0.6566558,-7.274873 -2.414767 0.817761,-7.863633 -5.080285 0.4310707,-7.898674 -4.248794 0.6198115,-7.893838 -3.721893 0.7751862,-7.868905 -3.19462 0.9009053,0.08333,0 0 0 0 0 0 True
-2.215174 -7.2574 0.006316236,-2.777207 -7.085973 0.277793,-3.292658 -6.502068 0.4337537,-3.678197 -5.950722 0.5806242,-4.002697 -5.64954 0.7454334,-2.954339 -5.030954 0.2251279,-3.162755 -4.10254 0.4129409,-3.276592 -3.532994 0.5666283,-3.368992 -2.995525 0.6867325,-2.625112 -4.795667 0.2485979,-2.75386 -3.713846 0.4524657,-2.834506 -2.977344 0.6607109,-2.901879 -2.351322 0.8450481,-2.300017 -4.783063 0.3219521,-2.369419 -3.756345 0.5188831,-2.438817 -3.077991 0.7059892,-2.505432 -2.511032 0.8569642,-1.958273 -4.970497 0.4145852,-1.871847 -4.14961 0.5810618,-1.827855 -3.614776 0.738624,-1.804296 -3.099038 0.8837853,-7.687224 -7.475542 -0.02662477,-7.143214 -7.208756 0.2343991,-6.605402 -6.561135 0.3961231,-6.193727 -5.978248 0.5935223,-5.825957 -5.686064 0.8117641,-6.909506 -4.992107 0.1788491,-6.750856 -3.939615 0.3153908,-6.699899 -3.272992 0.4655023,-6.671466 -2.676334 0.596831,-7.217894 -4.791791 0.2345205,-7.056594 -3.614191 0.3610268,-6.963406 -2.862987 0.5768041,-6.884314 -2.197131 0.7789365,-7.535592 -4.828115 0.3177453,-7.4299 -3.719174 0.469941,-7.351346 -3.020489 0.6699252,-7.26785 -2.399354 0.8361471,-7.876367 -5.069934 0.4302854,-7.913202 -4.239368 0.6176533,-7.916276 -3.71492 0.7701285,-7.894337 -3.178902 0.8927044,0.11667,0 0 0 0 0 0 True
-2.215174 -7.2574 0.006316236,-2.777207 -7.085973 0.277793,-3.292658 -6.502068 0.4337537,-3.678197 -5.950722 0.5806242,-4.002697 -5.64954 0.7454334,-2.954339 -5.030954 0.2251279,-3.162755 -4.10254 0.4129409,-3.276592 -3.532994 0.5666283,-3.368992 -2.995525 0.6867325,-2.625112 -4.795667 0.2485979,-2.75386 -3.713846 0.4524657,-2.834506 -2.977344 0.6607109,-2.901879 -2.351322 0.8450481,-2.300017 -4.783063 0.3219521,-2.369419 -3.756345 0.5188831,-2.438817 -3.077991 0.7059892,-2.505432 -2.511032 0.8569642,-1.958273 -4.970497 0.4145852,-1.871847 -4.14961 0.5810618,-1.827855 -3.614776 0.738624,-1.804296 -3.099038 0.8837853,-7.687224 -7.475542 -0.02662477,-7.143214 -7.208756 0.2343991,-6.605402 -6.561135 0.3961231,-6.193727 -5.978248 0.5935223,-5.825957 -5.686064 0.8117641,-6.909506 -4.992107 0.1788491,-6.750856 -3.939615 0.3153908,-6.699899 -3.272992 0.4655023,-6.671466 -2.676334 0.596831,-7.217894 -4.791791 0.2345205,-7.056594 -3.614191 0.3610268,-6.963406 -2.862987 0.5768041,-6.884314 -2.197131 0.7789365,-7.535592 -4.828115 0.3177453,-7.4299 -3.719174 0.469941,-7.351346 -3.020489 0.6699252,-7.26785 -2.399354 0.8361471,-7.876367 -5.069934 0.4302854,-7.913202 -4.239368 0.6176533,-7.916276 -3.71492 0.7701285,-7.894337 -3.178902 0.8927044,0.15000,0 0 0 0 0 0 True
-2.2223 -7.25731 0.0006753172,-2.779935 -7.08705 0.2540227,-3.29186 -6.492933 0.3983149,-3.677945 -5.941905 0.5349804,-4.005545 -5.651818 0.6903657,-2.948112 -5.029289 0.1827325,-3.158188 -4.101068 0.3663411,-3.272549 -3.530031 0.5174888,-3.363728 -2.99147 0.632257,-2.621775 -4.792896 0.214984,-2.751248 -3.709292 0.4152234,-2.831706 -2.967743 0.6180809,-2.897728 -2.340379 0.7975165,-2.297637 -4.778126 0.2986986,-2.366621 -3.751657 0.4912413,-2.435977 -3.070588 0.6719239,-2.499917 -2.504603 0.8187296,-1.955116 -4.964471 0.4009496,-1.867541 -4.139587 0.5665604,-1.822215 -3.603499 0.7201361,-1.797061 -3.088302 0.8620572,-7.683551 -7.476532 -0.00824104,-7.1359 -7.220742 0.2474299,-6.599457 -6.562793 0.4007077,-6.189629 -5.977848 0.5902159,-5.823959 -5.683999 0.7964586,-6.920117 -4.981024 0.1483349,-6.765057 -3.936286 0.2763407,-6.710723 -3.273698 0.4265215,-6.675896 -2.684103 0.5600153,-7.227737 -4.780391 0.1991108,-7.070839 -3.604958 0.3145025,-6.975437 -2.858071 0.5249693,-6.893216 -2.197886 0.7213322,-7.541901 -4.813465 0.2808982,-7.439973 -3.709989 0.4217013,-7.359011 -3.015054 0.6114612,-7.272986 -2.399127 0.7718118,-7.876413 -5.053945 0.3937471,-7.917372 -4.232415 0.5681804,-7.918264 -3.710744 0.714644,-7.895213 -3.179802 0.833405,0.18333,0 0 0 0 0 0 True
-2.2223 -7.25731 0.0006753172,-2.779935 -7.08705 0.2540227,-3.29186 -6.492933 0.3983149,-3.677945 -5.941905 0.5349804,-4.005545 -5.651818 0.6903657,-2.948112 -5.029289 0.1827325,-3.158188 -4.101068 0.3663411,-3.272549 -3.530031 0.5174888,-3.363728 -2.99147 0.632257,-2.621775 -4.792896 0.214984,-2.751248 -3.709292 0.4152234,-2.831706 -2.967743 0.6180809,-2.897728 -2.340379 0.7975165,-2.297637 -4.778126 0.2986986,-2.366621 -3.751657 0.4912413,-2.435977 -3.070588 0.6719239,-2.499917 -2.504603 0.8187296,-1.955116 -4.964471 0.4009496,-1.867541 -4.139587 0.5665604,-1.822215 -3.603499 0.7201361,-1.797061 -3.088302 0.8620572,-7.683551 -7.476532 -0.00824104,-7.1359 -7.220742 0.2474299,-6.599457 -6.562793 0.4007077,-6.189629 -5.977848 0.5902159,-5.823959 -5.683999 0.7964586,-6.920117 -4.981024 0.1483349,-6.765057 -3.936286 0.2763407,-6.710723 -3.273698 0.4265215,-6.675896 -2.684103 0.5600153,-7.227737 -4.780391 0.1991108,-7.070839 -3.604958 0.3145025,-6.975437 -2.858071 0.5249693,-6.893216 -2.197886 0.7213322,-7.541901 -4.813465 0.2808982,-7.439973 -3.709989 0.4217013,-7.359011 -3.015054 0.6114612,-7.272986 -2.399127 0.7718118,-7.876413 -5.053945 0.3937471,-7.917372 -4.232415 0.5681804,-7.918264 -3.710744 0.714644,-7.895213 -3.179802 0.833405,0.21667,0 0 0 0 0 0 True
-2.220207 -7.265372 0.05187346,-2.775689 -7.089703 0.3111633,-3.286819 -6.487363 0.4616055,-3.673952 -5.935932 0.6040628,-4.002283 -5.650763 0.7698313,-2.941262 -5.022413 0.2606875,-3.153795 -4.097009 0.4444098,-3.268964 -3.526201 0.5902738,-3.359917 -2.990219 0.7044244,-2.613268 -4.787362 0.2912821,-2.743606 -3.702447 0.492727,-2.82263 -2.966828 0.6937901,-2.886612 -2.346814 0.8693891,-2.289059 -4.778891 0.3721098,-2.360031 -3.749501 0.5664718,-2.430545 -3.067373 0.7499684,-2.495926 -2.501467 0.8971878,-1.947259 -4.977342 0.4709325,-1.861959 -4.153345 0.6416349,-1.816838 -3.613316 0.7996998,-1.790483 -3.096902 0.9451972,-7.680235 -7.478189 0.01892896,-7.136065 -7.210489 0.2850637,-6.604441 -6.549139 0.4458137,-6.200434 -5.960083 0.641793,-5.834326 -5.67802 0.8531625,-6.924028 -4.974255 0.1937168,-6.770217 -3.926015 0.3255464,-6.714532 -3.25525 0.4777043,-6.67885 -2.666127 0.616268,-7.237102 -4.772987 0.2379286,-7.074409 -3.601717 0.3636272,-6.976354 -2.847767 0.582201,-6.894813 -2.181249 0.7908796,-7.554828 -4.807909 0.3111329,-7.449909 -3.708439 0.4538792,-7.368026 -3.010694 0.6395873,-7.28241 -2.396792 0.7976608,-7.891757 -5.049667 0.4167124,-7.928741 -4.230011 0.5912035,-7.924037 -3.709381 0.7323004,-7.897045 -3.182357 0.8528557,0.25000,0 0 0 0 0 0 True
-2.220207 -7.265372 0.05187346,-2.775689 -7.089703 0.3111633,-3.286819 -6.487363 0.4616055,-3.673952 -5.935932 0.6040628,-4.002283 -5.650763 0.7698313,-2.941262 -5.022413 0.2606875,-3.153795 -4.097009 0.4444098,-3.268964 -3.526201 0.5902738,-3.359917 -2.990219 0.7044244,-2.613268 -4.787362 0.2912821,-2.743606 -3.702447 0.492727,-2.82263 -2.966828 0.6937901,-2.886612 -2.346814 0.8693891,-2.289059 -4.778891 0.3721098,-2.360031 -3.749501 0.5664718,-2.430545 -3.067373 0.7499684,-2.495926 -2.501467 0.8971878,-1.947259 -4.977342 0.4709325,-1.861959 -4.153345 0.6416349,-1.816838 -3.613316 0.7996998,-1.790483 -3.096902 0.9451972,-7.680235 -7.478189 0.01892896,-7.136065 -7.210489 0.2850637,-6.604441 -6.549139 0.4458137,-6.200434 -5.960083 0.641793,-5.834326 -5.67802 0.8531625,-6.924028 -4.974255 0.1937168,-6.770217 -3.926015 0.3255464,-6.714532 -3.25525 0.4777043,-6.67885 -2.666127 0.616268,-7.237102 -4.772987 0.2379286,-7.074409 -3.601717 0.3636272,-6.976354 -2.847767 0.582201,-6.894813 -2.181249 0.7908796,-7.554828 -4.807909 0.3111329,-7.449909 -3.708439 0.4538792,-7.368026 -3.010694 0.6395873,-7.28241 -2.396792 0.7976608,-7.891757 -5.049667 0.4167124,-7.928741 -4.230011 0.5912035,-7.924037 -3.709381 0.7323004,-7.897045 -3.182357 0.8528557,0.28333,0 0 0 0 0 0 True
-2.216029 -7.273231 0.07917354,-2.77179 -7.0893 0.3284309,-3.283842 -6.477996 0.4710216,-3.667309 -5.92951 0.6069072,-3.998186 -5.656023 0.7641841,-2.940517 -5.017064 0.2683719,-3.151155 -4.09246 0.4443756,-3.266982 -3.529146 0.5823808,-3.359596 -2.999116 0.6943129,-2.612913 -4.786317 0.3015139,-2.738236 -3.706718 0.4975241,-2.814334 -2.981891 0.6928291,-2.877608 -2.365964 0.8634708,-2.289466 -4.778312 0.3863996,-2.361362 -3.751449 0.5742247,-2.430793 -3.079034 0.7505271,-2.494462 -2.518412 0.8924568,-1.94831 -4.97402 0.4901361,-1.861363 -4.142942 0.6552037,-1.814051 -3.603857 0.8082612,-1.785414 -3.083548 0.9487406,-7.6831 -7.48001 0.04782915,-7.134911 -7.209848 0.3115798,-6.607528 -6.548507 0.4728784,-6.205894 -5.956625 0.6683334,-5.841489 -5.66887 0.8810663,-6.928699 -4.974663 0.2101525,-6.777289 -3.947031 0.3352258,-6.720224 -3.28969 0.4883831,-6.683992 -2.708064 0.6281286,-7.236148 -4.765662 0.2489371,-7.079009 -3.608572 0.361552,-6.982584 -2.862493 0.5736473,-6.90579 -2.198194 0.7742747,-7.548969 -4.792894 0.3205803,-7.454077 -3.70475 0.4456418,-7.374179 -3.016377 0.6239314,-7.293848 -2.412555 0.7748746,-7.880774 -5.026596 0.4239159,-7.923922 -4.218242 0.5857229,-7.920789 -3.699253 0.724205,-7.898697 -3.174378 0.8423138,0.31667,0 0 0 0 0 0 True
-2.220244 -7.281032 0.1037705,-2.774679 -7.093897 0.3498963,-3.285522 -6.4866 0.4923881,-3.667309 -5.92951 0.631453,-3.998186 -5.656023 0.7887299,-2.940517 -5.017064 0.2929177,-3.151155 -4.09246 0.4689214,-3.266982 -3.529146 0.6069266,-3.359596 -2.999116 0.7188587,-2.612913 -4.786317 0.3260596,-2.738236 -3.706718 0.5220699,-2.814334 -2.981891 0.7173749,-2.877608 -2.365964 0.8880166,-2.289466 -4.778312 0.4109454,-2.361362 -3.751449 0.5987705,-2.430793 -3.079034 0.7750729,-2.494462 -2.518412 0.9170026,-1.94831 -4.97402 0.5146819,-1.861363 -4.142942 0.6797495,-1.814051 -3.603857 0.8328069,-1.785414 -3.083548 0.9732864,-7.6831 -7.48001 0.04782915,-7.134911 -7.209848 0.3115798,-6.607528 -6.548507 0.4728784,-6.205894 -5.956625 0.6683334,-5.841489 -5.66887 0.8810663,-6.928699 -4.974663 0.2101525,-6.777289 -3.947031 0.3352258,-6.720224 -3.28969 0.4883831,-6.683992 -2.708064 0.6281286,-7.236148 -4.765662 0.2489371,-7.079009 -3.608572 0.361552,-6.982584 -2.862493 0.5736473,-6.90579 -2.198194 0.7742747,-7.548969 -4.792894 0.3205803,-7.454077 -3.70475 0.4456418,-7.374179 -3.016377 0.6239314,-7.293848 -2.412555 0.7748746,-7.880774 -5.026596 0.4239159,-7.923922 -4.218242 0.5857229,-7.920789 -3.699253 0.724205,-7.898697 -3.174378 0.8423138,0.35000,0 0 0 0 0 0 True
