WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.368042 -7.609115 7.244493E-05,-2.9337 -7.397771 0.2554651,-3.451336 -6.805698 0.4055199,-3.829588 -6.242421 0.557613,-4.157763 -5.910894 0.7365408,-3.118721 -5.296695 0.1297844,-3.332534 -4.359319 0.291215,-3.45146 -3.79022 0.4283336,-3.552787 -3.239692 0.5424077,-2.788612 -5.06533 0.1617461,-2.922935 -3.982029 0.3429725,-3.009047 -3.275054 0.5293601,-3.080189 -2.639653 0.6862098,-2.464975 -5.049892 0.2500123,-2.546797 -4.019899 0.4187023,-2.630194 -3.371174 0.6031381,-2.706079 -2.811629 0.7462675,-2.126736 -5.218776 0.3636031,-2.084245 -4.375989 0.5129971,-2.079365 -3.836815 0.6702895,-2.095372 -3.314756 0.8080109,-7.710871 -7.734876 0.0001896198,-7.141056 -7.439464 0.2601569,-6.628546 -6.766353 0.4099788,-6.266545 -6.093483 0.586133,-5.951487 -5.689268 0.7601138,-7.006855 -5.21363 0.1624683,-6.870496 -4.142562 0.2946668,-6.817398 -3.480702 0.4433014,-6.77729 -2.913475 0.5748905,-7.33121 -5.029722 0.1801496,-7.209849 -3.830122 0.288648,-7.138529 -3.075149 0.4954778,-7.081188 -2.408708 0.6899543,-7.655681 -5.088357 0.2252109,-7.588415 -3.970751 0.3281574,-7.52994 -3.296099 0.4840083,-7.472596 -2.701926 0.6320661,-7.991709 -5.346416 0.298518,-8.078775 -4.546281 0.4186112,-8.10731 -4.03623 0.5497763,-8.107475 -3.519683 0.652387,0.01667,0 0 0 0 0 0 True
-2.3739 -7.579965 -0.01101039,-2.932236 -7.377431 0.2408869,-3.443519 -6.784406 0.3925441,-3.811652 -6.210083 0.5505697,-4.138906 -5.868393 0.7348025,-3.109467 -5.271081 0.1112144,-3.326138 -4.341294 0.2730666,-3.443805 -3.783901 0.4146685,-3.546536 -3.23593 0.5282731,-2.779569 -5.03693 0.1498299,-2.915004 -3.948856 0.3330765,-3.001167 -3.23055 0.5262962,-3.074265 -2.58827 0.6879928,-2.457254 -5.017967 0.2422486,-2.533948 -3.981033 0.4121965,-2.615941 -3.31931 0.5978476,-2.693318 -2.753932 0.7442602,-2.12091 -5.186347 0.3609549,-2.075662 -4.33815 0.5069147,-2.067707 -3.785525 0.66628,-2.081693 -3.253557 0.810185,-7.71879 -7.730552 -0.0128872,-7.151866 -7.425292 0.2396182,-6.637763 -6.745609 0.3890172,-6.269211 -6.072525 0.5677134,-5.947311 -5.661331 0.7464294,-7.015512 -5.213403 0.1568086,-6.88212 -4.134563 0.299055,-6.826847 -3.470493 0.4560479,-6.784119 -2.898335 0.5917112,-7.336044 -5.030812 0.1841897,-7.215072 -3.832757 0.3087254,-7.14158 -3.076791 0.5215344,-7.079919 -2.403461 0.7211872,-7.660035 -5.088923 0.2390236,-7.592352 -3.964761 0.3535785,-7.530895 -3.279741 0.5142103,-7.468656 -2.672596 0.662237,-7.997218 -5.348429 0.3191308,-8.084211 -4.540884 0.4490914,-8.113302 -4.02385 0.5823113,-8.115078 -3.49966 0.6834545,0.05000,0 0 0 0 0 0 True
-2.3739 -7.579965 -0.01101039,-2.932236 -7.377431 0.2408869,-3.443519 -6.784406 0.3925441,-3.811652 -6.210083 0.5505697,-4.138906 -5.868393 0.7348025,-3.109467 -5.271081 0.1112144,-3.326138 -4.341294 0.2730666,-3.443805 -3.783901 0.4146685,-3.546536 -3.23593 0.5282731,-2.779569 -5.03693 0.1498299,-2.915004 -3.948856 0.3330765,-3.001167 -3.23055 0.5262962,-3.074265 -2.58827 0.6879928,-2.457254 -5.017967 0.2422486,-2.533948 -3.981033 0.4121965,-2.615941 -3.31931 0.5978476,-2.693318 -2.753932 0.7442602,-2.12091 -5.186347 0.3609549,-2.075662 -4.33815 0.5069147,-2.067707 -3.785525 0.66628,-2.081693 -3.253557 0.810185,-7.71879 -7.730552 -0.0128872,-7.151866 -7.425292 0.2396182,-6.637763 -6.745609 0.3890172,-6.269211 -6.072525 0.5677134,-5.947311 -5.661331 0.7464294,-7.015512 -5.213403 0.1568086,-6.88212 -4.134563 0.299055,-6.826847 -3.470493 0.4560479,-6.784119 -2.898335 0.5917112,-7.336044 -5.030812 0.1841897,-7.215072 -3.832757 0.3087254,-7.14158 -3.076791 0.5215344,-7.079919 -2.403461 0.7211872,-7.660035 -5.088923 0.2390236,-7.592352 -3.964761 0.3535785,-7.530895 -3.279741 0.5142103,-7.468656 -2.672596 0.662237,-7.997218 -5.348429 0.3191308,-8.084211 -4.540884 0.4490914,-8.113302 -4.02385 0.5823113,-8.115078 -3.49966 0.6834545,0.08333,0 0 0 0 0 0 True
-2.362224 -7.588841 0.01067397,-2.926667 -7.383415 0.2561932,-3.447504 -6.776236 0.3928171,-3.827145 -6.204696 0.5285946,-4.158709 -5.882474 0.6895938,-3.096909 -5.274721 0.1424149,-3.315977 -4.328076 0.3014928,-3.436984 -3.75065 0.4323561,-3.539436 -3.198394 0.5411942,-2.767907 -5.039817 0.1761021,-2.90669 -3.950493 0.3607662,-2.993848 -3.230947 0.5404996,-3.066056 -2.597193 0.6930779,-2.444995 -5.021364 0.265896,-2.529156 -3.983282 0.4403273,-2.612179 -3.316622 0.6225924,-2.687891 -2.748031 0.7657307,-2.108133 -5.191529 0.3771926,-2.064477 -4.347043 0.5312827,-2.055837 -3.80498 0.6882202,-2.065109 -3.282732 0.8289157,-7.722457 -7.713987 -0.001814281,-7.156593 -7.404675 0.2453455,-6.644412 -6.73224 0.3957971,-6.280821 -6.062718 0.5757135,-5.956671 -5.652385 0.7580597,-7.016187 -5.194549 0.1690733,-6.883874 -4.117377 0.3137486,-6.832116 -3.453115 0.4743696,-6.792299 -2.879593 0.6133902,-7.338685 -5.011692 0.20206,-7.215575 -3.81545 0.3295694,-7.145657 -3.059831 0.5465655,-7.084352 -2.383573 0.7529154,-7.663567 -5.068349 0.2589926,-7.593167 -3.944387 0.3748995,-7.53686 -3.256484 0.5437264,-7.476266 -2.639719 0.7014379,-8.00072 -5.327594 0.3411073,-8.084847 -4.520063 0.467358,-8.114791 -4.006385 0.5997248,-8.115225 -3.481429 0.7039427,0.11667,0 0 0 0 0 0 True
-2.362224 -7.588841 0.01067397,-2.926667 -7.383415 0.2561932,-3.447504 -6.776236 0.3928171,-3.827145 -6.204696 0.5285946,-4.158709 -5.882474 0.6895938,-3.096909 -5.274721 0.1424149,-3.315977 -4.328076 0.3014928,-3.436984 -3.75065 0.4323561,-3.539436 -3.198394 0.5411942,-2.767907 -5.039817 0.1761021,-2.90669 -3.950493 0.3607662,-2.993848 -3.230947 0.5404996,-3.066056 -2.597193 0.6930779,-2.444995 -5.021364 0.265896,-2.529156 -3.983282 0.4403273,-2.612179 -3.316622 0.6225924,-2.687891 -2.748031 0.7657307,-2.108133 -5.191529 0.3771926,-2.064477 -4.347043 0.5312827,-2.055837 -3.80498 0.6882202,-2.065109 -3.282732 0.8289157,-7.722457 -7.713987 -0.001814281,-7.156593 -7.404675 0.2453455,-6.644412 -6.73224 0.3957971,-6.280821 -6.062718 0.5757135,-5.956671 -5.652385 0.7580597,-7.016187 -5.194549 0.1690733,-6.883874 -4.117377 0.3137486,-6.832116 -3.453115 0.4743696,-6.792299 -2.879593 0.6133902,-7.338685 -5.011692 0.20206,-7.215575 -3.81545 0.3295694,-7.145657 -3.059831 0.5465655,-7.084352 -2.383573 0.7529154,-7.663567 -5.068349 0.2589926,-7.593167 -3.944387 0.3748995,-7.53686 -3.256484 0.5437264,-7.476266 -2.639719 0.7014379,-8.00072 -5.327594 0.3411073,-8.084847 -4.520063 0.467358,-8.114791 -4.006385 0.5997248,-8.115225 -3.481429 0.7039427,0.15000,0 0 0 0 0 0 True
-2.375713 -7.577041 0.0282746,-2.934796 -7.378699 0.2530053,-3.448717 -6.77235 0.3786866,-3.827566 -6.205311 0.510841,-4.157055 -5.882772 0.6688651,-3.102818 -5.253811 0.1092774,-3.328289 -4.316429 0.2526224,-3.453556 -3.750495 0.3723056,-3.560947 -3.207021 0.4712767,-2.775167 -5.019613 0.1523643,-2.913091 -3.934421 0.321369,-3.001835 -3.224027 0.4977496,-3.072686 -2.590307 0.6454335,-2.455589 -4.999021 0.252619,-2.540762 -3.964357 0.4172013,-2.627321 -3.301051 0.5991499,-2.70344 -2.730201 0.7407558,-2.121322 -5.166107 0.3729844,-2.076217 -4.319709 0.517004,-2.06732 -3.77835 0.6706088,-2.075221 -3.251015 0.8091097,-7.70067 -7.719833 0.004897377,-7.138043 -7.406745 0.255005,-6.633262 -6.724873 0.4040227,-6.272916 -6.059036 0.5859709,-5.95788 -5.6422 0.7739956,-7.019404 -5.186013 0.1639388,-6.882285 -4.113744 0.3031742,-6.821842 -3.453529 0.4647449,-6.776407 -2.881254 0.6074193,-7.336228 -5.012323 0.2005847,-7.213346 -3.816356 0.3198021,-7.139708 -3.057141 0.5379788,-7.079923 -2.383655 0.7400491,-7.656357 -5.079712 0.2654783,-7.589327 -3.957999 0.3790571,-7.529422 -3.265823 0.5472583,-7.469357 -2.655241 0.7043882,-7.990079 -5.349189 0.3560376,-8.07979 -4.54046 0.4878838,-8.1091 -4.017865 0.6234443,-8.11072 -3.491113 0.7277501,0.18333,0 0 0 0 0 0 True
-2.375713 -7.577041 0.0282746,-2.934796 -7.378699 0.2530053,-3.448717 -6.77235 0.3786866,-3.827566 -6.205311 0.510841,-4.157055 -5.882772 0.6688651,-3.102818 -5.253811 0.1092774,-3.328289 -4.316429 0.2526224,-3.453556 -3.750495 0.3723056,-3.560947 -3.207021 0.4712767,-2.775167 -5.019613 0.1523643,-2.913091 -3.934421 0.321369,-3.001835 -3.224027 0.4977496,-3.072686 -2.590307 0.6454335,-2.455589 -4.999021 0.252619,-2.540762 -3.964357 0.4172013,-2.627321 -3.301051 0.5991499,-2.70344 -2.730201 0.7407558,-2.121322 -5.166107 0.3729844,-2.076217 -4.319709 0.517004,-2.06732 -3.77835 0.6706088,-2.075221 -3.251015 0.8091097,-7.70067 -7.719833 0.004897377,-7.138043 -7.406745 0.255005,-6.633262 -6.724873 0.4040227,-6.272916 -6.059036 0.5859709,-5.95788 -5.6422 0.7739956,-7.019404 -5.186013 0.1639388,-6.882285 -4.113744 0.3031742,-6.821842 -3.453529 0.4647449,-6.776407 -2.881254 0.6074193,-7.336228 -5.012323 0.2005847,-7.213346 -3.816356 0.3198021,-7.139708 -3.057141 0.5379788,-7.079923 -2.383655 0.7400491,-7.656357 -5.079712 0.2654783,-7.589327 -3.957999 0.3790571,-7.529422 -3.265823 0.5472583,-7.469357 -2.655241 0.7043882,-7.990079 -5.349189 0.3560376,-8.07979 -4.54046 0.4878838,-8.1091 -4.017865 0.6234443,-8.11072 -3.491113 0.7277501,0.21667,0 0 0 0 0 0 True
-2.401312 -7.581724 -0.005055763,-2.962045 -7.378403 0.2136866,-3.471628 -6.77751 0.3361009,-3.838204 -6.216791 0.4666318,-4.158249 -5.88688 0.6168457,-3.11359 -5.266949 0.09259188,-3.343198 -4.32896 0.244982,-3.474709 -3.758838 0.3727558,-3.586102 -3.217069 0.471861,-2.787039 -5.033106 0.1428304,-2.922215 -3.933876 0.3325444,-3.01229 -3.216983 0.5162272,-3.081008 -2.582839 0.6629213,-2.469641 -5.012033 0.2482789,-2.54463 -3.96911 0.424416,-2.623442 -3.308685 0.6054201,-2.687975 -2.745474 0.7454378,-2.140354 -5.177986 0.3719191,-2.095955 -4.32766 0.5245647,-2.087688 -3.782859 0.6757083,-2.097083 -3.257948 0.807768,-7.686783 -7.73998 0.0166602,-7.132904 -7.407749 0.245217,-6.627953 -6.724287 0.3852496,-6.263779 -6.068407 0.5606164,-5.942719 -5.672912 0.7418519,-7.017188 -5.201452 0.1646026,-6.886724 -4.130437 0.3072449,-6.823735 -3.476994 0.4619345,-6.775054 -2.91565 0.5966063,-7.331032 -5.028589 0.221633,-7.210544 -3.841827 0.3496448,-7.131208 -3.083191 0.5605203,-7.064371 -2.413437 0.7570496,-7.649008 -5.094711 0.3035823,-7.579393 -3.98379 0.4317724,-7.514222 -3.285996 0.597012,-7.448507 -2.670081 0.7477154,-7.978353 -5.363412 0.4109142,-8.071498 -4.558366 0.5594196,-8.10189 -4.033628 0.6989656,-8.104218 -3.502923 0.8043424,0.25000,0 0 0 0 0 0 True
-2.398782 -7.586275 0.01012672,-2.958661 -7.372302 0.224142,-3.464552 -6.767217 0.3427558,-3.832907 -6.203565 0.4705536,-4.15362 -5.878416 0.6209037,-3.114379 -5.264843 0.0997616,-3.345412 -4.327539 0.2446209,-3.477701 -3.761409 0.3669327,-3.590128 -3.222346 0.4675145,-2.790214 -5.033744 0.151258,-2.926004 -3.935369 0.3307286,-3.016638 -3.224464 0.511516,-3.087735 -2.593305 0.6551342,-2.474487 -5.019294 0.257716,-2.551255 -3.971744 0.4261403,-2.634749 -3.309858 0.6042298,-2.705183 -2.745019 0.7429734,-2.144676 -5.193811 0.384175,-2.099127 -4.346856 0.5309174,-2.092849 -3.79947 0.6825595,-2.103091 -3.272647 0.8120562,-7.684488 -7.750564 0.001038755,-7.12619 -7.41859 0.2378629,-6.62361 -6.742549 0.3789123,-6.261082 -6.080118 0.5521728,-5.943842 -5.687582 0.7280821,-7.012049 -5.215076 0.1327998,-6.88509 -4.149312 0.270924,-6.824984 -3.498122 0.427296,-6.77744 -2.942985 0.5639124,-7.328406 -5.041728 0.1779167,-7.212336 -3.859601 0.3041337,-7.137276 -3.110197 0.5143418,-7.068575 -2.443705 0.7096487,-7.646637 -5.10247 0.2480832,-7.579266 -3.989193 0.3707964,-7.516083 -3.305669 0.529276,-7.445507 -2.698538 0.6686155,-7.974316 -5.364899 0.3454647,-8.069161 -4.57249 0.4839376,-8.106007 -4.056571 0.6141527,-8.109828 -3.527615 0.7100338,0.28333,0 0 0 0 0 0 True
-2.398782 -7.586275 0.01012672,-2.958661 -7.372302 0.224142,-3.464552 -6.767217 0.3427558,-3.832907 -6.203565 0.4705536,-4.15362 -5.878416 0.6209037,-3.114379 -5.264843 0.0997616,-3.345412 -4.327539 0.2446209,-3.477701 -3.761409 0.3669327,-3.590128 -3.222346 0.4675145,-2.790214 -5.033744 0.151258,-2.926004 -3.935369 0.3307286,-3.016638 -3.224464 0.511516,-3.087735 -2.593305 0.6551342,-2.474487 -5.019294 0.257716,-2.551255 -3.971744 0.4261403,-2.634749 -3.309858 0.6042298,-2.705183 -2.745019 0.7429734,-2.144676 -5.193811 0.384175,-2.099127 -4.346856 0.5309174,-2.092849 -3.79947 0.6825595,-2.103091 -3.272647 0.8120562,-7.684488 -7.750564 0.001038755,-7.12619 -7.41859 0.2378629,-6.62361 -6.742549 0.3789123,-6.261082 -6.080118 0.5521728,-5.943842 -5.687582 0.7280821,-7.012049 -5.215076 0.1327998,-6.88509 -4.149312 0.270924,-6.824984 -3.498122 0.427296,-6.77744 -2.942985 0.5639124,-7.328406 -5.041728 0.1779167,-7.212336 -3.859601 0.3041337,-7.137276 -3.110197 0.5143418,-7.068575 -2.443705 0.7096487,-7.646637 -5.10247 0.2480832,-7.579266 -3.989193 0.3707964,-7.516083 -3.305669 0.529276,-7.445507 -2.698538 0.6686155,-7.974316 -5.364899 0.3454647,-8.069161 -4.57249 0.4839376,-8.106007 -4.056571 0.6141527,-8.109828 -3.527615 0.7100338,0.31667,0 0 0 0 0 0 True
