WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-1.668298 -7.797193 -0.2402869,-2.454455 -7.483038 0.01665825,-3.129587 -6.678411 0.1725252,-3.581705 -5.858957 0.3535122,-4.021818 -5.370208 0.5658587,-2.739812 -4.709842 -0.1119202,-3.055944 -3.529992 0.06719244,-3.213709 -2.805078 0.2061165,-3.346563 -2.0934 0.3138062,-2.320857 -4.376758 -0.04721837,-2.525547 -2.998378 0.1783794,-2.654695 -2.107184 0.403585,-2.76418 -1.277393 0.6073362,-1.907024 -4.334787 0.09109417,-2.01771 -2.995025 0.2919756,-2.127162 -2.175405 0.5291862,-2.229258 -1.439664 0.7201931,-1.472383 -4.546511 0.2490154,-1.430574 -3.436143 0.4232039,-1.420815 -2.737274 0.6322459,-1.428778 -2.045938 0.8102316,-9.303905 -7.785351 -0.1533921,-8.537191 -7.358423 0.09027475,-7.875211 -6.544615 0.3046515,-7.418324 -5.675797 0.5880832,-6.999507 -5.16027 0.8993751,-8.310598 -4.487958 -0.02960248,-8.112729 -3.123815 0.147114,-8.013942 -2.307247 0.3493222,-7.928685 -1.58907 0.5170263,-8.746574 -4.210716 0.07882658,-8.572897 -2.660123 0.2186716,-8.444145 -1.680957 0.4832245,-8.333194 -0.8422856 0.6916468,-9.170332 -4.247056 0.2283555,-9.056017 -2.76066 0.3684963,-8.926078 -1.885032 0.5767958,-8.793674 -1.147502 0.7390634,-9.617707 -4.53692 0.4081488,-9.679371 -3.367715 0.605197,-9.669872 -2.620103 0.7724109,-9.624152 -1.904291 0.8751577,0.01667,1 0 1
-1.668298 -7.797193 -0.2402869,-2.454455 -7.483038 0.01665825,-3.129587 -6.678411 0.1725252,-3.581705 -5.858957 0.3535122,-4.021818 -5.370208 0.5658587,-2.739812 -4.709842 -0.1119202,-3.055944 -3.529992 0.06719244,-3.213709 -2.805078 0.2061165,-3.346563 -2.0934 0.3138062,-2.320857 -4.376758 -0.04721837,-2.525547 -2.998378 0.1783794,-2.654695 -2.107184 0.403585,-2.76418 -1.277393 0.6073362,-1.907024 -4.334787 0.09109417,-2.01771 -2.995025 0.2919756,-2.127162 -2.175405 0.5291862,-2.229258 -1.439664 0.7201931,-1.472383 -4.546511 0.2490154,-1.430574 -3.436143 0.4232039,-1.420815 -2.737274 0.6322459,-1.428778 -2.045938 0.8102316,-9.303905 -7.785351 -0.1533921,-8.537191 -7.358423 0.09027475,-7.875211 -6.544615 0.3046515,-7.418324 -5.675797 0.5880832,-6.999507 -5.16027 0.8993751,-8.310598 -4.487958 -0.02960248,-8.112729 -3.123815 0.147114,-8.013942 -2.307247 0.3493222,-7.928685 -1.58907 0.5170263,-8.746574 -4.210716 0.07882658,-8.572897 -2.660123 0.2186716,-8.444145 -1.680957 0.4832245,-8.333194 -0.8422856 0.6916468,-9.170332 -4.247056 0.2283555,-9.056017 -2.76066 0.3684963,-8.926078 -1.885032 0.5767958,-8.793674 -1.147502 0.7390634,-9.617707 -4.53692 0.4081488,-9.679371 -3.367715 0.605197,-9.669872 -2.620103 0.7724109,-9.624152 -1.904291 0.8751577,0.05000,1 0 1
-1.702756 -7.734144 -0.516673,-2.45975 -7.431033 -0.2876461,-3.125149 -6.618471 -0.1596813,-3.57947 -5.798159 -0.0008555651,-4.021374 -5.335742 0.1884918,-2.728422 -4.713201 -0.4160587,-3.049166 -3.53899 -0.2447357,-3.198434 -2.815231 -0.119699,-3.312356 -2.089453 -0.01550901,-2.317357 -4.386011 -0.342238,-2.525908 -3.002794 -0.1309111,-2.642183 -2.099471 0.07615376,-2.732799 -1.276565 0.2639263,-1.911311 -4.341409 -0.1939463,-2.032106 -2.988428 0.00154227,-2.136328 -2.149761 0.2177539,-2.229282 -1.405595 0.3990017,-1.475682 -4.546856 -0.02650252,-1.44211 -3.438025 0.1457923,-1.43346 -2.739184 0.3497642,-1.443224 -2.052312 0.5333011,-9.279145 -7.674728 -0.4257814,-8.525856 -7.264297 -0.1419674,-7.871085 -6.477093 0.09563345,-7.403183 -5.621386 0.3904045,-6.980565 -5.083907 0.7218304,-8.292652 -4.443843 -0.2297177,-8.097004 -3.080026 -0.03705692,-8.01073 -2.267344 0.1710278,-7.939235 -1.554281 0.335903,-8.726482 -4.182897 -0.1319946,-8.546742 -2.623833 0.03685254,-8.431024 -1.662708 0.3000654,-8.329972 -0.8535647 0.5003679,-9.155973 -4.239643 -0.000159502,-9.036277 -2.745666 0.1671206,-8.914879 -1.866928 0.3977112,-8.784385 -1.126581 0.5694963,-9.61047 -4.550565 0.1682433,-9.661654 -3.410615 0.3894153,-9.650928 -2.672597 0.5748061,-9.600847 -1.957205 0.6906542,0.08333,1 0 1
-1.702756 -7.734144 -0.516673,-2.45975 -7.431033 -0.2876461,-3.125149 -6.618471 -0.1596813,-3.57947 -5.798159 -0.0008555651,-4.021374 -5.335742 0.1884918,-2.728422 -4.713201 -0.4160587,-3.049166 -3.53899 -0.2447357,-3.198434 -2.815231 -0.119699,-3.312356 -2.089453 -0.01550901,-2.317357 -4.386011 -0.342238,-2.525908 -3.002794 -0.1309111,-2.642183 -2.099471 0.07615376,-2.732799 -1.276565 0.2639263,-1.911311 -4.341409 -0.1939463,-2.032106 -2.988428 0.00154227,-2.136328 -2.149761 0.2177539,-2.229282 -1.405595 0.3990017,-1.475682 -4.546856 -0.02650252,-1.44211 -3.438025 0.1457923,-1.43346 -2.739184 0.3497642,-1.443224 -2.052312 0.5333011,-9.279145 -7.674728 -0.4257814,-8.525856 -7.264297 -0.1419674,-7.871085 -6.477093 0.09563345,-7.403183 -5.621386 0.3904045,-6.980565 -5.083907 0.7218304,-8.292652 -4.443843 -0.2297177,-8.097004 -3.080026 -0.03705692,-8.01073 -2.267344 0.1710278,-7.939235 -1.554281 0.335903,-8.726482 -4.182897 -0.1319946,-8.546742 -2.623833 0.03685254,-8.431024 -1.662708 0.3000654,-8.329972 -0.8535647 0.5003679,-9.155973 -4.239643 -0.000159502,-9.036277 -2.745666 0.1671206,-8.914879 -1.866928 0.3977112,-8.784385 -1.126581 0.5694963,-9.61047 -4.550565 0.1682433,-9.661654 -3.410615 0.3894153,-9.650928 -2.672597 0.5748061,-9.600847 -1.957205 0.6906542,0.11667,1 0 1
-1.705789 -7.63602 -0.7962853,-2.459949 -7.346193 -0.5531055,-3.121756 -6.568626 -0.4102712,-3.573105 -5.764848 -0.242797,-4.0103 -5.302316 -0.04332328,-2.727339 -4.696375 -0.6643377,-3.048133 -3.525207 -0.4960884,-3.203623 -2.803522 -0.3660969,-3.326294 -2.090758 -0.253576,-2.319303 -4.370306 -0.5993472,-2.535219 -2.983449 -0.3847601,-2.656706 -2.08765 -0.1686836,-2.752542 -1.276624 0.02385497,-1.916267 -4.324128 -0.4642324,-2.040998 -2.982179 -0.26433,-2.148517 -2.149167 -0.03951681,-2.244091 -1.415584 0.1480679,-1.489913 -4.520132 -0.3090878,-1.461717 -3.425945 -0.1321246,-1.46041 -2.742495 0.07519543,-1.479595 -2.082452 0.2598292,-9.214074 -7.58673 -0.5258214,-8.480657 -7.174488 -0.2576922,-7.840509 -6.398893 -0.02066016,-7.381565 -5.557159 0.2742577,-6.96761 -5.036186 0.6153697,-8.28157 -4.380912 -0.3105917,-8.086399 -3.040243 -0.1191399,-8.002365 -2.228685 0.08634353,-7.929854 -1.520427 0.2497432,-8.711296 -4.118903 -0.2030995,-8.522733 -2.586101 -0.02872074,-8.40186 -1.623059 0.238335,-8.295169 -0.8176293 0.4501852,-9.139354 -4.169336 -0.06582388,-9.002428 -2.68894 0.1129387,-8.872574 -1.805811 0.3394594,-8.73448 -1.072914 0.5095363,-9.596439 -4.471061 0.1040401,-9.654232 -3.335029 0.3284285,-9.646996 -2.614179 0.508335,-9.594496 -1.922094 0.628834,0.15000,1 0 1
-1.705789 -7.63602 -0.7962853,-2.459949 -7.346193 -0.5531055,-3.121756 -6.568626 -0.4102712,-3.573105 -5.764848 -0.242797,-4.0103 -5.302316 -0.04332328,-2.727339 -4.696375 -0.6643377,-3.048133 -3.525207 -0.4960884,-3.203623 -2.803522 -0.3660969,-3.326294 -2.090758 -0.253576,-2.319303 -4.370306 -0.5993472,-2.535219 -2.983449 -0.3847601,-2.656706 -2.08765 -0.1686836,-2.752542 -1.276624 0.02385497,-1.916267 -4.324128 -0.4642324,-2.040998 -2.982179 -0.26433,-2.148517 -2.149167 -0.03951681,-2.244091 -1.415584 0.1480679,-1.489913 -4.520132 -0.3090878,-1.461717 -3.425945 -0.1321246,-1.46041 -2.742495 0.07519543,-1.479595 -2.082452 0.2598292,-9.214074 -7.58673 -0.5258214,-8.480657 -7.174488 -0.2576922,-7.840509 -6.398893 -0.02066016,-7.381565 -5.557159 0.2742577,-6.96761 -5.036186 0.6153697,-8.28157 -4.380912 -0.3105917,-8.086399 -3.040243 -0.1191399,-8.002365 -2.228685 0.08634353,-7.929854 -1.520427 0.2497432,-8.711296 -4.118903 -0.2030995,-8.522733 -2.586101 -0.02872074,-8.40186 -1.623059 0.238335,-8.295169 -0.8176293 0.4501852,-9.139354 -4.169336 -0.06582388,-9.002428 -2.68894 0.1129387,-8.872574 -1.805811 0.3394594,-8.73448 -1.072914 0.5095363,-9.596439 -4.471061 0.1040401,-9.654232 -3.335029 0.3284285,-9.646996 -2.614179 0.508335,-9.594496 -1.922094 0.628834,0.18333,1 0 1
-1.742033 -7.58282 -0.8986671,-2.483647 -7.29682 -0.6741112,-3.135189 -6.525643 -0.5406151,-3.58037 -5.730386 -0.377299,-4.004568 -5.26066 -0.1782035,-2.737313 -4.661191 -0.7994102,-3.055428 -3.509037 -0.6319969,-3.209547 -2.795249 -0.5075754,-3.326645 -2.091364 -0.4057717,-2.334054 -4.341875 -0.7200384,-2.542334 -2.971199 -0.5065873,-2.662358 -2.073171 -0.293632,-2.753051 -1.269578 -0.1051992,-1.932746 -4.296374 -0.5706939,-2.054903 -2.959877 -0.3704453,-2.165496 -2.119609 -0.1490716,-2.260966 -1.391279 0.0329529,-1.502885 -4.493824 -0.4067408,-1.467486 -3.396812 -0.2350051,-1.464564 -2.700608 -0.03909743,-1.482474 -2.031839 0.1378539,-9.136941 -7.525636 -0.6407357,-8.404038 -7.146798 -0.4071758,-7.788791 -6.364622 -0.1870334,-7.348807 -5.536166 0.08998686,-6.92971 -5.061656 0.4064181,-8.241503 -4.334701 -0.4523899,-8.045642 -3.008892 -0.2572844,-7.954607 -2.216307 -0.06111842,-7.876334 -1.508605 0.09110463,-8.67382 -4.084536 -0.3282465,-8.497943 -2.554743 -0.1594732,-8.376198 -1.591152 0.0953052,-8.274434 -0.788197 0.2885967,-9.107177 -4.150478 -0.1732914,-8.978948 -2.670737 -0.0114674,-8.852595 -1.776908 0.1942505,-8.723779 -1.036306 0.3452416,-9.567322 -4.471649 0.01253188,-9.624162 -3.327091 0.233313,-9.612831 -2.582384 0.4014283,-9.562822 -1.878831 0.5000625,0.21667,1 0 1
-1.742033 -7.58282 -0.8986671,-2.483647 -7.29682 -0.6741112,-3.135189 -6.525643 -0.5406151,-3.58037 -5.730386 -0.377299,-4.004568 -5.26066 -0.1782035,-2.737313 -4.661191 -0.7994102,-3.055428 -3.509037 -0.6319969,-3.209547 -2.795249 -0.5075754,-3.326645 -2.091364 -0.4057717,-2.334054 -4.341875 -0.7200384,-2.542334 -2.971199 -0.5065873,-2.662358 -2.073171 -0.293632,-2.753051 -1.269578 -0.1051992,-1.932746 -4.296374 -0.5706939,-2.054903 -2.959877 -0.3704453,-2.165496 -2.119609 -0.1490716,-2.260966 -1.391279 0.0329529,-1.502885 -4.493824 -0.4067408,-1.467486 -3.396812 -0.2350051,-1.464564 -2.700608 -0.03909743,-1.482474 -2.031839 0.1378539,-9.136941 -7.525636 -0.6407357,-8.404038 -7.146798 -0.4071758,-7.788791 -6.364622 -0.1870334,-7.348807 -5.536166 0.08998686,-6.92971 -5.061656 0.4064181,-8.241503 -4.334701 -0.4523899,-8.045642 -3.008892 -0.2572844,-7.954607 -2.216307 -0.06111842,-7.876334 -1.508605 0.09110463,-8.67382 -4.084536 -0.3282465,-8.497943 -2.554743 -0.1594732,-8.376198 -1.591152 0.0953052,-8.274434 -0.788197 0.2885967,-9.107177 -4.150478 -0.1732914,-8.978948 -2.670737 -0.0114674,-8.852595 -1.776908 0.1942505,-8.723779 -1.036306 0.3452416,-9.567322 -4.471649 0.01253188,-9.624162 -3.327091 0.233313,-9.612831 -2.582384 0.4014283,-9.562822 -1.878831 0.5000625,0.25000,1 0 1
-1.756191 -7.503486 -1.039825,-2.497952 -7.241117 -0.813244,-3.142291 -6.482019 -0.6897881,-3.577516 -5.680998 -0.5364002,-3.995713 -5.201093 -0.3471152,-2.745677 -4.617733 -0.972096,-3.061206 -3.462417 -0.8225149,-3.215346 -2.750572 -0.7098926,-3.330188 -2.056916 -0.612875,-2.343523 -4.300947 -0.8964057,-2.547366 -2.927004 -0.6981817,-2.662303 -2.024848 -0.494828,-2.744557 -1.22896 -0.3193955,-1.942907 -4.257176 -0.7498313,-2.057461 -2.917714 -0.5587949,-2.160761 -2.072542 -0.3409552,-2.248685 -1.348161 -0.1649182,-1.511673 -4.452905 -0.5876935,-1.470501 -3.35161 -0.4174079,-1.46278 -2.649889 -0.2189494,-1.475978 -1.980318 -0.04124194,-9.077915 -7.484274 -0.8743045,-8.346231 -7.103007 -0.6220622,-7.732406 -6.344717 -0.3911452,-7.294312 -5.52355 -0.09926957,-6.874863 -5.026658 0.2180133,-8.196636 -4.358884 -0.6682136,-7.983026 -3.043367 -0.4227229,-7.881221 -2.274575 -0.2068105,-7.802076 -1.582488 -0.05673701,-8.619436 -4.113128 -0.5313401,-8.433049 -2.572196 -0.3319708,-8.304296 -1.617857 -0.06368959,-8.19913 -0.8238559 0.1397932,-9.044342 -4.181325 -0.3548516,-8.913364 -2.702493 -0.1521779,-8.789659 -1.801104 0.08274353,-8.656909 -1.03737 0.2584406,-9.499668 -4.503227 -0.1456748,-9.566306 -3.359351 0.1108242,-9.55724 -2.606076 0.3132489,-9.499567 -1.87923 0.4383985,0.28333,1 0 1
-1.756191 -7.503486 -1.039825,-2.497952 -7.241117 -0.813244,-3.142291 -6.482019 -0.6897881,-3.577516 -5.680998 -0.5364002,-3.995713 -5.201093 -0.3471152,-2.745677 -4.617733 -0.972096,-3.061206 -3.462417 -0.8225149,-3.215346 -2.750572 -0.7098926,-3.330188 -2.056916 -0.612875,-2.343523 -4.300947 -0.8964057,-2.547366 -2.927004 -0.6981817,-2.662303 -2.024848 -0.494828,-2.744557 -1.22896 -0.3193955,-1.942907 -4.257176 -0.7498313,-2.057461 -2.917714 -0.5587949,-2.160761 -2.072542 -0.3409552,-2.248685 -1.348161 -0.1649182,-1.511673 -4.452905 -0.5876935,-1.470501 -3.35161 -0.4174079,-1.46278 -2.649889 -0.2189494,-1.475978 -1.980318 -0.04124194,-9.077915 -7.484274 -0.8743045,-8.346231 -7.103007 -0.6220622,-7.732406 -6.344717 -0.3911452,-7.294312 -5.52355 -0.09926957,-6.874863 -5.026658 0.2180133,-8.196636 -4.358884 -0.6682136,-7.983026 -3.043367 -0.4227229,-7.881221 -2.274575 -0.2068105,-7.802076 -1.582488 -0.05673701,-8.619436 -4.113128 -0.5313401,-8.433049 -2.572196 -0.3319708,-8.304296 -1.617857 -0.06368959,-8.19913 -0.8238559 0.1397932,-9.044342 -4.181325 -0.3548516,-8.913364 -2.702493 -0.1521779,-8.789659 -1.801104 0.08274353,-8.656909 -1.03737 0.2584406,-9.499668 -4.503227 -0.1456748,-9.566306 -3.359351 0.1108242,-9.55724 -2.606076 0.3132489,-9.499567 -1.87923 0.4383985,0.31667,1 0 1
