WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.352155 -8.361263 0.003611104,-2.964567 -8.202316 0.4984841,-3.562137 -7.628206 0.788219,-3.990395 -7.005538 1.031742,-4.339495 -6.614002 1.282044,-3.169674 -5.862827 0.6093255,-3.432003 -4.729272 0.9353797,-3.548975 -4.036352 1.153018,-3.626101 -3.372962 1.341912,-2.81559 -5.617519 0.5834017,-3.01187 -4.289108 0.9349388,-3.01187 -4.289108 0.9349388,-3.144117 -2.725194 1.408111,-2.455538 -5.636892 0.6217227,-2.560024 -4.390842 0.9324211,-2.631013 -3.591752 1.180027,-2.69633 -2.90409 1.387122,-2.070839 -5.882278 0.6961215,-2.00757 -4.89798 0.9641241,-1.968279 -4.275096 1.19851,-1.945893 -3.676469 1.396803,-9.13939 -8.288906 0.03452763,-8.431006 -8.062004 0.3070394,-7.819109 -7.344789 0.549289,-7.379627 -6.650286 0.8478122,-6.961876 -6.195715 1.170035,-8.217293 -5.400648 0.2745156,-8.00024 -4.166109 0.5338489,-7.874384 -3.415602 0.785613,-7.762705 -2.734728 0.9781488,-8.600194 -5.141098 0.4252102,-8.389154 -3.696964 0.6390174,-8.242108 -2.764524 0.9533151,-8.118172 -1.967655 1.18819,-9.002517 -5.175808 0.6229967,-8.83081 -3.788551 0.8497938,-8.687632 -2.905627 1.117801,-8.544518 -2.160858 1.329021,-9.446453 -5.455832 0.8500879,-9.438478 -4.335197 1.114165,-9.378535 -3.58038 1.339567,-9.289847 -2.856545 1.509084,0.010, 10
-2.346509 -8.346947 -0.01312039,-2.95739 -8.195107 0.4880389,-3.554573 -7.625242 0.7855192,-3.988856 -7.011564 1.035627,-4.342308 -6.620574 1.298239,-3.169621 -5.859403 0.6037838,-3.432504 -4.731163 0.9285213,-3.548883 -4.038114 1.144888,-3.627371 -3.374033 1.334648,-2.817673 -5.611766 0.577278,-3.015107 -4.282865 0.9349232,-3.015107 -4.282865 0.9349232,-3.153118 -2.720706 1.405333,-2.459071 -5.626625 0.6129753,-2.561974 -4.384881 0.9320788,-2.633267 -3.587083 1.189984,-2.701014 -2.893628 1.405597,-2.076337 -5.865102 0.682997,-2.011459 -4.897647 0.959545,-1.971985 -4.284539 1.199419,-1.949322 -3.691335 1.403628,-9.145378 -8.291014 0.02354182,-8.429108 -8.042198 0.2771087,-7.819515 -7.337713 0.5159998,-7.385657 -6.656152 0.8212742,-6.960505 -6.210025 1.155991,-8.202275 -5.412649 0.2473658,-7.981555 -4.187725 0.5063723,-7.858579 -3.428236 0.760949,-7.753631 -2.744958 0.9573897,-8.591203 -5.148386 0.4092776,-8.377288 -3.715556 0.6214003,-8.230922 -2.77968 0.9393266,-8.109545 -1.980319 1.182069,-8.997363 -5.174758 0.6199998,-8.833129 -3.793399 0.8467808,-8.693084 -2.904441 1.119707,-8.549312 -2.152532 1.338314,-9.442466 -5.442458 0.8578885,-9.457755 -4.322811 1.13114,-9.403744 -3.563412 1.35476,-9.311916 -2.838698 1.521729,0.110, 10
-2.354561 -8.357349 0.0401723,-2.964486 -8.188606 0.5157545,-3.559116 -7.624221 0.8024207,-3.979425 -7.000541 1.045866,-4.326572 -6.60424 1.298084,-3.162162 -5.851752 0.6368542,-3.417566 -4.729308 0.9554794,-3.527304 -4.037561 1.177361,-3.599257 -3.370649 1.368774,-2.804245 -5.600873 0.6217536,-2.999161 -4.279288 0.9584186,-2.999161 -4.279288 0.9584186,-3.130314 -2.73718 1.426708,-2.442883 -5.6213 0.6676919,-2.547897 -4.386808 0.972823,-2.620925 -3.602094 1.219196,-2.691375 -2.928188 1.4259,-2.056105 -5.869531 0.7503091,-1.993651 -4.906294 1.007491,-1.955282 -4.297399 1.230914,-1.935107 -3.716662 1.425645,-9.136555 -8.270245 -0.02519269,-8.43295 -8.026766 0.2679765,-7.83049 -7.350959 0.5367497,-7.391888 -6.677095 0.8630378,-6.96895 -6.213201 1.21501,-8.201225 -5.406664 0.2536738,-7.978916 -4.171958 0.5385729,-7.857656 -3.418592 0.8084068,-7.752045 -2.740518 1.00566,-8.583717 -5.148136 0.4099329,-8.368569 -3.702998 0.6405647,-8.223472 -2.767589 0.9641057,-8.10576 -1.972878 1.199524,-8.988695 -5.185899 0.6164965,-8.819503 -3.803138 0.8632057,-8.677288 -2.906602 1.150756,-8.533806 -2.146604 1.372903,-9.434369 -5.472847 0.8538678,-9.431866 -4.350076 1.142163,-9.371603 -3.595849 1.382412,-9.280042 -2.875062 1.564614,0.210, 10
-2.35568 -8.332783 -7.717416E-05,-2.96566 -8.190142 0.4847025,-3.561031 -7.625075 0.7776635,-3.98048 -6.992102 1.025525,-4.33009 -6.581088 1.282345,-3.171798 -5.84072 0.5935116,-3.424896 -4.698558 0.9124396,-3.534307 -4.008573 1.131702,-3.601974 -3.347805 1.325643,-2.817994 -5.589475 0.5775928,-3.009333 -4.260756 0.9235143,-3.009333 -4.260756 0.9235143,-3.128178 -2.715607 1.402804,-2.459334 -5.610614 0.6266744,-2.559667 -4.375473 0.9336169,-2.629189 -3.591676 1.18746,-2.692218 -2.907029 1.40027,-2.075512 -5.863937 0.7106035,-2.005167 -4.905188 0.9720271,-1.962674 -4.302957 1.199251,-1.935445 -3.719484 1.395168,-9.137283 -8.275379 0.004287241,-8.430093 -8.053629 0.3214334,-7.826246 -7.3606 0.5903549,-7.399858 -6.662538 0.9114187,-6.983171 -6.206524 1.256199,-8.198144 -5.416688 0.2949577,-7.981722 -4.177938 0.5655419,-7.862377 -3.419117 0.8189105,-7.758109 -2.738519 1.005963,-8.588063 -5.142063 0.425283,-8.372129 -3.695578 0.6489117,-8.227571 -2.765334 0.9570578,-8.107384 -1.966971 1.188308,-8.996081 -5.16318 0.6069693,-8.819571 -3.768548 0.8455487,-8.677827 -2.880533 1.119334,-8.535502 -2.130044 1.33333,-9.44463 -5.432611 0.8185644,-9.443195 -4.307594 1.093776,-9.38709 -3.555742 1.322927,-9.300982 -2.840868 1.499175,0.310, 10
-2.347759 -8.348818 0.04460182,-2.949772 -8.19533 0.5411435,-3.547126 -7.637496 0.8390266,-3.971081 -7.010803 1.091363,-4.321307 -6.605978 1.352061,-3.165993 -5.847315 0.6527698,-3.420691 -4.713536 0.9718968,-3.528602 -4.022748 1.188786,-3.597788 -3.363647 1.379528,-2.810656 -5.593534 0.6276567,-3.003396 -4.264873 0.9756437,-3.003396 -4.264873 0.9756437,-3.126398 -2.714859 1.438334,-2.449574 -5.608009 0.6664533,-2.555661 -4.36894 0.9769341,-2.624533 -3.580299 1.221727,-2.689938 -2.902408 1.425558,-2.062834 -5.853668 0.7441821,-2.003781 -4.881479 1.00639,-1.966056 -4.273506 1.23665,-1.946257 -3.68878 1.434545,-9.142303 -8.276518 0.0006029679,-8.431827 -8.057978 0.3136736,-7.818573 -7.35798 0.5719191,-7.38275 -6.665139 0.8839136,-6.959345 -6.213392 1.225749,-8.197382 -5.412076 0.2689386,-7.97541 -4.181624 0.5438722,-7.85243 -3.421163 0.8003595,-7.746974 -2.737478 0.9938571,-8.584915 -5.14346 0.4045848,-8.369479 -3.715036 0.6245885,-8.224591 -2.785272 0.9406758,-8.105443 -1.989105 1.170174,-8.988324 -5.172581 0.5942407,-8.819849 -3.805228 0.8306452,-8.678418 -2.931854 1.108974,-8.535838 -2.190723 1.325984,-9.430352 -5.447282 0.8171115,-9.43473 -4.351018 1.0962,-9.382143 -3.606383 1.330551,-9.298996 -2.886638 1.501803,0.410, 10
-2.357609 -8.365501 0.07554097,-2.964415 -8.195156 0.5436343,-3.555715 -7.628772 0.8211379,-3.9781 -6.998779 1.054012,-4.325394 -6.603892 1.293541,-3.162642 -5.842311 0.6319126,-3.41468 -4.721553 0.9336042,-3.524116 -4.029596 1.147059,-3.593548 -3.369653 1.338425,-2.809385 -5.589821 0.6119016,-3.005213 -4.274863 0.940907,-3.005213 -4.274863 0.940907,-3.134383 -2.731022 1.390364,-2.451247 -5.601816 0.6540173,-2.556729 -4.376998 0.9473864,-2.628652 -3.590227 1.181407,-2.693341 -2.913538 1.375158,-2.067312 -5.843163 0.7337903,-2.006793 -4.883968 0.9817846,-1.968834 -4.278119 1.199277,-1.947001 -3.694957 1.388274,-9.13455 -8.258747 -0.00115423,-8.431193 -8.049749 0.3057051,-7.826621 -7.36356 0.5750761,-7.39107 -6.67337 0.8956997,-6.97792 -6.208818 1.239861,-8.201971 -5.397539 0.2890325,-7.982907 -4.181195 0.5675901,-7.861128 -3.435744 0.8289144,-7.754444 -2.761578 1.02217,-8.586103 -5.128258 0.4300171,-8.367378 -3.683887 0.6549793,-8.223715 -2.761169 0.9615633,-8.105934 -1.965692 1.188849,-8.99034 -5.161836 0.6212781,-8.810675 -3.762834 0.8658642,-8.672396 -2.870751 1.146181,-8.534958 -2.110295 1.365997,-9.436731 -5.44602 0.8432163,-9.43058 -4.326556 1.120073,-9.376015 -3.575476 1.352915,-9.29355 -2.853028 1.53099,0.510, 10
-2.352882 -8.355425 0.01232893,-2.95839 -8.178871 0.5030335,-3.553603 -7.612488 0.792451,-3.980478 -6.986869 1.036857,-4.321632 -6.59413 1.289856,-3.158965 -5.852724 0.6056773,-3.417112 -4.718204 0.9248735,-3.52966 -4.018114 1.152753,-3.605427 -3.346509 1.353833,-2.803696 -5.604678 0.5810367,-3.001229 -4.282218 0.9250693,-3.001229 -4.282218 0.9250693,-3.136291 -2.731489 1.385658,-2.444098 -5.621233 0.6224096,-2.555624 -4.392322 0.9302322,-2.627997 -3.607505 1.175061,-2.698662 -2.925422 1.377298,-2.05841 -5.86112 0.7011558,-1.998848 -4.90192 0.9594034,-1.962865 -4.299335 1.181675,-1.946017 -3.71775 1.374946,-9.17831 -8.294735 0.0620387,-8.462246 -8.073273 0.3459802,-7.845254 -7.378553 0.5973953,-7.410622 -6.67851 0.9053918,-6.988088 -6.224056 1.235584,-8.212176 -5.424842 0.3120082,-7.99313 -4.188303 0.5731837,-7.875159 -3.426793 0.8247411,-7.771579 -2.74909 1.005344,-8.598766 -5.146727 0.4580792,-8.382658 -3.703107 0.6591333,-8.240096 -2.772243 0.9557511,-8.123441 -1.983608 1.179523,-9.007573 -5.16736 0.6562665,-8.829104 -3.78848 0.876196,-8.686055 -2.899658 1.139883,-8.545698 -2.156438 1.344233,-9.45845 -5.438379 0.884341,-9.446191 -4.317777 1.148779,-9.388149 -3.563276 1.372226,-9.301676 -2.843538 1.545922,0.610, 10
-2.329542 -8.346783 -0.03003825,-2.943467 -8.191557 0.4405783,-3.541206 -7.617502 0.7185368,-3.969298 -6.989149 0.956866,-4.320871 -6.596895 1.205257,-3.15955 -5.858495 0.5240041,-3.418383 -4.721622 0.8281841,-3.531086 -4.024354 1.041346,-3.603634 -3.361681 1.234086,-2.807454 -5.607604 0.5113286,-3.004302 -4.280144 0.8443059,-3.004302 -4.280144 0.8443059,-3.133961 -2.73971 1.308798,-2.448481 -5.622564 0.5641425,-2.555439 -4.38833 0.8623412,-2.626191 -3.604694 1.107207,-2.697484 -2.920838 1.311858,-2.064178 -5.863027 0.6548823,-2.002653 -4.902414 0.9101464,-1.966555 -4.295951 1.136355,-1.950456 -3.704917 1.33393,-9.18733 -8.32839 0.1704886,-8.469446 -8.0884 0.4125649,-7.847103 -7.37466 0.640642,-7.409674 -6.681829 0.9373146,-6.991382 -6.240088 1.266815,-8.218581 -5.42369 0.3672686,-7.998293 -4.199867 0.6074985,-7.880997 -3.434824 0.8493378,-7.78326 -2.756439 1.02847,-8.606654 -5.144943 0.5339748,-8.391397 -3.7163 0.7136965,-8.24634 -2.78165 1.011619,-8.129309 -1.994374 1.233037,-9.014699 -5.161952 0.7478541,-8.840269 -3.803637 0.9592727,-8.692449 -2.923599 1.223522,-8.548254 -2.193284 1.425159,-9.460824 -5.429313 0.9880487,-9.460737 -4.319279 1.251878,-9.406225 -3.567726 1.466654,-9.321306 -2.854631 1.625517,0.710, 10
-2.309994 -8.369892 -0.01771592,-2.927599 -8.211214 0.4752428,-3.533745 -7.640907 0.7628319,-3.964401 -6.998944 1.006324,-4.32084 -6.568785 1.256365,-3.160646 -5.893296 0.5837589,-3.41977 -4.756166 0.9117646,-3.533431 -4.060555 1.134449,-3.609516 -3.390054 1.326561,-2.804897 -5.636734 0.5561997,-3.00238 -4.312601 0.9162424,-3.00238 -4.312601 0.9162424,-3.132265 -2.745759 1.401127,-2.444818 -5.638762 0.5913777,-2.559458 -4.412455 0.9083908,-2.637028 -3.618938 1.1674,-2.708821 -2.922512 1.382234,-2.059563 -5.866483 0.6607738,-2.006766 -4.895713 0.9316564,-1.973222 -4.284936 1.169918,-1.956566 -3.69239 1.374626,-9.176824 -8.332855 0.1625104,-8.475848 -8.099113 0.4365232,-7.857898 -7.391142 0.6844321,-7.421558 -6.694681 0.993586,-7.005641 -6.239273 1.324255,-8.220283 -5.435318 0.3965885,-7.997854 -4.225692 0.6556404,-7.880293 -3.464519 0.9049609,-7.778133 -2.78533 1.085507,-8.606083 -5.15261 0.548646,-8.389165 -3.713364 0.7412391,-8.248669 -2.782517 1.042434,-8.139118 -1.990273 1.271392,-9.010885 -5.16912 0.7498361,-8.838965 -3.781397 0.9702863,-8.703321 -2.892349 1.235702,-8.570116 -2.139547 1.446844,-9.460277 -5.441062 0.9781592,-9.459938 -4.319467 1.237625,-9.402847 -3.570866 1.447371,-9.319 -2.859138 1.610885,0.810, 10
-2.335285 -8.404461 0.1643052,-2.936418 -8.209618 0.6086887,-3.504905 -7.556843 0.869943,-3.888153 -6.837204 1.116159,-4.264572 -6.388276 1.382882,-3.204233 -5.868622 0.6725661,-3.462067 -4.773187 0.9876789,-3.571234 -4.099551 1.187603,-3.636536 -3.438435 1.36769,-2.85704 -5.611965 0.6858427,-3.058697 -4.343898 1.03784,-3.058697 -4.343898 1.03784,-3.195551 -2.842769 1.505202,-2.502616 -5.624567 0.7699416,-2.621678 -4.41724 1.089988,-2.71294 -3.647036 1.342062,-2.788176 -2.943746 1.559344,-2.118641 -5.871036 0.8880537,-2.09948 -4.90788 1.163695,-2.08958 -4.291498 1.405351,-2.084013 -3.674633 1.614841,-9.224534 -8.346603 0.1565978,-8.508623 -8.12908 0.4543418,-7.879075 -7.420606 0.6950557,-7.43962 -6.696023 0.9935595,-7.028875 -6.23249 1.306663,-8.240149 -5.470928 0.4156527,-8.012255 -4.246187 0.6574903,-7.902456 -3.482879 0.8927115,-7.809676 -2.797163 1.063914,-8.630376 -5.172135 0.5402414,-8.405904 -3.737001 0.7110544,-8.269145 -2.797405 0.999196,-8.163121 -1.993567 1.226142,-9.040852 -5.179721 0.7152649,-8.858371 -3.809294 0.9116449,-8.72061 -2.915515 1.166685,-8.588724 -2.168015 1.376044,-9.494069 -5.44053 0.9192674,-9.481375 -4.324483 1.163802,-9.426158 -3.581961 1.374415,-9.343074 -2.879292 1.539106,0.910, 10
