WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.406129 -8.017315 0.0007974979,-2.927181 -7.670457 0.2561235,-3.347139 -6.932703 0.3814392,-3.58897 -6.214185 0.5276555,-3.823683 -5.722615 0.6826791,-2.963135 -5.477706 0.08722384,-3.119658 -4.51164 0.2436509,-3.204451 -3.934652 0.3391433,-3.274734 -3.382049 0.428053,-2.655701 -5.309007 0.139054,-2.743623 -4.21219 0.3048037,-2.743623 -4.21219 0.3048037,-2.860713 -2.908706 0.6181004,-2.354519 -5.351726 0.2649694,-2.364366 -4.29684 0.4438474,-2.410544 -3.638993 0.6222767,-2.461613 -3.027237 0.7834657,-2.040673 -5.595701 0.4169845,-1.91846 -4.768454 0.5837485,-1.862782 -4.230228 0.7514632,-1.821856 -3.712184 0.8919296,-8.254683 -8.249483 0.0006725093,-7.701271 -7.74336 0.2238302,-7.302314 -6.957238 0.4281201,-7.05166 -6.216991 0.6770376,-6.785645 -5.716808 0.9400934,-7.800342 -5.451381 0.1288855,-7.765593 -4.395736 0.2622831,-7.759332 -3.750459 0.415205,-7.761567 -3.202313 0.5287781,-8.143974 -5.375767 0.2028652,-8.166931 -4.143651 0.2935755,-8.174308 -3.383373 0.4728476,-8.186935 -2.734769 0.6130326,-8.456402 -5.548279 0.3062393,-8.513439 -4.413768 0.4079778,-8.516117 -3.710405 0.5514879,-8.508582 -3.10852 0.6632436,-8.756998 -5.918916 0.4429933,-8.918022 -5.119159 0.5616883,-8.988215 -4.581576 0.6720501,-9.030331 -4.056697 0.7458049,0.010,7  0
-2.39612 -8.011438 0.03361489,-2.916305 -7.686672 0.3101691,-3.34593 -6.947795 0.4464916,-3.594421 -6.225771 0.6001298,-3.831728 -5.722412 0.7624187,-2.96893 -5.464057 0.1219193,-3.134205 -4.502157 0.2729258,-3.224173 -3.926381 0.3715352,-3.297885 -3.376922 0.4652551,-2.659969 -5.294631 0.1639291,-2.750574 -4.209923 0.318588,-2.750574 -4.209923 0.318588,-2.86396 -2.921725 0.6233683,-2.356348 -5.344625 0.2838793,-2.370409 -4.29754 0.4543104,-2.41626 -3.647609 0.636205,-2.460001 -3.04097 0.7991875,-2.039854 -5.594977 0.4321129,-1.924388 -4.774338 0.5936987,-1.872342 -4.239437 0.766013,-1.829999 -3.720312 0.9102664,-8.254585 -8.251896 0.02596409,-7.6995 -7.744742 0.235761,-7.301394 -6.949004 0.4275122,-7.056854 -6.204761 0.6666815,-6.791489 -5.711881 0.9261593,-7.800741 -5.440561 0.1244771,-7.768869 -4.385709 0.2400968,-7.76361 -3.740268 0.3907348,-7.766557 -3.195298 0.5092603,-8.146502 -5.369247 0.2041137,-8.169089 -4.143173 0.2744439,-8.177202 -3.379422 0.4517116,-8.189167 -2.732202 0.5937031,-8.460505 -5.540954 0.3111485,-8.512947 -4.415279 0.3969918,-8.517103 -3.706387 0.5391237,-8.508918 -3.103292 0.6550323,-8.76316 -5.910072 0.4552342,-8.930273 -5.122749 0.562751,-9.007721 -4.588 0.6689343,-9.055034 -4.065382 0.7478527,0.110,7  0
-2.395375 -8.021931 -0.007101297,-2.912681 -7.710683 0.2916347,-3.343082 -6.969265 0.4270275,-3.584721 -6.237041 0.5741828,-3.813047 -5.711544 0.7335728,-2.964073 -5.498684 0.1197636,-3.128202 -4.521865 0.2738202,-3.215426 -3.930919 0.374809,-3.280527 -3.36705 0.471289,-2.653332 -5.317662 0.1494571,-2.750565 -4.207852 0.3060549,-2.750565 -4.207852 0.3060549,-2.859827 -2.899364 0.621204,-2.348791 -5.352993 0.2565845,-2.368418 -4.285553 0.4255624,-2.413439 -3.61765 0.6100348,-2.460423 -2.999446 0.7784827,-2.028076 -5.591671 0.3911194,-1.910781 -4.762641 0.5508644,-1.854933 -4.224744 0.7236491,-1.811172 -3.712198 0.8744824,-8.24479 -8.26063 0.0494923,-7.692204 -7.76794 0.3012778,-7.295582 -6.96849 0.5107502,-7.054775 -6.214616 0.7644706,-6.786841 -5.709623 1.030608,-7.792079 -5.447385 0.1917897,-7.764613 -4.391168 0.329153,-7.761486 -3.740025 0.4875119,-7.766542 -3.18858 0.6058652,-8.139695 -5.373245 0.2592686,-8.164678 -4.140897 0.3446634,-8.173707 -3.371286 0.516574,-8.187674 -2.726079 0.6509638,-8.455321 -5.543684 0.3598583,-8.514066 -4.404323 0.4611295,-8.520082 -3.694569 0.6067895,-8.511266 -3.091297 0.7226756,-8.761202 -5.913833 0.4986144,-8.925102 -5.120105 0.6165313,-8.998456 -4.58669 0.7286872,-9.039593 -4.066246 0.8089122,0.210,7  0
-2.372983 -8.033789 0.07858144,-2.902342 -7.710953 0.3867836,-3.340215 -6.969347 0.5314347,-3.5832 -6.241815 0.6946008,-3.813608 -5.705974 0.8700477,-2.969998 -5.48343 0.1880014,-3.132813 -4.516443 0.3539583,-3.2143 -3.932011 0.467255,-3.26893 -3.366534 0.5699738,-2.658277 -5.306806 0.2197481,-2.752651 -4.203088 0.3654271,-2.752651 -4.203088 0.3654271,-2.856726 -2.918411 0.6517278,-2.353893 -5.350192 0.3338271,-2.365945 -4.294981 0.4971854,-2.410539 -3.639155 0.6694061,-2.450094 -3.029921 0.8272758,-2.032058 -5.598625 0.479344,-1.921253 -4.783277 0.6413899,-1.875914 -4.254959 0.8060851,-1.835403 -3.755103 0.9419006,-8.253309 -8.280958 0.05626186,-7.701112 -7.784032 0.3366379,-7.298057 -6.978022 0.5585802,-7.046919 -6.21949 0.8212469,-6.772235 -5.711884 1.099334,-7.786731 -5.466182 0.2430679,-7.765889 -4.40029 0.3932759,-7.769421 -3.749598 0.5580338,-7.780993 -3.197612 0.6789132,-8.135272 -5.395055 0.3030036,-8.159329 -4.161329 0.4080269,-8.171664 -3.390667 0.5908602,-8.191507 -2.735365 0.7307928,-8.449563 -5.567092 0.3957234,-8.512488 -4.441622 0.5174989,-8.520254 -3.736573 0.6720682,-8.513882 -3.137679 0.7923356,-8.752538 -5.934908 0.5285338,-8.912407 -5.14011 0.667022,-8.981885 -4.607677 0.7829193,-9.022305 -4.086126 0.8619058,0.310,7  0
-2.350266 -8.076559 0.1476934,-2.893706 -7.722913 0.4153359,-3.322485 -6.975702 0.5379986,-3.560699 -6.244165 0.6863941,-3.792484 -5.709922 0.8523177,-2.956113 -5.506788 0.2156507,-3.125352 -4.527128 0.3705383,-3.212082 -3.942308 0.4740797,-3.275213 -3.37589 0.5717821,-2.647086 -5.329675 0.2611238,-2.744362 -4.21582 0.4100027,-2.744362 -4.21582 0.4100027,-2.858355 -2.928655 0.6968965,-2.346056 -5.364393 0.386045,-2.36207 -4.297722 0.5501557,-2.409351 -3.642308 0.7194273,-2.454545 -3.02588 0.8768875,-2.030807 -5.603469 0.5372639,-1.918728 -4.777236 0.7040331,-1.875746 -4.243236 0.8708337,-1.839806 -3.734993 1.006976,-8.262712 -8.309919 0.1296641,-7.702361 -7.808327 0.3874765,-7.298698 -6.989624 0.5954514,-7.053135 -6.222568 0.8482937,-6.778926 -5.719514 1.115029,-7.796506 -5.477621 0.2754862,-7.774649 -4.416902 0.418996,-7.774485 -3.762585 0.5822381,-7.783271 -3.203554 0.7019346,-8.145523 -5.400125 0.3407945,-8.169029 -4.167842 0.4303166,-8.178383 -3.392034 0.6072928,-8.192778 -2.732549 0.7428379,-8.459816 -5.565163 0.4366863,-8.521353 -4.437513 0.5400133,-8.527876 -3.731302 0.6780302,-8.517997 -3.132936 0.7853401,-8.763119 -5.930238 0.5733169,-8.918489 -5.123859 0.6977499,-8.985574 -4.58561 0.8024952,-9.021572 -4.066405 0.8700387,0.410,7  0
-2.354079 -8.078522 0.1086934,-2.89919 -7.714218 0.3466879,-3.336012 -6.971392 0.4593716,-3.578203 -6.243032 0.6010898,-3.806519 -5.715292 0.7554646,-2.965548 -5.511669 0.1468871,-3.138812 -4.53203 0.2937841,-3.22797 -3.948276 0.3849787,-3.291247 -3.383707 0.4722862,-2.654673 -5.342586 0.2045401,-2.749834 -4.230587 0.3504526,-2.749834 -4.230587 0.3504526,-2.858053 -2.933452 0.6356819,-2.350361 -5.374778 0.3386821,-2.363366 -4.315439 0.4977503,-2.407262 -3.666112 0.6654905,-2.450259 -3.060239 0.8161596,-2.033123 -5.602749 0.4979871,-1.918349 -4.769197 0.656939,-1.872435 -4.23137 0.8246454,-1.837218 -3.719059 0.9576849,-8.251218 -8.303068 0.1642608,-7.706326 -7.795463 0.4398656,-7.309188 -6.980034 0.6599914,-7.063875 -6.227578 0.923051,-6.789849 -5.732487 1.200897,-7.796201 -5.460008 0.3644656,-7.763194 -4.405681 0.5200739,-7.759233 -3.768005 0.6853149,-7.762597 -3.2158 0.8067404,-8.147382 -5.387015 0.4268948,-8.167429 -4.155393 0.535207,-8.177023 -3.39345 0.7141182,-8.189573 -2.739814 0.8540313,-8.463408 -5.561624 0.521715,-8.519423 -4.425813 0.6450037,-8.527925 -3.714332 0.804813,-8.520089 -3.102202 0.9313036,-8.768559 -5.939422 0.6565673,-8.925426 -5.148127 0.7935349,-8.996857 -4.617839 0.9151445,-9.03357 -4.09402 1.002226,0.510,7  0
-2.347459 -8.077829 0.1070575,-2.89298 -7.720029 0.3467934,-3.329327 -6.970912 0.4509308,-3.562642 -6.23414 0.5861076,-3.798927 -5.707365 0.7378256,-2.95476 -5.509211 0.1203042,-3.127109 -4.527592 0.2633709,-3.21357 -3.938343 0.3590685,-3.271653 -3.369491 0.4487918,-2.642039 -5.340933 0.1778065,-2.735158 -4.226949 0.3191811,-2.735158 -4.226949 0.3191811,-2.822677 -2.918725 0.6156217,-2.33638 -5.37169 0.3122639,-2.352103 -4.31702 0.4654121,-2.389535 -3.66278 0.6301931,-2.424851 -3.058198 0.7808446,-2.015892 -5.59633 0.4764054,-1.905145 -4.764333 0.6290944,-1.858466 -4.230918 0.7888061,-1.822713 -3.72548 0.9196238,-8.245305 -8.328762 0.1908667,-7.701054 -7.813486 0.4387093,-7.308747 -6.992202 0.6419916,-7.069928 -6.234076 0.8922551,-6.794543 -5.751173 1.154407,-7.799368 -5.475515 0.3367095,-7.766358 -4.416009 0.4727996,-7.759519 -3.768026 0.6291292,-7.761007 -3.208932 0.7478414,-8.148768 -5.400663 0.4019832,-8.170091 -4.169125 0.48883,-8.177024 -3.39948 0.6660501,-8.184437 -2.742675 0.806052,-8.463235 -5.570821 0.4986967,-8.51836 -4.434274 0.6011137,-8.52496 -3.719519 0.7478104,-8.514079 -3.109068 0.8630067,-8.767554 -5.943906 0.6337797,-8.928793 -5.146574 0.7533083,-9.002602 -4.613275 0.8613398,-9.043183 -4.096174 0.9322604,0.610,7  0
-2.357971 -8.120047 0.1450118,-2.889339 -7.722539 0.5090491,-3.281447 -6.957561 0.6790221,-3.445195 -6.18823 0.8594937,-3.64356 -5.559075 1.068917,-2.938478 -5.53004 0.2631429,-3.082943 -4.546335 0.4469752,-3.153158 -3.948499 0.5950794,-3.201099 -3.373977 0.72372,-2.609891 -5.369983 0.2713405,-2.678648 -4.248237 0.4371629,-2.678648 -4.248237 0.4371629,-2.74966 -2.913873 0.7846612,-2.298259 -5.418081 0.3692202,-2.284948 -4.358962 0.5446023,-2.318406 -3.689046 0.7300648,-2.35566 -3.049922 0.898824,-1.975413 -5.673122 0.5142952,-1.858778 -4.84198 0.7020507,-1.806994 -4.297781 0.8764666,-1.763639 -3.768694 1.020795,-8.318137 -8.306698 0.1424287,-7.767204 -7.779512 0.3916707,-7.371237 -6.967231 0.6041043,-7.131836 -6.222117 0.8659136,-6.875382 -5.716363 1.132643,-7.867896 -5.46788 0.2975879,-7.831089 -4.42031 0.4412867,-7.825092 -3.791084 0.5978692,-7.830499 -3.253102 0.7181401,-8.213816 -5.394599 0.3775978,-8.231502 -4.161086 0.4777931,-8.232417 -3.396106 0.6581469,-8.238963 -2.750649 0.8075861,-8.527102 -5.559978 0.4954849,-8.593015 -4.425121 0.608296,-8.591428 -3.709984 0.7737865,-8.572425 -3.096476 0.900838,-8.832791 -5.929945 0.6482644,-9.006025 -5.130639 0.790625,-9.079215 -4.589567 0.9151636,-9.115207 -4.059142 1.003019,0.710,7  0
-2.222845 -8.091103 0.1773393,-2.77998 -7.691049 0.494849,-3.189051 -6.95893 0.644093,-3.379885 -6.217439 0.8023815,-3.544416 -5.587484 0.9646024,-2.795532 -5.493103 0.2548077,-2.931512 -4.510409 0.4159166,-2.984324 -3.922964 0.5535153,-3.016995 -3.353679 0.678841,-2.464889 -5.329921 0.281225,-2.527976 -4.213108 0.428438,-2.527976 -4.213108 0.428438,-2.564742 -2.905633 0.7562701,-2.150743 -5.387376 0.3881366,-2.130915 -4.31772 0.5434712,-2.160604 -3.654923 0.7240083,-2.18512 -3.0359 0.8917149,-1.826797 -5.65603 0.5363185,-1.697749 -4.835983 0.7073229,-1.647773 -4.28799 0.8786266,-1.60394 -3.759597 1.026206,-8.420992 -8.312056 0.1602165,-7.881284 -7.773815 0.4093635,-7.491079 -6.963457 0.6152619,-7.254453 -6.208726 0.8655435,-6.992743 -5.733562 1.116936,-7.983021 -5.471416 0.3037021,-7.940507 -4.413837 0.443931,-7.929945 -3.77054 0.6041337,-7.928674 -3.214188 0.731514,-8.333668 -5.392535 0.372263,-8.351528 -4.144144 0.489444,-8.352643 -3.370642 0.6792247,-8.357767 -2.711687 0.8328881,-8.650441 -5.560526 0.474653,-8.701882 -4.409314 0.5911825,-8.701696 -3.687648 0.7489167,-8.685418 -3.063032 0.8676931,-8.958187 -5.936363 0.6073865,-9.115712 -5.141904 0.7516891,-9.186021 -4.594199 0.8780576,-9.224571 -4.053689 0.9656632,0.810,7  0
-2.148696 -8.077042 0.08983691,-2.68925 -7.701591 0.4152828,-3.112343 -7.007153 0.5763987,-3.330698 -6.300903 0.7474141,-3.510731 -5.688684 0.9360119,-2.712335 -5.505642 0.1686532,-2.855627 -4.505348 0.3114105,-2.914198 -3.915969 0.4369954,-2.947512 -3.345435 0.5578533,-2.385217 -5.340511 0.1947345,-2.452171 -4.204532 0.3175569,-2.452171 -4.204532 0.3175569,-2.495656 -2.894749 0.6270958,-2.077734 -5.400558 0.3025326,-2.059244 -4.319194 0.4332696,-2.090084 -3.643271 0.6122882,-2.12064 -3.031002 0.7806513,-1.762252 -5.663337 0.4525086,-1.629019 -4.829083 0.60836,-1.5768 -4.272138 0.7831591,-1.537292 -3.743579 0.9370137,-8.448406 -8.329342 0.1545938,-7.902448 -7.78631 0.3967198,-7.522421 -6.979936 0.6055633,-7.300922 -6.222269 0.8588864,-7.04582 -5.737279 1.115335,-8.015384 -5.490964 0.3169294,-7.979273 -4.418017 0.4695239,-7.981084 -3.76321 0.6335536,-7.993572 -3.1972 0.7562357,-8.368199 -5.412996 0.3901944,-8.395418 -4.147729 0.5123731,-8.406482 -3.370152 0.7012478,-8.422292 -2.708847 0.8437514,-8.685078 -5.5846 0.4937857,-8.750164 -4.422536 0.6166987,-8.76212 -3.698947 0.7727877,-8.757761 -3.075333 0.8818402,-8.990852 -5.961279 0.6285223,-9.144713 -5.148628 0.7813125,-9.208739 -4.600955 0.9034089,-9.24017 -4.071359 0.9764975,0.910,7  0
