WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-1.66466 -7.260749 0.0006788601,-2.260932 -7.052108 0.2597529,-2.800513 -6.379789 0.386838,-3.155668 -5.694158 0.5172731,-3.510664 -5.275669 0.677284,-2.447729 -4.847381 0.1274174,-2.643991 -3.859651 0.2930583,-2.743052 -3.263011 0.4176022,-2.820268 -2.682434 0.5214233,-2.106726 -4.608305 0.1603476,-2.229882 -3.455984 0.3678876,-2.301843 -2.697269 0.565682,-2.352175 -1.997691 0.7324673,-1.770243 -4.59975 0.2509586,-1.849434 -3.505198 0.4558431,-1.928749 -2.806169 0.6521242,-1.990499 -2.174884 0.8066402,-1.417781 -4.783723 0.3667013,-1.39447 -3.89871 0.5421446,-1.402523 -3.344239 0.7188435,-1.420435 -2.80473 0.873057,-7.99213 -7.355048 0.0004016941,-7.383634 -7.123023 0.268481,-6.851293 -6.49484 0.4483036,-6.469549 -5.842402 0.6646037,-6.132729 -5.450994 0.8956448,-7.179832 -4.82159 0.1723586,-6.996617 -3.746197 0.3242061,-6.921083 -3.055868 0.4865105,-6.865328 -2.456182 0.6226209,-7.503947 -4.58706 0.2123839,-7.317522 -3.388381 0.3133824,-7.220309 -2.608102 0.5268382,-7.150387 -1.924635 0.7334996,-7.838786 -4.620331 0.2876592,-7.708412 -3.470389 0.3836818,-7.616263 -2.763349 0.5445268,-7.538551 -2.147517 0.6980173,-8.198622 -4.874609 0.3964376,-8.208563 -3.997165 0.5282787,-8.183536 -3.435354 0.6778097,-8.13905 -2.875444 0.811693,0.01667,0 0 0 0 0 0 False
-1.669112 -7.263915 -0.0123387,-2.267563 -7.05306 0.2429634,-2.806961 -6.386749 0.367489,-3.161232 -5.702357 0.4939507,-3.509714 -5.278679 0.6474373,-2.44318 -4.85209 0.1161076,-2.638816 -3.858208 0.2800611,-2.739729 -3.261226 0.4052818,-2.818558 -2.677375 0.510944,-2.100621 -4.613744 0.151205,-2.220276 -3.455863 0.365857,-2.293261 -2.696141 0.5640925,-2.345888 -1.9959 0.7347229,-1.763997 -4.603992 0.243964,-1.843772 -3.505118 0.450901,-1.923419 -2.807524 0.6509703,-1.984478 -2.177419 0.807613,-1.41322 -4.786237 0.360347,-1.388805 -3.894422 0.5391067,-1.396006 -3.335929 0.7187346,-1.41363 -2.791484 0.8779871,-8.00054 -7.349353 -0.005503821,-7.389009 -7.127014 0.2591332,-6.853313 -6.499639 0.4409619,-6.468511 -5.850303 0.656139,-6.132145 -5.459979 0.8861101,-7.180269 -4.821303 0.1825003,-7.001536 -3.741278 0.3393085,-6.925545 -3.049645 0.5024305,-6.868794 -2.450493 0.6384251,-7.505003 -4.585872 0.224947,-7.318985 -3.387011 0.336252,-7.220123 -2.606483 0.5526333,-7.147702 -1.922419 0.76041,-7.840413 -4.619102 0.2990044,-7.704937 -3.464418 0.3986329,-7.608533 -2.7567 0.5572819,-7.527802 -2.143894 0.7102644,-8.201803 -4.872555 0.4055186,-8.19957 -3.99237 0.5398685,-8.168533 -3.43008 0.6859831,-8.122541 -2.873434 0.8184898,0.05000,0 0 0 0 0 0 False
-1.669112 -7.263915 -0.0123387,-2.267563 -7.05306 0.2429634,-2.806961 -6.386749 0.367489,-3.161232 -5.702357 0.4939507,-3.509714 -5.278679 0.6474373,-2.44318 -4.85209 0.1161076,-2.638816 -3.858208 0.2800611,-2.739729 -3.261226 0.4052818,-2.818558 -2.677375 0.510944,-2.100621 -4.613744 0.151205,-2.220276 -3.455863 0.365857,-2.293261 -2.696141 0.5640925,-2.345888 -1.9959 0.7347229,-1.763997 -4.603992 0.243964,-1.843772 -3.505118 0.450901,-1.923419 -2.807524 0.6509703,-1.984478 -2.177419 0.807613,-1.41322 -4.786237 0.360347,-1.388805 -3.894422 0.5391067,-1.396006 -3.335929 0.7187346,-1.41363 -2.791484 0.8779871,-8.00054 -7.349353 -0.005503821,-7.389009 -7.127014 0.2591332,-6.853313 -6.499639 0.4409619,-6.468511 -5.850303 0.656139,-6.132145 -5.459979 0.8861101,-7.180269 -4.821303 0.1825003,-7.001536 -3.741278 0.3393085,-6.925545 -3.049645 0.5024305,-6.868794 -2.450493 0.6384251,-7.505003 -4.585872 0.224947,-7.318985 -3.387011 0.336252,-7.220123 -2.606483 0.5526333,-7.147702 -1.922419 0.76041,-7.840413 -4.619102 0.2990044,-7.704937 -3.464418 0.3986329,-7.608533 -2.7567 0.5572819,-7.527802 -2.143894 0.7102644,-8.201803 -4.872555 0.4055186,-8.19957 -3.99237 0.5398685,-8.168533 -3.43008 0.6859831,-8.122541 -2.873434 0.8184898,0.08333,0 0 0 0 0 0 False
-1.658969 -7.272254 -0.02882155,-2.250638 -7.062333 0.2446183,-2.79339 -6.408044 0.3766483,-3.153544 -5.727062 0.5079495,-3.501661 -5.291754 0.6685199,-2.437616 -4.870594 0.09236422,-2.632415 -3.869218 0.2530005,-2.733284 -3.26877 0.3791234,-2.81353 -2.689245 0.4865298,-2.095785 -4.626835 0.1197128,-2.214519 -3.457963 0.3250052,-2.285273 -2.695714 0.5237861,-2.33861 -1.998158 0.6914545,-1.760859 -4.612894 0.2090773,-1.841059 -3.505406 0.4112909,-1.920067 -2.803943 0.6149216,-1.984396 -2.17137 0.7727939,-1.411967 -4.792221 0.324232,-1.389201 -3.899065 0.5020763,-1.395349 -3.338799 0.6847359,-1.412421 -2.793233 0.843581,-7.99882 -7.368556 0.02137098,-7.388289 -7.146907 0.2894107,-6.857233 -6.510183 0.4760705,-6.477693 -5.8532 0.7004136,-6.138293 -5.458126 0.9424284,-7.175623 -4.838048 0.2020248,-7.00086 -3.763027 0.3571408,-6.931327 -3.071222 0.5209045,-6.88054 -2.468282 0.6578233,-7.503069 -4.59666 0.2440115,-7.319619 -3.404134 0.3493849,-7.219765 -2.62443 0.5677444,-7.145403 -1.938468 0.7789476,-7.840418 -4.621706 0.3202929,-7.709005 -3.475804 0.4212459,-7.611903 -2.767231 0.5894311,-7.527182 -2.150293 0.7504979,-8.203053 -4.870153 0.4288022,-8.209907 -3.989928 0.5682744,-8.18164 -3.428361 0.7187783,-8.133183 -2.869651 0.8554862,0.11667,0 0 0 0 0 0 False
-1.658969 -7.272254 -0.02882155,-2.250638 -7.062333 0.2446183,-2.79339 -6.408044 0.3766483,-3.153544 -5.727062 0.5079495,-3.501661 -5.291754 0.6685199,-2.437616 -4.870594 0.09236422,-2.632415 -3.869218 0.2530005,-2.733284 -3.26877 0.3791234,-2.81353 -2.689245 0.4865298,-2.095785 -4.626835 0.1197128,-2.214519 -3.457963 0.3250052,-2.285273 -2.695714 0.5237861,-2.33861 -1.998158 0.6914545,-1.760859 -4.612894 0.2090773,-1.841059 -3.505406 0.4112909,-1.920067 -2.803943 0.6149216,-1.984396 -2.17137 0.7727939,-1.411967 -4.792221 0.324232,-1.389201 -3.899065 0.5020763,-1.395349 -3.338799 0.6847359,-1.412421 -2.793233 0.843581,-7.99882 -7.368556 0.02137098,-7.388289 -7.146907 0.2894107,-6.857233 -6.510183 0.4760705,-6.477693 -5.8532 0.7004136,-6.138293 -5.458126 0.9424284,-7.175623 -4.838048 0.2020248,-7.00086 -3.763027 0.3571408,-6.931327 -3.071222 0.5209045,-6.88054 -2.468282 0.6578233,-7.503069 -4.59666 0.2440115,-7.319619 -3.404134 0.3493849,-7.219765 -2.62443 0.5677444,-7.145403 -1.938468 0.7789476,-7.840418 -4.621706 0.3202929,-7.709005 -3.475804 0.4212459,-7.611903 -2.767231 0.5894311,-7.527182 -2.150293 0.7504979,-8.203053 -4.870153 0.4288022,-8.209907 -3.989928 0.5682744,-8.18164 -3.428361 0.7187783,-8.133183 -2.869651 0.8554862,0.15000,0 0 0 0 0 0 False
-1.646175 -7.289598 0.008917332,-2.239617 -7.082041 0.2970163,-2.780723 -6.417995 0.44015,-3.137278 -5.726816 0.5780337,-3.495753 -5.290114 0.7494512,-2.437588 -4.882615 0.1674616,-2.631034 -3.88246 0.3332121,-2.728654 -3.28338 0.4597205,-2.804626 -2.699089 0.5719995,-2.092083 -4.636371 0.1838742,-2.213174 -3.473514 0.3920354,-2.280777 -2.710254 0.5914743,-2.327032 -2.007542 0.7620251,-1.752197 -4.625966 0.2582422,-1.834461 -3.525837 0.4591207,-1.914032 -2.823274 0.6604165,-1.97521 -2.188877 0.8205891,-1.396525 -4.811924 0.3607312,-1.376644 -3.919588 0.5395702,-1.385124 -3.360202 0.7239231,-1.400741 -2.817035 0.8873914,-7.990517 -7.369775 0.01800677,-7.386883 -7.136701 0.2678491,-6.855636 -6.494116 0.4420569,-6.474007 -5.845892 0.6566707,-6.132065 -5.468355 0.8911732,-7.183478 -4.827756 0.1817044,-7.002837 -3.754047 0.3317508,-6.928905 -3.062294 0.495199,-6.873766 -2.465496 0.6288114,-7.509448 -4.595445 0.2304713,-7.323809 -3.394028 0.3345655,-7.226219 -2.610717 0.5452092,-7.155708 -1.927004 0.7437449,-7.844174 -4.628217 0.3127259,-7.712493 -3.473026 0.4070147,-7.61917 -2.764478 0.5594413,-7.540709 -2.151689 0.7062801,-8.203156 -4.880435 0.4265748,-8.210941 -3.992509 0.5545055,-8.181478 -3.432217 0.694572,-8.135653 -2.878124 0.818561,0.18333,0 0 0 0 0 0 False
-1.646175 -7.289598 0.008917332,-2.239617 -7.082041 0.2970163,-2.780723 -6.417995 0.44015,-3.137278 -5.726816 0.5780337,-3.495753 -5.290114 0.7494512,-2.437588 -4.882615 0.1674616,-2.631034 -3.88246 0.3332121,-2.728654 -3.28338 0.4597205,-2.804626 -2.699089 0.5719995,-2.092083 -4.636371 0.1838742,-2.213174 -3.473514 0.3920354,-2.280777 -2.710254 0.5914743,-2.327032 -2.007542 0.7620251,-1.752197 -4.625966 0.2582422,-1.834461 -3.525837 0.4591207,-1.914032 -2.823274 0.6604165,-1.97521 -2.188877 0.8205891,-1.396525 -4.811924 0.3607312,-1.376644 -3.919588 0.5395702,-1.385124 -3.360202 0.7239231,-1.400741 -2.817035 0.8873914,-7.990517 -7.369775 0.01800677,-7.386883 -7.136701 0.2678491,-6.855636 -6.494116 0.4420569,-6.474007 -5.845892 0.6566707,-6.132065 -5.468355 0.8911732,-7.183478 -4.827756 0.1817044,-7.002837 -3.754047 0.3317508,-6.928905 -3.062294 0.495199,-6.873766 -2.465496 0.6288114,-7.509448 -4.595445 0.2304713,-7.323809 -3.394028 0.3345655,-7.226219 -2.610717 0.5452092,-7.155708 -1.927004 0.7437449,-7.844174 -4.628217 0.3127259,-7.712493 -3.473026 0.4070147,-7.61917 -2.764478 0.5594413,-7.540709 -2.151689 0.7062801,-8.203156 -4.880435 0.4265748,-8.210941 -3.992509 0.5545055,-8.181478 -3.432217 0.694572,-8.135653 -2.878124 0.818561,0.21667,0 0 0 0 0 0 False
-1.663077 -7.311124 0.03430779,-2.251633 -7.081725 0.315013,-2.78512 -6.414276 0.4680522,-3.145849 -5.724243 0.6189463,-3.502904 -5.276759 0.8041135,-2.42353 -4.882145 0.1989638,-2.618752 -3.876209 0.3685963,-2.721103 -3.273466 0.4992953,-2.800948 -2.688831 0.6138867,-2.078084 -4.646684 0.2260043,-2.19679 -3.473792 0.4345819,-2.268242 -2.700952 0.6308921,-2.317496 -1.99858 0.801158,-1.74187 -4.637754 0.3080189,-1.820819 -3.523328 0.5094452,-1.903586 -2.806852 0.7040854,-1.966022 -2.169378 0.8591141,-1.391265 -4.822822 0.4183264,-1.365111 -3.91879 0.5930897,-1.371033 -3.346845 0.7659714,-1.384833 -2.800127 0.9214619,-7.981639 -7.400821 0.05895814,-7.388663 -7.148326 0.3302181,-6.864403 -6.506643 0.5212719,-6.483416 -5.8706 0.7524111,-6.136801 -5.486384 1.006419,-7.190268 -4.843091 0.2327105,-7.016158 -3.761316 0.3891569,-6.944833 -3.065538 0.5560429,-6.893518 -2.465791 0.6921109,-7.511174 -4.61327 0.2776528,-7.331635 -3.41248 0.398164,-7.234944 -2.629831 0.6192933,-7.164785 -1.942811 0.8253098,-7.843246 -4.644339 0.3584955,-7.713514 -3.492313 0.4653408,-7.617627 -2.779535 0.6302052,-7.538699 -2.166919 0.78539,-8.203545 -4.895597 0.4747777,-8.213031 -4.020745 0.6154584,-8.185269 -3.458746 0.7612947,-8.14412 -2.900794 0.8929694,0.25000,0 0 0 0 0 0 False
-1.663077 -7.311124 0.03430779,-2.251633 -7.081725 0.315013,-2.78512 -6.414276 0.4680522,-3.145849 -5.724243 0.6189463,-3.502904 -5.276759 0.8041135,-2.42353 -4.882145 0.1989638,-2.618752 -3.876209 0.3685963,-2.721103 -3.273466 0.4992953,-2.800948 -2.688831 0.6138867,-2.078084 -4.646684 0.2260043,-2.19679 -3.473792 0.4345819,-2.268242 -2.700952 0.6308921,-2.317496 -1.99858 0.801158,-1.74187 -4.637754 0.3080189,-1.820819 -3.523328 0.5094452,-1.903586 -2.806852 0.7040854,-1.966022 -2.169378 0.8591141,-1.391265 -4.822822 0.4183264,-1.365111 -3.91879 0.5930897,-1.371033 -3.346845 0.7659714,-1.384833 -2.800127 0.9214619,-7.981639 -7.400821 0.05895814,-7.388663 -7.148326 0.3302181,-6.864403 -6.506643 0.5212719,-6.483416 -5.8706 0.7524111,-6.136801 -5.486384 1.006419,-7.190268 -4.843091 0.2327105,-7.016158 -3.761316 0.3891569,-6.944833 -3.065538 0.5560429,-6.893518 -2.465791 0.6921109,-7.511174 -4.61327 0.2776528,-7.331635 -3.41248 0.398164,-7.234944 -2.629831 0.6192933,-7.164785 -1.942811 0.8253098,-7.843246 -4.644339 0.3584955,-7.713514 -3.492313 0.4653408,-7.617627 -2.779535 0.6302052,-7.538699 -2.166919 0.78539,-8.203545 -4.895597 0.4747777,-8.213031 -4.020745 0.6154584,-8.185269 -3.458746 0.7612947,-8.14412 -2.900794 0.8929694,0.28333,0 0 0 0 0 0 False
-1.654472 -7.308702 0.03372915,-2.243638 -7.091682 0.3227014,-2.776497 -6.420879 0.4677017,-3.13209 -5.730316 0.6076368,-3.4922 -5.287559 0.7855709,-2.406741 -4.880157 0.1988683,-2.608239 -3.868339 0.3641051,-2.715804 -3.251258 0.4913113,-2.799778 -2.659658 0.6016117,-2.063591 -4.643075 0.2194557,-2.183825 -3.465715 0.4302828,-2.259333 -2.690557 0.6265659,-2.313105 -1.995194 0.7902722,-1.728418 -4.638168 0.2995948,-1.805971 -3.514766 0.5036137,-1.887153 -2.794326 0.7134621,-1.949557 -2.157213 0.8797562,-1.37892 -4.829736 0.4046738,-1.351132 -3.936887 0.5870987,-1.353786 -3.366026 0.775429,-1.362895 -2.817667 0.9408576,-8.000423 -7.421211 0.06505766,-7.404785 -7.175242 0.3367555,-6.871058 -6.537305 0.5225739,-6.481799 -5.90069 0.746555,-6.140346 -5.529564 0.985689,-7.194873 -4.876085 0.2369304,-7.024528 -3.800821 0.392805,-6.951167 -3.105268 0.5659639,-6.894397 -2.513303 0.7122501,-7.515856 -4.633829 0.2775195,-7.33347 -3.43925 0.3987332,-7.235681 -2.65381 0.6253272,-7.162974 -1.964313 0.8384575,-7.849044 -4.65488 0.3506126,-7.713159 -3.506076 0.4532488,-7.614789 -2.7922 0.6181467,-7.528822 -2.177655 0.769627,-8.20997 -4.902992 0.4603839,-8.212889 -4.037344 0.6031079,-8.182687 -3.479459 0.7434354,-8.136995 -2.928694 0.8730079,0.31667,0 0 0 0 0 0 False
