WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-1.892761 -7.410835 -0.04314752,-2.474485 -7.221776 0.1768869,-2.992198 -6.548839 0.2712119,-3.329787 -5.864996 0.3758686,-3.665173 -5.440921 0.5114645,-2.65605 -5.106287 0.0365219,-2.879712 -4.127764 0.1791752,-2.995596 -3.523502 0.2816353,-3.09087 -2.947513 0.3698749,-2.320926 -4.867187 0.07601205,-2.453279 -3.750068 0.251437,-2.539453 -2.997772 0.4380068,-2.608896 -2.314092 0.6089021,-1.990805 -4.843858 0.1732165,-2.0797 -3.774107 0.353791,-2.165617 -3.084404 0.5487795,-2.238658 -2.468751 0.7083353,-1.645838 -5.006389 0.283494,-1.613525 -4.135715 0.4439178,-1.613914 -3.581888 0.6211752,-1.625248 -3.031817 0.7779161,-7.838276 -7.627797 -0.003864654,-7.237739 -7.364325 0.2245228,-6.740102 -6.642214 0.3850828,-6.420608 -5.926797 0.5923786,-6.143742 -5.453323 0.8115154,-7.119544 -5.104726 0.1171501,-6.987388 -4.074542 0.2527219,-6.927958 -3.425146 0.4097354,-6.881735 -2.86123 0.5384385,-7.43562 -4.908158 0.1723477,-7.298862 -3.7609 0.2451053,-7.224182 -3.020292 0.4404362,-7.167868 -2.366921 0.6253894,-7.757436 -4.963377 0.2649669,-7.659189 -3.857091 0.3366826,-7.582758 -3.171764 0.5042455,-7.512029 -2.574994 0.6679752,-8.102299 -5.230918 0.3850417,-8.138068 -4.391714 0.4887848,-8.140603 -3.843807 0.6294064,-8.117276 -3.299089 0.7713964,0.01667,0 0 0 0 0 0 False
-1.892761 -7.410835 -0.04314752,-2.474485 -7.221776 0.1768869,-2.992198 -6.548839 0.2712119,-3.329787 -5.864996 0.3758686,-3.665173 -5.440921 0.5114645,-2.65605 -5.106287 0.0365219,-2.879712 -4.127764 0.1791752,-2.995596 -3.523502 0.2816353,-3.09087 -2.947513 0.3698749,-2.320926 -4.867187 0.07601205,-2.453279 -3.750068 0.251437,-2.539453 -2.997772 0.4380068,-2.608896 -2.314092 0.6089021,-1.990805 -4.843858 0.1732165,-2.0797 -3.774107 0.353791,-2.165617 -3.084404 0.5487795,-2.238658 -2.468751 0.7083353,-1.645838 -5.006389 0.283494,-1.613525 -4.135715 0.4439178,-1.613914 -3.581888 0.6211752,-1.625248 -3.031817 0.7779161,-7.838276 -7.627797 -0.003864654,-7.237739 -7.364325 0.2245228,-6.740102 -6.642214 0.3850828,-6.420608 -5.926797 0.5923786,-6.143742 -5.453323 0.8115154,-7.119544 -5.104726 0.1171501,-6.987388 -4.074542 0.2527219,-6.927958 -3.425146 0.4097354,-6.881735 -2.86123 0.5384385,-7.43562 -4.908158 0.1723477,-7.298862 -3.7609 0.2451053,-7.224182 -3.020292 0.4404362,-7.167868 -2.366921 0.6253894,-7.757436 -4.963377 0.2649669,-7.659189 -3.857091 0.3366826,-7.582758 -3.171764 0.5042455,-7.512029 -2.574994 0.6679752,-8.102299 -5.230918 0.3850417,-8.138068 -4.391714 0.4887848,-8.140603 -3.843807 0.6294064,-8.117276 -3.299089 0.7713964,0.05000,0 0 0 0 0 0 False
-1.90034 -7.397235 -0.01940516,-2.479819 -7.214756 0.2010566,-2.989279 -6.535409 0.2964479,-3.323452 -5.85464 0.4060685,-3.666983 -5.446832 0.5505705,-2.660774 -5.083593 0.05579091,-2.882015 -4.114366 0.2021134,-2.998332 -3.517395 0.307765,-3.093185 -2.942154 0.4000719,-2.325052 -4.846223 0.1016193,-2.455838 -3.740997 0.2815255,-2.542573 -2.992507 0.4708504,-2.610395 -2.310312 0.6424067,-1.993139 -4.828117 0.2062525,-2.079128 -3.769946 0.3908119,-2.165215 -3.083148 0.5832143,-2.235763 -2.471418 0.7406317,-1.646882 -4.998102 0.3255411,-1.609676 -4.133301 0.4921213,-1.609575 -3.57722 0.6699827,-1.620913 -3.025876 0.8287305,-7.850175 -7.624424 0.005542635,-7.246693 -7.350444 0.2354133,-6.746654 -6.629308 0.3921172,-6.427587 -5.915473 0.5947354,-6.153502 -5.439809 0.8126699,-7.123874 -5.099662 0.1131436,-6.987494 -4.07176 0.2422292,-6.928061 -3.424045 0.400862,-6.88624 -2.870119 0.5321656,-7.43889 -4.902334 0.1653135,-7.294729 -3.765875 0.2306642,-7.217647 -3.028025 0.4182357,-7.162493 -2.387472 0.5961508,-7.761516 -4.953475 0.2575664,-7.654276 -3.857514 0.327721,-7.575963 -3.176713 0.490535,-7.504311 -2.591253 0.6498437,-8.109641 -5.213945 0.376607,-8.144119 -4.378999 0.4840097,-8.146059 -3.83096 0.6239471,-8.122164 -3.286089 0.7650826,0.08333,0 0 0 0 0 0 False
-1.90034 -7.397235 -0.01940516,-2.479819 -7.214756 0.2010566,-2.989279 -6.535409 0.2964479,-3.323452 -5.85464 0.4060685,-3.666983 -5.446832 0.5505705,-2.660774 -5.083593 0.05579091,-2.882015 -4.114366 0.2021134,-2.998332 -3.517395 0.307765,-3.093185 -2.942154 0.4000719,-2.325052 -4.846223 0.1016193,-2.455838 -3.740997 0.2815255,-2.542573 -2.992507 0.4708504,-2.610395 -2.310312 0.6424067,-1.993139 -4.828117 0.2062525,-2.079128 -3.769946 0.3908119,-2.165215 -3.083148 0.5832143,-2.235763 -2.471418 0.7406317,-1.646882 -4.998102 0.3255411,-1.609676 -4.133301 0.4921213,-1.609575 -3.57722 0.6699827,-1.620913 -3.025876 0.8287305,-7.850175 -7.624424 0.005542635,-7.246693 -7.350444 0.2354133,-6.746654 -6.629308 0.3921172,-6.427587 -5.915473 0.5947354,-6.153502 -5.439809 0.8126699,-7.123874 -5.099662 0.1131436,-6.987494 -4.07176 0.2422292,-6.928061 -3.424045 0.400862,-6.88624 -2.870119 0.5321656,-7.43889 -4.902334 0.1653135,-7.294729 -3.765875 0.2306642,-7.217647 -3.028025 0.4182357,-7.162493 -2.387472 0.5961508,-7.761516 -4.953475 0.2575664,-7.654276 -3.857514 0.327721,-7.575963 -3.176713 0.490535,-7.504311 -2.591253 0.6498437,-8.109641 -5.213945 0.376607,-8.144119 -4.378999 0.4840097,-8.146059 -3.83096 0.6239471,-8.122164 -3.286089 0.7650826,0.11667,0 0 0 0 0 0 False
-1.883283 -7.390178 -0.06472117,-2.468779 -7.213867 0.1616735,-2.98397 -6.540668 0.2553699,-3.318889 -5.855443 0.3592862,-3.663483 -5.447568 0.4954098,-2.651309 -5.096431 0.0192664,-2.872547 -4.120798 0.1609963,-2.991434 -3.518814 0.2662262,-3.090118 -2.943647 0.3596957,-2.315064 -4.853353 0.0534282,-2.445494 -3.741588 0.225987,-2.534239 -2.990808 0.4160406,-2.605989 -2.303118 0.5922159,-1.984061 -4.829494 0.1460131,-2.067437 -3.772007 0.3206587,-2.153699 -3.088539 0.5133723,-2.225227 -2.478776 0.6720158,-1.641191 -4.990715 0.2514382,-1.604938 -4.126501 0.408443,-1.604554 -3.572847 0.5838454,-1.615891 -3.02359 0.7400149,-7.836937 -7.617162 -0.01408885,-7.243676 -7.346725 0.2114386,-6.748289 -6.630314 0.3718771,-6.428844 -5.915425 0.5768849,-6.155114 -5.439697 0.8009408,-7.125402 -5.094019 0.1139017,-6.990824 -4.060018 0.250705,-6.935479 -3.411239 0.4090229,-6.896886 -2.851315 0.5405653,-7.438785 -4.900603 0.1739305,-7.294797 -3.751648 0.2468311,-7.219207 -3.011199 0.4363087,-7.163475 -2.363571 0.6146866,-7.760341 -4.956218 0.2693888,-7.657853 -3.847146 0.3457747,-7.580772 -3.159728 0.5097875,-7.508628 -2.566793 0.6692019,-8.104522 -5.222313 0.3939621,-8.140998 -4.377817 0.5020521,-8.1418 -3.826932 0.6383311,-8.113281 -3.282697 0.7715014,0.15000,0 0 0 0 0 0 False
-1.883283 -7.390178 -0.06472117,-2.468779 -7.213867 0.1616735,-2.98397 -6.540668 0.2553699,-3.318889 -5.855443 0.3592862,-3.663483 -5.447568 0.4954098,-2.651309 -5.096431 0.0192664,-2.872547 -4.120798 0.1609963,-2.991434 -3.518814 0.2662262,-3.090118 -2.943647 0.3596957,-2.315064 -4.853353 0.0534282,-2.445494 -3.741588 0.225987,-2.534239 -2.990808 0.4160406,-2.605989 -2.303118 0.5922159,-1.984061 -4.829494 0.1460131,-2.067437 -3.772007 0.3206587,-2.153699 -3.088539 0.5133723,-2.225227 -2.478776 0.6720158,-1.641191 -4.990715 0.2514382,-1.604938 -4.126501 0.408443,-1.604554 -3.572847 0.5838454,-1.615891 -3.02359 0.7400149,-7.836937 -7.617162 -0.01408885,-7.243676 -7.346725 0.2114386,-6.748289 -6.630314 0.3718771,-6.428844 -5.915425 0.5768849,-6.155114 -5.439697 0.8009408,-7.125402 -5.094019 0.1139017,-6.990824 -4.060018 0.250705,-6.935479 -3.411239 0.4090229,-6.896886 -2.851315 0.5405653,-7.438785 -4.900603 0.1739305,-7.294797 -3.751648 0.2468311,-7.219207 -3.011199 0.4363087,-7.163475 -2.363571 0.6146866,-7.760341 -4.956218 0.2693888,-7.657853 -3.847146 0.3457747,-7.580772 -3.159728 0.5097875,-7.508628 -2.566793 0.6692019,-8.104522 -5.222313 0.3939621,-8.140998 -4.377817 0.5020521,-8.1418 -3.826932 0.6383311,-8.113281 -3.282697 0.7715014,0.18333,0 0 0 0 0 0 False
-1.903525 -7.397518 -0.02137483,-2.479512 -7.210014 0.2196494,-2.985663 -6.536663 0.3239078,-3.320461 -5.848579 0.4352144,-3.658931 -5.423063 0.5791491,-2.652819 -5.085463 0.09314853,-2.880237 -4.101985 0.2349135,-3.000664 -3.496116 0.3336326,-3.093622 -2.923507 0.4253201,-2.318408 -4.846744 0.1244903,-2.448841 -3.72408 0.2990574,-2.537519 -2.972085 0.4769993,-2.602976 -2.294662 0.6415557,-1.989069 -4.825563 0.2127557,-2.073086 -3.750867 0.3919736,-2.163563 -3.056719 0.5767087,-2.234081 -2.436182 0.7297889,-1.644608 -4.994375 0.3180464,-1.605073 -4.120393 0.4791658,-1.601594 -3.559306 0.6523809,-1.605528 -3.005403 0.8063266,-7.835808 -7.619196 -0.007154352,-7.239895 -7.318612 0.2121206,-6.741705 -6.599406 0.3688715,-6.420656 -5.890614 0.5762939,-6.146071 -5.422482 0.8009388,-7.124114 -5.093919 0.101022,-6.982928 -4.063243 0.2358527,-6.920764 -3.417826 0.394828,-6.877705 -2.862486 0.5244412,-7.441486 -4.898806 0.1614797,-7.291541 -3.754121 0.2311409,-7.212371 -3.0144 0.421003,-7.155883 -2.370118 0.598183,-7.764229 -4.947223 0.2582049,-7.651504 -3.841218 0.3384142,-7.575825 -3.150222 0.505375,-7.506478 -2.554739 0.6620044,-8.112713 -5.201415 0.3827384,-8.144412 -4.354695 0.4898051,-8.14552 -3.805365 0.6224989,-8.120569 -3.258766 0.7563071,0.21667,0 0 0 0 0 0 False
-1.903525 -7.397518 -0.02137483,-2.479512 -7.210014 0.2196494,-2.985663 -6.536663 0.3239078,-3.320461 -5.848579 0.4352144,-3.658931 -5.423063 0.5791491,-2.652819 -5.085463 0.09314853,-2.880237 -4.101985 0.2349135,-3.000664 -3.496116 0.3336326,-3.093622 -2.923507 0.4253201,-2.318408 -4.846744 0.1244903,-2.448841 -3.72408 0.2990574,-2.537519 -2.972085 0.4769993,-2.602976 -2.294662 0.6415557,-1.989069 -4.825563 0.2127557,-2.073086 -3.750867 0.3919736,-2.163563 -3.056719 0.5767087,-2.234081 -2.436182 0.7297889,-1.644608 -4.994375 0.3180464,-1.605073 -4.120393 0.4791658,-1.601594 -3.559306 0.6523809,-1.605528 -3.005403 0.8063266,-7.835808 -7.619196 -0.007154352,-7.239895 -7.318612 0.2121206,-6.741705 -6.599406 0.3688715,-6.420656 -5.890614 0.5762939,-6.146071 -5.422482 0.8009388,-7.124114 -5.093919 0.101022,-6.982928 -4.063243 0.2358527,-6.920764 -3.417826 0.394828,-6.877705 -2.862486 0.5244412,-7.441486 -4.898806 0.1614797,-7.291541 -3.754121 0.2311409,-7.212371 -3.0144 0.421003,-7.155883 -2.370118 0.598183,-7.764229 -4.947223 0.2582049,-7.651504 -3.841218 0.3384142,-7.575825 -3.150222 0.505375,-7.506478 -2.554739 0.6620044,-8.112713 -5.201415 0.3827384,-8.144412 -4.354695 0.4898051,-8.14552 -3.805365 0.6224989,-8.120569 -3.258766 0.7563071,0.25000,0 0 0 0 0 0 False
-1.90817 -7.401433 0.01873006,-2.48275 -7.217285 0.2409327,-2.988656 -6.528837 0.3384639,-3.321655 -5.839365 0.4468399,-3.66491 -5.420724 0.5922287,-2.649377 -5.074209 0.1165027,-2.872135 -4.09078 0.2551426,-2.99465 -3.488202 0.3523907,-3.09283 -2.919702 0.4407778,-2.314929 -4.837478 0.1602222,-2.439684 -3.713955 0.3381697,-2.533173 -2.956409 0.5191239,-2.606844 -2.276402 0.6830787,-1.986667 -4.819903 0.2599733,-2.064586 -3.74337 0.4448229,-2.15719 -3.046348 0.6310486,-2.231712 -2.431659 0.78498,-1.644419 -4.994354 0.3738432,-1.601221 -4.122799 0.5372335,-1.59896 -3.555038 0.7107629,-1.606997 -2.997811 0.8672562,-7.830425 -7.607221 0.02495046,-7.237572 -7.303712 0.2482129,-6.742481 -6.590974 0.4143064,-6.420322 -5.884441 0.6290023,-6.148909 -5.409193 0.8612056,-7.129364 -5.071645 0.1338383,-6.988143 -4.046916 0.2700073,-6.925065 -3.398428 0.4291139,-6.881437 -2.838935 0.5609269,-7.44433 -4.876571 0.1964166,-7.292927 -3.734334 0.2670871,-7.213839 -2.994925 0.452842,-7.158187 -2.354673 0.6277681,-7.763907 -4.927564 0.2972362,-7.651048 -3.824056 0.3791937,-7.573197 -3.132006 0.5480214,-7.500563 -2.538076 0.7061082,-8.110468 -5.185718 0.4256483,-8.139298 -4.337511 0.5371023,-8.136436 -3.784656 0.6725172,-8.107302 -3.236199 0.8068807,0.28333,0 0 0 0 0 0 False
-1.922114 -7.406127 0.03719785,-2.494646 -7.205772 0.2422019,-2.995436 -6.514377 0.3331389,-3.326931 -5.832111 0.438969,-3.666584 -5.418211 0.5779187,-2.649068 -5.065597 0.1050087,-2.869555 -4.084052 0.2369753,-2.997314 -3.479685 0.3296866,-3.101431 -2.912521 0.4152968,-2.317558 -4.833915 0.1562616,-2.4409 -3.711685 0.3318003,-2.538589 -2.956214 0.5119268,-2.616058 -2.276471 0.6705168,-1.992393 -4.819276 0.2639583,-2.072348 -3.740517 0.4500354,-2.168059 -3.043582 0.6321102,-2.245719 -2.427855 0.7805403,-1.652884 -4.997578 0.3844106,-1.608043 -4.123046 0.5479846,-1.604826 -3.556413 0.7182796,-1.611415 -3.001855 0.8692623,-7.83695 -7.604933 0.02024131,-7.236567 -7.305154 0.2226142,-6.741369 -6.593633 0.3736695,-6.426812 -5.883269 0.5746233,-6.164988 -5.417212 0.7906632,-7.125209 -5.06602 0.1025848,-6.985169 -4.034666 0.2281786,-6.923405 -3.386607 0.3771596,-6.881437 -2.838935 0.5562406,-7.44433 -4.876571 0.1917303,-7.292927 -3.734334 0.2624007,-7.213839 -2.994925 0.4481556,-7.158187 -2.354673 0.6230817,-7.763907 -4.927564 0.2925498,-7.651048 -3.824056 0.3745073,-7.573197 -3.132006 0.5433351,-7.500563 -2.538076 0.7014218,-8.110468 -5.185718 0.4209619,-8.139298 -4.337511 0.5324159,-8.136436 -3.784656 0.6678309,-8.107302 -3.236199 0.8021944,0.31667,0 0 0 0 0 0 False
