WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.085029 -7.565369 0.0004980652,-2.637483 -7.347183 0.2088376,-3.120756 -6.677036 0.3186594,-3.461411 -6.04942 0.4540258,-3.822799 -5.726505 0.6417931,-2.837193 -5.187304 0.03246491,-3.067271 -4.267961 0.1702486,-3.191353 -3.67737 0.2779698,-3.296059 -3.105519 0.3771087,-2.512177 -4.946849 0.09260701,-2.659613 -3.899499 0.2425884,-2.764706 -3.211116 0.409158,-2.85278 -2.57097 0.5516563,-2.191718 -4.932662 0.2139351,-2.290454 -3.898739 0.3713892,-2.393806 -3.245636 0.547028,-2.484761 -2.654457 0.6876931,-1.85275 -5.11515 0.3606162,-1.823786 -4.270646 0.5094162,-1.830542 -3.715169 0.6787233,-1.846965 -3.167325 0.8260124,-7.768529 -7.58 0.0001446234,-7.193594 -7.399581 0.2854433,-6.685572 -6.846549 0.4653215,-6.3159 -6.251308 0.6800359,-6.011727 -5.848129 0.8904052,-6.966382 -5.211406 0.1168777,-6.785351 -4.197684 0.2545959,-6.702065 -3.54972 0.4287229,-6.63855 -2.983106 0.5756953,-7.268954 -4.973157 0.1439201,-7.1013 -3.825122 0.2448064,-6.996058 -3.080427 0.4717389,-6.914952 -2.435669 0.6795394,-7.587401 -4.972232 0.2131624,-7.467837 -3.886952 0.3127091,-7.366424 -3.217371 0.4940273,-7.266927 -2.634528 0.6566752,-7.937498 -5.174654 0.320496,-7.950969 -4.365956 0.4543509,-7.931054 -3.840467 0.592208,-7.884779 -3.316203 0.7134745,0.01667,0 0 0 0 0 0 False
-2.097491 -7.541652 -0.02048814,-2.650875 -7.330295 0.2029489,-3.131337 -6.664663 0.3257574,-3.466162 -6.023965 0.4681106,-3.829076 -5.690742 0.6656036,-2.851061 -5.176867 0.03342685,-3.079287 -4.255929 0.1715074,-3.201138 -3.669418 0.2736692,-3.307631 -3.104375 0.3672502,-2.523831 -4.929641 0.08623344,-2.67324 -3.886478 0.2480126,-2.782022 -3.20657 0.4080569,-2.879331 -2.573817 0.5422997,-2.201191 -4.9113 0.2032394,-2.308934 -3.894333 0.3661889,-2.423883 -3.255088 0.5390016,-2.528037 -2.67638 0.6733958,-1.858969 -5.090341 0.3446267,-1.838912 -4.251727 0.4947308,-1.853701 -3.697862 0.6655594,-1.880982 -3.146427 0.8168014,-7.769572 -7.587772 0.08745303,-7.199003 -7.403282 0.3665983,-6.696321 -6.830148 0.5469699,-6.333881 -6.232679 0.7641253,-6.030682 -5.826898 0.9760587,-6.980267 -5.179636 0.1953568,-6.806746 -4.174696 0.3260376,-6.728521 -3.538757 0.4955898,-6.667854 -2.978297 0.636593,-7.285679 -4.952478 0.2291954,-7.131454 -3.812681 0.3225378,-7.035867 -3.077518 0.5406972,-6.959972 -2.447438 0.7410637,-7.603976 -4.968866 0.3079152,-7.498038 -3.88482 0.4043983,-7.409058 -3.210462 0.5910805,-7.320452 -2.623768 0.7586692,-7.953719 -5.193208 0.4213195,-7.969805 -4.381633 0.5558839,-7.949371 -3.855731 0.6996956,-7.904611 -3.338395 0.8293055,0.05000,0 0 0 0 0 0 False
-2.097491 -7.541652 -0.02048814,-2.650875 -7.330295 0.2029489,-3.131337 -6.664663 0.3257574,-3.466162 -6.023965 0.4681106,-3.829076 -5.690742 0.6656036,-2.851061 -5.176867 0.03342685,-3.079287 -4.255929 0.1715074,-3.201138 -3.669418 0.2736692,-3.307631 -3.104375 0.3672502,-2.523831 -4.929641 0.08623344,-2.67324 -3.886478 0.2480126,-2.782022 -3.20657 0.4080569,-2.879331 -2.573817 0.5422997,-2.201191 -4.9113 0.2032394,-2.308934 -3.894333 0.3661889,-2.423883 -3.255088 0.5390016,-2.528037 -2.67638 0.6733958,-1.858969 -5.090341 0.3446267,-1.838912 -4.251727 0.4947308,-1.853701 -3.697862 0.6655594,-1.880982 -3.146427 0.8168014,-7.769572 -7.587772 0.08745303,-7.199003 -7.403282 0.3665983,-6.696321 -6.830148 0.5469699,-6.333881 -6.232679 0.7641253,-6.030682 -5.826898 0.9760587,-6.980267 -5.179636 0.1953568,-6.806746 -4.174696 0.3260376,-6.728521 -3.538757 0.4955898,-6.667854 -2.978297 0.636593,-7.285679 -4.952478 0.2291954,-7.131454 -3.812681 0.3225378,-7.035867 -3.077518 0.5406972,-6.959972 -2.447438 0.7410637,-7.603976 -4.968866 0.3079152,-7.498038 -3.88482 0.4043983,-7.409058 -3.210462 0.5910805,-7.320452 -2.623768 0.7586692,-7.953719 -5.193208 0.4213195,-7.969805 -4.381633 0.5558839,-7.949371 -3.855731 0.6996956,-7.904611 -3.338395 0.8293055,0.08333,0 0 0 0 0 0 False
-2.090704 -7.537792 -0.02216503,-2.646137 -7.328222 0.1965163,-3.122595 -6.648859 0.3130709,-3.449392 -5.999248 0.454428,-3.815662 -5.662776 0.6508273,-2.859027 -5.171665 0.0198447,-3.090807 -4.264024 0.1682394,-3.217224 -3.684897 0.2786844,-3.326852 -3.11745 0.3774157,-2.532449 -4.9284 0.07382878,-2.689415 -3.908954 0.2262,-2.807597 -3.248508 0.376446,-2.911582 -2.623026 0.5013495,-2.206089 -4.922098 0.1963477,-2.307992 -3.92158 0.3551328,-2.419275 -3.301843 0.5271544,-2.521535 -2.732835 0.6599749,-1.860612 -5.114243 0.3440913,-1.840739 -4.29303 0.5004916,-1.859627 -3.749336 0.6783848,-1.891662 -3.210329 0.8287814,-7.793402 -7.625938 0.2097936,-7.223097 -7.426692 0.4892317,-6.716858 -6.827751 0.6551524,-6.358567 -6.22059 0.8603013,-6.045687 -5.811199 1.049092,-6.994862 -5.170685 0.2773006,-6.825112 -4.18283 0.3966368,-6.745525 -3.571605 0.5528859,-6.680581 -3.024423 0.6802789,-7.307006 -4.953611 0.3087187,-7.175564 -3.859428 0.3767161,-7.097147 -3.179728 0.5776945,-7.03141 -2.600189 0.750906,-7.625249 -4.972553 0.3939589,-7.543685 -3.924111 0.4776813,-7.474628 -3.28399 0.6571434,-7.398556 -2.724714 0.815419,-7.971282 -5.193161 0.5087742,-7.993891 -4.397359 0.6350063,-7.976356 -3.874454 0.7702602,-7.934702 -3.363561 0.8857266,0.11667,0 0 0 0 0 0 False
-2.090704 -7.537792 -0.02216503,-2.646137 -7.328222 0.1965163,-3.122595 -6.648859 0.3130709,-3.449392 -5.999248 0.454428,-3.815662 -5.662776 0.6508273,-2.859027 -5.171665 0.0198447,-3.090807 -4.264024 0.1682394,-3.217224 -3.684897 0.2786844,-3.326852 -3.11745 0.3774157,-2.532449 -4.9284 0.07382878,-2.689415 -3.908954 0.2262,-2.807597 -3.248508 0.376446,-2.911582 -2.623026 0.5013495,-2.206089 -4.922098 0.1963477,-2.307992 -3.92158 0.3551328,-2.419275 -3.301843 0.5271544,-2.521535 -2.732835 0.6599749,-1.860612 -5.114243 0.3440913,-1.840739 -4.29303 0.5004916,-1.859627 -3.749336 0.6783848,-1.891662 -3.210329 0.8287814,-7.793402 -7.625938 0.2097936,-7.223097 -7.426692 0.4892317,-6.716858 -6.827751 0.6551524,-6.358567 -6.22059 0.8603013,-6.045687 -5.811199 1.049092,-6.994862 -5.170685 0.2773006,-6.825112 -4.18283 0.3966368,-6.745525 -3.571605 0.5528859,-6.680581 -3.024423 0.6802789,-7.307006 -4.953611 0.3087187,-7.175564 -3.859428 0.3767161,-7.097147 -3.179728 0.5776945,-7.03141 -2.600189 0.750906,-7.625249 -4.972553 0.3939589,-7.543685 -3.924111 0.4776813,-7.474628 -3.28399 0.6571434,-7.398556 -2.724714 0.815419,-7.971282 -5.193161 0.5087742,-7.993891 -4.397359 0.6350063,-7.976356 -3.874454 0.7702602,-7.934702 -3.363561 0.8857266,0.15000,0 0 0 0 0 0 False
-2.091253 -7.580187 0.02827009,-2.646162 -7.362556 0.2632138,-3.120459 -6.645532 0.374327,-3.431986 -5.945755 0.511295,-3.789679 -5.555056 0.6981729,-2.863374 -5.193215 0.06716517,-3.096272 -4.289325 0.2192726,-3.224114 -3.712512 0.3326161,-3.332406 -3.147156 0.4340567,-2.537455 -4.956424 0.1083115,-2.696151 -3.94432 0.2460356,-2.81987 -3.289978 0.3826851,-2.918518 -2.684002 0.5009333,-2.211608 -4.95955 0.2216732,-2.301513 -3.965017 0.3639153,-2.412234 -3.347435 0.5338062,-2.506191 -2.786382 0.6711984,-1.86839 -5.163318 0.3670251,-1.850647 -4.36416 0.5116616,-1.884796 -3.836909 0.6864548,-1.926793 -3.326717 0.8371163,-7.809359 -7.611974 0.2278201,-7.23566 -7.388827 0.477156,-6.726453 -6.784074 0.6325116,-6.352484 -6.189748 0.8282382,-6.036681 -5.781126 1.025211,-7.033459 -5.12281 0.2267073,-6.846305 -4.131485 0.3088708,-6.745286 -3.536214 0.4466052,-6.651493 -3.019783 0.5596912,-7.356538 -4.926879 0.2564534,-7.239145 -3.879515 0.2905223,-7.170868 -3.300607 0.4449902,-7.112739 -2.871833 0.5667777,-7.66777 -4.950067 0.3502241,-7.591831 -3.953198 0.3895869,-7.525727 -3.405092 0.5295859,-7.45123 -2.964037 0.6481206,-7.993761 -5.161554 0.4803553,-7.997775 -4.412883 0.5519096,-7.978211 -3.914668 0.6633484,-7.929889 -3.44458 0.765842,0.18333,0 0 0 0 0 0 False
-2.091253 -7.580187 0.02827009,-2.646162 -7.362556 0.2632138,-3.120459 -6.645532 0.374327,-3.431986 -5.945755 0.511295,-3.789679 -5.555056 0.6981729,-2.863374 -5.193215 0.06716517,-3.096272 -4.289325 0.2192726,-3.224114 -3.712512 0.3326161,-3.332406 -3.147156 0.4340567,-2.537455 -4.956424 0.1083115,-2.696151 -3.94432 0.2460356,-2.81987 -3.289978 0.3826851,-2.918518 -2.684002 0.5009333,-2.211608 -4.95955 0.2216732,-2.301513 -3.965017 0.3639153,-2.412234 -3.347435 0.5338062,-2.506191 -2.786382 0.6711984,-1.86839 -5.163318 0.3670251,-1.850647 -4.36416 0.5116616,-1.884796 -3.836909 0.6864548,-1.926793 -3.326717 0.8371163,-7.809359 -7.611974 0.2278201,-7.23566 -7.388827 0.477156,-6.726453 -6.784074 0.6325116,-6.352484 -6.189748 0.8282382,-6.036681 -5.781126 1.025211,-7.033459 -5.12281 0.2267073,-6.846305 -4.131485 0.3088708,-6.745286 -3.536214 0.4466052,-6.651493 -3.019783 0.5596912,-7.356538 -4.926879 0.2564534,-7.239145 -3.879515 0.2905223,-7.170868 -3.300607 0.4449902,-7.112739 -2.871833 0.5667777,-7.66777 -4.950067 0.3502241,-7.591831 -3.953198 0.3895869,-7.525727 -3.405092 0.5295859,-7.45123 -2.964037 0.6481206,-7.993761 -5.161554 0.4803553,-7.997775 -4.412883 0.5519096,-7.978211 -3.914668 0.6633484,-7.929889 -3.44458 0.765842,0.21667,0 0 0 0 0 0 False
-2.071835 -7.589983 0.02475533,-2.640454 -7.337411 0.239518,-3.11651 -6.607837 0.3241618,-3.405073 -5.878229 0.4415627,-3.738214 -5.431806 0.6006064,-2.871346 -5.192741 -0.02998035,-3.108349 -4.291685 0.1023732,-3.237188 -3.717773 0.2078876,-3.341969 -3.14586 0.3128951,-2.544724 -4.97069 0.01489648,-2.703785 -3.969804 0.1118337,-2.824175 -3.337678 0.2363619,-2.916959 -2.763306 0.3468689,-2.221703 -4.975244 0.138024,-2.309581 -4.007232 0.2444693,-2.414404 -3.4101 0.4058703,-2.505693 -2.875746 0.5381864,-1.879409 -5.170639 0.294914,-1.873616 -4.400089 0.4239691,-1.918833 -3.90504 0.5918255,-1.971978 -3.426452 0.7273114,-7.813154 -7.584404 0.09806751,-7.24642 -7.402828 0.3991612,-6.733855 -6.774397 0.5720328,-6.365212 -6.168993 0.7615445,-6.061826 -5.740345 0.9433508,-7.038077 -5.121252 0.11382,-6.843781 -4.144721 0.1798709,-6.759222 -3.534501 0.3225301,-6.686861 -3.004442 0.443734,-7.37418 -4.934534 0.1166155,-7.28898 -3.946754 0.1946973,-7.263622 -3.473458 0.3919406,-7.246416 -3.214979 0.5465949,-7.694144 -4.954952 0.1892609,-7.644341 -4.03404 0.2384206,-7.587441 -3.574323 0.4103234,-7.530024 -3.274646 0.5556306,-8.019356 -5.15183 0.2985221,-8.012824 -4.457407 0.3572806,-7.997826 -4.010459 0.4876633,-7.955162 -3.603431 0.6255189,0.25000,0 0 0 0 0 0 False
-2.08563 -7.59376 0.1033205,-2.648616 -7.336767 0.3799081,-3.111007 -6.602575 0.4781819,-3.36224 -5.847808 0.6298206,-3.67119 -5.335912 0.8209837,-2.878074 -5.159034 0.0334465,-3.108313 -4.257534 0.1755229,-3.243572 -3.686471 0.3054741,-3.365142 -3.108556 0.4365836,-2.55095 -4.950473 0.06845652,-2.684928 -3.965918 0.1830298,-2.803605 -3.361377 0.3703749,-2.912433 -2.83275 0.5295747,-2.228787 -4.974273 0.181805,-2.286497 -4.078527 0.326242,-2.37737 -3.558326 0.5683985,-2.471303 -3.164466 0.7500357,-1.889687 -5.18032 0.331946,-1.866283 -4.47429 0.5329589,-1.91005 -4.111747 0.7441499,-1.968931 -3.874303 0.8901351,-7.825562 -7.531545 -0.01248983,-7.268334 -7.368921 0.3093576,-6.758829 -6.722414 0.4853927,-6.385849 -6.122857 0.6686551,-6.083763 -5.699863 0.8448853,-7.045785 -5.082915 0.02001974,-6.833425 -4.153759 0.07680127,-6.742307 -3.52016 0.2291396,-6.667372 -2.96898 0.3623688,-7.38299 -4.91443 0.01986181,-7.287943 -3.985017 0.1342902,-7.270209 -3.59349 0.3854389,-7.257919 -3.42451 0.5795686,-7.704113 -4.951252 0.07486773,-7.667091 -4.086023 0.1399095,-7.62053 -3.697174 0.3583476,-7.568772 -3.490118 0.53656,-8.025552 -5.158561 0.1732907,-8.025998 -4.518045 0.2344098,-8.020984 -4.102069 0.3923016,-7.980575 -3.74275 0.5588816,0.28333,0 0 0 0 0 0 False
-2.08563 -7.59376 0.1033205,-2.648616 -7.336767 0.3799081,-3.111007 -6.602575 0.4781819,-3.36224 -5.847808 0.6298206,-3.67119 -5.335912 0.8209837,-2.878074 -5.159034 0.0334465,-3.108313 -4.257534 0.1755229,-3.243572 -3.686471 0.3054741,-3.365142 -3.108556 0.4365836,-2.55095 -4.950473 0.06845652,-2.684928 -3.965918 0.1830298,-2.803605 -3.361377 0.3703749,-2.912433 -2.83275 0.5295747,-2.228787 -4.974273 0.181805,-2.286497 -4.078527 0.326242,-2.37737 -3.558326 0.5683985,-2.471303 -3.164466 0.7500357,-1.889687 -5.18032 0.331946,-1.866283 -4.47429 0.5329589,-1.91005 -4.111747 0.7441499,-1.968931 -3.874303 0.8901351,-7.825562 -7.531545 -0.01248983,-7.268334 -7.368921 0.3093576,-6.758829 -6.722414 0.4853927,-6.385849 -6.122857 0.6686551,-6.083763 -5.699863 0.8448853,-7.045785 -5.082915 0.02001974,-6.833425 -4.153759 0.07680127,-6.742307 -3.52016 0.2291396,-6.667372 -2.96898 0.3623688,-7.38299 -4.91443 0.01986181,-7.287943 -3.985017 0.1342902,-7.270209 -3.59349 0.3854389,-7.257919 -3.42451 0.5795686,-7.704113 -4.951252 0.07486773,-7.667091 -4.086023 0.1399095,-7.62053 -3.697174 0.3583476,-7.568772 -3.490118 0.53656,-8.025552 -5.158561 0.1732907,-8.025998 -4.518045 0.2344098,-8.020984 -4.102069 0.3923016,-7.980575 -3.74275 0.5588816,0.31667,0 0 0 0 0 0 False
