WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-2.144987 -7.476705 0.0003495665,-2.715159 -7.234058 0.2608694,-3.252664 -6.582895 0.4131236,-3.646659 -5.981477 0.5663583,-4.006395 -5.665463 0.7609575,-2.8815 -4.966844 0.1176996,-3.068904 -3.934955 0.2664369,-3.159151 -3.305839 0.4030273,-3.226654 -2.70666 0.5269682,-2.529618 -4.750717 0.15834,-2.640846 -3.555024 0.3308656,-2.700415 -2.788043 0.5299753,-2.756763 -2.100661 0.6958296,-2.184029 -4.759805 0.2599952,-2.256579 -3.614724 0.4443016,-2.321891 -2.893644 0.6349989,-2.390758 -2.273128 0.7814495,-1.820476 -4.971707 0.3898017,-1.761836 -4.058755 0.5640512,-1.737578 -3.492353 0.7301952,-1.73634 -2.941455 0.8741604,-7.98113 -7.661273 0.0001480523,-7.390841 -7.333316 0.2493783,-6.86268 -6.651071 0.419286,-6.48411 -6.004811 0.6351649,-6.147296 -5.630958 0.8607676,-7.257483 -4.935174 0.1191384,-7.118315 -3.838909 0.2556668,-7.072845 -3.13912 0.4166606,-7.039454 -2.540668 0.5577893,-7.603339 -4.753885 0.1636439,-7.477153 -3.497337 0.2615001,-7.413504 -2.696012 0.4818644,-7.374136 -2.012449 0.6805233,-7.94626 -4.830568 0.2430568,-7.866339 -3.661955 0.3409794,-7.811699 -2.936497 0.4988126,-7.768637 -2.306555 0.640073,-8.310234 -5.130172 0.3572145,-8.36215 -4.274057 0.4824632,-8.372006 -3.724325 0.6125159,-8.364923 -3.179842 0.7224063,0.01667,0 0 1
-2.156161 -7.474287 -0.01250264,-2.716541 -7.218182 0.2650643,-3.243517 -6.564125 0.4364402,-3.630232 -5.954763 0.6068016,-3.991291 -5.618881 0.8217518,-2.879853 -4.964532 0.1401147,-3.067323 -3.92862 0.3019734,-3.1583 -3.299506 0.4493785,-3.225903 -2.696988 0.5822458,-2.530229 -4.752573 0.1771115,-2.64139 -3.545149 0.3635995,-2.701162 -2.768267 0.5685646,-2.753743 -2.071951 0.7386674,-2.186554 -4.767116 0.2703409,-2.256548 -3.614992 0.4623817,-2.324826 -2.880484 0.6579196,-2.392201 -2.249102 0.8082362,-1.827467 -4.982938 0.3948135,-1.763717 -4.069559 0.5691725,-1.737941 -3.49703 0.7369101,-1.732707 -2.942354 0.8854845,-7.984 -7.654539 -0.01127947,-7.390251 -7.329902 0.2246566,-6.86418 -6.64127 0.3919204,-6.490247 -5.990436 0.6084479,-6.15603 -5.608235 0.8395298,-7.259611 -4.925445 0.09554807,-7.127348 -3.81519 0.2318025,-7.085451 -3.111815 0.3932808,-7.05526 -2.510953 0.5326641,-7.608086 -4.750148 0.1509829,-7.488682 -3.482796 0.2493767,-7.4233 -2.672179 0.4695667,-7.380264 -1.984747 0.66594,-7.952512 -4.832592 0.2404761,-7.880002 -3.65818 0.3415017,-7.824376 -2.928657 0.502534,-7.778873 -2.296874 0.6458024,-8.316253 -5.134357 0.3627947,-8.377842 -4.268385 0.4906922,-8.388211 -3.713365 0.6198252,-8.379598 -3.165031 0.7264445,0.05000,0 0 1
-2.154374 -7.470406 0.002761608,-2.715661 -7.219155 0.2804382,-3.240255 -6.558131 0.4440364,-3.620886 -5.939611 0.6115402,-3.979787 -5.595359 0.8197274,-2.878543 -4.952507 0.1304006,-3.068823 -3.914526 0.2883526,-3.15869 -3.288259 0.4260056,-3.222717 -2.687315 0.5505262,-2.52805 -4.742713 0.1692068,-2.638787 -3.541197 0.3541575,-2.693719 -2.772565 0.5573551,-2.741094 -2.077376 0.7257734,-2.185247 -4.760023 0.2695984,-2.254958 -3.606843 0.460406,-2.31772 -2.883111 0.6594274,-2.381505 -2.250213 0.8122324,-1.827038 -4.979377 0.4008147,-1.763213 -4.066677 0.5732659,-1.733538 -3.500333 0.7453487,-1.725121 -2.942343 0.8972045,-7.994287 -7.658386 -0.009946987,-7.402637 -7.328019 0.2407312,-6.873294 -6.642024 0.4105993,-6.495777 -5.998035 0.6281115,-6.162281 -5.622991 0.8577957,-7.26663 -4.937431 0.1151305,-7.12276 -3.835927 0.2657487,-7.07465 -3.134778 0.434508,-7.039919 -2.533532 0.5765568,-7.612393 -4.755193 0.1661438,-7.486204 -3.489557 0.2782511,-7.423252 -2.687482 0.503618,-7.385303 -1.998028 0.7011111,-7.954308 -4.8348 0.2521174,-7.877856 -3.661216 0.3648577,-7.823626 -2.930381 0.5357915,-7.780869 -2.290219 0.6842238,-8.317027 -5.138057 0.3716387,-8.372424 -4.276315 0.5124308,-8.382288 -3.716963 0.6544655,-8.374701 -3.158004 0.769452,0.08333,0 0 1
-2.154374 -7.470406 0.002761608,-2.715661 -7.219155 0.2804382,-3.240255 -6.558131 0.4440364,-3.620886 -5.939611 0.6115402,-3.979787 -5.595359 0.8197274,-2.878543 -4.952507 0.1304006,-3.068823 -3.914526 0.2883526,-3.15869 -3.288259 0.4260056,-3.222717 -2.687315 0.5505262,-2.52805 -4.742713 0.1692068,-2.638787 -3.541197 0.3541575,-2.693719 -2.772565 0.5573551,-2.741094 -2.077376 0.7257734,-2.185247 -4.760023 0.2695984,-2.254958 -3.606843 0.460406,-2.31772 -2.883111 0.6594274,-2.381505 -2.250213 0.8122324,-1.827038 -4.979377 0.4008147,-1.763213 -4.066677 0.5732659,-1.733538 -3.500333 0.7453487,-1.725121 -2.942343 0.8972045,-7.994287 -7.658386 -0.009946987,-7.402637 -7.328019 0.2407312,-6.873294 -6.642024 0.4105993,-6.495777 -5.998035 0.6281115,-6.162281 -5.622991 0.8577957,-7.26663 -4.937431 0.1151305,-7.12276 -3.835927 0.2657487,-7.07465 -3.134778 0.434508,-7.039919 -2.533532 0.5765568,-7.612393 -4.755193 0.1661438,-7.486204 -3.489557 0.2782511,-7.423252 -2.687482 0.503618,-7.385303 -1.998028 0.7011111,-7.954308 -4.8348 0.2521174,-7.877856 -3.661216 0.3648577,-7.823626 -2.930381 0.5357915,-7.780869 -2.290219 0.6842238,-8.317027 -5.138057 0.3716387,-8.372424 -4.276315 0.5124308,-8.382288 -3.716963 0.6544655,-8.374701 -3.158004 0.769452,0.11667,0 0 1
-2.16745 -7.472826 0.03371874,-2.726626 -7.221193 0.293664,-3.245134 -6.545953 0.4414672,-3.621046 -5.918746 0.597348,-3.977166 -5.569164 0.7899995,-2.876312 -4.940463 0.1347017,-3.067312 -3.904209 0.282512,-3.159883 -3.275798 0.4120296,-3.226194 -2.672407 0.5301963,-2.528998 -4.733356 0.1787852,-2.633402 -3.533536 0.3564883,-2.690359 -2.763597 0.5557904,-2.738688 -2.06921 0.7215867,-2.189551 -4.753107 0.2837328,-2.253311 -3.603014 0.4684505,-2.318165 -2.881684 0.6626045,-2.381427 -2.251932 0.8144923,-1.834174 -4.977101 0.4182355,-1.767318 -4.068004 0.5842569,-1.735734 -3.496948 0.755624,-1.724476 -2.932627 0.9075664,-7.989783 -7.669854 0.01174355,-7.399974 -7.344681 0.2663324,-6.870752 -6.655407 0.4425024,-6.494026 -6.006485 0.6661381,-6.159578 -5.622999 0.9029284,-7.267501 -4.945253 0.1677086,-7.124408 -3.839843 0.3274374,-7.077741 -3.135704 0.4969166,-7.044722 -2.533762 0.6382489,-7.61351 -4.761774 0.2197497,-7.483872 -3.496394 0.3452413,-7.42102 -2.689021 0.5700401,-7.382132 -1.995327 0.7684878,-7.955637 -4.843223 0.3061069,-7.876106 -3.668887 0.4273793,-7.821775 -2.930467 0.599947,-7.779508 -2.284557 0.7501541,-8.318787 -5.150772 0.4240326,-8.372528 -4.285751 0.5693165,-8.383008 -3.724697 0.7130698,-8.376778 -3.166286 0.831406,0.15000,0 0 1
-2.16745 -7.472826 0.03371874,-2.726626 -7.221193 0.293664,-3.245134 -6.545953 0.4414672,-3.621046 -5.918746 0.597348,-3.977166 -5.569164 0.7899995,-2.876312 -4.940463 0.1347017,-3.067312 -3.904209 0.282512,-3.159883 -3.275798 0.4120296,-3.226194 -2.672407 0.5301963,-2.528998 -4.733356 0.1787852,-2.633402 -3.533536 0.3564883,-2.690359 -2.763597 0.5557904,-2.738688 -2.06921 0.7215867,-2.189551 -4.753107 0.2837328,-2.253311 -3.603014 0.4684505,-2.318165 -2.881684 0.6626045,-2.381427 -2.251932 0.8144923,-1.834174 -4.977101 0.4182355,-1.767318 -4.068004 0.5842569,-1.735734 -3.496948 0.755624,-1.724476 -2.932627 0.9075664,-7.989783 -7.669854 0.01174355,-7.399974 -7.344681 0.2663324,-6.870752 -6.655407 0.4425024,-6.494026 -6.006485 0.6661381,-6.159578 -5.622999 0.9029284,-7.267501 -4.945253 0.1677086,-7.124408 -3.839843 0.3274374,-7.077741 -3.135704 0.4969166,-7.044722 -2.533762 0.6382489,-7.61351 -4.761774 0.2197497,-7.483872 -3.496394 0.3452413,-7.42102 -2.689021 0.5700401,-7.382132 -1.995327 0.7684878,-7.955637 -4.843223 0.3061069,-7.876106 -3.668887 0.4273793,-7.821775 -2.930467 0.599947,-7.779508 -2.284557 0.7501541,-8.318787 -5.150772 0.4240326,-8.372528 -4.285751 0.5693165,-8.383008 -3.724697 0.7130698,-8.376778 -3.166286 0.831406,0.18333,0 0 1
-2.176471 -7.473574 0.0704507,-2.736511 -7.224781 0.3055474,-3.248462 -6.530609 0.4293541,-3.61788 -5.890986 0.5644786,-3.974888 -5.552727 0.7384316,-2.879332 -4.929885 0.1378889,-3.077244 -3.893152 0.2659026,-3.176447 -3.254913 0.3817022,-3.24655 -2.647684 0.4894536,-2.536542 -4.722137 0.190716,-2.641875 -3.525471 0.3537302,-2.70481 -2.757373 0.5437388,-2.75268 -2.060549 0.7038278,-2.1991 -4.743021 0.3056618,-2.261307 -3.587871 0.4827926,-2.328938 -2.86017 0.6698126,-2.388482 -2.221207 0.8176238,-1.842008 -4.969673 0.4484665,-1.769992 -4.057304 0.6066483,-1.735094 -3.483456 0.7741712,-1.714068 -2.916843 0.9228642,-7.976884 -7.683424 0.03265921,-7.389769 -7.340696 0.2636574,-6.866457 -6.649474 0.4352929,-6.495175 -6.003834 0.6595398,-6.159586 -5.630352 0.9026393,-7.26175 -4.944063 0.1517339,-7.123533 -3.847573 0.3051258,-7.077194 -3.147372 0.4776063,-7.043519 -2.540445 0.6207764,-7.61049 -4.766579 0.218703,-7.486917 -3.502717 0.3340151,-7.423952 -2.69066 0.5621801,-7.385034 -1.993131 0.7615073,-7.954009 -4.851309 0.3201743,-7.881254 -3.675023 0.4272837,-7.827612 -2.93884 0.5917773,-7.785586 -2.297024 0.737411,-8.316358 -5.160455 0.4526836,-8.372517 -4.283396 0.590278,-8.379179 -3.720581 0.7260734,-8.370614 -3.165893 0.8345248,0.21667,0 0 1
-2.176471 -7.473574 0.0704507,-2.736511 -7.224781 0.3055474,-3.248462 -6.530609 0.4293541,-3.61788 -5.890986 0.5644786,-3.974888 -5.552727 0.7384316,-2.879332 -4.929885 0.1378889,-3.077244 -3.893152 0.2659026,-3.176447 -3.254913 0.3817022,-3.24655 -2.647684 0.4894536,-2.536542 -4.722137 0.190716,-2.641875 -3.525471 0.3537302,-2.70481 -2.757373 0.5437388,-2.75268 -2.060549 0.7038278,-2.1991 -4.743021 0.3056618,-2.261307 -3.587871 0.4827926,-2.328938 -2.86017 0.6698126,-2.388482 -2.221207 0.8176238,-1.842008 -4.969673 0.4484665,-1.769992 -4.057304 0.6066483,-1.735094 -3.483456 0.7741712,-1.714068 -2.916843 0.9228642,-7.976884 -7.683424 0.03265921,-7.389769 -7.340696 0.2636574,-6.866457 -6.649474 0.4352929,-6.495175 -6.003834 0.6595398,-6.159586 -5.630352 0.9026393,-7.26175 -4.944063 0.1517339,-7.123533 -3.847573 0.3051258,-7.077194 -3.147372 0.4776063,-7.043519 -2.540445 0.6207764,-7.61049 -4.766579 0.218703,-7.486917 -3.502717 0.3340151,-7.423952 -2.69066 0.5621801,-7.385034 -1.993131 0.7615073,-7.954009 -4.851309 0.3201743,-7.881254 -3.675023 0.4272837,-7.827612 -2.93884 0.5917773,-7.785586 -2.297024 0.737411,-8.316358 -5.160455 0.4526836,-8.372517 -4.283396 0.590278,-8.379179 -3.720581 0.7260734,-8.370614 -3.165893 0.8345248,0.25000,0 0 1
-2.182791 -7.483873 0.05907467,-2.745628 -7.213769 0.2675503,-3.25277 -6.518259 0.3808629,-3.622254 -5.883375 0.5083316,-3.975547 -5.535473 0.6738068,-2.87898 -4.941484 0.09004034,-3.082784 -3.908315 0.2126508,-3.188646 -3.267516 0.3236006,-3.265174 -2.66454 0.4280321,-2.537919 -4.734047 0.1525083,-2.645517 -3.536565 0.3091841,-2.710966 -2.763562 0.4974542,-2.762299 -2.062543 0.6544834,-2.203354 -4.753686 0.2764633,-2.267685 -3.592452 0.4434419,-2.336401 -2.861759 0.6280316,-2.39869 -2.22343 0.7709885,-1.850254 -4.977737 0.4248755,-1.778011 -4.060586 0.5752434,-1.740339 -3.484255 0.7375773,-1.716446 -2.918801 0.8771124,-7.977149 -7.680438 0.005961953,-7.385989 -7.339874 0.2420177,-6.865011 -6.64986 0.4189288,-6.493156 -6.009317 0.6443816,-6.15794 -5.646262 0.885666,-7.266247 -4.94841 0.1457769,-7.124251 -3.848586 0.3089657,-7.072111 -3.14992 0.4909034,-7.034289 -2.547632 0.6413642,-7.612691 -4.772314 0.2106165,-7.489088 -3.500102 0.338768,-7.426154 -2.686027 0.5708632,-7.388315 -1.980606 0.7748104,-7.952584 -4.855903 0.3061869,-7.877623 -3.673417 0.4216489,-7.821335 -2.939846 0.5848861,-7.777354 -2.297959 0.7297946,-8.310468 -5.161035 0.4346604,-8.366402 -4.288549 0.5772904,-8.374889 -3.72633 0.7137473,-8.367897 -3.165255 0.8270978,0.28333,0 0 1
-2.182791 -7.483873 0.05907467,-2.745628 -7.213769 0.2675503,-3.25277 -6.518259 0.3808629,-3.622254 -5.883375 0.5083316,-3.975547 -5.535473 0.6738068,-2.87898 -4.941484 0.09004034,-3.082784 -3.908315 0.2126508,-3.188646 -3.267516 0.3236006,-3.265174 -2.66454 0.4280321,-2.537919 -4.734047 0.1525083,-2.645517 -3.536565 0.3091841,-2.710966 -2.763562 0.4974542,-2.762299 -2.062543 0.6544834,-2.203354 -4.753686 0.2764633,-2.267685 -3.592452 0.4434419,-2.336401 -2.861759 0.6280316,-2.39869 -2.22343 0.7709885,-1.850254 -4.977737 0.4248755,-1.778011 -4.060586 0.5752434,-1.740339 -3.484255 0.7375773,-1.716446 -2.918801 0.8771124,-7.977149 -7.680438 0.005961953,-7.385989 -7.339874 0.2420177,-6.865011 -6.64986 0.4189288,-6.493156 -6.009317 0.6443816,-6.15794 -5.646262 0.885666,-7.266247 -4.94841 0.1457769,-7.124251 -3.848586 0.3089657,-7.072111 -3.14992 0.4909034,-7.034289 -2.547632 0.6413642,-7.612691 -4.772314 0.2106165,-7.489088 -3.500102 0.338768,-7.426154 -2.686027 0.5708632,-7.388315 -1.980606 0.7748104,-7.952584 -4.855903 0.3061869,-7.877623 -3.673417 0.4216489,-7.821335 -2.939846 0.5848861,-7.777354 -2.297959 0.7297946,-8.310468 -5.161035 0.4346604,-8.366402 -4.288549 0.5772904,-8.374889 -3.72633 0.7137473,-8.367897 -3.165255 0.8270978,0.31667,0 0 1
