WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
-1.74934 -8.191473 0.000507122,-2.269665 -8.004248 0.3257216,-2.779187 -7.41331 0.5183331,-3.165648 -6.896224 0.7103181,-3.521973 -6.689033 0.9575687,-2.505838 -5.830078 0.2248379,-2.743587 -4.910544 0.39461,-2.858333 -4.349292 0.5291849,-2.946671 -3.800951 0.6547412,-2.193161 -5.577449 0.2602084,-2.353837 -4.47034 0.4269022,-2.353837 -4.47034 0.4269022,-2.493055 -3.170872 0.7323726,-1.877621 -5.583099 0.3549174,-1.925778 -4.50707 0.5403574,-1.977565 -3.843841 0.7246079,-2.032775 -3.26885 0.8673829,-1.545193 -5.814498 0.4867939,-1.421463 -5.021053 0.664717,-1.34656 -4.50294 0.809078,-1.292933 -3.997701 0.9380317,-8.235451 -8.738094 0.001008167,-7.627512 -8.422371 0.1197811,-7.05514 -7.742296 0.2463381,-6.642248 -7.138891 0.4179244,-6.265882 -6.916294 0.6153856,-7.349946 -6.119621 0.04180174,-7.146918 -5.162952 0.1095187,-7.071978 -4.547006 0.2471973,-7.019223 -4.003044 0.359245,-7.662255 -5.897576 0.1366312,-7.490896 -4.704857 0.1917649,-7.400198 -3.970421 0.3711296,-7.328172 -3.327116 0.5050617,-7.970171 -5.916751 0.2494566,-7.875346 -4.793845 0.3467524,-7.800648 -4.113151 0.4732006,-7.727634 -3.531499 0.5589834,-8.282961 -6.147507 0.3806085,-8.334086 -5.304914 0.4755848,-8.345909 -4.767509 0.5628579,-8.344292 -4.275281 0.6186574,0.010, 10
-1.750557 -8.188442 0.01089469,-2.273123 -7.998967 0.3222893,-2.782077 -7.409778 0.5062263,-3.168098 -6.888471 0.6963775,-3.504972 -6.663927 0.9385272,-2.511382 -5.822471 0.1983867,-2.759394 -4.903078 0.3669913,-2.876416 -4.342771 0.499973,-2.967198 -3.789638 0.6202027,-2.199546 -5.569656 0.2425391,-2.356282 -4.456759 0.3994138,-2.356282 -4.456759 0.3994138,-2.494728 -3.16267 0.710592,-1.883915 -5.57488 0.3498788,-1.929153 -4.505111 0.5252955,-1.982761 -3.847363 0.7130584,-2.039232 -3.276226 0.8598635,-1.549746 -5.803787 0.4914641,-1.420099 -5.015025 0.6628762,-1.34256 -4.49897 0.8099746,-1.286934 -3.992403 0.9404797,-8.232455 -8.740889 -0.003509286,-7.617863 -8.419853 0.09711821,-7.049628 -7.730426 0.2168333,-6.640437 -7.125545 0.3836993,-6.262847 -6.912223 0.5749371,-7.351005 -6.120647 0.03620097,-7.149492 -5.158321 0.09506276,-7.073841 -4.532466 0.2220779,-7.021103 -3.982116 0.3323072,-7.664331 -5.900871 0.1363461,-7.494588 -4.701801 0.1888895,-7.404547 -3.95694 0.3660888,-7.334675 -3.310743 0.4985602,-7.970977 -5.920301 0.2502292,-7.875104 -4.787597 0.3497429,-7.799557 -4.08966 0.4807794,-7.728414 -3.495681 0.5697973,-8.281417 -6.153355 0.3797541,-8.332487 -5.300328 0.4797571,-8.346905 -4.752669 0.5736354,-8.347578 -4.252676 0.6335763,0.110, 10
-1.758351 -8.187866 0.03367666,-2.276256 -7.990951 0.3578,-2.782157 -7.414892 0.564109,-3.170341 -6.899796 0.7754433,-3.512976 -6.663437 1.047583,-2.520919 -5.814804 0.2497839,-2.77145 -4.903211 0.4296792,-2.88601 -4.346534 0.5669748,-2.974406 -3.793443 0.6946467,-2.209868 -5.565578 0.2942108,-2.372084 -4.461436 0.466222,-2.372084 -4.461436 0.466222,-2.511672 -3.171696 0.7938392,-1.893314 -5.576742 0.4025016,-1.944631 -4.507703 0.5894811,-1.999541 -3.84822 0.7911301,-2.059147 -3.265909 0.9487491,-1.557199 -5.814726 0.543515,-1.424941 -5.033598 0.7252533,-1.348748 -4.521474 0.8790228,-1.295864 -4.017458 1.013013,-8.225555 -8.724787 -0.01410599,-7.617116 -8.397203 0.09276663,-7.051449 -7.720687 0.2084126,-6.644048 -7.113435 0.370193,-6.272682 -6.892594 0.5546113,-7.349317 -6.104579 0.01614064,-7.145898 -5.140817 0.07752753,-7.070781 -4.51634 0.2103139,-7.018578 -3.967136 0.3229498,-7.663111 -5.886018 0.1100817,-7.495849 -4.682703 0.1594847,-7.412219 -3.94024 0.3377445,-7.346343 -3.297699 0.4683655,-7.967952 -5.909108 0.2194308,-7.880323 -4.776781 0.3132814,-7.814937 -4.082586 0.4351384,-7.751003 -3.491193 0.5170463,-8.27557 -6.14457 0.3441308,-8.327667 -5.289464 0.4348513,-8.343419 -4.744988 0.5172269,-8.346368 -4.25177 0.5676422,0.210, 10
-1.74972 -8.191055 -0.005894972,-2.27458 -7.998889 0.3064829,-2.783773 -7.417819 0.4921614,-3.170267 -6.890525 0.6816912,-3.504305 -6.654494 0.9247015,-2.516547 -5.832371 0.1827484,-2.767956 -4.917657 0.3471034,-2.886551 -4.358426 0.4772508,-2.977761 -3.806056 0.599554,-2.206162 -5.578148 0.2222534,-2.37031 -4.469656 0.3783055,-2.37031 -4.469656 0.3783055,-2.513371 -3.178501 0.688715,-1.891539 -5.579139 0.3240933,-1.947332 -4.513019 0.4967508,-2.005438 -3.853134 0.6847646,-2.06554 -3.275463 0.8336787,-1.558908 -5.804155 0.4599126,-1.431176 -5.012825 0.6257118,-1.356647 -4.498394 0.7713431,-1.305229 -3.994565 0.9000529,-8.245533 -8.738787 0.01078753,-7.632929 -8.43136 0.1382076,-7.062731 -7.735002 0.2627928,-6.64577 -7.124185 0.4357869,-6.26144 -6.892334 0.632202,-7.360126 -6.112861 0.03499042,-7.159657 -5.13553 0.0929319,-7.082199 -4.503076 0.2245416,-7.029064 -3.954196 0.3332917,-7.673824 -5.893978 0.1196129,-7.512586 -4.686119 0.1686386,-7.424488 -3.933794 0.3442661,-7.358454 -3.283486 0.4708867,-7.980426 -5.917869 0.2230064,-7.897675 -4.780054 0.3117612,-7.824244 -4.080214 0.4348494,-7.755642 -3.482344 0.5205446,-8.288457 -6.152809 0.3453363,-8.339281 -5.295132 0.4423054,-8.346022 -4.749419 0.537686,-8.342557 -4.250473 0.5980784,0.310, 10
-1.741397 -8.204134 0.04472186,-2.268366 -8.006016 0.4057535,-2.771355 -7.426506 0.6255351,-3.143856 -6.898801 0.8428082,-3.491781 -6.660652 1.117676,-2.508602 -5.835996 0.3189823,-2.744852 -4.916749 0.5054575,-2.858485 -4.356703 0.6554028,-2.948599 -3.801706 0.7925803,-2.192432 -5.582489 0.3421412,-2.348555 -4.482258 0.5221556,-2.348555 -4.482258 0.5221556,-2.488075 -3.185371 0.8544891,-1.875476 -5.590517 0.4291193,-1.920488 -4.526933 0.6175723,-1.969539 -3.865163 0.8153895,-2.022575 -3.286073 0.974315,-1.541756 -5.824964 0.5542451,-1.416955 -5.031188 0.733709,-1.33982 -4.508897 0.8921275,-1.28569 -3.999671 1.037123,-8.250427 -8.746006 0.03367393,-7.636036 -8.435642 0.1782846,-7.063495 -7.738862 0.308309,-6.641474 -7.121956 0.4843364,-6.25391 -6.882335 0.6867566,-7.363756 -6.122428 0.07224389,-7.160165 -5.147449 0.1336828,-7.086599 -4.516064 0.2689394,-7.038981 -3.966629 0.3803704,-7.679752 -5.894504 0.1473876,-7.510919 -4.693663 0.1892713,-7.426426 -3.94604 0.3622835,-7.362168 -3.298011 0.4943519,-7.988598 -5.908975 0.2409771,-7.897926 -4.783384 0.3238531,-7.828471 -4.090677 0.4415255,-7.761483 -3.497405 0.525318,-8.300332 -6.135541 0.3578657,-8.350919 -5.286926 0.4475734,-8.359944 -4.748708 0.5330372,-8.3563 -4.253342 0.5893306,0.410, 10
-1.758127 -8.200603 -0.01183598,-2.280226 -7.999032 0.3121823,-2.780688 -7.418014 0.5159863,-3.160095 -6.887556 0.7277153,-3.498361 -6.62816 0.993333,-2.500766 -5.829329 0.193719,-2.743251 -4.901676 0.3669994,-2.856844 -4.345468 0.5043851,-2.942886 -3.797591 0.628608,-2.187301 -5.586568 0.2360911,-2.34442 -4.472309 0.3961108,-2.34442 -4.472309 0.3961108,-2.476058 -3.174545 0.7077768,-1.871552 -5.597909 0.3413667,-1.917476 -4.519891 0.5169259,-1.972344 -3.855011 0.7066311,-2.026952 -3.27643 0.854836,-1.538785 -5.832845 0.4819484,-1.404634 -5.037293 0.6479799,-1.326528 -4.516832 0.7934428,-1.268515 -4.007968 0.9230721,-8.251479 -8.762665 0.05334971,-7.640533 -8.448727 0.178206,-7.072268 -7.73842 0.2999725,-6.658818 -7.114006 0.4637038,-6.270224 -6.900097 0.6559287,-7.370749 -6.131275 0.1066352,-7.168183 -5.154764 0.1661717,-7.090502 -4.521518 0.2969752,-7.037123 -3.961284 0.4068947,-7.687539 -5.9053 0.1943326,-7.520665 -4.694856 0.2472214,-7.432995 -3.945326 0.4216802,-7.367141 -3.296266 0.554418,-7.995828 -5.922882 0.2977386,-7.903795 -4.779716 0.3950892,-7.830386 -4.07896 0.5229797,-7.761657 -3.480045 0.611487,-8.30607 -6.155287 0.41971,-8.353707 -5.294006 0.5262347,-8.365641 -4.744215 0.6270052,-8.366194 -4.238964 0.6924207,0.510, 10
-1.729568 -8.28126 -0.07357156,-2.250774 -7.977456 0.3174675,-2.702968 -7.419778 0.557951,-2.941644 -6.860721 0.8176294,-3.123857 -6.482777 1.119275,-2.510001 -5.873575 0.120922,-2.731122 -4.945388 0.3134397,-2.838451 -4.380692 0.4803987,-2.922386 -3.832634 0.6153722,-2.180626 -5.685262 0.1332535,-2.321089 -4.601378 0.2888635,-2.321089 -4.601378 0.2888635,-2.427625 -3.360478 0.6527244,-1.856294 -5.695021 0.229417,-1.923155 -4.669727 0.4018283,-1.966123 -4.011917 0.6196892,-2.013413 -3.442844 0.7963313,-1.513249 -5.88567 0.3682259,-1.418056 -5.061751 0.550764,-1.358088 -4.524307 0.7157515,-1.320523 -4.006593 0.8690835,-8.245636 -8.766346 0.1279121,-7.645962 -8.433842 0.2257346,-7.089873 -7.701234 0.3422446,-6.688957 -7.069831 0.5091442,-6.29513 -6.854604 0.7024463,-7.376842 -6.100797 0.1512064,-7.176204 -5.135952 0.2079956,-7.098568 -4.508195 0.3369529,-7.045803 -3.947885 0.4422325,-7.690357 -5.884902 0.2546358,-7.52628 -4.686989 0.2990538,-7.440316 -3.946367 0.4687454,-7.375557 -3.301946 0.5946474,-7.997184 -5.914203 0.3741884,-7.90597 -4.775508 0.4659939,-7.834893 -4.07411 0.5934049,-7.768186 -3.467234 0.6768788,-8.308511 -6.159011 0.5078222,-8.352962 -5.302896 0.6137931,-8.365173 -4.756845 0.7110215,-8.366238 -4.248306 0.7687325,0.610, 10
-1.705867 -8.238518 -0.4232752,-2.252861 -7.903829 -0.0183323,-2.656877 -7.199876 0.1954193,-2.780878 -6.503991 0.4447157,-2.811125 -5.988514 0.6972103,-2.540187 -5.8211 -0.4124994,-2.709696 -4.869693 -0.3160179,-2.782742 -4.273027 -0.1553281,-2.834074 -3.71708 -0.0006845593,-2.184381 -5.741132 -0.3916008,-2.275403 -4.831249 -0.189445,-2.275403 -4.831249 -0.189445,-2.392007 -4.512864 0.2805001,-1.853421 -5.820833 -0.2906323,-1.902302 -4.993047 -0.08281821,-1.936745 -4.674074 0.2482146,-1.978082 -4.629976 0.4650239,-1.519548 -6.029438 -0.1309136,-1.471612 -5.378014 0.09085876,-1.480088 -5.070201 0.3334467,-1.50472 -4.91143 0.5399652,-8.261327 -8.780344 0.2244002,-7.663027 -8.444639 0.3297117,-7.10371 -7.688997 0.4474106,-6.703455 -7.033113 0.618157,-6.304746 -6.801382 0.819932,-7.381675 -6.089784 0.2208471,-7.189416 -5.128622 0.2760032,-7.119055 -4.505214 0.4072175,-7.06905 -3.942062 0.5100416,-7.694262 -5.871803 0.3171628,-7.530762 -4.702999 0.3361224,-7.444365 -3.972326 0.4911929,-7.371809 -3.327707 0.612332,-8.004512 -5.899767 0.4336812,-7.905174 -4.782554 0.5029048,-7.835632 -4.091337 0.6155649,-7.766129 -3.49019 0.6885068,-8.323185 -6.14318 0.5666838,-8.349647 -5.291156 0.6581254,-8.35525 -4.745435 0.7406759,-8.348539 -4.230327 0.7864396,0.710, 10
-1.701866 -8.275747 -0.8519138,-2.198271 -7.811647 -0.4764374,-2.522782 -7.13615 -0.242837,-2.647058 -6.392066 -0.01573586,-2.637207 -5.784761 0.1673123,-2.455873 -5.955923 -0.7543998,-2.591454 -4.894941 -0.5566595,-2.678164 -4.281023 -0.4046727,-2.727353 -3.669528 -0.2700039,-2.133003 -5.896369 -0.7453011,-2.129323 -5.044895 -0.2308664,-2.129323 -5.044895 -0.2308664,-2.185303 -6.453394 -0.1145597,-1.813384 -5.95416 -0.6614893,-1.788562 -5.132925 -0.2130141,-1.861826 -5.95654 -0.1297603,-1.905872 -6.464398 -0.214968,-1.494451 -6.138989 -0.5495056,-1.450983 -5.379308 -0.2868726,-1.51514 -5.718482 -0.2148375,-1.550447 -6.050571 -0.2398679,-8.270773 -8.776064 0.2175844,-7.663974 -8.444117 0.3324908,-7.107237 -7.691597 0.4427374,-6.718716 -7.028551 0.6048019,-6.327206 -6.776112 0.7962269,-7.38168 -6.092144 0.1798239,-7.192068 -5.137674 0.22946,-7.122238 -4.514139 0.3690784,-7.075253 -3.948427 0.4795393,-7.698267 -5.869382 0.2606195,-7.539292 -4.712883 0.259196,-7.455907 -3.992536 0.4180102,-7.387253 -3.357988 0.5431381,-8.011464 -5.892229 0.3623298,-7.91823 -4.778892 0.4094927,-7.85205 -4.100136 0.5185804,-7.78583 -3.513138 0.5892479,-8.333575 -6.126466 0.4834073,-8.366221 -5.286756 0.5516675,-8.371617 -4.74537 0.6198181,-8.362477 -4.235881 0.6580991,0.810, 6
-1.560379 -8.092375 -1.309989,-2.023124 -7.723831 -0.8954077,-2.326976 -7.066471 -0.6440277,-2.328938 -6.295117 -0.3866214,-2.147232 -5.72701 -0.1554356,-2.249777 -5.848406 -1.01715,-2.379516 -4.812017 -0.727126,-2.446295 -4.179509 -0.5325144,-2.466465 -3.582181 -0.3395544,-1.906779 -5.849756 -1.005389,-1.880785 -5.411628 -0.3976765,-1.880785 -5.411628 -0.3976765,-1.912666 -6.971375 -0.3544723,-1.576843 -5.953739 -0.9197399,-1.579222 -5.614826 -0.3013898,-1.649452 -6.517526 -0.2408977,-1.692568 -7.073896 -0.3187544,-1.257269 -6.154892 -0.8091334,-1.267009 -5.663385 -0.3791205,-1.355623 -6.247592 -0.3265278,-1.406353 -6.671861 -0.3713619,-8.279318 -8.809134 0.2276821,-7.672999 -8.479214 0.3365939,-7.120247 -7.71122 0.4507432,-6.731997 -7.036154 0.6154429,-6.339649 -6.767641 0.8089304,-7.400415 -6.107557 0.2177901,-7.204661 -5.137398 0.2792825,-7.132256 -4.505447 0.4205664,-7.08439 -3.932185 0.5302485,-7.716228 -5.898378 0.3047887,-7.559813 -4.717893 0.3226208,-7.478665 -3.992274 0.4825625,-7.412606 -3.358359 0.607582,-8.028869 -5.933302 0.4104116,-7.940414 -4.799755 0.477884,-7.878119 -4.112167 0.6001327,-7.81481 -3.515322 0.6775318,-8.347239 -6.178216 0.5333952,-8.377016 -5.322483 0.6165298,-8.382812 -4.776093 0.6954575,-8.371656 -4.259202 0.7388352,0.910, 6
